Restrições da consulta:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indíces;Alerta;Inundação;Inundação Severa;Estiagem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CotaInd;1520;1544;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Restrições da consulta:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código da Estação:14840000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EstacaoCodigo;NivelConsistencia;Data;hora;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status
14840000;2;01/07/2025;;1;1;652;568;604;29;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/06/2025;;1;1;652;568;604;29;1;0;0;0;;;1374;1379;1387;1391;1395;1398;1403;1408;1415;1419;1424;1430;1435;1439;1444;1450;1455;1459;1464;1468;1469;1477;1477;1484;1491;1494;1495;1495,5;1496;1496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/05/2025;;1;1;652;568;604;29;1;0;0;0;;;1260;1265;1270;1275;1278;1284;1287;1290;1292;1295;1297;1299;1305;1308;1313;1315;1318;1322;1331;1334;1338;1340;1344;1349;1352;1352;1356;1361;1364;1368;1371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/04/2025;;1;1;652;568;604;29;1;0;0;0;;;1056;1056;1059;1061;1067;1068;1071;1077;1080;1088;1092;1104;1112;1119;1126;1137;1145;1154;1161;1176;1186;1193;1202;1210;1218;1225;1231;1237;1242;1252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/03/2025;;1;1;652;568;604;29;1;0;0;0;;;891;900;908;917;929;935;941;950;957;962;967;972;975;979;985;988;991;996;999;1012;1017;1022;1026;1031;1035;1038;1043;1047;1050;1052;1054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/02/2025;;1;1;652;568;604;29;1;0;0;0;;;692;687;682;680;679;678;678;680;685;687;695;699;705;711;725;735;744;754;766;778;789;802;814;830;844;857;870;881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/01/2025;;1;1;652;568;604;29;1;0;0;0;;;420;435;450;465;484;502;519;535;551;565;578;590;602;615;623;633;643;652;660;668;674;679;684;692;695;697;699;700;699;697;695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/12/2024;;1;1;652;568;604;29;1;0;0;0;;0;329;331;332;333;333;332;330;328;324;321;317;313;310;308;307;306;305;307;309;314;318;324;329;336;345;354;363;373;382;393;405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/11/2024;;1;1;652;568;604;29;1;0;0;0;;0;289;285;283;282;281;283;292;293;293;293;292;293;293;295;294;294;298;296;293;290;290;293;296;301;306;311;316;321;324;327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/10/2024;;1;1;652;568;604;29;1;0;0;0;;0;392;382;372;363;358;356;358;364;372;381;390;398;405;409;411;410;408;403;396;387;378;369;359;348;339;330;322;315;308;301;295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/09/2024;;1;1;652;568;604;29;1;0;0;0;;0;840;820;799;780;760;742;725;709;693;678;663;649;634;620;605;590;575;560;543;528;513;497;484;471;459;449;437;425;414;403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/08/2024;;1;1;652;568;604;29;1;0;0;0;;0;1188;1182;1178;1171;1164;1159;1153;1145;1137;1131;1124;1118;1110;1101;1092;1082;1071;1060;1048;1035;1022;1008;994;980;964;949;932;914;896;877;857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/07/2024;;1;1;652;568;604;29;1;0;0;0;;0;1323;1322;1322;1321;1320;1317;1314;1311;1309;1306;1303;1299;1294;1291;1287;1283;1277;1270;1264;1259;1254;1250;1240;1237;1229;1227;1217;1210;1207;1200;1195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/06/2024;;1;1;652;568;604;29;1;0;0;0;;0;1173;1183;1193;1201;1209;1217;1225;1232;1238;1245;1251;1257;1262;1270;1276;1280;1285;1289;1293;1298;1307;1312;1315;1318;1319;1322;1322;1323;1324;1324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/05/2024;;1;1;652;568;604;29;1;0;0;0;;0;970;975;980;984;991;994;1000;1005;1009;1013;1017;1021;1027;1031;1037;1045;1053;1062;1069;1077;1085;1091;1098;1104;1111;1117;1131;1139;1148;1157;1165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/04/2024;;1;1;652;568;604;29;1;0;0;0;;0;787;793;799;803;811;815;820;824;829;838;841;850;857;864;870;877;891;899;906;912;918;922;926;934;941;946;951;956;961;966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/03/2024;;1;1;652;568;604;29;1;0;0;0;;0;649;654;659;663;667;669;669;672;679;682;685;687;688;690;694;696;701;706;714;717;720;725;730;732;743;750;755;760;768;773;777;781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/02/2024;;1;1;652;568;604;29;1;0;0;0;;0;571;577;580;582;585;586;587;589;590;592;590;591;594;597;601;604;606;606;609;609;611;614;618;621;625;636;642;646;651;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
14840000;2;01/01/2024;;1;1;567;451;522;31;1;0;0;0;;0;452;458;464;468;473;478;485;490;497;502;508;515;520;527;535;540;540;541;541;544;546;548;549;552;552;556;558;560;562;565;567;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14840000;2;01/12/2023;;1;1;447;287;347;31;2;0;0;0;;0;289;293;301;303;306;310;313;318;322;322;322;321;319;317;317;320;324;330;336;344;354;364;374;388;396;405;413;421;427;436;446;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14840000;2;01/11/2023;;1;1;292;225;262;28;17;0;0;0;;0;270;274;277;279;279;279;278;276;271;265;258;249;242;237;231;227;225;227;229;234;242;250;260;270;281;288;291;292;292;291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14840000;2;01/10/2023;;1;1;382;240;296;1;24;0;0;0;;0;381;377;371;366;359;353;346;340;333;327;321;314;309;300;292;288;281;273;265;256;251;245;244;240;240;243;245;249;253;259;265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/09/2023;;1;1;992;385;670;1;30;0;0;0;;0;990;975;958;939;920;901;880;857;835;811;787;763;736;708;683;655;628;600;570;543;519;489;468;449;433;420;409;400;392;386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14840000;2;01/08/2023;;1;1;1214;1001;1134;1;31;0;0;0;;0;1214;1208;1205;1200;1197;1192;1187;1183;1179;1175;1173;1168;1164;1160;1155;1150;1145;1139;1132;1125;1116;1108;1097;1087;1077;1065;1054;1042;1031;1018;1005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/07/2023;;1;1;1320;1218;1274;1;31;0;0;0;;0;1320;1317;1315;1312;1309;1306;1303;1299;1295;1291;1288;1285;1281;1278;1277;1274;1271;1269;1267;1266;1263;1261;1258;1254;1250;1245;1240;1235;1229;1225;1219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/06/2023;;1;1;1360;1320;1344;14;1;0;0;0;;0;1321;1325;1329;1334;1339;1343;1346;1349;1352;1354;1356;1356;1356;1359;1360;1359;1357;1355;1354;1352;1349;1347;1345;1343;1339;1336;1333;1330;1326;1322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14840000;2;01/05/2023;;1;1;1316;1161;1241;31;1;0;0;0;;0;1163;1170;1177;1184;1189;1196;1202;1207;1212;1218;1221;1226;1228;1230;1234;1241;1244;1248;1252;1255;1259;1264;1271;1278;1283;1288;1294;1300;1305;1310;1315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/04/2023;;1;1;1157;1064;1096;30;1;0;0;0;;0;1065;1067;1067;1067;1067;1067;1067;1069;1071;1074;1076;1076;1080;1081;1084;1090;1095;1098;1102;1105;1109;1113;1121;1126;1130;1134;1139;1145;1151;1156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14840000;2;01/03/2023;;1;1;1064;920;1021;30;1;0;0;0;;0;922;931;941;951;961;970;979;988;996;1003;1013;1023;1031;1035;1038;1041;1043;1047;1048;1049;1050;1052;1053;1055;1057;1059;1060;1062;1063;1064;1064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/02/2023;;1;1;912;822;850;28;1;0;0;0;;0;823;827;831;833;838;840;840;840;840;840;840;839;839;838;840;840;842;844;846;849;855;862;868;875;883;891;901;911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
14840000;2;01/01/2023;;1;1;819;641;703;31;10;0;0;0;;0;692;683;676;669;661;657;651;646;648;641;643;645;648;652;658;664;673;686;696;707;718;730;742;753;764;774;784;793;803;811;818;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14840000;2;01/12/2022;;1;1;753;659;718;20;1;0;0;0;;0;659;663;667;672;678;684;692;701;708;714;722;726;734;738;742;745;747;749;752;753;750;744;736;744;736;732;727;725;717;709;700;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14840000;2;01/11/2022;;1;1;678;546;628;20;1;0;0;0;;0;547;549;553;557;561;566;573;580;588;596;607;618;628;637;646;655;662;670;675;678;678;678;678;677;673;669;666;662;662;660;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14840000;2;01/10/2022;;1;1;901;536;658;1;25;0;0;0;;0;899;883;869;849;830;811;791;770;750;729;707;687;669;649;629;614;599;584;575;565;554;547;540;538;536;538;538;539;543;545;545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/09/2022;;1;1;1245;916;1090;1;30;1;1;1;;0;1243;1232;1221;1210;1200;1189;1178;1169;1159;1150;1140;1130;1121;1112;1104;1092;1083;1073;1062;1051;1040;1027;1016;1002;989;974;959;943;929;919;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14840000;2;01/08/2022;;1;1;1464;1253;1380;1;31;1;1;1;;0;1464;1460;1457;1453;1449;1445;1440;1435;1430;1425;1420;1415;1409;1404;1399;1391;1384;1378;1370;1363;1358;1347;1337;1327;1317;1307;1297;1288;1278;1272;1256;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14840000;2;01/07/2022;;1;1;1589;1467;1531;1;31;1;1;1;;0;1589;1587;1585;1581;1578;1574;1571;1567;1564;1560;1555;1551;1547;1542;1537;1533;1528;1523;1518;1515;1510;1506;1502;1497;1493;1486;1482;1480;1475;1472;1468;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14840000;2;01/06/2022;;1;1;1598;1526;1576;22;1;0;0;0;;0;1527;1531;1535;1542;1547;1551;1554;1556;1560;1563;1570;1574;1578;1582;1587;1590;1591;1592;1594;1596;1596;1598;1598;1598;1598;1597;1596;1595;1593;1591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14840000;2;01/05/2022;;1;1;1524;1411;1470;31;1;0;0;0;;0;1412;1416;1420;1425;1430;1435;1443;1448;1452;1455;1458;1462;1464;1465;1468;1471;1473;1478;1484;1487;1490;1492;1494;1495;1498;1501;1504;1508;1512;1517;1522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14840000;2;01/04/2022;;1;1;1409;1244;1340;30;1;1;1;1;;0;1246;1260;1267;1273;1279;1285;1292;1300;1307;1312;1318;1323;1328;1334;1343;1349;1355;1359;1364;1371;1378;1382;1386;1389;1393;1396;1400;1402;1405;1409;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14840000;2;01/03/2022;;1;1;1240;925;1075;31;1;1;1;1;;0;928;937;943;951;959;967;977;985;993;1001;1011;1021;1034;1046;1058;1070;1082;1093;1105;1117;1132;1143;1155;1165;1179;1189;1199;1208;1219;1231;1239;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14840000;2;01/02/2022;;1;1;922;854;873;28;13;1;1;1;;0;869;866;866;865;866;866;866;866;865;863;861;859;855;858;860;861;861;863;866;870;874;879;888;894;899;906;914;921;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
14840000;2;01/01/2022;;1;1;993;871;951;6;31;1;1;1;;0;984;988;990;990;993;993;993;992;992;989;987;984;981;979;974;969;964;959;951;942;934;927;920;912;904;897;891;885;880;876;872;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14840000;2;01/12/2021;;1;3;977;805;878;31;1;2;2;2;;;805;807;810;812;815;818;825;830;832;836;841;847;851;856;861;866;874;880;888;897;904;911;922;932;940;947;952;958;964;970;977;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14840000;2;01/11/2021;;1;1;807;728;764;29;2;2;2;2;;;729;728;728;728;728;728;729;730;737;741;744;747;751;755;758;761;766;770;775;781;787;793;795;797;799;802;805;805;807;805;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
14840000;2;01/10/2021;;1;1;892;732;815;1;31;2;2;2;;;892;887;884;882;878;875;874;866;859;858;850;842;834;826;818;810;801;794;789;789;785;781;774;769;765;759;754;749;741;736;732;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
14840000;2;01/09/2021;;1;1;1144;895;1022;1;30;2;2;2;;;1144;1136;1128;1122;1112;1102;1091;1086;1078;1070;1065;1054;1045;1038;1030;1025;1017;1009;997;985;978;966;953;945;935;927;917;909;903;895;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
14840000;2;01/08/2021;;1;1;1326;1155;1256;1;31;2;2;2;;;1326;1321;1318;1315;1311;1310;1307;1305;1302;1297;1293;1286;1281;1280;1274;1270;1262;1256;1245;1237;1236;1224;1213;1208;1204;1196;1185;1180;1171;1163;1155;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
14840000;2;01/07/2021;;1;1;1483;1331;1414;1;31;2;2;2;;;1483;1480;1477;1475;1469;1464;1459;1453;1448;1445;1443;1440;1438;1435;1432;1428;1418;1408;1399;1394;1387;1382;1376;1371;1363;1358;1353;1347;1342;1337;1331;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
14840000;2;01/06/2021;;1;1;1493;1450;1478;24;1;1;1;1;;;1450;1452;1454;1458;1460;1462;1464;1467;1468;1469;1471;1472;1476;1476;1479;1484;1486;1487;1488;1489;1490;1490;1492;1493;1493;1493;1493;1492;1491;1491;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
