#      date    value 
 1981-09-01 -0.1466038 
 1981-10-01 -0.2014975 
 1981-11-01 -1.104974 
 1981-12-01 -1.587365 
 1982-01-01 -1.257948 
 1982-02-01 -1.209715 
 1982-03-01 -0.209292 
 1982-04-01 0.9475272 
 1982-05-01 1.629883 
 1982-06-01 1.619456 
 1982-07-01 0.761152 
 1982-08-01 1.155727 
 1982-09-01 1.496266 
 1982-10-01 1.848878 
 1982-11-01 1.340557 
 1982-12-01 1.102632 
 1983-01-01 0.8776733 
 1983-02-01 0.894586 
 1983-03-01 1.234608 
 1983-04-01 1.671698 
 1983-05-01 1.858133 
 1983-06-01 1.425192 
 1983-07-01 0.1007283 
 1983-08-01 -0.2318569 
 1983-09-01 -0.224846 
 1983-10-01 -1.051862 
 1983-11-01 -1.802459 
 1983-12-01 -2.422656 
 1984-01-01 -2.35323 
 1984-02-01 -1.153931 
 1984-03-01 -0.605559 
 1984-04-01 0.392474 
 1984-05-01 0.4297847 
 1984-06-01 -0.1195776 
 1984-07-01 -0.2202866 
 1984-08-01 -0.2867955 
 1984-09-01 -0.2187088 
 1984-10-01 -0.7436718 
 1984-11-01 -1.797324 
 1984-12-01 -2.730937 
 1985-01-01 -2.679568 
 1985-02-01 -1.937945 
 1985-03-01 -0.9715422 
 1985-04-01 -0.2062489 
 1985-05-01 0.03695719 
 1985-06-01 -0.1398415 
 1985-07-01 -0.3159844 
 1985-08-01 -0.3762212 
 1985-09-01 -0.5903023 
 1985-10-01 -0.7191168 
 1985-11-01 -1.004716 
 1985-12-01 -1.783157 
 1986-01-01 -2.074259 
 1986-02-01 -1.807203 
 1986-03-01 -0.6750019 
 1986-04-01 0.4015259 
 1986-05-01 0.565039 
 1986-06-01 0.632145 
 1986-07-01 0.4605367 
 1986-08-01 0.4800507 
 1986-09-01 0.6345626 
 1986-10-01 0.5756062 
 1986-11-01 0.1337372 
 1986-12-01 -0.3367038 
 1987-01-01 -0.3582385 
 1987-02-01 -0.1444832 
 1987-03-01 0.8601233 
 1987-04-01 1.404091 
 1987-05-01 1.485548 
 1987-06-01 1.731554 
 1987-07-01 1.572899 
 1987-08-01 1.496401 
 1987-09-01 1.553109 
 1987-10-01 1.015756 
 1987-11-01 0.4245153 
 1987-12-01 -0.4287122 
 1988-01-01 -0.670182 
 1988-02-01 -0.7816767 
 1988-03-01 -0.02123797 
 1988-04-01 0.3390292 
 1988-05-01 -0.2863878 
 1988-06-01 -0.8193458 
 1988-07-01 -1.303903 
 1988-08-01 -1.208825 
 1988-09-01 -0.7378598 
 1988-10-01 -2.048464 
 1988-11-01 -2.712322 
 1988-12-01 -3.258979 
 1989-01-01 -3.393442 
 1989-02-01 -2.501041 
 1989-03-01 -1.546996 
 1989-04-01 -0.4240969 
 1989-05-01 0.2299893 
 1989-06-01 0.2922255 
 1989-07-01 -0.07434804 
 1989-08-01 -0.4487481 
 1989-09-01 -0.2964369 
 1989-10-01 -0.5252557 
 1989-11-01 -1.051746 
 1989-12-01 -1.381283 
 1990-01-01 -1.445186 
 1990-02-01 -0.977926 
 1990-03-01 -0.2400843 
 1990-04-01 0.8739486 
 1990-05-01 1.198748 
 1990-06-01 0.6947731 
 1990-07-01 0.4825314 
 1990-08-01 0.3666829 
 1990-09-01 0.1678266 
 1990-10-01 0.2203397 
 1990-11-01 -0.5278374 
 1990-12-01 -0.9706312 
 1991-01-01 -0.998567 
 1991-02-01 -0.8462958 
 1991-03-01 -0.143528 
 1991-04-01 1.022433 
 1991-05-01 1.409867 
 1991-06-01 1.372846 
 1991-07-01 0.9738896 
 1991-08-01 0.8833475 
 1991-09-01 0.5065209 
 1991-10-01 0.6853794 
 1991-11-01 0.4875505 
 1991-12-01 0.3609271 
 1992-01-01 0.3978415 
 1992-02-01 0.6262093 
 1992-03-01 1.151348 
 1992-04-01 1.976964 
 1992-05-01 2.082945 
 1992-06-01  1.36936 
 1992-07-01 0.6305174 
 1992-08-01 0.1651715 
 1992-09-01 0.0315389 
 1992-10-01 -0.4969256 
 1992-11-01 -0.6140478 
 1992-12-01 -1.046542 
 1993-01-01 -1.194356 
 1993-02-01 -0.6667171 
 1993-03-01  0.16509 
 1993-04-01 1.273593 
 1993-05-01  1.82075 
 1993-06-01 1.123251 
 1993-07-01 0.701598 
 1993-08-01 0.2001158 
 1993-09-01 0.4294746 
 1993-10-01 0.2152148 
 1993-11-01 -0.3613853 
 1993-12-01 -1.112965 
 1994-01-01 -1.336088 
 1994-02-01 -1.083433 
 1994-03-01 0.07658002 
 1994-04-01 1.011132 
 1994-05-01 1.268124 
 1994-06-01 1.105839 
 1994-07-01 0.4704829 
 1994-08-01 0.6918186 
 1994-09-01 0.4777626 
 1994-10-01 0.654981 
 1994-11-01 0.5148014 
 1994-12-01 0.004537142 
 1995-01-01 -0.5736447 
 1995-02-01 -0.3418862 
 1995-03-01 0.2332786 
 1995-04-01 1.013895 
 1995-05-01 0.9142487 
 1995-06-01 0.586885 
 1995-07-01 0.2604463 
 1995-08-01 -0.3367054 
 1995-09-01 -0.4677607 
 1995-10-01 -0.9375112 
 1995-11-01 -1.455762 
 1995-12-01 -2.126943 
 1996-01-01 -2.181414 
 1996-02-01  -1.7854 
 1996-03-01 -0.7341294 
 1996-04-01 0.4424064 
 1996-05-01 0.6405813 
 1996-06-01 0.4879591 
 1996-07-01 0.1304885 
 1996-08-01 -0.04793116 
 1996-09-01 -0.148472 
 1996-10-01 -0.5428262 
 1996-11-01 -0.8653402 
 1996-12-01 -1.811191 
 1997-01-01 -1.972896 
 1997-02-01 -1.375423 
 1997-03-01 -0.4193543 
 1997-04-01 0.8267782 
 1997-05-01 1.576476 
 1997-06-01 1.833756 
 1997-07-01 1.828535 
 1997-08-01 2.015781 
 1997-09-01  2.11318 
 1997-10-01 2.069232 
 1997-11-01 1.770045 
 1997-12-01 0.9871193 
 1998-01-01 0.7610903 
 1998-02-01 0.7984964 
 1998-03-01 1.156304 
 1998-04-01 1.447163 
 1998-05-01 1.610004 
 1998-06-01 0.1123563 
 1998-07-01 -0.7763587 
 1998-08-01 -1.046269 
 1998-09-01 -0.8902963 
 1998-10-01 -1.374446 
 1998-11-01 -1.815096 
 1998-12-01 -3.003274 
 1999-01-01 -2.991559 
 1999-02-01 -2.131418 
 1999-03-01 -0.9868755 
 1999-04-01 -0.08519121 
 1999-05-01 0.2061818 
 1999-06-01 -0.1352228 
 1999-07-01 -0.5447195 
 1999-08-01 -0.9870105 
 1999-09-01 -0.8276756 
 1999-10-01 -1.170485 
 1999-11-01 -2.096015 
 1999-12-01 -2.876018 
 2000-01-01 -3.152553 
 2000-02-01 -2.552149 
 2000-03-01 -1.213717 
 2000-04-01 0.03052045 
 2000-05-01 0.1667668 
 2000-06-01 0.2679728 
 2000-07-01 -0.2385922 
 2000-08-01 -0.2248133 
 2000-09-01 -0.3162615 
 2000-10-01 -0.681859 
 2000-11-01 -1.349305 
 2000-12-01 -2.273588 
 2001-01-01 -2.12582 
 2001-02-01 -1.567461 
 2001-03-01 -0.4440076 
 2001-04-01 0.3617109 
 2001-05-01 0.6827201 
 2001-06-01 0.8172679 
 2001-07-01 0.398434 
 2001-08-01 0.1772726 
 2001-09-01 0.01330142 
 2001-10-01 -0.2230066 
 2001-11-01 -0.9130048 
 2001-12-01 -1.729831 
 2002-01-01 -1.528516 
 2002-02-01 -0.9389877 
 2002-03-01 -0.1168065 
 2002-04-01 0.9756353 
 2002-05-01 1.360229 
 2002-06-01 1.601894 
 2002-07-01 1.098377 
 2002-08-01 0.9629239 
 2002-09-01 1.092389 
 2002-10-01 1.100248 
 2002-11-01 0.8394467 
 2002-12-01 0.1463066 
 2003-01-01 -0.4431827 
 2003-02-01 -0.3330055 
 2003-03-01 0.4523129 
 2003-04-01 0.7875827 
 2003-05-01 0.521892 
 2003-06-01 0.6128904 
 2003-07-01 0.5350361 
 2003-08-01 0.2907889 
 2003-09-01 0.4069456 
 2003-10-01 0.4657471 
 2003-11-01 -0.2097596 
 2003-12-01 -0.8454861 
 2004-01-01 -1.133523 
 2004-02-01 -0.8273033 
 2004-03-01 -0.2561294 
 2004-04-01 0.8874994 
 2004-05-01 1.223459 
 2004-06-01 0.9583215 
 2004-07-01 0.9824843 
 2004-08-01 0.9073017 
 2004-09-01 0.8877382 
 2004-10-01 0.6759631 
 2004-11-01 0.159629 
 2004-12-01 -0.5629054 
 2005-01-01 -0.7370194 
 2005-02-01 -0.7724125 
 2005-03-01 0.2005151 
 2005-04-01 1.070166 
 2005-05-01 1.373056 
 2005-06-01 1.174718 
 2005-07-01 0.5627677 
 2005-08-01 0.3086871 
 2005-09-01 0.08203663 
 2005-10-01 -0.04167797 
 2005-11-01 -0.9775773 
 2005-12-01 -2.019034 
 2006-01-01 -2.298688 
 2006-02-01 -1.684228 
 2006-03-01 -0.7598491 
 2006-04-01 0.652271 
 2006-05-01 1.086532 
 2006-06-01  1.06441 
 2006-07-01 0.4823144 
 2006-08-01 0.6192468 
 2006-09-01 0.7566243 
 2006-10-01 0.6925079 
 2006-11-01 0.4400954 
 2006-12-01 -0.06338656 
 2007-01-01 -0.5831506 
 2007-02-01 -0.9114817 
 2007-03-01 -0.1522601 
 2007-04-01 0.822684 
 2007-05-01 0.7024143 
 2007-06-01 0.8265793 
 2007-07-01 0.05367715 
 2007-08-01 -0.3427557 
 2007-09-01 -0.6895742 
