time;sst
1985-01-01;-1.1305543
1985-01-02;-1.1187061
1985-01-03;-1.0049452
1985-01-04;-0.9332915
1985-01-05;-0.9360549
1985-01-06;-0.87276506
1985-01-07;-0.7828675
1985-01-08;-0.8114188
1985-01-09;-0.9306629
1985-01-10;-1.2092513
1985-01-11;-1.2754883
1985-01-12;-1.2816281
1985-01-13;-1.3671193
1985-01-14;-1.3447118
1985-01-15;-1.3355749
1985-01-16;-1.3221953
1985-01-17;-1.2954437
1985-01-18;-1.354317
1985-01-19;-1.4366832
1985-01-20;-1.5412166
1985-01-21;-1.6128052
1985-01-22;-1.7335689
1985-01-23;-1.8422424
1985-01-24;-1.8184144
1985-01-25;-1.8057384
1985-01-26;-1.7449394
1985-01-27;-1.6768657
1985-01-28;-1.6314386
1985-01-29;-1.6224387
1985-01-30;-1.6787381
1985-01-31;-1.6003766
1985-02-01;-1.4446409
1985-02-02;-1.3405118
1985-02-03;-1.2866409
1985-02-04;-1.2446079
1985-02-05;-1.082622
1985-02-06;-0.84452766
1985-02-07;-0.7531859
1985-02-08;-0.80703765
1985-02-09;-0.8079502
1985-02-10;-0.80753547
1985-02-11;-0.85559976
1985-02-12;-0.91653365
1985-02-13;-1.0459176
1985-02-14;-1.1500827
1985-02-15;-1.174916
1985-02-16;-1.1717534
1985-02-17;-1.2139341
1985-02-18;-1.2985151
1985-02-19;-1.3917617
1985-02-20;-1.3528287
1985-02-21;-1.2270818
1985-02-22;-1.183966
1985-02-23;-1.0966693
1985-02-24;-1.0420725
1985-02-25;-1.0627037
1985-02-26;-1.1188605
1985-02-27;-1.1451432
1985-02-28;-1.0951663
1985-03-01;-0.9278713
1985-03-02;-0.81809217
1985-03-03;-0.7791131
1985-03-04;-0.88807225
1985-03-05;-0.8991942
1985-03-06;-0.917456
1985-03-07;-0.9824149
1985-03-08;-1.0282702
1985-03-09;-1.1057162
1985-03-10;-1.1990042
1985-03-11;-1.1067553
1985-03-12;-1.1786034
1985-03-13;-1.2713265
1985-03-14;-1.2466439
1985-03-15;-1.1511384
1985-03-16;-1.0318768
1985-03-17;-0.98013973
1985-03-18;-1.0079471
1985-03-19;-1.1193181
1985-03-20;-1.1818291
1985-03-21;-1.0126208
1985-03-22;-0.70069695
1985-03-23;-0.52024585
1985-03-24;-0.48820975
1985-03-25;-0.48774126
1985-03-26;-0.5098617
1985-03-27;-0.6777726
1985-03-28;-0.8502671
1985-03-29;-0.85645324
1985-03-30;-0.7106905
1985-03-31;-0.47297883
1985-04-01;-0.3828467
1985-04-02;-0.34559318
1985-04-03;-0.35278565
1985-04-04;-0.38521275
1985-04-05;-0.48441067
1985-04-06;-0.48276058
1985-04-07;-0.4698712
1985-04-08;-0.4519623
1985-04-09;-0.40963525
1985-04-10;-0.44847038
1985-04-11;-0.51482326
1985-04-12;-0.68719506
1985-04-13;-0.85316676
1985-04-14;-0.95583975
1985-04-15;-1.0537754
1985-04-16;-1.1757689
1985-04-17;-1.2984152
1985-04-18;-1.3061231
1985-04-19;-1.3207917
1985-04-20;-1.2479278
1985-04-21;-1.218471
1985-04-22;-1.1920637
1985-04-23;-1.1026406
1985-04-24;-1.0819128
1985-04-25;-1.1453898
1985-04-26;-1.0720556
1985-04-27;-1.0618613
1985-04-28;-1.1219766
1985-04-29;-1.2398522
1985-04-30;-1.3578309
1985-05-01;-1.3309414
1985-05-02;-1.3208476
1985-05-03;-1.4335845
1985-05-04;-1.44219
1985-05-05;-1.448026
1985-05-06;-1.4837047
1985-05-07;-1.5033566
1985-05-08;-1.5088726
1985-05-09;-1.3822879
1985-05-10;-1.3060355
1985-05-11;-1.2476975
1985-05-12;-1.2167913
1985-05-13;-1.1565717
1985-05-14;-1.1138904
1985-05-15;-1.1087182
1985-05-16;-1.010707
1985-05-17;-1.0211838
1985-05-18;-1.0604533
1985-05-19;-1.0191617
1985-05-20;-0.924698
1985-05-21;-0.85162437
1985-05-22;-0.8397168
1985-05-23;-0.8645942
1985-05-24;-0.8517239
1985-05-25;-0.8645033
1985-05-26;-0.9151907
1985-05-27;-0.97838885
1985-05-28;-1.0653422
1985-05-29;-1.1151377
1985-05-30;-1.0995967
1985-05-31;-1.04236
1985-06-01;-1.0313703
1985-06-02;-0.97289264
1985-06-03;-0.8373147
1985-06-04;-0.74723685
