Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14540000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
14540000;1;01/03/2025;;1;1;"143,5425";"15,4439";"42,8749";12;3;1;1;1;"0,0";0;"16,6017";"16,0175";"15,4439";"16,9971";"16,9971";"19,47";"16,211";"19,8988";"72,3605";"63,0848";"63,4746";"143,5425";"99,1404";"94,2981";"116,0016";"86,8083";"99,6315";"53,0249";"38,5402";"30,0131";"26,1574";"23,7375";"22,3431";"23,2679";"22,3431";"20,1151";"19,2573";"19,6838";"19,2573";"17,5993";"17,8023";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14540000;1;01/02/2025;;1;1;"123,5644";"17,3974";"37,8563";15;28;1;1;1;"0,0";0;"31,6314";"24,4508";"22,3431";"20,7709";"20,7709";"23,974";"20,7709";"45,4876";"27,6672";"51,6105";"37,3402";"35,8676";"40,6868";"65,839";"123,5644";"80,5147";"50,5625";"36,1597";"43,8569";"44,5055";"43,5344";"31,3587";"25,6638";"24,9324";"26,6559";"22,8031";"19,2573";"17,3974";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
14540000;1;01/01/2025;;1;1;"79,6354";"16,4058";"30,4136";3;22;1;1;1;"0,0";0;"40,9984";"60,0109";"79,6354";"50,2157";"60,0109";"41,9403";"32,1805";"28,9584";"25,6638";"23,7375";"22,1149";"21,4375";"20,9919";"22,3431";"21,2141";"19,6838";"22,3431";"19,8988";"18,2121";"17,5993";"16,9971";"16,4058";"16,7988";"18,0066";"35,8676";"40,3765";"33,5744";"26,9069";"24,4508";"26,9069";"37,3402";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14540000;1;01/12/2024;;1;1;"58,8784";"22,3431";"33,5622";20;9;1;1;1;"0,0";0;"26,4061";"26,1574";"25,4188";"29,2203";"33,0132";"27,1591";"25,4188";"23,0349";"22,3431";"22,5725";"39,4529";"50,2157";"34,1404";"28,6978";"30,0131";"31,0872";"26,1574";"23,5021";"58,1296";"58,8784";"48,8404";"38,2384";"31,9054";"48,8404";"58,8784";"34,7113";"29,2203";"24,9324";"23,974";"27,4125";"32,4569";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14540000;1;01/11/2024;;1;1;"107,1464";"25,6638";"43,9043";13;30;2;2;2;"0,0";0;"50,5625";"42,5743";"32,4569";"30,8168";"40,0674";"40,0674";"35,8676";"101,1121";"34,1404";"30,2798";"29,2203";"31,9054";"107,1464";"65,4418";"34,7113";"67,8431";"73,6184";"41,3111";"35,8676";"58,5034";"53,3816";"33,5744";"30,8168";"30,8168";"34,1404";"33,5744";"34,7113";"30,2798";"26,6559";"25,6638";;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
14540000;1;01/10/2024;;1;1;"168,2533";"31,6314";"63,527";3;30;2;2;2;"0,0";0;"72,3605";"142,3596";"168,2533";"165,6918";"99,6315";"80,9562";"77,027";"67,0378";"69,0603";"49,1824";"45,8173";"43,2131";"42,2567";"39,7596";"38,5402";"37,3402";"61,1544";"74,4632";"64,2578";"42,8931";"58,1296";"75,3129";"48,16";"39,7596";"54,0986";"42,5743";"38,2384";"34,4253";"32,4569";"31,6314";"33,2932";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
14540000;1;01/09/2024;;1;1;"147,1212";"43,2131";"68,4486";1;24;2;2;2;"0,0";0;"147,1212";"128,5554";"92,8696";"80,9562";"66,2373";"71,5281";"80,0744";"71,1137";"64,2578";"63,4746";"64,6512";"84,5328";"68,6534";"58,1296";"89,1148";"72,7786";"60,0109";"52,6695";"87,2671";"74,8874";"53,0249";"47,4846";"45,159";"43,2131";"43,2131";"44,5055";"53,3816";"50,2157";"44,5055";"49,87";;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
14540000;1;01/08/2024;;1;1;"296,6504";"56,2789";"102,8906";12;26;2;2;2;"0,0";0;"95,2567";"91,4523";"123,0161";"138,259";"97,6747";"90,0461";"86,8083";"100,1238";"101,6081";"145,3262";"101,6081";"296,6504";"182,031";"99,6315";"78,761";"68,6534";"65,839";"77,4587";"82,7346";"84,9854";"80,9562";"67,8431";"66,2373";"59,6322";"64,6512";"56,2789";"97,1886";"138,841";"103,1036";"91,9235";"155,0298";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;2;2;2
14540000;1;01/07/2024;;1;1;"437,3014";"115,4707";"185,2049";14;9;2;2;2;"0,0";0;"240,3847";"159,3761";"166,97";"135,3675";"131,939";"168,2533";"148,3241";"118,6745";"115,4707";"166,97";"116,5337";"120,8353";"130,8061";"437,3014";"372,2884";"316,7287";"282,2259";"180,0288";"189,4695";"186,747";"241,9305";"248,1645";"136,5203";"166,97";"137,6782";"130,8061";"154,4139";"159,3761";"169,5415";"182,701";"128,5554";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
14540000;1;01/06/2024;;1;1;"510,7102";"103,6046";"245,1294";18;5;2;2;2;"0,0";0;"273,0884";"130,2416";"143,5425";"162,5183";"103,6046";"176,0583";"148,9274";"167,611";"279,7186";"260,0721";"139,4243";"133,0768";"214,8808";"149,532";"231,2162";"180,695";"155,0298";"510,7102";"321,1625";"222,2301";"193,5912";"261,6813";"300,0979";"295,7917";"412,2172";"331,0417";"389,9675";"243,4814";"488,9062";"333,7659";;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
