Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14350000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
14350000;1;01/02/2025;;1;1;"1827,9019";"1145,6086";"1355,196";25;10;1;1;1;"0,0";0;"1174,9694";"1185,715";"1191,1016";"1185,715";"1172,2888";"1161,5891";"1153,5885";"1152,2571";"1153,5885";"1145,6086";"1166,9343";"1161,5891";"1153,5885";"1164,2605";"1187,0608";"1215,4541";"1275,757";"1348,426";"1418,275";"1466,058";"1512,9576";"1569,3673";"1669,1698";"1755,6478";"1827,9019";"1815,2576";"1796,3528";"1765,0103";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
14350000;1;01/01/2025;;1;1;"1471,8901";"1082,5214";"1332,8112";7;29;1;1;1;"0,0";0;"1244,0984";"1324,5028";"1382,4725";"1422,5944";"1455,8726";"1452,9674";"1471,8901";"1471,8901";"1457,326";"1431,2478";"1396,7523";"1371,0883";"1376,7759";"1391,0337";"1413,9606";"1428,3611";"1428,3611";"1422,5944";"1376,7759";"1354,0782";"1331,5225";"1317,4972";"1307,7126";"1275,757";"1229,063";"1185,715";"1127,07";"1087,7274";"1082,5214";"1136,3251";"1161,5891";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14350000;1;01/12/2024;;1;1;"1188,4071";"323,4064";"685,4438";31;7;1;1;1;"0,0";0;"435,5358";"421,7556";"405,4396";"381,4213";"346,8599";"327,5493";"323,4064";"336,7331";"388,4804";"435,5358";"496,1752";"612,4073";"628,2364";"630,3583";"634,6103";"656,0306";"684,2735";"707,4096";"737,5777";"813,2911";"850,9913";"879,6849";"908,7338";"923,3906";"940,6011";"962,9035";"987,9131";"1023,329";"1057,9211";"1121,794";"1188,4071";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14350000;1;01/11/2024;;1;1;"530,5767";"286,2296";"409,3771";26;1;1;1;1;"0,0";0;"286,2296";"294,1663";"313,5445";"331,712";"353,6735";"431,8449";"462,6457";"480,7383";"484,5804";"465,4851";"456,0458";"441,0943";"419,0195";"385,8275";"340,0962";"307,0336";"313,5445";"328,3803";"342,6267";"353,6735";"367,4492";"413,5674";"448,5467";"473,0887";"508,8519";"530,5767";"525,6094";"499,0899";"473,0887";"449,4816";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14350000;1;01/10/2024;;1;1;"699,6655";"270,6017";"430,6111";2;22;1;1;1;"0,0";0;"664,6731";"699,6655";"690,8544";"666,8404";"624,0005";"549,6119";"500,0629";"492,2988";"527,5942";"555,6751";"545,5836";"523,6273";"494,2356";"466,433";"432,7665";"390,2528";"344,3177";"321,7548";"305,4139";"290,9819";"275,2555";"270,6017";"281,5067";"290,9819";"298,1652";"302,9904";"307,0336";"316,8191";"320,9302";"307,0336";"290,9819";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14350000;1;01/09/2024;;1;1;"511,7943";"301,3788";"395,1034";30;28;1;1;1;"0,0";0;"437,3857";"450,4171";"457,9279";"459,8129";"478,8216";"459,8129";"458,87";"472,1357";"476,9077";"458,87";"456,9865";"456,0458";"437,3857";"418,109";"400,9503";"366,5824";"348,5587";"340,9389";"335,8943";"328,3803";"317,6397";"310,2826";"307,8447";"306,2234";"309,4692";"309,4692";"303,7975";"301,3788";"374,4108";"511,7943";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14350000;1;01/08/2024;;1;1;"946,7765";"410,8514";"673,896";1;26;1;1;1;"0,0";0;"946,7765";"943,0694";"934,4408";"918,4952";"897,799";"888,1209";"884,5017";"872,478";"850,9913";"827,3536";"802,8037";"778,5322";"735,3269";"706,3013";"693,0532";"680,992";"649,5765";"627,1764";"634,6103";"627,1764";"555,6751";"515,7274";"488,4339";"446,6792";"417,1992";"410,8514";"417,1992";"425,4141";"433,6889";"439,2386";"441,0943";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14350000;1;01/07/2024;;1;1;"1402,4796";"948,0134";"1158,592";14;31;1;1;1;"0,0";0;"1278,5239";"1264,7114";"1231,7916";"1215,4541";"1188,4071";"1166,9343";"1144,2806";"1128,3904";"1117,8431";"1106,022";"1095,554";"1168,2721";"1385,324";"1402,4796";"1355,4927";"1311,9027";"1244,0984";"1207,316";"1185,715";"1168,2721";"1153,5885";"1135,0012";"1116,5273";"1104,7115";"1087,7274";"1061,7913";"1030,9789";"986,657";"967,8862";"956,6887";"948,0134";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14350000;1;01/06/2024;;1;1;"1850,1086";"1299,3479";"1634,253";9;30;1;1;1;"0,0";0;"1563,393";"1548,4948";"1539,5815";"1596,357";"1628,0627";"1672,2301";"1733,8749";"1779,0887";"1850,1086";"1837,4069";"1823,1564";"1818,4156";"1827,9019";"1794,7808";"1758,7665";"1730,7728";"1709,1166";"1693,7104";"1675,2924";"1653,9001";"1634,1284";"1605,392";"1585,8405";"1563,393";"1515,9073";"1442,8163";"1416,8363";"1385,324";"1344,1926";"1299,3479";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14350000;1;01/05/2024;;1;1;"1629,5784";"820,3111";"1113,013";29;2;1;1;1;"0,0";0;"823,8295";"820,3111";"823,8295";"830,8833";"840,3235";"847,4298";"858,1312";"872,478";"886,9139";"901,4384";"912,3897";"930,7519";"955,4476";"980,385";"997,9842";"991,6853";"986,657";"987,9131";"1004,2981";"1046,3425";"1120,4764";"1235,8888";"1371,0883";"1452,9674";"1498,2421";"1605,392";"1498,2421";"1605,392";"1629,5784";"1600,8721";"1585,8405";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
