Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:14300000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
14300000;1;01/02/2025;;1;1;"206,535";"62,5246";"136,3499";16;1;1;1;1;"0,0";0;"62,5246";"68,6503";"72,8838";"69,1769";"85,303";"105,4151";"109,7956";"153,018";"162,8247";"159,3388";"146,14";"129,0094";"119,8171";"156,8865";"196,2817";"206,535";"205,8914";"205,8914";"154,2377";"131,376";"113,2464";"114,9791";"144,5302";"146,9462";"149,3695";"152,6118";"150,989";"144,1282";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
14300000;1;01/01/2025;;1;1;"138,9216";"30,8364";"66,7629";6;22;1;1;1;"0,0";0;"91,1803";"99,7511";"107,506";"102,3872";"131,5736";"138,9216";"131,9689";"118,6527";"102,5759";"85,6683";"71,998";"65,6801";"56,8704";"51,0022";"48,7158";"45,0947";"42,5586";"40,3415";"38,1446";"36,6915";"34,1001";"30,8364";"32,9588";"39,7537";"44,9449";"43,8982";"41,5215";"41,5215";"44,1968";"51,9216";"56,7146";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14300000;1;01/12/2024;;1;1;"184,2323";"50,2381";"97,9843";19;4;1;1;1;"0,0";0;"56,2477";"51,6148";"51,3084";"50,2381";"51,4616";"50,6963";"52,6899";"54,5413";"52,9977";"54,0774";"55,471";"54,3866";"63,0795";"69,0013";"60,63";"87,132";"152,0029";"177,5299";"184,2323";"177,9474";"176,4868";"168,5961";"153,2211";"155,2555";"155,8667";"136,1327";"112,6699";"97,876";"93,9596";"92,846";"87,3152";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14300000;1;01/11/2024;;1;1;"152,2058";"61,5761";"93,8156";17;30;1;1;1;"0,0";0;"120,5946";"88,6002";"79,8596";"106,935";"96,9408";"84,2091";"74,1272";"70,9377";"70,9377";"68,1244";"90,6263";"115,9438";"105,9846";"123,7135";"148,3589";"142,5225";"152,2058";"105,9846";"90,6263";"81,1238";"78,7788";"83,4813";"102,7648";"93,9596";"76,9836";"69,7043";"76,6255";"81,1238";"71,1142";"61,5761";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14300000;1;01/10/2024;;1;1;"147,3496";"33,1011";"56,7147";31;12;1;1;1;"0,0";0;"78,9588";"73,2387";"43,302";"41,0783";"41,8174";"40,9308";"36,6915";"35,1041";"36,2574";"34,6733";"37,2716";"33,1011";"59,5293";"70,0563";"63,7711";"56,5589";"57,6503";"53,1517";"45,9956";"40,7833";"38,7284";"36,5467";"36,1129";"37,8532";"42,8557";"44,4958";"49,1717";"76,6255";"132,5623";"135,9339";"147,3496";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14300000;1;01/09/2024;;1;1;"96,1939";"35,1041";"52,9296";30;22;1;1;1;"0,0";0;"52,6899";"50,0855";"48,8677";"47,6549";"61,892";"69,8803";"65,1584";"61,892";"59,6863";"54,6961";"51,4616";"50,0855";"49,476";"47,0504";"43,8982";"40,1944";"40,636";"51,0022";"52,9977";"47,2014";"40,4887";"35,1041";"36,6915";"37,1264";"35,2479";"35,8242";"56,0922";"74,8395";"93,7738";"96,1939";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14300000;1;01/08/2024;;1;1;"112,862";"52,0751";"78,6297";1;31;1;1;1;"0,0";0;"112,862";"111,1353";"105,6048";"104,8461";"103,1426";"102,9537";"91,9199";"80,7622";"73,9493";"69,3526";"74,8395";"81,4857";"78,4192";"76,4465";"81,4857";"83,4813";"80,2204";"78,0598";"72,7065";"70,2324";"72,8838";"63,4251";"63,9442";"67,4244";"68,1244";"71,6442";"71,1142";"63,4251";"56,4032";"53,1517";"52,0751";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14300000;1;01/07/2024;;1;1;"175,0283";"92,846";"130,2653";14;24;1;1;1;"0,0";0;"116,5233";"114,0159";"114,401";"114,9791";"118,6527";"128,6157";"137,9244";"145,3347";"171,2881";"168,3894";"171,2881";"169,8376";"172,7408";"175,0283";"164,4699";"146,9462";"126,0622";"109,2224";"100,3149";"93,217";"93,5881";"101,8212";"93,5881";"92,846";"152,4088";"147,1479";"142,723";"124,6911";"110,9437";"107,887";"111,3269";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14300000;1;01/06/2024;;1;1;"259,1573";"123,7135";"193,561";12;4;1;1;1;"0,0";0;"186,9681";"154,0343";"129,2063";"123,7135";"123,9089";"156,4784";"176,0698";"215,3676";"251,572";"254,4674";"255,8058";"259,1573";"254,2445";"252,6849";"239,8312";"228,8505";"220,7862";"218,1822";"211,4815";"197,9839";"203,7486";"203,9627";"202,0374";"194,5822";"178,7831";"158,725";"141,1201";"143,5257";"141,7208";"127,829";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
14300000;1;01/05/2024;;1;1;"292,8635";"120,7891";"180,3387";28;4;1;1;1;"0,0";0;"147,955";"131,7712";"122,9324";"120,7891";"126,6506";"161,1826";"190,1339";"207,6085";"215,1513";"217,7487";"211,6971";"201,1828";"190,9797";"176,9039";"164,4699";"155,6629";"155,0518";"161,3877";"161,5928";"158,1117";"148,5609";"147,7532";"150,1789";"150,3813";"150,7864";"168,5961";"274,1824";"292,8635";"271,2882";"240,7137";"216,2329";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
