TABATINGA	-69.933	-4.250
     1     1  1983     1127.000000
     2     1  1983     1130.000000
     3     1  1983     1135.000000
     4     1  1983     1139.000000
     5     1  1983     1144.000000
     6     1  1983     1151.000000
     7     1  1983     1155.000000
     8     1  1983     1159.000000
     9     1  1983     1162.000000
    10     1  1983     1164.000000
    11     1  1983     1167.000000
    12     1  1983     1171.000000
    13     1  1983     1173.000000
    14     1  1983     1175.000000
    15     1  1983     1178.000000
    16     1  1983     1179.000000
    17     1  1983     1181.000000
    18     1  1983     1183.000000
    19     1  1983     1186.000000
    20     1  1983     1186.000000
    21     1  1983     1188.000000
    22     1  1983     1188.000000
    23     1  1983     1189.000000
    24     1  1983     1189.000000
    25     1  1983     1187.000000
    26     1  1983     1187.000000
    27     1  1983     1185.000000
    28     1  1983     1183.000000
    29     1  1983     1181.000000
    30     1  1983     1177.000000
    31     1  1983     1173.000000
     1     2  1983     1169.000000
     2     2  1983     1165.000000
     3     2  1983     1161.000000
     4     2  1983     1158.000000
     5     2  1983     1156.000000
     6     2  1983     1155.000000
     7     2  1983     1151.000000
     8     2  1983     1147.000000
     9     2  1983     1142.000000
    10     2  1983     1137.000000
    11     2  1983     1132.000000
    12     2  1983     1127.000000
    13     2  1983     1119.000000
    14     2  1983     1112.000000
    15     2  1983     1105.000000
    16     2  1983     1101.000000
    17     2  1983     1097.000000
    18     2  1983     1093.000000
    19     2  1983     1089.000000
    20     2  1983     1085.000000
    21     2  1983     1080.000000
    22     2  1983     1079.000000
    23     2  1983     1073.000000
    24     2  1983     1069.000000
    25     2  1983     1063.000000
    26     2  1983     1056.000000
    27     2  1983     1048.000000
    28     2  1983     1042.000000
     1     3  1983     1037.000000
     2     3  1983     1032.000000
     3     3  1983     1027.000000
     4     3  1983     1025.000000
     5     3  1983     1024.000000
     6     3  1983     1024.000000
     7     3  1983     1024.000000
     8     3  1983     1026.000000
     9     3  1983     1027.000000
    10     3  1983     1028.000000
    11     3  1983     1030.000000
    12     3  1983     1034.000000
    13     3  1983     1034.000000
    14     3  1983     1034.000000
    15     3  1983     1034.000000
    16     3  1983     1035.000000
    17     3  1983     1036.000000
    18     3  1983     1037.000000
    19     3  1983     1039.000000
    20     3  1983     1040.000000
    21     3  1983     1042.000000
    22     3  1983     1044.000000
    23     3  1983     1046.000000
    24     3  1983     1049.000000
    25     3  1983     1053.000000
    26     3  1983     1057.000000
    27     3  1983     1060.000000
    28     3  1983     1062.000000
    29     3  1983     1064.000000
    30     3  1983     1064.000000
    31     3  1983     1066.000000
     1     4  1983     1069.000000
     2     4  1983     1073.000000
     3     4  1983     1076.000000
     4     4  1983     1077.000000
     5     4  1983     1078.000000
     6     4  1983     1081.000000
     7     4  1983     1081.000000
     8     4  1983     1082.000000
     9     4  1983     1082.000000
    10     4  1983     1085.000000
    11     4  1983     1086.000000
    12     4  1983     1086.000000
    13     4  1983     1086.000000
    14     4  1983     1086.000000
    15     4  1983     1088.000000
    16     4  1983     1090.000000
    17     4  1983     1093.000000
    18     4  1983     1100.000000
    19     4  1983     1105.000000
    20     4  1983     1111.000000
    21     4  1983     1117.000000
    22     4  1983     1121.000000
    23     4  1983     1128.000000
    24     4  1983     1133.000000
    25     4  1983     1137.000000
    26     4  1983     1141.000000
    27     4  1983     1145.000000
    28     4  1983     1149.000000
    29     4  1983     1153.000000
    30     4  1983     1155.000000
     1     5  1983     1158.000000
     2     5  1983     1160.000000
     3     5  1983     1160.000000
     4     5  1983     1162.000000
     5     5  1983     1162.000000
     6     5  1983     1164.000000
     7     5  1983     1166.000000
     8     5  1983     1166.000000
     9     5  1983     1166.000000
    10     5  1983     1167.000000
    11     5  1983     1167.000000
    12     5  1983     1167.000000
    13     5  1983     1166.000000
    14     5  1983     1166.000000
    15     5  1983     1166.000000
    16     5  1983     1167.000000
    17     5  1983     1167.000000
    18     5  1983     1166.000000
    19     5  1983     1166.000000
    20     5  1983     1165.000000
    21     5  1983     1164.000000
    22     5  1983     1162.000000
    23     5  1983     1160.000000
    24     5  1983     1160.000000
    25     5  1983     1159.000000
    26     5  1983     1157.000000
    27     5  1983     1153.000000
    28     5  1983     1147.000000
    29     5  1983     1143.000000
    30     5  1983     1138.000000
    31     5  1983     1133.000000
     1     6  1983     1128.000000
     2     6  1983     1123.000000
     3     6  1983     1115.000000
     4     6  1983     1105.000000
     5     6  1983     1096.000000
     6     6  1983     1088.000000
     7     6  1983     1080.000000
     8     6  1983     1072.000000
     9     6  1983     1062.000000
    10     6  1983     1051.000000
    11     6  1983     1042.000000
    12     6  1983     1031.000000
    13     6  1983     1017.000000
    14     6  1983     1000.000000
    15     6  1983      982.000000
    16     6  1983      965.000000
    17     6  1983      948.000000
    18     6  1983      929.000000
    19     6  1983      903.000000
    20     6  1983      875.000000
    21     6  1983      847.000000
    22     6  1983      828.000000
    23     6  1983      812.000000
    24     6  1983      796.000000
    25     6  1983      781.000000
    26     6  1983      769.000000
    27     6  1983      756.000000
    28     6  1983      740.000000
    29     6  1983      724.000000
    30     6  1983      706.000000
     1     7  1983      685.000000
     2     7  1983      665.000000
     3     7  1983      645.000000
     4     7  1983      625.000000
     5     7  1983      604.000000
     6     7  1983      580.000000
     7     7  1983      556.000000
     8     7  1983      533.000000
     9     7  1983      510.000000
    10     7  1983      482.000000
    11     7  1983      458.000000
    12     7  1983      434.000000
    13     7  1983      410.000000
    14     7  1983      385.000000
    15     7  1983      363.000000
    16     7  1983      336.000000
    17     7  1983      318.000000
    18     7  1983      302.000000
    19     7  1983      291.000000
    20     7  1983      279.000000
    21     7  1983      270.000000
    22     7  1983      263.000000
    23     7  1983      256.000000
    24     7  1983      256.000000
    25     7  1983      265.000000
    26     7  1983      287.000000
    27     7  1983      315.000000
    28     7  1983      349.000000
    29     7  1983      375.000000
    30     7  1983      392.000000
    31     7  1983      403.000000
     1     8  1983      404.000000
     2     8  1983      398.000000
     3     8  1983      386.000000
     4     8  1983      369.000000
     5     8  1983      348.000000
     6     8  1983      325.000000
     7     8  1983      306.000000
     8     8  1983      296.000000
     9     8  1983      300.000000
    10     8  1983      309.000000
    11     8  1983      312.000000
    12     8  1983      303.000000
    13     8  1983      290.000000
    14     8  1983      273.000000
    15     8  1983      256.000000
    16     8  1983      243.000000
    17     8  1983      231.000000
    18     8  1983      216.000000
    19     8  1983      196.000000
    20     8  1983      178.000000
    21     8  1983      159.000000
    22     8  1983      146.000000
    23     8  1983      137.000000
    24     8  1983      136.000000
    25     8  1983      137.000000
    26     8  1983      159.000000
    27     8  1983      184.000000
    28     8  1983      210.000000
    29     8  1983      235.000000
    30     8  1983      249.000000
    31     8  1983      259.000000
     1     9  1983      266.000000
     2     9  1983      270.000000
