PALMEIRASDOJAVARI	-72.800	-5.133
     1     1  1983     1420.000000
     2     1  1983     1426.000000
     3     1  1983     1430.000000
     4     1  1983     1430.000000
     5     1  1983     1436.000000
     6     1  1983     1441.000000
     7     1  1983     1444.000000
     8     1  1983     1443.000000
     9     1  1983     1444.000000
    10     1  1983     1438.000000
    11     1  1983     1424.000000
    12     1  1983     1423.000000
    13     1  1983     1423.000000
    14     1  1983     1423.000000
    15     1  1983     1417.000000
    16     1  1983     1407.000000
    17     1  1983     1400.000000
    18     1  1983     1401.000000
    19     1  1983     1401.000000
    20     1  1983     1402.000000
    21     1  1983     1401.000000
    22     1  1983     1399.000000
    23     1  1983     1396.000000
    24     1  1983     1388.000000
    25     1  1983     1380.000000
    26     1  1983     1374.000000
    27     1  1983     1370.000000
    28     1  1983     1369.000000
    29     1  1983     1368.000000
    30     1  1983     1365.000000
    31     1  1983     1361.000000
     1     2  1983     1345.000000
     2     2  1983     1350.000000
     3     2  1983     1356.000000
     4     2  1983     1362.000000
     5     2  1983     1372.000000
     6     2  1983     1379.000000
     7     2  1983     1390.000000
     8     2  1983     1407.000000
     9     2  1983     1416.000000
    10     2  1983     1420.000000
    11     2  1983     1419.000000
    12     2  1983     1412.000000
    13     2  1983     1397.000000
    14     2  1983     1367.000000
    15     2  1983     1322.000000
    16     2  1983     1267.000000
    17     2  1983     1201.000000
    18     2  1983     1124.000000
    19     2  1983     1062.000000
    20     2  1983      990.000000
    21     2  1983      944.000000
    22     2  1983      959.000000
    23     2  1983     1138.000000
    24     2  1983     1260.000000
    25     2  1983     1321.000000
    26     2  1983     1357.000000
    27     2  1983     1386.000000
    28     2  1983     1397.000000
     1     3  1983     1399.000000
     2     3  1983     1399.000000
     3     3  1983     1397.000000
     4     3  1983     1394.000000
     5     3  1983     1389.000000
     6     3  1983     1389.000000
     7     3  1983     1381.000000
     8     3  1983     1364.000000
     9     3  1983     1334.000000
    10     3  1983     1302.000000
    11     3  1983     1273.000000
    12     3  1983     1258.000000
    13     3  1983     1249.000000
    14     3  1983     1249.000000
    15     3  1983     1266.000000
    16     3  1983     1297.000000
    17     3  1983     1306.000000
    18     3  1983     1314.000000
    19     3  1983     1343.000000
    20     3  1983     1379.000000
    21     3  1983     1406.000000
    22     3  1983     1419.000000
    23     3  1983     1423.000000
    24     3  1983     1423.000000
    25     3  1983     1421.000000
    26     3  1983     1417.000000
    27     3  1983     1408.000000
    28     3  1983     1385.000000
    29     3  1983     1328.000000
    30     3  1983     1248.000000
    31     3  1983     1160.000000
     1     4  1983     1109.000000
     2     4  1983     1065.000000
     3     4  1983     1042.000000
     4     4  1983     1066.000000
     5     4  1983     1085.000000
