ESTIRÃODOREPOUSO	-70.933	-4.367
     1     1  1983     1464.000000
     2     1  1983     1471.000000
     3     1  1983     1478.000000
     4     1  1983     1488.000000
     5     1  1983     1498.000000
     6     1  1983     1506.000000
     7     1  1983     1517.000000
     8     1  1983     1527.000000
     9     1  1983     1538.000000
    10     1  1983     1546.000000
    11     1  1983     1550.000000
    12     1  1983     1553.000000
    13     1  1983     1556.000000
    14     1  1983     1559.000000
    15     1  1983     1563.000000
    16     1  1983     1567.000000
    17     1  1983     1569.000000
    18     1  1983     1567.000000
    19     1  1983     1565.000000
    20     1  1983     1562.000000
    21     1  1983     1553.000000
    22     1  1983     1541.000000
    23     1  1983     1529.000000
    24     1  1983     1516.000000
    25     1  1983     1503.000000
    26     1  1983     1489.000000
    27     1  1983     1475.000000
    28     1  1983     1463.000000
    29     1  1983     1454.000000
    30     1  1983     1446.000000
    31     1  1983     1439.000000
     1     2  1983     1436.000000
     2     2  1983     1433.000000
     3     2  1983     1430.000000
     4     2  1983     1428.000000
     5     2  1983     1426.000000
     6     2  1983     1427.000000
     7     2  1983     1429.000000
     8     2  1983     1433.000000
     9     2  1983     1435.000000
    10     2  1983     1431.000000
    11     2  1983     1426.000000
    12     2  1983     1411.000000
    13     2  1983     1398.000000
    14     2  1983     1383.000000
    15     2  1983     1373.000000
    16     2  1983     1353.000000
    17     2  1983     1341.000000
    18     2  1983     1341.000000
    19     2  1983     1348.000000
    20     2  1983     1347.000000
    21     2  1983     1346.000000
    22     2  1983     1346.000000
    23     2  1983     1344.000000
    24     2  1983     1340.000000
    25     2  1983     1335.000000
    26     2  1983     1327.000000
    27     2  1983     1319.000000
    28     2  1983     1313.000000
     1     3  1983     1307.000000
     2     3  1983     1304.000000
     3     3  1983     1306.000000
     4     3  1983     1311.000000
     5     3  1983     1325.000000
     6     3  1983     1340.000000
     7     3  1983     1353.000000
     8     3  1983     1363.000000
     9     3  1983     1368.000000
    10     3  1983     1373.000000
    11     3  1983     1391.000000
    12     3  1983     1406.000000
    13     3  1983     1418.000000
    14     3  1983     1424.000000
    15     3  1983     1428.000000
    16     3  1983     1427.000000
    17     3  1983     1423.000000
    18     3  1983     1417.000000
    19     3  1983     1409.000000
    20     3  1983     1415.000000
    21     3  1983     1416.000000
    22     3  1983     1416.000000
    23     3  1983     1413.000000
    24     3  1983     1411.000000
    25     3  1983     1409.000000
    26     3  1983     1407.000000
    27     3  1983     1405.000000
    28     3  1983     1403.000000
    29     3  1983     1404.000000
    30     3  1983     1406.000000
    31     3  1983     1408.000000
     1     4  1983     1406.000000
     2     4  1983     1404.000000
     3     4  1983     1405.000000
     4     4  1983     1409.000000
     5     4  1983     1414.000000
     6     4  1983     1426.000000
     7     4  1983     1431.000000
     8     4  1983     1434.000000
     9     4  1983     1437.000000
    10     4  1983     1439.000000
    11     4  1983     1441.000000
    12     4  1983     1444.000000
    13     4  1983     1439.000000
    14     4  1983     1436.000000
    15     4  1983     1434.000000
    16     4  1983     1433.000000
    17     4  1983     1435.000000
    18     4  1983     1437.000000
    19     4  1983     1439.000000
    20     4  1983     1441.000000
    21     4  1983     1444.000000
    22     4  1983     1447.000000
    23     4  1983     1456.000000
    24     4  1983     1463.000000
    25     4  1983     1467.000000
    26     4  1983     1476.000000
    27     4  1983     1485.000000
    28     4  1983     1490.000000
    29     4  1983     1493.000000
    30     4  1983     1486.000000
     1     5  1983     1474.000000
     2     5  1983     1465.000000
     3     5  1983     1453.000000
     4     5  1983     1445.000000
     5     5  1983     1435.000000
     6     5  1983     1428.000000
     7     5  1983     1422.000000
     8     5  1983     1416.000000
     9     5  1983     1414.000000
    10     5  1983     1412.000000
    11     5  1983     1414.000000
    12     5  1983     1420.000000
    13     5  1983     1427.000000
    14     5  1983     1430.000000
    15     5  1983     1433.000000
    16     5  1983     1430.000000
    17     5  1983     1423.000000
    18     5  1983     1413.000000
    19     5  1983     1405.000000
    20     5  1983     1393.000000
    21     5  1983     1378.000000
    22     5  1983     1364.000000
    23     5  1983     1347.000000
    24     5  1983     1328.000000
    25     5  1983     1307.000000
    26     5  1983     1275.000000
    27     5  1983     1257.000000
    28     5  1983     1251.000000
    29     5  1983     1248.000000
    30     5  1983     1240.000000
    31     5  1983     1238.000000
     1     6  1983     1225.000000
     2     6  1983     1207.000000
     3     6  1983     1190.000000
     4     6  1983     1154.000000
     5     6  1983     1117.000000
     6     6  1983     1085.000000
     7     6  1983     1046.000000
     8     6  1983     1026.000000
     9     6  1983      989.000000
    10     6  1983      963.000000
    11     6  1983      937.000000
    12     6  1983      918.000000
    13     6  1983      888.000000
    14     6  1983      853.000000
    15     6  1983      825.000000
    16     6  1983      795.000000
    17     6  1983      759.000000
    18     6  1983      738.000000
    19     6  1983      718.000000
    20     6  1983      698.000000
    21     6  1983      682.000000
    22     6  1983      640.000000
    23     6  1983      627.000000
    24     6  1983      620.000000
    25     6  1983      614.000000
    26     6  1983      610.000000
    27     6  1983      602.000000
    28     6  1983      591.000000
    29     6  1983      575.000000
    30     6  1983      563.000000
     1     7  1983      550.000000
     2     7  1983      530.000000
     3     7  1983      518.000000
     4     7  1983      515.000000
     5     7  1983      497.000000
     6     7  1983      469.000000
     7     7  1983      451.000000
     8     7  1983      448.000000
     9     7  1983      439.000000
    10     7  1983      429.000000
    11     7  1983      420.000000
    12     7  1983      398.000000
    13     7  1983      375.000000
    14     7  1983      358.000000
    15     7  1983      340.000000
    16     7  1983      328.000000
    17     7  1983      322.000000
    18     7  1983      317.000000
    19     7  1983      315.000000
    20     7  1983      314.000000
    21     7  1983      315.000000
    22     7  1983      317.000000
    23     7  1983      319.000000
    24     7  1983      321.000000
    25     7  1983      324.000000
    26     7  1983      328.000000
    27     7  1983      329.000000
    28     7  1983      324.000000
    29     7  1983      317.000000
    30     7  1983      311.000000
    31     7  1983      307.000000
     1     8  1983      303.000000
     2     8  1983      297.000000
     3     8  1983      293.000000
     4     8  1983      289.000000
     5     8  1983      286.000000
     6     8  1983      282.000000
     7     8  1983      280.000000
     8     8  1983      277.000000
     9     8  1983      274.000000
    10     8  1983      270.000000
    11     8  1983      268.000000
    12     8  1983      266.000000
    13     8  1983      264.000000
    14     8  1983      261.000000
    15     8  1983      259.000000
    16     8  1983      257.000000
    17     8  1983      256.000000
    18     8  1983      259.000000
    19     8  1983      260.000000
    20     8  1983      260.000000
    21     8  1983      262.000000
    22     8  1983      260.000000
    23     8  1983      258.000000
    24     8  1983      256.000000
    25     8  1983      254.000000
    26     8  1983      251.000000
    27     8  1983      256.000000
    28     8  1983      262.000000
    29     8  1983      275.000000
    30     8  1983      288.000000
    31     8  1983      297.000000
     1     9  1983      308.000000
     2     9  1983      317.000000
     3     9  1983      318.000000
     4     9  1983      310.000000
     5     9  1983      313.000000
     6     9  1983      325.000000
     7     9  1983      340.000000
     8     9  1983      345.000000
     9     9  1983      346.000000
    10     9  1983      344.000000
    11     9  1983      340.000000
    12     9  1983      337.000000
    13     9  1983      340.000000
    14     9  1983      348.000000
    15     9  1983      357.000000
    16     9  1983      364.000000
    17     9  1983      371.000000
    18     9  1983      373.000000
    19     9  1983      357.000000
    20     9  1983      323.000000
    21     9  1983      299.000000
    22     9  1983      289.000000
    23     9  1983      285.000000
    24     9  1983      280.000000
    25     9  1983      277.000000
    26     9  1983      275.000000
    27     9  1983      271.000000
    28     9  1983      272.000000
    29     9  1983      276.000000
    30     9  1983      282.000000
     1    10  1983      293.000000
     2    10  1983      316.000000
     3    10  1983      355.000000
     4    10  1983      395.000000
     5    10  1983      429.000000
     6    10  1983      480.000000
     7    10  1983      507.000000
     8    10  1983      531.000000
     9    10  1983      554.000000
    10    10  1983      598.000000
    11    10  1983      625.000000
    12    10  1983      642.000000
    13    10  1983      651.000000
    14    10  1983      659.000000
    15    10  1983      659.000000
    16    10  1983      647.000000
    17    10  1983      627.000000
    18    10  1983      595.000000
    19    10  1983      569.000000
    20    10  1983      552.000000
    21    10  1983      554.000000
    22    10  1983      567.000000
    23    10  1983      574.000000
    24    10  1983      567.000000
    25    10  1983      547.000000
    26    10  1983      533.000000
    27    10  1983      538.000000
    28    10  1983      554.000000
    29    10  1983      578.000000
    30    10  1983      609.000000
    31    10  1983      653.000000
     1    11  1983      688.000000
     2    11  1983      718.000000
     3    11  1983      748.000000
     4    11  1983      786.000000
     5    11  1983      825.000000
     6    11  1983      862.000000
     7    11  1983      879.000000
     8    11  1983      893.000000
     9    11  1983      906.000000
    10    11  1983      928.000000
    11    11  1983      958.000000
    12    11  1983      980.000000
    13    11  1983      998.000000
    14    11  1983     1012.000000
    15    11  1983     1022.000000
    16    11  1983     1040.000000
    17    11  1983     1059.000000
    18    11  1983     1078.000000
    19    11  1983     1076.000000
    20    11  1983     1068.000000
    21    11  1983     1059.000000
    22    11  1983     1051.000000
    23    11  1983     1043.000000
    24    11  1983     1049.000000
    25    11  1983     1064.000000
    26    11  1983     1081.000000
    27    11  1983     1091.000000
    28    11  1983     1101.000000
    29    11  1983     1111.000000
    30    11  1983     1117.000000
     1    12  1983     1124.000000
     2    12  1983     1133.000000
     3    12  1983     1139.000000
     4    12  1983     1144.000000
     5    12  1983     1149.000000
     6    12  1983     1157.000000
     7    12  1983     1167.000000
     8    12  1983     1176.000000
     9    12  1983     1187.000000
    10    12  1983     1195.000000
    11    12  1983     1203.000000
    12    12  1983     1211.000000
    13    12  1983     1222.000000
    14    12  1983     1233.000000
    15    12  1983     1240.000000
    16    12  1983     1249.000000
    17    12  1983     1256.000000
    18    12  1983     1264.000000
    19    12  1983     1271.000000
    20    12  1983     1278.000000
