COLOCAÇÃOCAXIASNOVO	-69.000	-5.400
     1     1  1983     1186.000000
     2     1  1983     1180.000000
     3     1  1983     1173.000000
     4     1  1983     1168.000000
     5     1  1983     1166.000000
     6     1  1983     1166.000000
     7     1  1983     1165.000000
     8     1  1983     1164.000000
     9     1  1983     1162.000000
    10     1  1983     1157.000000
    11     1  1983     1150.000000
    12     1  1983     1137.000000
    13     1  1983     1121.000000
    14     1  1983     1106.000000
    15     1  1983     1093.000000
    16     1  1983     1079.000000
    17     1  1983     1075.000000
    18     1  1983     1072.000000
    19     1  1983     1080.000000
    20     1  1983     1087.000000
    21     1  1983     1094.000000
    22     1  1983     1101.000000
    23     1  1983     1106.000000
    24     1  1983     1106.000000
    25     1  1983     1106.000000
    26     1  1983     1106.000000
    27     1  1983     1104.000000
    28     1  1983     1101.000000
    29     1  1983     1099.000000
    30     1  1983     1094.000000
    31     1  1983     1087.000000
     1     2  1983     1072.000000
     2     2  1983     1030.000000
     3     2  1983      962.000000
     4     2  1983      897.000000
     5     2  1983      859.000000
     6     2  1983      866.000000
     7     2  1983      917.000000
     8     2  1983     1014.000000
     9     2  1983     1050.000000
    10     2  1983     1058.000000
    11     2  1983     1057.000000
    12     2  1983     1048.000000
    13     2  1983     1030.000000
    14     2  1983     1013.000000
    15     2  1983      969.000000
    16     2  1983      918.000000
    17     2  1983      877.000000
    18     2  1983      873.000000
    19     2  1983      948.000000
    20     2  1983      974.000000
    21     2  1983     1002.000000
    22     2  1983     1030.000000
    23     2  1983     1060.000000
    24     2  1983     1086.000000
    25     2  1983     1103.000000
    26     2  1983     1110.000000
    27     2  1983     1117.000000
    28     2  1983     1121.000000
     1     3  1983     1123.000000
     2     3  1983     1123.000000
     3     3  1983     1124.000000
     4     3  1983     1132.000000
     5     3  1983     1139.000000
     6     3  1983     1142.000000
     7     3  1983     1146.000000
     8     3  1983     1144.000000
     9     3  1983     1146.000000
    10     3  1983     1157.000000
    11     3  1983     1167.000000
    12     3  1983     1181.000000
    13     3  1983     1196.000000
    14     3  1983     1204.000000
    15     3  1983     1219.000000
    16     3  1983     1237.000000
    17     3  1983     1250.000000
    18     3  1983     1257.000000
    19     3  1983     1260.000000
    20     3  1983     1257.000000
    21     3  1983     1248.000000
    22     3  1983     1235.000000
    23     3  1983     1219.000000
    24     3  1983     1194.000000
    25     3  1983     1164.000000
    26     3  1983     1134.000000
    27     3  1983     1102.000000
    28     3  1983     1077.000000
    29     3  1983     1057.000000
    30     3  1983     1041.000000
    31     3  1983     1021.000000
     1     4  1983      988.000000
     2     4  1983      963.000000
     3     4  1983      945.000000
     4     4  1983      891.000000
     5     4  1983      846.000000
     6     4  1983      843.000000
     7     4  1983      886.000000
     8     4  1983      949.000000
     9     4  1983      979.000000
    10     4  1983     1033.000000
    11     4  1983     1055.000000
    12     4  1983     1064.000000
    13     4  1983     1064.000000
    14     4  1983     1054.000000
    15     4  1983     1040.000000
    16     4  1983      999.000000
    17     4  1983      955.000000
    18     4  1983      940.000000
    19     4  1983      935.000000
    20     4  1983      924.000000
    21     4  1983      933.000000
    22     4  1983      966.000000
    23     4  1983     1044.000000
    24     4  1983     1084.000000
    25     4  1983     1105.000000
    26     4  1983     1116.000000
    27     4  1983     1127.000000
    28     4  1983     1136.000000
    29     4  1983     1143.000000
    30     4  1983     1148.000000
     1     5  1983     1158.000000
     2     5  1983     1168.000000
     3     5  1983     1171.000000
     4     5  1983     1170.000000
     5     5  1983     1165.000000
     6     5  1983     1157.000000
     7     5  1983     1153.000000
     8     5  1983     1145.000000
     9     5  1983     1138.000000
    10     5  1983     1125.000000
    11     5  1983     1104.000000
    12     5  1983     1066.000000
    13     5  1983     1020.000000
    14     5  1983      979.000000
    15     5  1983      964.000000
    16     5  1983      968.000000
    17     5  1983      962.000000
    18     5  1983      948.000000
    19     5  1983      924.000000
    20     5  1983      890.000000
    21     5  1983      872.000000
    22     5  1983      813.000000
    23     5  1983      787.000000
    24     5  1983      771.000000
    25     5  1983      771.000000
    26     5  1983      780.000000
    27     5  1983      784.000000
    28     5  1983      780.000000
    29     5  1983      767.000000
    30     5  1983      762.000000
    31     5  1983      765.000000
     1     6  1983      771.000000
     2     6  1983      766.000000
     3     6  1983      740.000000
     4     6  1983      706.000000
     5     6  1983      671.000000
     6     6  1983      642.000000
     7     6  1983      609.000000
     8     6  1983      582.000000
     9     6  1983      563.000000
    10     6  1983      548.000000
    11     6  1983      536.000000
    12     6  1983      526.000000
    13     6  1983      517.000000
    14     6  1983      511.000000
    15     6  1983      505.000000
    16     6  1983      499.000000
    17     6  1983      499.000000
    18     6  1983      502.000000
    19     6  1983      501.000000
    20     6  1983      496.000000
    21     6  1983      488.000000
    22     6  1983      481.000000
    23     6  1983      479.000000
    24     6  1983      488.000000
    25     6  1983      496.000000
    26     6  1983      509.000000
    27     6  1983      500.000000
    28     6  1983      489.000000
    29     6  1983      486.000000
    30     6  1983      486.000000
     1     7  1983      485.000000
     2     7  1983      481.000000
     3     7  1983      474.000000
     4     7  1983      470.000000
     5     7  1983      468.000000
     6     7  1983      461.000000
     7     7  1983      453.000000
     8     7  1983      446.000000
     9     7  1983      438.000000
    10     7  1983      432.000000
    11     7  1983      426.000000
    12     7  1983      423.000000
    13     7  1983      419.000000
    14     7  1983      417.000000
    15     7  1983      413.000000
    16     7  1983      410.000000
    17     7  1983      406.000000
    18     7  1983      403.000000
    19     7  1983      398.000000
    20     7  1983      396.000000
    21     7  1983      401.000000
    22     7  1983      407.000000
