FONTEBOA	-66.062	-2.491
     1     1  1983     1910.000000
     2     1  1983     1914.000000
     3     1  1983     1917.000000
     4     1  1983     1920.000000
     5     1  1983     1922.000000
     6     1  1983     1925.000000
     7     1  1983     1928.000000
     8     1  1983     1933.000000
     9     1  1983     1936.000000
    10     1  1983     1939.000000
    11     1  1983     1942.000000
    12     1  1983     1945.000000
    13     1  1983     1949.000000
    14     1  1983     1951.000000
    15     1  1983     1954.000000
    16     1  1983     1956.000000
    17     1  1983     1957.000000
    18     1  1983     1959.000000
    19     1  1983     1962.000000
    20     1  1983     1965.000000
    21     1  1983     1966.000000
    22     1  1983     1968.000000
    23     1  1983     1968.000000
    24     1  1983     1969.000000
    25     1  1983     1969.000000
    26     1  1983     1970.000000
    27     1  1983     1970.000000
    28     1  1983     1970.000000
    29     1  1983     1970.000000
    30     1  1983     1970.000000
    31     1  1983     1970.000000
     1     2  1983     1970.000000
     2     2  1983     1967.000000
     3     2  1983     1966.000000
     4     2  1983     1965.000000
     5     2  1983     1964.000000
     6     2  1983     1963.000000
     7     2  1983     1962.000000
     8     2  1983     1960.000000
     9     2  1983     1957.000000
    10     2  1983     1953.000000
    11     2  1983     1949.000000
    12     2  1983     1946.000000
    13     2  1983     1945.000000
    14     2  1983     1942.000000
    15     2  1983     1939.000000
    16     2  1983     1935.000000
    17     2  1983     1930.000000
    18     2  1983     1926.000000
    19     2  1983     1922.000000
    20     2  1983     1917.000000
    21     2  1983     1914.000000
    22     2  1983     1912.000000
    23     2  1983     1909.000000
    24     2  1983     1908.000000
    25     2  1983     1906.000000
    26     2  1983     1905.000000
    27     2  1983     1904.000000
    28     2  1983     1903.000000
     1     3  1983     1900.000000
     2     3  1983     1897.000000
     3     3  1983     1897.000000
     4     3  1983     1896.000000
     5     3  1983     1894.000000
     6     3  1983     1891.000000
     7     3  1983     1889.000000
     8     3  1983     1889.000000
     9     3  1983     1889.000000
    10     3  1983     1888.000000
    11     3  1983     1888.000000
    12     3  1983     1890.000000
    13     3  1983     1892.000000
    14     3  1983     1893.000000
    15     3  1983     1894.000000
    16     3  1983     1895.000000
    17     3  1983     1895.000000
    18     3  1983     1896.000000
    19     3  1983     1897.000000
    20     3  1983     1897.000000
    21     3  1983     1897.000000
    22     3  1983     1897.000000
    23     3  1983     1901.000000
    24     3  1983     1902.000000
    25     3  1983     1904.000000
    26     3  1983     1906.000000
    27     3  1983     1908.000000
    28     3  1983     1909.000000
    29     3  1983     1910.000000
    30     3  1983     1911.000000
    31     3  1983     1915.000000
     1     4  1983     1919.000000
     2     4  1983     1924.000000
     3     4  1983     1928.000000
     4     4  1983     1931.000000
     5     4  1983     1935.000000
     6     4  1983     1939.000000
     7     4  1983     1942.000000
     8     4  1983     1947.000000
     9     4  1983     1951.000000
    10     4  1983     1955.000000
    11     4  1983     1959.000000
    12     4  1983     1962.000000
    13     4  1983     1964.000000
    14     4  1983     1966.000000
    15     4  1983     1970.000000
    16     4  1983     1973.000000
    17     4  1983     1976.000000
    18     4  1983     1980.000000
    19     4  1983     1984.000000
    20     4  1983     1987.000000
    21     4  1983     1992.000000
    22     4  1983     1995.000000
    23     4  1983     1999.000000
    24     4  1983     2003.000000
    25     4  1983     2006.000000
    26     4  1983     2009.000000
