THAUMATURGO	-72.795	-8.946
     1     1  1983      450.000000
     2     1  1983      381.000000
     3     1  1983      350.000000
     4     1  1983      565.000000
     5     1  1983      716.000000
     6     1  1983      767.000000
     7     1  1983      717.000000
     8     1  1983      555.000000
     9     1  1983      442.000000
    10     1  1983      459.000000
    11     1  1983      406.000000
    12     1  1983      322.000000
    13     1  1983      255.000000
    14     1  1983      216.000000
    15     1  1983      191.000000
    16     1  1983      212.000000
    17     1  1983      356.000000
    18     1  1983      451.000000
    19     1  1983      452.000000
    20     1  1983      333.000000
    21     1  1983      241.000000
    22     1  1983      237.000000
    23     1  1983      205.000000
    24     1  1983      195.000000
    25     1  1983      361.000000
    26     1  1983      407.000000
    27     1  1983      411.000000
    28     1  1983      417.000000
    29     1  1983      396.000000
    30     1  1983      330.000000
    31     1  1983      261.000000
     1     2  1983      216.000000
     2     2  1983      239.000000
     3     2  1983      369.000000
     4     2  1983      417.000000
     5     2  1983      265.000000
     6     2  1983      190.000000
     7     2  1983      279.000000
     8     2  1983      437.000000
     9     2  1983      371.000000
    10     2  1983      275.000000
    11     2  1983      243.000000
    12     2  1983      260.000000
    13     2  1983      254.000000
    14     2  1983      244.000000
    15     2  1983      165.000000
    16     2  1983      168.000000
    17     2  1983      205.000000
    18     2  1983      354.000000
    19     2  1983      517.000000
    20     2  1983      458.000000
    21     2  1983      362.000000
    22     2  1983      313.000000
    23     2  1983      388.000000
    24     2  1983      612.000000
    25     2  1983      726.000000
    26     2  1983      656.000000
    27     2  1983      574.000000
    28     2  1983      455.000000
     1     3  1983      383.000000
     2     3  1983      337.000000
     3     3  1983      294.000000
     4     3  1983      320.000000
     5     3  1983      404.000000
     6     3  1983      361.000000
     7     3  1983      373.000000
     8     3  1983      433.000000
     9     3  1983      391.000000
    10     3  1983      550.000000
    11     3  1983      747.000000
    12     3  1983      784.000000
    13     3  1983      690.000000
    14     3  1983      590.000000
    15     3  1983      557.000000
    16     3  1983      511.000000
    17     3  1983      472.000000
    18     3  1983      421.000000
    19     3  1983      376.000000
    20     3  1983      451.000000
    21     3  1983      541.000000
    22     3  1983      501.000000
    23     3  1983      368.000000
    24     3  1983      295.000000
    25     3  1983      193.000000
    26     3  1983      158.000000
    27     3  1983      137.000000
    28     3  1983      119.000000
    29     3  1983      109.000000
    30     3  1983      243.000000
    31     3  1983      523.000000
     1     4  1983      589.000000
     2     4  1983      444.000000
     3     4  1983      363.000000
     4     4  1983      325.000000
     5     4  1983      287.000000
     6     4  1983      365.000000
     7     4  1983      360.000000
     8     4  1983      477.000000
     9     4  1983      559.000000
    10     4  1983      479.000000
    11     4  1983      388.000000
    12     4  1983      447.000000
    13     4  1983      385.000000
    14     4  1983      300.000000
    15     4  1983      267.000000
    16     4  1983      309.000000
    17     4  1983      322.000000
    18     4  1983      318.000000
    19     4  1983      282.000000
    20     4  1983      246.000000
    21     4  1983      228.000000
    22     4  1983      331.000000
    23     4  1983      531.000000
    24     4  1983      602.000000
    25     4  1983      495.000000
    26     4  1983      398.000000
    27     4  1983      390.000000
    28     4  1983      395.000000
    29     4  1983      385.000000
    30     4  1983      366.000000
     1     5  1983      375.000000
     2     5  1983      366.000000
     3     5  1983      288.000000
     4     5  1983      276.000000
     5     5  1983      240.000000
     6     5  1983      238.000000
     7     5  1983      362.000000
     8     5  1983      400.000000
     9     5  1983      370.000000
    10     5  1983      253.000000
    11     5  1983      200.000000
    12     5  1983      168.000000
    13     5  1983      153.000000
    14     5  1983      173.000000
    15     5  1983      187.000000
    16     5  1983      246.000000
    17     5  1983      236.000000
    18     5  1983      192.000000
    19     5  1983      175.000000
    20     5  1983      158.000000
    21     5  1983      144.000000
    22     5  1983      124.000000
    23     5  1983      103.000000
    24     5  1983      122.000000
    25     5  1983      141.000000
    26     5  1983      147.000000
    27     5  1983      139.000000
    28     5  1983      111.000000
    29     5  1983       87.000000
    30     5  1983       74.000000
    31     5  1983       54.000000
     1     6  1983       73.000000
     2     6  1983       59.000000
     3     6  1983       58.000000
     4     6  1983      106.000000
     5     6  1983       91.000000
     6     6  1983       73.000000
     7     6  1983       65.000000
     8     6  1983       51.000000
     9     6  1983       47.000000
    10     6  1983       44.000000
    11     6  1983       43.000000
    12     6  1983       42.000000
    13     6  1983       42.000000
    14     6  1983       59.000000
    15     6  1983       63.000000
    16     6  1983       67.000000
    17     6  1983       75.000000
    18     6  1983       56.000000
    19     6  1983       42.000000
    20     6  1983       35.000000
    21     6  1983       34.000000
    22     6  1983       30.000000
    23     6  1983       28.000000
    24     6  1983       28.000000
    25     6  1983       29.000000
    26     6  1983       34.000000
    27     6  1983       39.000000
    28     6  1983       64.000000
    29     6  1983       70.000000
    30     6  1983       52.000000
     1     7  1983       40.000000
     2     7  1983       34.000000
     3     7  1983       28.000000
     4     7  1983       23.000000
     5     7  1983       18.000000
     6     7  1983       16.000000
     7     7  1983       14.000000
     8     7  1983       12.000000
     9     7  1983       11.000000
    10     7  1983        9.000000
    11     7  1983        7.000000
    12     7  1983        5.000000
    13     7  1983        5.000000
    14     7  1983        4.000000
    15     7  1983        3.000000
    16     7  1983        1.000000
    17     7  1983        2.000000
    18     7  1983        5.000000
    19     7  1983        2.000000
    20     7  1983        1.000000
    21     7  1983        1.000000
    22     7  1983        1.000000
    23     7  1983        2.000000
    24     7  1983        3.000000
    25     7  1983        5.000000
    26     7  1983        6.000000
    27     7  1983        7.000000
    28     7  1983        8.000000
    29     7  1983        8.000000
    30     7  1983        8.000000
    31     7  1983        7.000000
     1     8  1983        6.000000
     2     8  1983        4.000000
     3     8  1983        5.000000
     4     8  1983        7.000000
     5     8  1983       10.000000
     6     8  1983       13.000000
     7     8  1983       14.000000
     8     8  1983       15.000000
     9     8  1983       16.000000
    10     8  1983       17.000000
    11     8  1983       17.000000
    12     8  1983       18.000000
    13     8  1983       19.000000
    14     8  1983       20.000000
    15     8  1983       15.000000
    16     8  1983       15.000000
    17     8  1983       16.000000
    18     8  1983       17.000000
    19     8  1983       17.000000
    20     8  1983       18.000000
    21     8  1983       15.000000
    22     8  1983       14.000000
    23     8  1983       18.000000
    24     8  1983       22.000000
    25     8  1983       23.000000
    26     8  1983       24.000000
    27     8  1983       23.000000
    28     8  1983       22.000000
    29     8  1983       22.000000
    30     8  1983       14.000000
    31     8  1983        9.000000
     1     9  1983       11.000000
     2     9  1983       10.000000
     3     9  1983        8.000000
     4     9  1983        6.000000
     5     9  1983       22.000000
     6     9  1983       40.000000
     7     9  1983       16.000000
     8     9  1983        1.000000
     9     9  1983        5.000000
    10     9  1983        9.000000
    11     9  1983       10.000000
    12     9  1983       10.000000
    13     9  1983       12.000000
    14     9  1983       14.000000
    15     9  1983       17.000000
    16     9  1983       20.000000
    17     9  1983       22.000000
    18     9  1983       14.000000
    19     9  1983       19.000000
    20     9  1983       15.000000
    21     9  1983       11.000000
    22     9  1983       18.000000
    23     9  1983       20.000000
    24     9  1983       15.000000
    25     9  1983       17.000000
    26     9  1983       18.000000
    27     9  1983       18.000000
    28     9  1983       19.000000
    29     9  1983       21.000000
    30     9  1983       22.000000
     1    10  1983       23.000000
     2    10  1983       23.000000
     3    10  1983       23.000000
     4    10  1983       22.000000
     5    10  1983       21.000000
     6    10  1983       16.000000
     7    10  1983       15.000000
     8    10  1983       10.000000
     9    10  1983       12.000000
    10    10  1983       11.000000
    11    10  1983       11.000000
    12    10  1983        5.000000
    13    10  1983        4.000000
    14    10  1983        7.000000
    15    10  1983        4.000000
    16    10  1983        3.000000
    17    10  1983        2.000000
    18    10  1983        7.000000
    19    10  1983        5.000000
    20    10  1983        3.000000
    21    10  1983        8.000000
    22    10  1983       35.000000
    23    10  1983       26.000000
    24    10  1983       18.000000
    25    10  1983        6.000000
    26    10  1983        8.000000
    27    10  1983        4.000000
    28    10  1983        3.000000
    29    10  1983        9.000000
    30    10  1983       10.000000
    31    10  1983       20.000000
     1    11  1983      188.000000
     2    11  1983      421.000000
     3    11  1983      471.000000
     4    11  1983      448.000000
     5    11  1983      319.000000
     6    11  1983      216.000000
     7    11  1983      177.000000
     8    11  1983      145.000000
     9    11  1983      268.000000
    10    11  1983      314.000000
    11    11  1983      300.000000
    12    11  1983      244.000000
    13    11  1983      168.000000
    14    11  1983      112.000000
    15    11  1983      403.000000
    16    11  1983      399.000000
    17    11  1983      398.000000
    18    11  1983      265.000000
    19    11  1983      200.000000
    20    11  1983      168.000000
    21    11  1983      144.000000
    22    11  1983      137.000000
    23    11  1983      130.000000
    24    11  1983      252.000000
    25    11  1983      378.000000
    26    11  1983      336.000000
    27    11  1983      241.000000
    28    11  1983      213.000000
    29    11  1983      362.000000
    30    11  1983      337.000000
     1    12  1983      338.000000
     2    12  1983      343.000000
     3    12  1983      402.000000
     4    12  1983      439.000000
     5    12  1983      367.000000
     6    12  1983      306.000000
     7    12  1983      299.000000
     8    12  1983      489.000000
     9    12  1983      608.000000
    10    12  1983      467.000000
    11    12  1983      318.000000
    12    12  1983      257.000000
    13    12  1983      180.000000
    14    12  1983      165.000000
    15    12  1983      213.000000
    16    12  1983      180.000000
    17    12  1983      157.000000
    18    12  1983      155.000000
    19    12  1983      306.000000
    20    12  1983      439.000000
    21    12  1983      355.000000
    22    12  1983      296.000000
    23    12  1983      284.000000
    24    12  1983      290.000000
    25    12  1983      287.000000
    26    12  1983      289.000000
    27    12  1983      239.000000
    28    12  1983      295.000000
    29    12  1983      341.000000
    30    12  1983      268.000000
    31    12  1983      186.000000
     1     1  1984      130.000000
     2     1  1984      122.000000
     3     1  1984      267.000000
     4     1  1984      352.000000
     5     1  1984      386.000000
     6     1  1984      534.000000
     7     1  1984      701.000000
     8     1  1984      811.000000
     9     1  1984      816.000000
    10     1  1984      857.000000
    11     1  1984      558.000000
    12     1  1984      413.000000
    13     1  1984      700.000000
    14     1  1984      841.000000
    15     1  1984      738.000000
    16     1  1984      580.000000
    17     1  1984      704.000000
    18     1  1984      655.000000
    19     1  1984      532.000000
    20     1  1984      440.000000
    21     1  1984      439.000000
    22     1  1984      596.000000
    23     1  1984      582.000000
    24     1  1984      456.000000
    25     1  1984      358.000000
    26     1  1984      390.000000
    27     1  1984      370.000000
    28     1  1984      344.000000
    29     1  1984      424.000000
    30     1  1984      653.000000
    31     1  1984      837.000000
     1     2  1984      837.000000
     2     2  1984      802.000000
     3     2  1984      742.000000
     4     2  1984      656.000000
     5     2  1984      584.000000
     6     2  1984      514.000000
     7     2  1984      502.000000
     8     2  1984      593.000000
     9     2  1984      706.000000
    10     2  1984      624.000000
    11     2  1984      525.000000
    12     2  1984      480.000000
    13     2  1984      420.000000
    14     2  1984      370.000000
    15     2  1984      368.000000
    16     2  1984      471.000000
    17     2  1984      500.000000
    18     2  1984      588.000000
    19     2  1984      645.000000
    20     2  1984      858.000000
    21     2  1984      942.000000
    22     2  1984      932.000000
    23     2  1984      735.000000
    24     2  1984      542.000000
    25     2  1984      575.000000
    26     2  1984      522.000000
    27     2  1984      473.000000
    28     2  1984      387.000000
    29     2  1984      450.000000
     1     3  1984      416.000000
     2     3  1984      350.000000
     3     3  1984      532.000000
     4     3  1984      554.000000
     5     3  1984      458.000000
     6     3  1984      357.000000
     7     3  1984      488.000000
     8     3  1984      532.000000
     9     3  1984      466.000000
    10     3  1984      407.000000
    11     3  1984      768.000000
    12     3  1984      891.000000
    13     3  1984      795.000000
    14     3  1984      501.000000
    15     3  1984      344.000000
    16     3  1984      318.000000
    17     3  1984      309.000000
    18     3  1984      430.000000
    19     3  1984      606.000000
    20     3  1984      581.000000
    21     3  1984      452.000000
    22     3  1984      402.000000
    23     3  1984      358.000000
    24     3  1984      322.000000
    25     3  1984      307.000000
    26     3  1984      293.000000
    27     3  1984      272.000000
    28     3  1984      275.000000
    29     3  1984      312.000000
    30     3  1984      433.000000
    31     3  1984      463.000000
     1     4  1984      414.000000
     2     4  1984      387.000000
     3     4  1984      362.000000
     4     4  1984      367.000000
     5     4  1984      500.000000
     6     4  1984      704.000000
     7     4  1984      650.000000
     8     4  1984      638.000000
     9     4  1984      598.000000
    10     4  1984      535.000000
    11     4  1984      448.000000
    12     4  1984      675.000000
    13     4  1984      719.000000
    14     4  1984      640.000000
    15     4  1984      557.000000
    16     4  1984      442.000000
    17     4  1984      372.000000
    18     4  1984      386.000000
    19     4  1984      405.000000
    20     4  1984      331.000000
    21     4  1984      294.000000
    22     4  1984      312.000000
    23     4  1984      456.000000
    24     4  1984      415.000000
    25     4  1984      312.000000
    26     4  1984      457.000000
    27     4  1984      493.000000
    28     4  1984      346.000000
    29     4  1984      256.000000
    30     4  1984      206.000000
     1     5  1984      322.000000
     2     5  1984      263.000000
     3     5  1984      217.000000
     4     5  1984      206.000000
     5     5  1984      199.000000
     6     5  1984      179.000000
     7     5  1984      159.000000
     8     5  1984      158.000000
     9     5  1984      154.000000
    10     5  1984      184.000000
    11     5  1984      299.000000
    12     5  1984      282.000000
    13     5  1984      210.000000
    14     5  1984      357.000000
    15     5  1984      384.000000
    16     5  1984      370.000000
    17     5  1984      309.000000
    18     5  1984      262.000000
    19     5  1984      219.000000
    20     5  1984      189.000000
    21     5  1984      178.000000
    22     5  1984      176.000000
    23     5  1984      178.000000
    24     5  1984      190.000000
    25     5  1984      189.000000
    26     5  1984      179.000000
    27     5  1984      164.000000
    28     5  1984      152.000000
    29     5  1984      147.000000
    30     5  1984      146.000000
    31     5  1984      152.000000
     1     6  1984      159.000000
     2     6  1984      158.000000
     3     6  1984      172.000000
     4     6  1984      164.000000
     5     6  1984      151.000000
     6     6  1984      148.000000
     7     6  1984      199.000000
     8     6  1984      252.000000
     9     6  1984      245.000000
    10     6  1984      247.000000
    11     6  1984      226.000000
    12     6  1984      193.000000
    13     6  1984      148.000000
    14     6  1984      117.000000
    15     6  1984      103.000000
    16     6  1984       97.000000
    17     6  1984       92.000000
    18     6  1984       85.000000
    19     6  1984       92.000000
    20     6  1984      119.000000
    21     6  1984      112.000000
    22     6  1984       82.000000
    23     6  1984       68.000000
    24     6  1984      109.000000
    25     6  1984      106.000000
    26     6  1984      120.000000
    27     6  1984      108.000000
    28     6  1984       86.000000
    29     6  1984       67.000000
    30     6  1984       59.000000
     1     7  1984       50.000000
     2     7  1984       41.000000
     3     7  1984       36.000000
     4     7  1984       32.000000
     5     7  1984       28.000000
     6     7  1984       24.000000
     7     7  1984       22.000000
     8     7  1984       41.000000
     9     7  1984       44.000000
    10     7  1984       40.000000
    11     7  1984       34.000000
    12     7  1984       32.000000
    13     7  1984       32.000000
    14     7  1984       26.000000
    15     7  1984       24.000000
    16     7  1984       34.000000
    17     7  1984       35.000000
    18     7  1984       66.000000
    19     7  1984       78.000000
    20     7  1984       63.000000
    21     7  1984       54.000000
    22     7  1984       46.000000
    23     7  1984       36.000000
    24     7  1984       25.000000
    25     7  1984       18.000000
    26     7  1984       12.000000
    27     7  1984       10.000000
    28     7  1984        8.000000
    29     7  1984        6.000000
    30     7  1984        4.000000
    31     7  1984        2.000000
     1     8  1984        0.000000
     2     8  1984        2.000000
     3     8  1984        4.000000
     4     8  1984        4.000000
     5     8  1984        5.000000
     6     8  1984        6.000000
     7     8  1984        5.000000
     8     8  1984        3.000000
     9     8  1984        5.000000
    10     8  1984        4.000000
    11     8  1984        3.000000
    12     8  1984        7.000000
    13     8  1984        6.000000
    14     8  1984        4.000000
    15     8  1984        5.000000
    16     8  1984        5.000000
    17     8  1984        5.000000
    18     8  1984        7.000000
    19     8  1984        9.000000
    20     8  1984       14.000000
    21     8  1984        4.000000
    22     8  1984        1.000000
    23     8  1984        6.000000
    24     8  1984        9.000000
    25     8  1984       14.000000
    26     8  1984       59.000000
    27     8  1984       65.000000
    28     8  1984       78.000000
    29     8  1984       85.000000
    30     8  1984       62.000000
    31     8  1984       41.000000
     1     9  1984       10.000000
     2     9  1984        2.000000
     3     9  1984        6.000000
     4     9  1984       16.000000
