CRUZEIRODOSUL	-72.681	-7.611
     1     1  1983     1246.000000
     2     1  1983     1248.000000
     3     1  1983     1249.000000
     4     1  1983     1250.000000
     5     1  1983     1247.000000
     6     1  1983     1247.000000
     7     1  1983     1250.000000
     8     1  1983     1262.000000
     9     1  1983     1269.000000
    10     1  1983     1266.000000
    11     1  1983     1251.000000
    12     1  1983     1231.000000
    13     1  1983     1201.000000
    14     1  1983     1150.000000
    15     1  1983     1078.000000
    16     1  1983      975.000000
    17     1  1983      877.000000
    18     1  1983      833.000000
    19     1  1983      901.000000
    20     1  1983      986.000000
    21     1  1983     1009.000000
    22     1  1983     1035.000000
    23     1  1983     1032.000000
    24     1  1983      994.000000
    25     1  1983      958.000000
    26     1  1983      929.000000
    27     1  1983      950.000000
    28     1  1983      995.000000
    29     1  1983     1025.000000
    30     1  1983     1042.000000
    31     1  1983     1036.000000
     1     2  1983      990.000000
     2     2  1983      947.000000
     3     2  1983      897.000000
     4     2  1983      912.000000
     5     2  1983      919.000000
     6     2  1983      921.000000
     7     2  1983      906.000000
     8     2  1983      887.000000
     9     2  1983      864.000000
    10     2  1983      867.000000
    11     2  1983      877.000000
    12     2  1983      857.000000
    13     2  1983      836.000000
    14     2  1983      803.000000
    15     2  1983      782.000000
    16     2  1983      768.000000
    17     2  1983      748.000000
    18     2  1983      741.000000
    19     2  1983      770.000000
    20     2  1983      882.000000
    21     2  1983      953.000000
    22     2  1983      983.000000
    23     2  1983      969.000000
    24     2  1983      967.000000
    25     2  1983     1030.000000
    26     2  1983     1091.000000
    27     2  1983     1136.000000
    28     2  1983     1153.000000
     1     3  1983     1154.000000
     2     3  1983     1138.000000
     3     3  1983     1111.000000
     4     3  1983     1063.000000
     5     3  1983     1024.000000
     6     3  1983      976.000000
     7     3  1983      929.000000
     8     3  1983      908.000000
     9     3  1983      894.000000
    10     3  1983      921.000000
    11     3  1983      986.000000
    12     3  1983     1031.000000
    13     3  1983     1110.000000
    14     3  1983     1155.000000
    15     3  1983     1171.000000
    16     3  1983     1183.000000
    17     3  1983     1186.000000
    18     3  1983     1192.000000
    19     3  1983     1185.000000
    20     3  1983     1165.000000
    21     3  1983     1131.000000
    22     3  1983     1124.000000
    23     3  1983     1131.000000
    24     3  1983     1136.000000
    25     3  1983     1127.000000
    26     3  1983     1078.000000
    27     3  1983      945.000000
    28     3  1983      863.000000
    29     3  1983      771.000000
    30     3  1983      709.000000
    31     3  1983      688.000000
     1     4  1983      749.000000
     2     4  1983      936.000000
     3     4  1983      989.000000
     4     4  1983     1005.000000
     5     4  1983      965.000000
     6     4  1983      895.000000
     7     4  1983      853.000000
     8     4  1983      835.000000
     9     4  1983      867.000000
    10     4  1983      911.000000
    11     4  1983      951.000000
    12     4  1983      959.000000
    13     4  1983      943.000000
    14     4  1983      935.000000
    15     4  1983      913.000000
    16     4  1983      889.000000
    17     4  1983      882.000000
    18     4  1983      884.000000
    19     4  1983      896.000000
    20     4  1983      900.000000
    21     4  1983      890.000000
    22     4  1983      867.000000
    23     4  1983      844.000000
    24     4  1983      853.000000
    25     4  1983      968.000000
    26     4  1983     1051.000000
    27     4  1983     1032.000000
    28     4  1983     1014.000000
    29     4  1983     1004.000000
    30     4  1983     1003.000000
     1     5  1983     1003.000000
     2     5  1983      976.000000
     3     5  1983      942.000000
     4     5  1983      910.000000
     5     5  1983      888.000000
     6     5  1983      865.000000
     7     5  1983      840.000000
     8     5  1983      822.000000
     9     5  1983      826.000000
    10     5  1983      844.000000
    11     5  1983      844.000000
    12     5  1983      799.000000
    13     5  1983      754.000000
    14     5  1983      710.000000
    15     5  1983      686.000000
    16     5  1983      673.000000
    17     5  1983      657.000000
    18     5  1983      638.000000
    19     5  1983      631.000000
    20     5  1983      620.000000
    21     5  1983      603.000000
    22     5  1983      581.000000
    23     5  1983      560.000000
    24     5  1983      542.000000
    25     5  1983      520.000000
    26     5  1983      510.000000
    27     5  1983      550.000000
    28     5  1983      536.000000
    29     5  1983      515.000000
    30     5  1983      494.000000
    31     5  1983      467.000000
     1     6  1983      451.000000
     2     6  1983      453.000000
     3     6  1983      470.000000
     4     6  1983      491.000000
     5     6  1983      511.000000
     6     6  1983      496.000000
     7     6  1983      481.000000
     8     6  1983      465.000000
     9     6  1983      446.000000
    10     6  1983      426.000000
    11     6  1983      408.000000
    12     6  1983      396.000000
    13     6  1983      386.000000
    14     6  1983      376.000000
    15     6  1983      371.000000
    16     6  1983      370.000000
    17     6  1983      373.000000
    18     6  1983      366.000000
    19     6  1983      359.000000
    20     6  1983      354.000000
    21     6  1983      352.000000
    22     6  1983      351.000000
    23     6  1983      349.000000
    24     6  1983      349.000000
    25     6  1983      348.000000
    26     6  1983      347.000000
    27     6  1983      353.000000
    28     6  1983      368.000000
    29     6  1983      382.000000
    30     6  1983      369.000000
     1     7  1983      357.000000
     2     7  1983      349.000000
     3     7  1983      344.000000
     4     7  1983      338.000000
     5     7  1983      331.000000
     6     7  1983      326.000000
     7     7  1983      320.000000
     8     7  1983      314.000000
     9     7  1983      308.000000
    10     7  1983      303.000000
    11     7  1983      300.000000
    12     7  1983      300.000000
    13     7  1983      294.000000
    14     7  1983      290.000000
    15     7  1983      290.000000
    16     7  1983      287.000000
    17     7  1983      285.000000
    18     7  1983      284.000000
    19     7  1983      283.000000
    20     7  1983      282.000000
    21     7  1983      285.000000
    22     7  1983      288.000000
    23     7  1983      288.000000
    24     7  1983      283.000000
    25     7  1983      280.000000
    26     7  1983      278.000000
    27     7  1983      276.000000
    28     7  1983      278.000000
    29     7  1983      278.000000
    30     7  1983      276.000000
    31     7  1983      274.000000
     1     8  1983      270.000000
     2     8  1983      268.000000
     3     8  1983      264.000000
     4     8  1983      263.000000
     5     8  1983      261.000000
     6     8  1983      259.000000
     7     8  1983      258.000000
     8     8  1983      258.000000
     9     8  1983      256.000000
    10     8  1983      255.000000
    11     8  1983      255.000000
    12     8  1983      254.000000
    13     8  1983      253.000000
    14     8  1983      251.000000
    15     8  1983      252.000000
    16     8  1983      255.000000
    17     8  1983      257.000000
    18     8  1983      257.000000
    19     8  1983      269.000000
    20     8  1983      271.000000
    21     8  1983      265.000000
    22     8  1983      264.000000
    23     8  1983      261.000000
    24     8  1983      257.000000
    25     8  1983      253.000000
    26     8  1983      250.000000
    27     8  1983      249.000000
    28     8  1983      250.000000
    29     8  1983      252.000000
    30     8  1983      253.000000
    31     8  1983      253.000000
     1     9  1983      255.000000
     2     9  1983      260.000000
     3     9  1983      269.000000
     4     9  1983      279.000000
     5     9  1983      290.000000
     6     9  1983      308.000000
     7     9  1983      323.000000
     8     9  1983      316.000000
     9     9  1983      306.000000
    10     9  1983      299.000000
    11     9  1983      297.000000
    12     9  1983      296.000000
    13     9  1983      299.000000
    14     9  1983      299.000000
    15     9  1983      293.000000
    16     9  1983      279.000000
    17     9  1983      272.000000
    18     9  1983      269.000000
    19     9  1983      269.000000
    20     9  1983      273.000000
    21     9  1983      275.000000
    22     9  1983      276.000000
    23     9  1983      276.000000
    24     9  1983      278.000000
    25     9  1983      275.000000
    26     9  1983      277.000000
    27     9  1983      282.000000
    28     9  1983      276.000000
    29     9  1983      271.000000
    30     9  1983      267.000000
     1    10  1983      268.000000
     2    10  1983      272.000000
     3    10  1983      276.000000
     4    10  1983      278.000000
     5    10  1983      279.000000
     6    10  1983      281.000000
     7    10  1983      285.000000
     8    10  1983      296.000000
     9    10  1983      297.000000
    10    10  1983      292.000000
    11    10  1983      289.000000
    12    10  1983      285.000000
    13    10  1983      280.000000
    14    10  1983      282.000000
    15    10  1983      286.000000
    16    10  1983      289.000000
    17    10  1983      291.000000
    18    10  1983      294.000000
    19    10  1983      291.000000
    20    10  1983      296.000000
    21    10  1983      301.000000
    22    10  1983      303.000000
    23    10  1983      306.000000
    24    10  1983      314.000000
    25    10  1983      318.000000
    26    10  1983      318.000000
    27    10  1983      313.000000
    28    10  1983      308.000000
    29    10  1983      304.000000
    30    10  1983      310.000000
    31    10  1983      320.000000
     1    11  1983      329.000000
     2    11  1983      354.000000
     3    11  1983      454.000000
     4    11  1983      564.000000
     5    11  1983      750.000000
     6    11  1983      810.000000
     7    11  1983      838.000000
     8    11  1983      753.000000
     9    11  1983      712.000000
    10    11  1983      676.000000
    11    11  1983      659.000000
    12    11  1983      673.000000
    13    11  1983      652.000000
    14    11  1983      618.000000
    15    11  1983      571.000000
    16    11  1983      533.000000
    17    11  1983      564.000000
    18    11  1983      647.000000
    19    11  1983      674.000000
    20    11  1983      649.000000
    21    11  1983      611.000000
    22    11  1983      570.000000
    23    11  1983      539.000000
    24    11  1983      506.000000
    25    11  1983      510.000000
    26    11  1983      539.000000
    27    11  1983      578.000000
    28    11  1983      626.000000
    29    11  1983      626.000000
    30    11  1983      646.000000
     1    12  1983      676.000000
     2    12  1983      698.000000
     3    12  1983      694.000000
     4    12  1983      684.000000
     5    12  1983      692.000000
     6    12  1983      750.000000
     7    12  1983      751.000000
     8    12  1983      718.000000
     9    12  1983      740.000000
    10    12  1983      830.000000
    11    12  1983      893.000000
    12    12  1983     1017.000000
    13    12  1983     1015.000000
    14    12  1983      941.000000
    15    12  1983      799.000000
    16    12  1983      688.000000
    17    12  1983      615.000000
    18    12  1983      610.000000
    19    12  1983      605.000000
    20    12  1983      599.000000
    21    12  1983      614.000000
    22    12  1983      706.000000
    23    12  1983      745.000000
    24    12  1983      735.000000
    25    12  1983      724.000000
    26    12  1983      707.000000
    27    12  1983      709.000000
    28    12  1983      729.000000
    29    12  1983      759.000000
    30    12  1983      759.000000
    31    12  1983      732.000000
     1     1  1984      690.000000
     2     1  1984      655.000000
     3     1  1984      616.000000
     4     1  1984      582.000000
     5     1  1984      546.000000
     6     1  1984      638.000000
     7     1  1984      714.000000
     8     1  1984      791.000000
     9     1  1984      834.000000
    10     1  1984      992.000000
    11     1  1984     1029.000000
    12     1  1984     1037.000000
    13     1  1984     1028.000000
    14     1  1984      994.000000
    15     1  1984     1007.000000
    16     1  1984     1036.000000
    17     1  1984     1063.000000
    18     1  1984     1076.000000
    19     1  1984     1086.000000
    20     1  1984     1096.000000
    21     1  1984     1100.000000
    22     1  1984     1086.000000
    23     1  1984     1077.000000
    24     1  1984     1084.000000
    25     1  1984     1105.000000
    26     1  1984     1085.000000
    27     1  1984     1050.000000
    28     1  1984     1005.000000
    29     1  1984      972.000000
    30     1  1984      968.000000
    31     1  1984     1006.000000
     1     2  1984     1042.000000
     2     2  1984     1102.000000
     3     2  1984     1138.000000
     4     2  1984     1166.000000
     5     2  1984     1187.000000
     6     2  1984     1204.000000
     7     2  1984     1221.000000
     8     2  1984     1230.000000
     9     2  1984     1240.000000
    10     2  1984     1250.000000
    11     2  1984     1257.000000
    12     2  1984     1271.000000
    13     2  1984     1280.000000
    14     2  1984     1285.000000
    15     2  1984     1267.000000
    16     2  1984     1250.000000
    17     2  1984     1243.000000
    18     2  1984     1242.000000
