IPIXUNA	-71.684	-7.051
     1     1  1983     1306.000000
     2     1  1983     1304.000000
     3     1  1983     1305.000000
     4     1  1983     1306.000000
     5     1  1983     1307.000000
     6     1  1983     1307.000000
     7     1  1983     1308.000000
     8     1  1983     1307.000000
     9     1  1983     1308.000000
    10     1  1983     1309.000000
    11     1  1983     1310.000000
    12     1  1983     1309.000000
    13     1  1983     1310.000000
    14     1  1983     1311.000000
    15     1  1983     1311.000000
    16     1  1983     1312.000000
    17     1  1983     1313.000000
    18     1  1983     1311.000000
    19     1  1983     1307.000000
    20     1  1983     1304.000000
    21     1  1983     1302.000000
    22     1  1983     1300.000000
    23     1  1983     1298.000000
    24     1  1983     1297.000000
    25     1  1983     1299.000000
    26     1  1983     1296.000000
    27     1  1983     1292.000000
    28     1  1983     1285.000000
    29     1  1983     1279.000000
    30     1  1983     1272.000000
    31     1  1983     1274.000000
     1     2  1983     1271.000000
     2     2  1983     1262.000000
     3     2  1983     1258.000000
     4     2  1983     1251.000000
     5     2  1983     1247.000000
     6     2  1983     1244.000000
     7     2  1983     1241.000000
     8     2  1983     1236.000000
     9     2  1983     1228.000000
    10     2  1983     1214.000000
    11     2  1983     1199.000000
    12     2  1983     1177.000000
    13     2  1983     1148.000000
    14     2  1983     1122.000000
    15     2  1983     1102.000000
    16     2  1983     1054.000000
    17     2  1983     1021.000000
    18     2  1983     1031.000000
    19     2  1983     1035.000000
    20     2  1983     1049.000000
    21     2  1983     1064.000000
    22     2  1983     1080.000000
    23     2  1983     1106.000000
    24     2  1983     1120.000000
    25     2  1983     1143.000000
    26     2  1983     1157.000000
    27     2  1983     1166.000000
    28     2  1983     1190.000000
     1     3  1983     1207.000000
     2     3  1983     1215.000000
     3     3  1983     1228.000000
     4     3  1983     1242.000000
     5     3  1983     1260.000000
     6     3  1983     1262.000000
     7     3  1983     1255.000000
     8     3  1983     1243.000000
     9     3  1983     1235.000000
    10     3  1983     1237.000000
    11     3  1983     1241.000000
    12     3  1983     1248.000000
    13     3  1983     1252.000000
    14     3  1983     1259.000000
    15     3  1983     1269.000000
    16     3  1983     1276.000000
    17     3  1983     1277.000000
    18     3  1983     1275.000000
    19     3  1983     1270.000000
    20     3  1983     1266.000000
    21     3  1983     1263.000000
    22     3  1983     1262.000000
    23     3  1983     1268.000000
    24     3  1983     1276.000000
    25     3  1983     1281.000000
    26     3  1983     1286.000000
    27     3  1983     1291.000000
    28     3  1983     1295.000000
    29     3  1983     1295.000000
    30     3  1983     1290.000000
    31     3  1983     1284.000000
     1     4  1983     1274.000000
     2     4  1983     1269.000000
     3     4  1983     1239.000000
     4     4  1983     1218.000000
     5     4  1983     1194.000000
     6     4  1983     1147.000000
     7     4  1983     1120.000000
     8     4  1983     1096.000000
     9     4  1983     1075.000000
    10     4  1983     1066.000000
    11     4  1983     1049.000000
    12     4  1983     1043.000000
    13     4  1983     1043.000000
    14     4  1983     1053.000000
    15     4  1983     1057.000000
    16     4  1983     1053.000000
    17     4  1983     1050.000000
    18     4  1983     1050.000000
    19     4  1983     1049.000000
    20     4  1983     1050.000000
    21     4  1983     1046.000000
    22     4  1983     1042.000000
    23     4  1983     1033.000000
    24     4  1983     1025.000000
    25     4  1983     1017.000000
    26     4  1983     1018.000000
    27     4  1983     1030.000000
    28     4  1983     1044.000000
    29     4  1983     1062.000000
    30     4  1983     1079.000000
     1     5  1983     1089.000000
     2     5  1983     1090.000000
     3     5  1983     1092.000000
     4     5  1983     1095.000000
     5     5  1983     1098.000000
     6     5  1983     1096.000000
     7     5  1983     1090.000000
     8     5  1983     1071.000000
     9     5  1983     1048.000000
    10     5  1983     1035.000000
    11     5  1983     1022.000000
    12     5  1983     1009.000000
    13     5  1983     1006.000000
    14     5  1983      998.000000
    15     5  1983      984.000000
    16     5  1983      973.000000
    17     5  1983      968.000000
    18     5  1983      960.000000
    19     5  1983      938.000000
    20     5  1983      922.000000
    21     5  1983      907.000000
    22     5  1983      889.000000
    23     5  1983      872.000000
    24     5  1983      848.000000
    25     5  1983      828.000000
    26     5  1983      809.000000
    27     5  1983      795.000000
    28     5  1983      783.000000
    29     5  1983      770.000000
    30     5  1983      749.000000
    31     5  1983      724.000000
     1     6  1983      696.000000
     2     6  1983      673.000000
     3     6  1983      655.000000
     4     6  1983      636.000000
     5     6  1983      622.000000
     6     6  1983      606.000000
     7     6  1983      589.000000
     8     6  1983      574.000000
     9     6  1983      558.000000
    10     6  1983      543.000000
    11     6  1983      530.000000
    12     6  1983      517.000000
    13     6  1983      508.000000
    14     6  1983      499.000000
    15     6  1983      491.000000
    16     6  1983      484.000000
    17     6  1983      476.000000
    18     6  1983      468.000000
    19     6  1983      460.000000
    20     6  1983      452.000000
    21     6  1983      445.000000
    22     6  1983      438.000000
    23     6  1983      431.000000
    24     6  1983      424.000000
    25     6  1983      417.000000
    26     6  1983      412.000000
    27     6  1983      408.000000
    28     6  1983      402.000000
    29     6  1983      396.000000
    30     6  1983      390.000000
     1     7  1983      386.000000
     2     7  1983      380.000000
     3     7  1983      376.000000
     4     7  1983      372.000000
     5     7  1983      368.000000
     6     7  1983      364.000000
     7     7  1983      360.000000
     8     7  1983      356.000000
     9     7  1983      354.000000
    10     7  1983      350.000000
    11     7  1983      346.000000
    12     7  1983      343.000000
    13     7  1983      340.000000
    14     7  1983      337.000000
    15     7  1983      335.000000
    16     7  1983      331.000000
    17     7  1983      323.000000
    18     7  1983      312.000000
    19     7  1983      306.000000
    20     7  1983      301.000000
    21     7  1983      300.000000
    22     7  1983      297.000000
    23     7  1983      295.000000
    24     7  1983      294.000000
    25     7  1983      291.000000
    26     7  1983      289.000000
    27     7  1983      287.000000
    28     7  1983      283.000000
    29     7  1983      279.000000
    30     7  1983      275.000000
    31     7  1983      270.000000
     1     8  1983      267.000000
     2     8  1983      264.000000
     3     8  1983      260.000000
     4     8  1983      257.000000
     5     8  1983      254.000000
     6     8  1983      252.000000
     7     8  1983      246.000000
     8     8  1983      243.000000
     9     8  1983      242.000000
    10     8  1983      239.000000
    11     8  1983      238.000000
    12     8  1983      236.000000
    13     8  1983      234.000000
    14     8  1983      233.000000
    15     8  1983      232.000000
    16     8  1983      232.000000
    17     8  1983      234.000000
    18     8  1983      233.000000
    19     8  1983      229.000000
    20     8  1983      223.000000
    21     8  1983      225.000000
    22     8  1983      232.000000
    23     8  1983      236.000000
    24     8  1983      234.000000
    25     8  1983      232.000000
    26     8  1983      227.000000
    27     8  1983      222.000000
    28     8  1983      222.000000
    29     8  1983      220.000000
    30     8  1983      219.000000
    31     8  1983      219.000000
     1     9  1983      219.000000
     2     9  1983      229.000000
     3     9  1983      236.000000
     4     9  1983      253.000000
     5     9  1983      258.000000
     6     9  1983      262.000000
     7     9  1983      265.000000
     8     9  1983      265.000000
     9     9  1983      270.000000
    10     9  1983      277.000000
    11     9  1983      278.000000
    12     9  1983      274.000000
    13     9  1983      273.000000
    14     9  1983      276.000000
    15     9  1983      279.000000
    16     9  1983      285.000000
    17     9  1983      286.000000
    18     9  1983      277.000000
    19     9  1983      267.000000
    20     9  1983      255.000000
    21     9  1983      244.000000
    22     9  1983      237.000000
    23     9  1983      232.000000
    24     9  1983      235.000000
    25     9  1983      239.000000
    26     9  1983      241.000000
    27     9  1983      242.000000
    28     9  1983      240.000000
    29     9  1983      242.000000
    30     9  1983      244.000000
     1    10  1983      251.000000
     2    10  1983      253.000000
     3    10  1983      248.000000
     4    10  1983      239.000000
     5    10  1983      239.000000
     6    10  1983      244.000000
     7    10  1983      249.000000
     8    10  1983      253.000000
     9    10  1983      266.000000
    10    10  1983      269.000000
    11    10  1983      269.000000
    12    10  1983      265.000000
    13    10  1983      262.000000
    14    10  1983      260.000000
    15    10  1983      264.000000
    16    10  1983      269.000000
    17    10  1983      274.000000
    18    10  1983      280.000000
    19    10  1983      279.000000
    20    10  1983      275.000000
    21    10  1983      274.000000
    22    10  1983      280.000000
    23    10  1983      283.000000
    24    10  1983      281.000000
    25    10  1983      277.000000
    26    10  1983      272.000000
    27    10  1983      268.000000
    28    10  1983      267.000000
    29    10  1983      265.000000
    30    10  1983      267.000000
    31    10  1983      271.000000
     1    11  1983      280.000000
     2    11  1983      296.000000
     3    11  1983      310.000000
     4    11  1983      324.000000
     5    11  1983      362.000000
     6    11  1983      423.000000
     7    11  1983      504.000000
     8    11  1983      591.000000
     9    11  1983      636.000000
    10    11  1983      654.000000
    11    11  1983      654.000000
    12    11  1983      650.000000
    13    11  1983      647.000000
    14    11  1983      681.000000
    15    11  1983      715.000000
    16    11  1983      720.000000
    17    11  1983      697.000000
    18    11  1983      678.000000
    19    11  1983      668.000000
    20    11  1983      671.000000
    21    11  1983      686.000000
    22    11  1983      692.000000
    23    11  1983      688.000000
    24    11  1983      672.000000
    25    11  1983      662.000000
    26    11  1983      652.000000
    27    11  1983      647.000000
    28    11  1983      646.000000
    29    11  1983      644.000000
    30    11  1983      654.000000
     1    12  1983      672.000000
     2    12  1983      684.000000
     3    12  1983      696.000000
     4    12  1983      736.000000
     5    12  1983      764.000000
     6    12  1983      788.000000
     7    12  1983      812.000000
     8    12  1983      835.000000
     9    12  1983      849.000000
    10    12  1983      854.000000
    11    12  1983      876.000000
    12    12  1983      906.000000
    13    12  1983      923.000000
    14    12  1983      936.000000
    15    12  1983      946.000000
    16    12  1983      955.000000
    17    12  1983      985.000000
    18    12  1983     1022.000000
    19    12  1983     1043.000000
    20    12  1983     1054.000000
    21    12  1983     1072.000000
    22    12  1983     1087.000000
    23    12  1983     1103.000000
    24    12  1983     1114.000000
    25    12  1983     1120.000000
    26    12  1983     1121.000000
    27    12  1983     1118.000000
    28    12  1983     1112.000000
    29    12  1983     1102.000000
    30    12  1983     1084.000000
    31    12  1983     1066.000000
     1     1  1984     1054.000000
     2     1  1984     1050.000000
     3     1  1984     1045.000000
     4     1  1984     1044.000000
     5     1  1984     1038.000000
     6     1  1984     1036.000000
     7     1  1984     1046.000000
     8     1  1984     1055.000000
     9     1  1984     1060.000000
    10     1  1984     1065.000000
    11     1  1984     1074.000000
    12     1  1984     1089.000000
