EIRUNEPÉ-MONTANTE	-69.881	-6.684
     1     1  1983     1571.000000
     2     1  1983     1574.000000
     3     1  1983     1576.000000
     4     1  1983     1578.000000
     5     1  1983     1578.000000
     6     1  1983     1577.000000
     7     1  1983     1574.000000
     8     1  1983     1572.000000
     9     1  1983     1573.000000
    10     1  1983     1575.000000
    11     1  1983     1576.000000
    12     1  1983     1577.000000
    13     1  1983     1577.000000
    14     1  1983     1576.000000
    15     1  1983     1574.000000
    16     1  1983     1574.000000
    17     1  1983     1573.000000
    18     1  1983     1576.000000
    19     1  1983     1583.000000
    20     1  1983     1586.000000
    21     1  1983     1590.000000
    22     1  1983     1591.000000
    23     1  1983     1592.000000
    24     1  1983     1593.000000
    25     1  1983     1592.000000
    26     1  1983     1592.000000
    27     1  1983     1591.000000
    28     1  1983     1589.000000
    29     1  1983     1585.000000
    30     1  1983     1581.000000
    31     1  1983     1578.000000
     1     2  1983     1576.000000
     2     2  1983     1573.000000
     3     2  1983     1576.000000
     4     2  1983     1570.000000
     5     2  1983     1571.000000
     6     2  1983     1575.000000
     7     2  1983     1576.000000
     8     2  1983     1575.000000
     9     2  1983     1570.000000
    10     2  1983     1561.000000
    11     2  1983     1556.000000
    12     2  1983     1550.000000
    13     2  1983     1543.000000
    14     2  1983     1535.000000
    15     2  1983     1528.000000
    16     2  1983     1516.000000
    17     2  1983     1503.000000
    18     2  1983     1491.000000
    19     2  1983     1478.000000
    20     2  1983     1471.000000
    21     2  1983     1474.000000
    22     2  1983     1477.000000
    23     2  1983     1483.000000
    24     2  1983     1487.000000
    25     2  1983     1494.000000
    26     2  1983     1503.000000
    27     2  1983     1509.000000
    28     2  1983     1514.000000
     1     3  1983     1517.000000
     2     3  1983     1518.000000
     3     3  1983     1517.000000
     4     3  1983     1513.000000
     5     3  1983     1504.000000
     6     3  1983     1494.000000
     7     3  1983     1488.000000
     8     3  1983     1481.000000
     9     3  1983     1482.000000
    10     3  1983     1479.000000
    11     3  1983     1476.000000
    12     3  1983     1476.000000
    13     3  1983     1481.000000
    14     3  1983     1490.000000
    15     3  1983     1502.000000
    16     3  1983     1510.000000
    17     3  1983     1513.000000
    18     3  1983     1515.000000
    19     3  1983     1518.000000
    20     3  1983     1521.000000
    21     3  1983     1521.000000
    22     3  1983     1523.000000
    23     3  1983     1523.000000
    24     3  1983     1518.000000
    25     3  1983     1511.000000
    26     3  1983     1501.000000
    27     3  1983     1489.000000
    28     3  1983     1475.000000
    29     3  1983     1457.000000
    30     3  1983     1441.000000
    31     3  1983     1422.000000
     1     4  1983     1405.000000
     2     4  1983     1388.000000
     3     4  1983     1379.000000
     4     4  1983     1386.000000
     5     4  1983     1387.000000
     6     4  1983     1386.000000
     7     4  1983     1383.000000
     8     4  1983     1383.000000
     9     4  1983     1387.000000
    10     4  1983     1395.000000
    11     4  1983     1405.000000
    12     4  1983     1411.000000
    13     4  1983     1411.000000
    14     4  1983     1402.000000
    15     4  1983     1394.000000
    16     4  1983     1387.000000
    17     4  1983     1385.000000
    18     4  1983     1383.000000
    19     4  1983     1382.000000
    20     4  1983     1382.000000
    21     4  1983     1381.000000
    22     4  1983     1383.000000
    23     4  1983     1381.000000
    24     4  1983     1375.000000
    25     4  1983     1365.000000
    26     4  1983     1354.000000
    27     4  1983     1349.000000
    28     4  1983     1344.000000
    29     4  1983     1337.000000
    30     4  1983     1330.000000
     1     5  1983     1319.000000
     2     5  1983     1307.000000
     3     5  1983     1296.000000
     4     5  1983     1288.000000
     5     5  1983     1280.000000
     6     5  1983     1273.000000
     7     5  1983     1264.000000
     8     5  1983     1257.000000
     9     5  1983     1247.000000
    10     5  1983     1236.000000
    11     5  1983     1228.000000
    12     5  1983     1213.000000
    13     5  1983     1196.000000
    14     5  1983     1181.000000
    15     5  1983     1168.000000
    16     5  1983     1158.000000
    17     5  1983     1147.000000
    18     5  1983     1133.000000
    19     5  1983     1121.000000
    20     5  1983     1110.000000
    21     5  1983     1102.000000
    22     5  1983     1096.000000
    23     5  1983     1088.000000
    24     5  1983     1078.000000
    25     5  1983     1068.000000
    26     5  1983     1064.000000
    27     5  1983     1065.000000
    28     5  1983     1059.000000
    29     5  1983     1036.000000
    30     5  1983     1010.000000
    31     5  1983      974.000000
     1     6  1983      936.000000
     2     6  1983      895.000000
     3     6  1983      856.000000
     4     6  1983      824.000000
