FEIJÓ	-70.368	-8.152
     1     1  1983     1078.000000
     2     1  1983     1060.000000
     3     1  1983      980.000000
     4     1  1983      754.000000
     5     1  1983      773.000000
     6     1  1983      893.000000
     7     1  1983      988.000000
     8     1  1983      912.000000
     9     1  1983      883.000000
    10     1  1983      840.000000
    11     1  1983      794.000000
    12     1  1983      775.000000
    13     1  1983      761.000000
    14     1  1983      752.000000
    15     1  1983      761.000000
    16     1  1983      811.000000
    17     1  1983      837.000000
    18     1  1983      924.000000
    19     1  1983     1185.000000
    20     1  1983     1177.000000
    21     1  1983     1085.000000
    22     1  1983     1068.000000
    23     1  1983     1016.000000
    24     1  1983      989.000000
    25     1  1983      978.000000
    26     1  1983      970.000000
    27     1  1983      945.000000
    28     1  1983      878.000000
    29     1  1983      839.000000
    30     1  1983      829.000000
    31     1  1983      818.000000
     1     2  1983      792.000000
     2     2  1983      878.000000
     3     2  1983      989.000000
     4     2  1983     1048.000000
     5     2  1983     1049.000000
     6     2  1983     1019.000000
     7     2  1983      983.000000
     8     2  1983      743.000000
     9     2  1983      729.000000
    10     2  1983      767.000000
    11     2  1983      793.000000
    12     2  1983      779.000000
    13     2  1983      769.000000
    14     2  1983      699.000000
    15     2  1983      684.000000
    16     2  1983      677.000000
    17     2  1983      661.000000
    18     2  1983      679.000000
    19     2  1983      753.000000
    20     2  1983      770.000000
    21     2  1983      761.000000
    22     2  1983      787.000000
    23     2  1983      827.000000
    24     2  1983      880.000000
    25     2  1983     1018.000000
    26     2  1983     1077.000000
    27     2  1983     1079.000000
    28     2  1983     1005.000000
     1     3  1983     1010.000000
     2     3  1983      868.000000
     3     3  1983      760.000000
     4     3  1983      731.000000
     5     3  1983      665.000000
     6     3  1983      647.000000
     7     3  1983      811.000000
     8     3  1983      875.000000
     9     3  1983      770.000000
    10     3  1983      813.000000
    11     3  1983      808.000000
    12     3  1983      870.000000
    13     3  1983      942.000000
    14     3  1983     1018.000000
    15     3  1983      914.000000
    16     3  1983      888.000000
    17     3  1983      879.000000
    18     3  1983      865.000000
    19     3  1983      831.000000
    20     3  1983      788.000000
    21     3  1983      777.000000
    22     3  1983      762.000000
    23     3  1983      715.000000
    24     3  1983      644.000000
    25     3  1983      618.000000
    26     3  1983      588.000000
    27     3  1983      577.000000
    28     3  1983      573.000000
    29     3  1983      604.000000
    30     3  1983      673.000000
    31     3  1983      699.000000
     1     4  1983      729.000000
     2     4  1983      796.000000
     3     4  1983      827.000000
     4     4  1983      798.000000
     5     4  1983      779.000000
     6     4  1983      671.000000
     7     4  1983      673.000000
     8     4  1983      718.000000
     9     4  1983      761.000000
    10     4  1983      812.000000
    11     4  1983      795.000000
    12     4  1983      787.000000
    13     4  1983      779.000000
    14     4  1983      773.000000
    15     4  1983      705.000000
    16     4  1983      687.000000
    17     4  1983      681.000000
    18     4  1983      678.000000
    19     4  1983      677.000000
    20     4  1983      685.000000
    21     4  1983      683.000000
    22     4  1983      664.000000
    23     4  1983      673.000000
    24     4  1983      678.000000
    25     4  1983      780.000000
    26     4  1983      746.000000
    27     4  1983      771.000000
    28     4  1983      749.000000
    29     4  1983      685.000000
    30     4  1983      672.000000
     1     5  1983      656.000000
     2     5  1983      665.000000
     3     5  1983      686.000000
     4     5  1983      684.000000
     5     5  1983      674.000000
     6     5  1983      661.000000
     7     5  1983      631.000000
     8     5  1983      617.000000
     9     5  1983      561.000000
    10     5  1983      553.000000
    11     5  1983      550.000000
    12     5  1983      547.000000
    13     5  1983      560.000000
    14     5  1983      546.000000
    15     5  1983      527.000000
    16     5  1983      519.000000
    17     5  1983      515.000000
    18     5  1983      544.000000
    19     5  1983      543.000000
    20     5  1983      543.000000
    21     5  1983      563.000000
    22     5  1983      578.000000
    23     5  1983      568.000000
    24     5  1983      549.000000
    25     5  1983      542.000000
    26     5  1983      538.000000
    27     5  1983      531.000000
    28     5  1983      537.000000
    29     5  1983      536.000000
    30     5  1983      522.000000
    31     5  1983      513.000000
     1     6  1983      505.000000
     2     6  1983      497.000000
     3     6  1983      495.000000
     4     6  1983      603.000000
     5     6  1983      632.000000
     6     6  1983      623.000000
     7     6  1983      602.000000
     8     6  1983      572.000000
     9     6  1983      543.000000
    10     6  1983      516.000000
    11     6  1983      495.000000
    12     6  1983      488.000000
    13     6  1983      479.000000
    14     6  1983      476.000000
    15     6  1983      469.000000
    16     6  1983      475.000000
    17     6  1983      471.000000
    18     6  1983      475.000000
    19     6  1983      473.000000
    20     6  1983      473.000000
    21     6  1983      468.000000
    22     6  1983      464.000000
