ENVIRA	-70.023	-7.428
     1     1  1983     1228.000000
     2     1  1983     1220.000000
     3     1  1983     1200.000000
     4     1  1983     1167.000000
     5     1  1983     1134.000000
     6     1  1983     1110.000000
     7     1  1983     1092.000000
     8     1  1983     1082.000000
     9     1  1983     1058.000000
    10     1  1983     1037.000000
    11     1  1983     1015.000000
    12     1  1983      984.000000
    13     1  1983      959.000000
    14     1  1983      936.000000
    15     1  1983      911.000000
    16     1  1983      901.000000
    17     1  1983      910.000000
    18     1  1983      929.000000
    19     1  1983      938.000000
    20     1  1983      953.000000
    21     1  1983      972.000000
    22     1  1983      990.000000
    23     1  1983     1016.000000
    24     1  1983     1045.000000
    25     1  1983     1067.000000
    26     1  1983     1092.000000
    27     1  1983     1133.000000
    28     1  1983     1144.000000
    29     1  1983     1117.000000
    30     1  1983     1089.000000
    31     1  1983     1054.000000
     1     2  1983     1026.000000
     2     2  1983      997.000000
     3     2  1983      969.000000
     4     2  1983      961.000000
     5     2  1983     1001.000000
     6     2  1983      991.000000
     7     2  1983      916.000000
     8     2  1983      894.000000
     9     2  1983      885.000000
    10     2  1983      867.000000
    11     2  1983      854.000000
    12     2  1983      861.000000
    13     2  1983      879.000000
    14     2  1983      899.000000
    15     2  1983      918.000000
    16     2  1983      926.000000
    17     2  1983      910.000000
    18     2  1983      877.000000
    19     2  1983      846.000000
    20     2  1983      881.000000
    21     2  1983      917.000000
    22     2  1983      914.000000
    23     2  1983      951.000000
    24     2  1983     1013.000000
    25     2  1983     1018.000000
    26     2  1983     1023.000000
    27     2  1983     1027.000000
    28     2  1983     1033.000000
     1     3  1983     1039.000000
     2     3  1983     1064.000000
     3     3  1983     1100.000000
     4     3  1983     1117.000000
     5     3  1983     1127.000000
     6     3  1983     1137.000000
     7     3  1983     1152.000000
     8     3  1983     1176.000000
     9     3  1983     1201.000000
    10     3  1983     1215.000000
    11     3  1983     1222.000000
    12     3  1983     1227.000000
    13     3  1983     1231.000000
    14     3  1983     1237.000000
    15     3  1983     1245.000000
    16     3  1983     1252.000000
    17     3  1983     1256.000000
    18     3  1983     1262.000000
    19     3  1983     1266.000000
    20     3  1983     1271.000000
    21     3  1983     1272.000000
    22     3  1983     1265.000000
    23     3  1983     1226.000000
    24     3  1983     1186.000000
    25     3  1983     1100.000000
    26     3  1983     1025.000000
    27     3  1983      956.000000
    28     3  1983      883.000000
    29     3  1983      809.000000
    30     3  1983      774.000000
    31     3  1983      762.000000
     1     4  1983      754.000000
     2     4  1983      748.000000
     3     4  1983      754.000000
     4     4  1983      770.000000
     5     4  1983      786.000000
     6     4  1983      816.000000
     7     4  1983      849.000000
     8     4  1983      871.000000
     9     4  1983      891.000000
    10     4  1983      918.000000
    11     4  1983      918.000000
    12     4  1983      892.000000
    13     4  1983      869.000000
    14     4  1983      842.000000
    15     4  1983      820.000000
    16     4  1983      807.000000
    17     4  1983      799.000000
    18     4  1983      794.000000
    19     4  1983      791.000000
    20     4  1983      786.000000
    21     4  1983      780.000000
    22     4  1983      774.000000
    23     4  1983      769.000000
    24     4  1983      764.000000
    25     4  1983      766.000000
    26     4  1983      775.000000
    27     4  1983      780.000000
    28     4  1983      789.000000
    29     4  1983      780.000000
    30     4  1983      775.000000
     1     5  1983      772.000000
     2     5  1983      767.000000
     3     5  1983      762.000000
     4     5  1983      757.000000
     5     5  1983      754.000000
     6     5  1983      751.000000
     7     5  1983      748.000000
     8     5  1983      744.000000
     9     5  1983      739.000000
    10     5  1983      733.000000
    11     5  1983      726.000000
    12     5  1983      719.000000
    13     5  1983      711.000000
    14     5  1983      706.000000
    15     5  1983      696.000000
    16     5  1983      686.000000
    17     5  1983      679.000000
    18     5  1983      674.000000
    19     5  1983      666.000000
    20     5  1983      659.000000
    21     5  1983      652.000000
    22     5  1983      646.000000
    23     5  1983      639.000000
    24     5  1983      628.000000
    25     5  1983      616.000000
    26     5  1983      606.000000
    27     5  1983      583.000000
    28     5  1983      568.000000
    29     5  1983      553.000000
    30     5  1983      527.000000
    31     5  1983      509.000000
     1     6  1983      495.000000
     2     6  1983      485.000000
     3     6  1983      475.000000
     4     6  1983      467.000000
     5     6  1983      460.000000
     6     6  1983      455.000000
     7     6  1983      449.000000
     8     6  1983      439.000000
     9     6  1983      429.000000
    10     6  1983      421.000000
    11     6  1983      413.000000
    12     6  1983      398.000000
    13     6  1983      388.000000
    14     6  1983      380.000000
    15     6  1983      375.000000
    16     6  1983      380.000000
    17     6  1983      373.000000
    18     6  1983      363.000000
    19     6  1983      354.000000
    20     6  1983      347.000000
    21     6  1983      340.000000
    22     6  1983      333.000000
    23     6  1983      327.000000
    24     6  1983      321.000000
    25     6  1983      314.000000
    26     6  1983      310.000000
    27     6  1983      306.000000
    28     6  1983      303.000000
    29     6  1983      301.000000
    30     6  1983      297.000000
     1     7  1983      291.000000
     2     7  1983      288.000000
     3     7  1983      286.000000
     4     7  1983      281.000000
     5     7  1983      275.000000
     6     7  1983      271.000000
     7     7  1983      269.000000
     8     7  1983      265.000000
     9     7  1983      261.000000
    10     7  1983      258.000000
    11     7  1983      256.000000
    12     7  1983      252.000000
    13     7  1983      248.000000
    14     7  1983      246.000000
    15     7  1983      243.000000
    16     7  1983      239.000000
    17     7  1983      237.000000
    18     7  1983      236.000000
    19     7  1983      235.000000
    20     7  1983      233.000000
    21     7  1983      230.000000
    22     7  1983      227.000000
    23     7  1983      226.000000
    24     7  1983      226.000000
    25     7  1983      225.000000
    26     7  1983      223.000000
    27     7  1983      221.000000
    28     7  1983      218.000000
    29     7  1983      217.000000
    30     7  1983      216.000000
    31     7  1983      216.000000
     1     8  1983      216.000000
     2     8  1983      215.000000
     3     8  1983      213.000000
     4     8  1983      212.000000
     5     8  1983      211.000000
     6     8  1983      209.000000
     7     8  1983      207.000000
     8     8  1983      205.000000
     9     8  1983      203.000000
    10     8  1983      201.000000
    11     8  1983      200.000000
    12     8  1983      200.000000
    13     8  1983      197.000000
    14     8  1983      195.000000
    15     8  1983      193.000000
    16     8  1983      190.000000
    17     8  1983      188.000000
    18     8  1983      185.000000
    19     8  1983      183.000000
    20     8  1983      179.000000
    21     8  1983      179.000000
    22     8  1983      182.000000
    23     8  1983      186.000000
    24     8  1983      190.000000
    25     8  1983      197.000000
    26     8  1983      201.000000
    27     8  1983      205.000000
    28     8  1983      211.000000
    29     8  1983      215.000000
    30     8  1983      218.000000
    31     8  1983      221.000000
     1     9  1983      223.000000
     2     9  1983      220.000000
     3     9  1983      218.000000
     4     9  1983      215.000000
     5     9  1983      212.000000
     6     9  1983      208.000000
     7     9  1983      206.000000
     8     9  1983      201.000000
     9     9  1983      192.000000
    10     9  1983      189.000000
    11     9  1983      191.000000
    12     9  1983      192.000000
    13     9  1983      192.000000
    14     9  1983      191.000000
    15     9  1983      187.000000
    16     9  1983      185.000000
    17     9  1983      181.000000
    18     9  1983      174.000000
    19     9  1983      171.000000
    20     9  1983      169.000000
    21     9  1983      167.000000
    22     9  1983      167.000000
    23     9  1983      167.000000
    24     9  1983      169.000000
    25     9  1983      171.000000
    26     9  1983      169.000000
    27     9  1983      171.000000
    28     9  1983      175.000000
    29     9  1983      183.000000
    30     9  1983      188.000000
     1    10  1983      191.000000
     2    10  1983      191.000000
     3    10  1983      188.000000
     4    10  1983      185.000000
     5    10  1983      181.000000
     6    10  1983      178.000000
     7    10  1983      176.000000
     8    10  1983      178.000000
     9    10  1983      182.000000
    10    10  1983      190.000000
    11    10  1983      202.000000
    12    10  1983      209.000000
    13    10  1983      205.000000
    14    10  1983      202.000000
    15    10  1983      200.000000
    16    10  1983      196.000000
    17    10  1983      192.000000
    18    10  1983      187.000000
    19    10  1983      185.000000
    20    10  1983      197.000000
    21    10  1983      197.000000
    22    10  1983      193.000000
    23    10  1983      190.000000
    24    10  1983      190.000000
