JAPURÁ-ACANAUI	-66.600	-1.817
     1     1  1983      957.000000
     2     1  1983      953.000000
     3     1  1983      950.000000
     4     1  1983      946.000000
     5     1  1983      944.000000
     6     1  1983      944.000000
     7     1  1983      946.000000
     8     1  1983      946.000000
     9     1  1983      945.000000
    10     1  1983      945.000000
    11     1  1983      946.000000
    12     1  1983      950.000000
    13     1  1983      957.000000
    14     1  1983      966.000000
    15     1  1983      975.000000
    16     1  1983      985.000000
    17     1  1983      995.000000
    18     1  1983     1001.000000
    19     1  1983     1005.000000
    20     1  1983     1007.000000
    21     1  1983     1009.000000
    22     1  1983     1006.000000
    23     1  1983     1001.000000
    24     1  1983      993.000000
    25     1  1983      981.000000
    26     1  1983      963.000000
    27     1  1983      941.000000
    28     1  1983      911.000000
    29     1  1983      888.000000
    30     1  1983      858.000000
    31     1  1983      833.000000
     1     2  1983      811.000000
     2     2  1983      789.000000
     3     2  1983      770.000000
     4     2  1983      753.000000
     5     2  1983      737.000000
     6     2  1983      725.000000
     7     2  1983      716.000000
     8     2  1983      706.000000
     9     2  1983      697.000000
    10     2  1983      691.000000
    11     2  1983      684.000000
    12     2  1983      677.000000
    13     2  1983      670.000000
    14     2  1983      661.000000
    15     2  1983      651.000000
    16     2  1983      642.000000
    17     2  1983      631.000000
    18     2  1983      620.000000
    19     2  1983      610.000000
    20     2  1983      600.000000
    21     2  1983      594.000000
    22     2  1983      593.000000
    23     2  1983      601.000000
    24     2  1983      618.000000
    25     2  1983      634.000000
    26     2  1983      650.000000
    27     2  1983      666.000000
    28     2  1983      686.000000
     1     3  1983      714.000000
     2     3  1983      735.000000
     3     3  1983      753.000000
     4     3  1983      767.000000
     5     3  1983      780.000000
     6     3  1983      791.000000
     7     3  1983      802.000000
     8     3  1983      812.000000
     9     3  1983      824.000000
    10     3  1983      834.000000
    11     3  1983      840.000000
    12     3  1983      843.000000
    13     3  1983      842.000000
    14     3  1983      837.000000
    15     3  1983      829.000000
    16     3  1983      821.000000
    17     3  1983      814.000000
    18     3  1983      807.000000
    19     3  1983      800.000000
    20     3  1983      793.000000
    21     3  1983      790.000000
    22     3  1983      788.000000
    23     3  1983      789.000000
    24     3  1983      791.000000
    25     3  1983      790.000000
    26     3  1983      794.000000
    27     3  1983      806.000000
    28     3  1983      824.000000
    29     3  1983      849.000000
    30     3  1983      885.000000
    31     3  1983      922.000000
     1     4  1983      945.000000
     2     4  1983      964.000000
     3     4  1983      981.000000
     4     4  1983      992.000000
     5     4  1983      998.000000
     6     4  1983     1001.000000
     7     4  1983     1001.000000
     8     4  1983     1001.000000
     9     4  1983      999.000000
    10     4  1983      998.000000
    11     4  1983     1002.000000
    12     4  1983     1007.000000
    13     4  1983     1014.000000
    14     4  1983     1022.000000
    15     4  1983     1030.000000
    16     4  1983     1038.000000
    17     4  1983     1048.000000
    18     4  1983     1062.000000
    19     4  1983     1075.000000
    20     4  1983     1090.000000
    21     4  1983     1108.000000
    22     4  1983     1123.000000
    23     4  1983     1141.000000
    24     4  1983     1155.000000
    25     4  1983     1165.000000
