COARI	-63.143	-4.082
     1     1  1983     1181.000000
     2     1  1983     1196.000000
     3     1  1983     1201.000000
     4     1  1983     1206.000000
     5     1  1983     1209.000000
     6     1  1983     1213.000000
     7     1  1983     1216.000000
     8     1  1983     1219.000000
     9     1  1983     1221.000000
    10     1  1983     1225.000000
    11     1  1983     1230.000000
    12     1  1983     1234.000000
    13     1  1983     1234.000000
    14     1  1983     1238.000000
    15     1  1983     1241.000000
    16     1  1983     1243.000000
    17     1  1983     1244.000000
    18     1  1983     1247.000000
    19     1  1983     1250.000000
    20     1  1983     1253.000000
    21     1  1983     1257.000000
    22     1  1983     1258.000000
    23     1  1983     1261.000000
    24     1  1983     1262.000000
    25     1  1983     1262.000000
    26     1  1983     1264.000000
    27     1  1983     1265.000000
    28     1  1983     1266.000000
    29     1  1983     1267.000000
    30     1  1983     1267.000000
    31     1  1983     1267.000000
     1     2  1983     1268.000000
     2     2  1983     1268.000000
     3     2  1983     1268.000000
     4     2  1983     1268.000000
     5     2  1983     1268.000000
     6     2  1983     1269.000000
     7     2  1983     1271.000000
     8     2  1983     1273.000000
     9     2  1983     1273.000000
    10     2  1983     1271.000000
    11     2  1983     1269.000000
    12     2  1983     1266.000000
    13     2  1983     1265.000000
    14     2  1983     1264.000000
    15     2  1983     1261.000000
    16     2  1983     1259.000000
    17     2  1983     1255.000000
    18     2  1983     1253.000000
    19     2  1983     1251.000000
    20     2  1983     1246.000000
    21     2  1983     1243.000000
    22     2  1983     1241.000000
    23     2  1983     1239.000000
    24     2  1983     1234.000000
    25     2  1983     1232.000000
    26     2  1983     1229.000000
    27     2  1983     1228.000000
    28     2  1983     1224.000000
     1     3  1983     1222.000000
     2     3  1983     1221.000000
     3     3  1983     1219.000000
     4     3  1983     1218.000000
     5     3  1983     1214.000000
     6     3  1983     1213.000000
     7     3  1983     1212.000000
     8     3  1983     1212.000000
     9     3  1983     1211.000000
    10     3  1983     1212.000000
    11     3  1983     1212.000000
    12     3  1983     1212.000000
    13     3  1983     1216.000000
    14     3  1983     1218.000000
    15     3  1983     1221.000000
    16     3  1983     1222.000000
    17     3  1983     1222.000000
    18     3  1983     1222.000000
    19     3  1983     1224.000000
    20     3  1983     1225.000000
    21     3  1983     1227.000000
    22     3  1983     1228.000000
    23     3  1983     1232.000000
    24     3  1983     1236.000000
    25     3  1983     1242.000000
    26     3  1983     1246.000000
    27     3  1983     1253.000000
    28     3  1983     1257.000000
    29     3  1983     1260.000000
    30     3  1983     1263.000000
    31     3  1983     1266.000000
     1     4  1983     1269.000000
     2     4  1983     1272.000000
     3     4  1983     1277.000000
     4     4  1983     1280.000000
     5     4  1983     1284.000000
     6     4  1983     1289.000000
     7     4  1983     1293.000000
     8     4  1983     1296.000000
     9     4  1983     1301.000000
    10     4  1983     1307.000000
    11     4  1983     1311.000000
    12     4  1983     1315.000000
    13     4  1983     1318.000000
    14     4  1983     1322.000000
    15     4  1983     1325.000000
    16     4  1983     1332.000000
    17     4  1983     1339.000000
    18     4  1983     1341.000000
    19     4  1983     1344.000000
    20     4  1983     1349.000000
    21     4  1983     1356.000000
    22     4  1983     1363.000000
    23     4  1983     1366.000000
    24     4  1983     1370.000000
    25     4  1983     1375.000000
    26     4  1983     1381.000000
    27     4  1983     1385.000000
    28     4  1983     1392.000000
    29     4  1983     1397.000000
    30     4  1983     1399.000000
     1     5  1983     1405.000000
     2     5  1983     1410.000000
     3     5  1983     1413.000000
     4     5  1983     1420.000000
