MANOELURBANO	-69.268	-8.884
     1     1  1983      889.000000
     2     1  1983      910.000000
     3     1  1983      978.000000
     4     1  1983     1015.000000
     5     1  1983     1036.000000
     6     1  1983     1068.000000
     7     1  1983     1069.000000
     8     1  1983     1060.000000
     9     1  1983     1016.000000
    10     1  1983      962.000000
    11     1  1983      934.000000
    12     1  1983      921.000000
    13     1  1983      933.000000
    14     1  1983      948.000000
    15     1  1983      961.000000
    16     1  1983      976.000000
    17     1  1983      995.000000
    18     1  1983     1016.000000
    19     1  1983     1027.000000
    20     1  1983     1035.000000
    21     1  1983     1046.000000
    22     1  1983     1056.000000
    23     1  1983     1053.000000
    24     1  1983     1033.000000
    25     1  1983     1013.000000
    26     1  1983     1006.000000
    27     1  1983      989.000000
    28     1  1983      964.000000
    29     1  1983      933.000000
    30     1  1983      908.000000
    31     1  1983      895.000000
     1     2  1983      885.000000
     2     2  1983      898.000000
     3     2  1983      907.000000
     4     2  1983      881.000000
     5     2  1983      840.000000
     6     2  1983      805.000000
     7     2  1983      796.000000
     8     2  1983      829.000000
     9     2  1983      864.000000
    10     2  1983      854.000000
    11     2  1983      830.000000
    12     2  1983      817.000000
    13     2  1983      797.000000
    14     2  1983      776.000000
    15     2  1983      767.000000
    16     2  1983      794.000000
    17     2  1983      840.000000
    18     2  1983      893.000000
    19     2  1983      878.000000
    20     2  1983      867.000000
    21     2  1983      858.000000
    22     2  1983      800.000000
    23     2  1983      795.000000
    24     2  1983      789.000000
    25     2  1983      775.000000
    26     2  1983      758.000000
    27     2  1983      732.000000
    28     2  1983      725.000000
     1     3  1983      725.000000
     2     3  1983      721.000000
     3     3  1983      726.000000
     4     3  1983      725.000000
     5     3  1983      710.000000
     6     3  1983      710.000000
     7     3  1983      747.000000
     8     3  1983      755.000000
     9     3  1983      736.000000
    10     3  1983      718.000000
    11     3  1983      800.000000
    12     3  1983      895.000000
    13     3  1983      965.000000
    14     3  1983     1004.000000
    15     3  1983     1000.000000
    16     3  1983      985.000000
    17     3  1983      895.000000
    18     3  1983      855.000000
    19     3  1983      796.000000
    20     3  1983      792.000000
    21     3  1983      939.000000
    22     3  1983     1019.000000
    23     3  1983     1085.000000
    24     3  1983     1040.000000
    25     3  1983     1036.000000
    26     3  1983     1018.000000
    27     3  1983     1010.000000
    28     3  1983      916.000000
    29     3  1983      912.000000
    30     3  1983      814.000000
    31     3  1983      809.000000
     1     4  1983      705.000000
     2     4  1983      644.000000
     3     4  1983      616.000000
     4     4  1983      614.000000
     5     4  1983      615.000000
     6     4  1983      612.000000
     7     4  1983      622.000000
     8     4  1983      653.000000
     9     4  1983      685.000000
    10     4  1983      707.000000
    11     4  1983      733.000000
    12     4  1983      762.000000
    13     4  1983      794.000000
    14     4  1983      811.000000
    15     4  1983      791.000000
    16     4  1983      761.000000
    17     4  1983      721.000000
    18     4  1983      688.000000
    19     4  1983      712.000000
    20     4  1983      711.000000
    21     4  1983      694.000000
    22     4  1983      665.000000
    23     4  1983      675.000000
    24     4  1983      725.000000
    25     4  1983      755.000000
    26     4  1983      737.000000
    27     4  1983      709.000000
    28     4  1983      694.000000
    29     4  1983      689.000000
    30     4  1983      682.000000
     1     5  1983      686.000000
     2     5  1983      710.000000
     3     5  1983      718.000000
     4     5  1983      709.000000
     5     5  1983      693.000000
