SERINGALSÃOJOSÉ	-68.718	-9.319
     1     1  1983      567.000000
     2     1  1983      575.000000
     3     1  1983      687.000000
     4     1  1983      722.000000
     5     1  1983      803.000000
     6     1  1983      792.000000
     7     1  1983      646.000000
     8     1  1983      547.000000
     9     1  1983      518.000000
    10     1  1983      560.000000
    11     1  1983      581.000000
    12     1  1983      575.000000
    13     1  1983      521.000000
    14     1  1983      514.000000
    15     1  1983      485.000000
    16     1  1983      716.000000
    17     1  1983      834.000000
    18     1  1983     1030.000000
    19     1  1983     1106.000000
    20     1  1983     1116.000000
    21     1  1983      933.000000
    22     1  1983      804.000000
    23     1  1983      774.000000
    24     1  1983      722.000000
    25     1  1983      855.000000
    26     1  1983      788.000000
    27     1  1983      850.000000
    28     1  1983      850.000000
    29     1  1983      903.000000
    30     1  1983      732.000000
    31     1  1983      664.000000
     1     2  1983      639.000000
     2     2  1983      639.000000
     3     2  1983      628.000000
     4     2  1983      682.000000
     5     2  1983      621.000000
     6     2  1983      551.000000
     7     2  1983      528.000000
     8     2  1983      530.000000
     9     2  1983      637.000000
    10     2  1983      683.000000
    11     2  1983      564.000000
    12     2  1983      515.000000
    13     2  1983      504.000000
    14     2  1983      530.000000
    15     2  1983      500.000000
    16     2  1983      476.000000
    17     2  1983      486.000000
    18     2  1983      470.000000
    19     2  1983      713.000000
    20     2  1983      927.000000
    21     2  1983      922.000000
    22     2  1983      735.000000
    23     2  1983      774.000000
    24     2  1983      928.000000
    25     2  1983     1061.000000
    26     2  1983     1110.000000
    27     2  1983      961.000000
    28     2  1983      757.000000
     1     3  1983      693.000000
     2     3  1983      619.000000
     3     3  1983      573.000000
     4     3  1983      550.000000
     5     3  1983      767.000000
     6     3  1983      761.000000
     7     3  1983      621.000000
     8     3  1983      562.000000
     9     3  1983      509.000000
    10     3  1983      508.000000
    11     3  1983      790.000000
    12     3  1983      962.000000
    13     3  1983      988.000000
    14     3  1983     1103.000000
    15     3  1983     1167.000000
    16     3  1983     1169.000000
    17     3  1983     1095.000000
    18     3  1983      873.000000
    19     3  1983      837.000000
    20     3  1983      927.000000
    21     3  1983     1069.000000
    22     3  1983     1152.000000
    23     3  1983     1190.000000
    24     3  1983     1217.000000
    25     3  1983     1232.000000
    26     3  1983     1070.000000
    27     3  1983      749.000000
    28     3  1983      660.000000
    29     3  1983      611.000000
    30     3  1983      675.000000
    31     3  1983      687.000000
     1     4  1983      610.000000
     2     4  1983      613.000000
     3     4  1983      623.000000
     4     4  1983      570.000000
     5     4  1983      554.000000
     6     4  1983      524.000000
     7     4  1983      571.000000
     8     4  1983      603.000000
     9     4  1983      695.000000
    10     4  1983      790.000000
    11     4  1983      703.000000
    12     4  1983      719.000000
    13     4  1983      787.000000
    14     4  1983      751.000000
    15     4  1983      670.000000
    16     4  1983      636.000000
    17     4  1983      595.000000
    18     4  1983      553.000000
    19     4  1983      578.000000
    20     4  1983      554.000000
    21     4  1983      516.000000
    22     4  1983      532.000000
    23     4  1983      812.000000
    24     4  1983      797.000000
    25     4  1983      747.000000
    26     4  1983      708.000000
    27     4  1983      627.000000
    28     4  1983      572.000000
    29     4  1983      527.000000
    30     4  1983      510.000000
     1     5  1983      510.000000
     2     5  1983      470.000000
     3     5  1983      452.000000
     4     5  1983      434.000000
     5     5  1983      453.000000
     6     5  1983      493.000000
     7     5  1983      476.000000
     8     5  1983      455.000000
     9     5  1983      449.000000
    10     5  1983      457.000000
    11     5  1983      452.000000
    12     5  1983      435.000000
    13     5  1983      434.000000
    14     5  1983      449.000000
    15     5  1983      439.000000
    16     5  1983      488.000000
    17     5  1983      563.000000
    18     5  1983      513.000000
    19     5  1983      486.000000
    20     5  1983      463.000000
    21     5  1983      436.000000
    22     5  1983      430.000000
    23     5  1983      450.000000
    24     5  1983      454.000000
    25     5  1983      534.000000
    26     5  1983      636.000000
    27     5  1983      548.000000
    28     5  1983      506.000000
    29     5  1983      478.000000
    30     5  1983      450.000000
    31     5  1983      430.000000
     1     6  1983      415.000000
     2     6  1983      403.000000
     3     6  1983      552.000000
     4     6  1983      526.000000
     5     6  1983      492.000000
     6     6  1983      476.000000
     7     6  1983      451.000000
     8     6  1983      423.000000
     9     6  1983      403.000000
    10     6  1983      385.000000
    11     6  1983      367.000000
    12     6  1983      356.000000
    13     6  1983      350.000000
    14     6  1983      347.000000
    15     6  1983      347.000000
    16     6  1983      347.000000
    17     6  1983      348.000000
    18     6  1983      339.000000
    19     6  1983      334.000000
    20     6  1983      333.000000
    21     6  1983      337.000000
    22     6  1983      345.000000
    23     6  1983      337.000000
    24     6  1983      332.000000
    25     6  1983      326.000000
    26     6  1983      323.000000
    27     6  1983      319.000000
    28     6  1983      317.000000
    29     6  1983      314.000000
    30     6  1983      312.000000
     1     7  1983      309.000000
     2     7  1983      308.000000
     3     7  1983      307.000000
     4     7  1983      306.000000
     5     7  1983      305.000000
     6     7  1983      303.000000
     7     7  1983      302.000000
     8     7  1983      300.000000
     9     7  1983      296.000000
    10     7  1983      293.000000
    11     7  1983      291.000000
    12     7  1983      290.000000
    13     7  1983      289.000000
    14     7  1983      288.000000
    15     7  1983      286.000000
    16     7  1983      288.000000
    17     7  1983      291.000000
    18     7  1983      289.000000
    19     7  1983      290.000000
    20     7  1983      287.000000
    21     7  1983      304.000000
    22     7  1983      337.000000
    23     7  1983      342.000000
    24     7  1983      328.000000
    25     7  1983      312.000000
    26     7  1983      302.000000
    27     7  1983      291.000000
    28     7  1983      289.000000
    29     7  1983      286.000000
    30     7  1983      282.000000
    31     7  1983      280.000000
     1     8  1983      278.000000
     2     8  1983      276.000000
     3     8  1983      274.000000
     4     8  1983      275.000000
     5     8  1983      272.000000
