SERINGALDACARIDADE	-68.577	-9.044
     1     1  1983     1214.000000
     2     1  1983     1174.000000
     3     1  1983     1123.000000
     4     1  1983     1096.000000
     5     1  1983     1111.000000
     6     1  1983     1142.000000
     7     1  1983     1177.000000
     8     1  1983     1202.000000
     9     1  1983     1215.000000
    10     1  1983     1203.000000
    11     1  1983     1171.000000
    12     1  1983     1135.000000
    13     1  1983     1119.000000
    14     1  1983     1124.000000
    15     1  1983     1140.000000
    16     1  1983     1171.000000
    17     1  1983     1191.000000
    18     1  1983     1217.000000
    19     1  1983     1246.000000
    20     1  1983     1290.000000
    21     1  1983     1313.000000
    22     1  1983     1325.000000
    23     1  1983     1342.000000
    24     1  1983     1363.000000
    25     1  1983     1369.000000
    26     1  1983     1339.000000
    27     1  1983     1296.000000
    28     1  1983     1287.000000
    29     1  1983     1263.000000
    30     1  1983     1223.000000
    31     1  1983     1166.000000
     1     2  1983     1114.000000
     2     2  1983     1094.000000
     3     2  1983     1062.000000
     4     2  1983     1078.000000
     5     2  1983     1116.000000
     6     2  1983     1083.000000
     7     2  1983     1011.000000
     8     2  1983      945.000000
     9     2  1983      905.000000
    10     2  1983      945.000000
    11     2  1983     1033.000000
    12     2  1983     1031.000000
    13     2  1983      981.000000
    14     2  1983      963.000000
    15     2  1983      930.000000
    16     2  1983      896.000000
    17     2  1983      864.000000
    18     2  1983      885.000000
    19     2  1983      977.000000
    20     2  1983     1020.000000
    21     2  1983     1037.000000
    22     2  1983      993.000000
    23     2  1983      960.000000
    24     2  1983     1071.000000
    25     2  1983     1138.000000
    26     2  1983     1185.000000
    27     2  1983     1193.000000
    28     2  1983     1153.000000
     1     3  1983     1069.000000
     2     3  1983     1018.000000
     3     3  1983     1005.000000
     4     3  1983      973.000000
     5     3  1983      998.000000
     6     3  1983     1090.000000
     7     3  1983     1113.000000
     8     3  1983     1153.000000
     9     3  1983     1174.000000
    10     3  1983     1176.000000
    11     3  1983     1161.000000
    12     3  1983     1233.000000
    13     3  1983     1315.000000
    14     3  1983     1379.000000
    15     3  1983     1426.000000
    16     3  1983     1437.000000
    17     3  1983     1395.000000
    18     3  1983     1301.000000
    19     3  1983     1237.000000
    20     3  1983     1262.000000
    21     3  1983     1314.000000
    22     3  1983     1359.000000
    23     3  1983     1423.000000
    24     3  1983     1437.000000
    25     3  1983     1425.000000
    26     3  1983     1400.000000
    27     3  1983     1291.000000
    28     3  1983     1164.000000
    29     3  1983      967.000000
    30     3  1983      896.000000
    31     3  1983      928.000000
     1     4  1983      936.000000
     2     4  1983      922.000000
     3     4  1983      921.000000
     4     4  1983      953.000000
     5     4  1983      943.000000
     6     4  1983      922.000000
     7     4  1983      983.000000
     8     4  1983      957.000000
     9     4  1983      920.000000
    10     4  1983      928.000000
    11     4  1983      967.000000
    12     4  1983     1041.000000
    13     4  1983     1053.000000
    14     4  1983     1048.000000
    15     4  1983     1069.000000
    16     4  1983     1011.000000
    17     4  1983      956.000000
    18     4  1983      907.000000
    19     4  1983      856.000000
    20     4  1983      831.000000
    21     4  1983      836.000000
    22     4  1983      790.000000
    23     4  1983      784.000000
    24     4  1983      813.000000
    25     4  1983      860.000000
    26     4  1983      947.000000
    27     4  1983      934.000000
    28     4  1983      879.000000
    29     4  1983      841.000000
    30     4  1983      800.000000
     1     5  1983      817.000000
     2     5  1983      836.000000
     3     5  1983      762.000000
     4     5  1983      760.000000
     5     5  1983      786.000000
     6     5  1983      756.000000
     7     5  1983      711.000000
     8     5  1983      678.000000
     9     5  1983      658.000000
    10     5  1983      645.000000
    11     5  1983      634.000000
    12     5  1983      626.000000
    13     5  1983      639.000000
    14     5  1983      650.000000
    15     5  1983      646.000000
    16     5  1983      612.000000
    17     5  1983      610.000000
    18     5  1983      684.000000
    19     5  1983      719.000000
    20     5  1983      719.000000
    21     5  1983      665.000000
    22     5  1983      611.000000
    23     5  1983      589.000000
    24     5  1983      579.000000
    25     5  1983      573.000000
    26     5  1983      637.000000
    27     5  1983      658.000000
    28     5  1983      630.000000
    29     5  1983      614.000000
    30     5  1983      601.000000
    31     5  1983      586.000000
     1     6  1983      573.000000
     2     6  1983      562.000000
     3     6  1983      554.000000
     4     6  1983      683.000000
     5     6  1983      751.000000
     6     6  1983      716.000000
     7     6  1983      657.000000
     8     6  1983      630.000000
     9     6  1983      585.000000
    10     6  1983      565.000000
    11     6  1983      530.000000
    12     6  1983      483.000000
    13     6  1983      464.000000
    14     6  1983      483.000000
    15     6  1983      541.000000
    16     6  1983      537.000000
    17     6  1983      488.000000
    18     6  1983      462.000000
    19     6  1983      454.000000
    20     6  1983      450.000000
    21     6  1983      452.000000
    22     6  1983      459.000000
    23     6  1983      455.000000
    24     6  1983      446.000000
    25     6  1983      442.000000
    26     6  1983      434.000000
    27     6  1983      424.000000
    28     6  1983      415.000000
    29     6  1983      408.000000
    30     6  1983      402.000000
     1     7  1983      396.000000
     2     7  1983      390.000000
     3     7  1983      386.000000
     4     7  1983      382.000000
     5     7  1983      378.000000
     6     7  1983      374.000000
     7     7  1983      371.000000
     8     7  1983      375.000000
     9     7  1983      373.000000
    10     7  1983      371.000000
    11     7  1983      367.000000
    12     7  1983      363.000000
    13     7  1983      361.000000
    14     7  1983      358.000000
    15     7  1983      357.000000
    16     7  1983      350.000000
    17     7  1983      349.000000
    18     7  1983      342.000000
    19     7  1983      339.000000
    20     7  1983      339.000000
    21     7  1983      337.000000
    22     7  1983      334.000000
