BRASILÉIA	-68.745	-11.018
     1     1  1983      321.000000
     2     1  1983      283.000000
     3     1  1983      323.000000
     4     1  1983      509.000000
     5     1  1983      511.000000
     6     1  1983      419.000000
     7     1  1983      352.000000
     8     1  1983      323.000000
     9     1  1983      311.000000
    10     1  1983      371.000000
    11     1  1983      325.000000
    12     1  1983      309.000000
    13     1  1983      322.000000
    14     1  1983      294.000000
    15     1  1983      281.000000
    16     1  1983      475.000000
    17     1  1983      817.000000
    18     1  1983      802.000000
    19     1  1983      501.000000
    20     1  1983      443.000000
    21     1  1983      405.000000
    22     1  1983      386.000000
    23     1  1983      439.000000
    24     1  1983      543.000000
    25     1  1983      420.000000
    26     1  1983      552.000000
    27     1  1983      446.000000
    28     1  1983      403.000000
    29     1  1983      539.000000
    30     1  1983      495.000000
    31     1  1983      423.000000
     1     2  1983      353.000000
     2     2  1983      525.000000
     3     2  1983      515.000000
     4     2  1983      426.000000
     5     2  1983      350.000000
     6     2  1983      323.000000
     7     2  1983      336.000000
     8     2  1983      297.000000
     9     2  1983      360.000000
    10     2  1983      366.000000
    11     2  1983      332.000000
    12     2  1983      337.000000
    13     2  1983      309.000000
    14     2  1983      282.000000
    15     2  1983      281.000000
    16     2  1983      269.000000
    17     2  1983      275.000000
    18     2  1983      342.000000
    19     2  1983      653.000000
    20     2  1983      520.000000
    21     2  1983      445.000000
    22     2  1983      321.000000
    23     2  1983      512.000000
    24     2  1983      693.000000
    25     2  1983      705.000000
    26     2  1983      489.000000
    27     2  1983      425.000000
    28     2  1983      434.000000
     1     3  1983      475.000000
     2     3  1983      411.000000
     3     3  1983      370.000000
     4     3  1983      369.000000
     5     3  1983      482.000000
     6     3  1983      430.000000
     7     3  1983      368.000000
     8     3  1983      330.000000
     9     3  1983      322.000000
    10     3  1983      413.000000
    11     3  1983      504.000000
    12     3  1983      572.000000
    13     3  1983      548.000000
    14     3  1983      553.000000
    15     3  1983      587.000000
    16     3  1983      601.000000
    17     3  1983      547.000000
    18     3  1983      420.000000
    19     3  1983      547.000000
    20     3  1983      698.000000
    21     3  1983      887.000000
    22     3  1983      615.000000
    23     3  1983      450.000000
    24     3  1983      406.000000
    25     3  1983      361.000000
    26     3  1983      342.000000
    27     3  1983      340.000000
    28     3  1983      333.000000
    29     3  1983      337.000000
    30     3  1983      377.000000
    31     3  1983      364.000000
     1     4  1983      444.000000
     2     4  1983      413.000000
     3     4  1983      348.000000
     4     4  1983      327.000000
     5     4  1983      318.000000
     6     4  1983      328.000000
     7     4  1983      420.000000
     8     4  1983      457.000000
     9     4  1983      459.000000
    10     4  1983      406.000000
    11     4  1983      379.000000
    12     4  1983      372.000000
    13     4  1983      362.000000
    14     4  1983      408.000000
    15     4  1983      370.000000
    16     4  1983      342.000000
    17     4  1983      333.000000
    18     4  1983      329.000000
    19     4  1983      316.000000
    20     4  1983      307.000000
    21     4  1983      309.000000
    22     4  1983      407.000000
    23     4  1983      369.000000
    24     4  1983      381.000000
    25     4  1983      371.000000
    26     4  1983      334.000000
    27     4  1983      343.000000
    28     4  1983      324.000000
    29     4  1983      292.000000
