XAPURI	-68.507	-10.650
     1     1  1983      436.000000
     2     1  1983      427.000000
     3     1  1983      418.000000
     4     1  1983      462.000000
     5     1  1983      603.000000
     6     1  1983      580.000000
     7     1  1983      528.000000
     8     1  1983      500.000000
     9     1  1983      465.000000
    10     1  1983      463.000000
    11     1  1983      491.000000
    12     1  1983      520.000000
    13     1  1983      541.000000
    14     1  1983      536.000000
    15     1  1983      519.000000
    16     1  1983      502.000000
    17     1  1983      727.000000
    18     1  1983      961.000000
    19     1  1983      836.000000
    20     1  1983      741.000000
    21     1  1983      707.000000
    22     1  1983      637.000000
    23     1  1983      595.000000
    24     1  1983      542.000000
    25     1  1983      506.000000
    26     1  1983      459.000000
    27     1  1983      524.000000
    28     1  1983      658.000000
    29     1  1983      648.000000
    30     1  1983      618.000000
    31     1  1983      580.000000
     1     2  1983      552.000000
     2     2  1983      529.000000
     3     2  1983      515.000000
     4     2  1983      486.000000
     5     2  1983      468.000000
     6     2  1983      444.000000
     7     2  1983      462.000000
     8     2  1983      516.000000
     9     2  1983      574.000000
    10     2  1983      505.000000
    11     2  1983      469.000000
    12     2  1983      453.000000
    13     2  1983      443.000000
    14     2  1983      436.000000
    15     2  1983      425.000000
    16     2  1983      419.000000
    17     2  1983      433.000000
    18     2  1983      468.000000
    19     2  1983      545.000000
    20     2  1983      616.000000
    21     2  1983      602.000000
    22     2  1983      637.000000
    23     2  1983      748.000000
    24     2  1983      882.000000
    25     2  1983      860.000000
    26     2  1983      804.000000
    27     2  1983      712.000000
    28     2  1983      652.000000
     1     3  1983      641.000000
     2     3  1983      638.000000
     3     3  1983      573.000000
     4     3  1983      542.000000
     5     3  1983      729.000000
     6     3  1983      756.000000
     7     3  1983      683.000000
     8     3  1983      553.000000
     9     3  1983      519.000000
    10     3  1983      492.000000
    11     3  1983      625.000000
    12     3  1983      740.000000
    13     3  1983      797.000000
    14     3  1983      798.000000
    15     3  1983      786.000000
    16     3  1983      826.000000
    17     3  1983      792.000000
    18     3  1983      713.000000
    19     3  1983      786.000000
    20     3  1983      935.000000
    21     3  1983     1074.000000
    22     3  1983     1068.000000
    23     3  1983      800.000000
    24     3  1983      599.000000
    25     3  1983      530.000000
    26     3  1983      475.000000
    27     3  1983      457.000000
    28     3  1983      451.000000
    29     3  1983      447.000000
    30     3  1983      472.000000
    31     3  1983      502.000000
     1     4  1983      536.000000
     2     4  1983      596.000000
     3     4  1983      531.000000
     4     4  1983      456.000000
     5     4  1983      431.000000
     6     4  1983      428.000000
     7     4  1983      656.000000
     8     4  1983      556.000000
     9     4  1983      499.000000
    10     4  1983      468.000000
    11     4  1983      443.000000
    12     4  1983      426.000000
    13     4  1983      451.000000
    14     4  1983      497.000000
    15     4  1983      481.000000
    16     4  1983      452.000000
    17     4  1983      444.000000
    18     4  1983      435.000000
    19     4  1983      424.000000
