FLORIANOPEIXOTO	-67.368	-9.051
     1     1  1983     1515.000000
     2     1  1983     1475.000000
     3     1  1983     1405.000000
     4     1  1983     1342.000000
     5     1  1983     1297.000000
     6     1  1983     1249.000000
     7     1  1983     1215.000000
     8     1  1983     1169.000000
     9     1  1983     1130.000000
    10     1  1983     1139.000000
    11     1  1983     1140.000000
    12     1  1983     1114.000000
    13     1  1983     1079.000000
    14     1  1983     1066.000000
    15     1  1983     1108.000000
    16     1  1983     1163.000000
    17     1  1983     1205.000000
    18     1  1983     1252.000000
    19     1  1983     1298.000000
    20     1  1983     1327.000000
    21     1  1983     1368.000000
    22     1  1983     1405.000000
    23     1  1983     1447.000000
    24     1  1983     1471.000000
    25     1  1983     1470.000000
    26     1  1983     1450.000000
    27     1  1983     1410.000000
    28     1  1983     1367.000000
    29     1  1983     1320.000000
    30     1  1983     1301.000000
    31     1  1983     1301.000000
     1     2  1983     1297.000000
     2     2  1983     1293.000000
     3     2  1983     1297.000000
     4     2  1983     1301.000000
     5     2  1983     1304.000000
     6     2  1983     1301.000000
     7     2  1983     1288.000000
     8     2  1983     1267.000000
     9     2  1983     1239.000000
    10     2  1983     1210.000000
    11     2  1983     1181.000000
    12     2  1983     1155.000000
    13     2  1983     1132.000000
    14     2  1983     1108.000000
    15     2  1983     1104.000000
    16     2  1983     1115.000000
    17     2  1983     1115.000000
    18     2  1983     1083.000000
    19     2  1983     1036.000000
    20     2  1983     1011.000000
    21     2  1983      987.000000
    22     2  1983      984.000000
    23     2  1983     1027.000000
    24     2  1983     1107.000000
    25     2  1983     1173.000000
    26     2  1983     1246.000000
    27     2  1983     1295.000000
    28     2  1983     1314.000000
     1     3  1983     1302.000000
     2     3  1983     1273.000000
     3     3  1983     1218.000000
     4     3  1983     1168.000000
     5     3  1983     1150.000000
     6     3  1983     1166.000000
     7     3  1983     1210.000000
     8     3  1983     1260.000000
     9     3  1983     1307.000000
    10     3  1983     1338.000000
    11     3  1983     1365.000000
    12     3  1983     1410.000000
    13     3  1983     1458.000000
    14     3  1983     1487.000000
    15     3  1983     1505.000000
    16     3  1983     1521.000000
    17     3  1983     1532.000000
    18     3  1983     1536.000000
    19     3  1983     1550.000000
    20     3  1983     1583.000000
    21     3  1983     1594.000000
    22     3  1983     1598.000000
    23     3  1983     1604.000000
    24     3  1983     1609.000000
    25     3  1983     1613.000000
    26     3  1983     1612.000000
    27     3  1983     1586.000000
    28     3  1983     1532.000000
    29     3  1983     1482.000000
    30     3  1983     1463.000000
    31     3  1983     1441.000000
     1     4  1983     1417.000000
     2     4  1983     1387.000000
     3     4  1983     1353.000000
     4     4  1983     1323.000000
     5     4  1983     1302.000000
     6     4  1983     1283.000000
     7     4  1983     1251.000000
     8     4  1983     1212.000000
     9     4  1983     1179.000000
    10     4  1983     1146.000000
    11     4  1983     1112.000000
    12     4  1983     1086.000000
    13     4  1983     1070.000000
    14     4  1983     1071.000000
    15     4  1983     1088.000000
    16     4  1983     1114.000000
    17     4  1983     1127.000000
    18     4  1983     1123.000000
    19     4  1983     1107.000000
    20     4  1983     1083.000000
    21     4  1983     1051.000000
    22     4  1983     1029.000000
    23     4  1983     1022.000000
    24     4  1983     1024.000000
    25     4  1983     1036.000000
    26     4  1983     1060.000000
    27     4  1983     1072.000000
    28     4  1983     1072.000000
    29     4  1983     1060.000000
    30     4  1983     1037.000000
     1     5  1983     1010.000000
     2     5  1983      989.000000
     3     5  1983      968.000000
     4     5  1983      954.000000
     5     5  1983      942.000000
     6     5  1983      929.000000
     7     5  1983      920.000000
     8     5  1983      909.000000
     9     5  1983      904.000000
    10     5  1983      908.000000
    11     5  1983      924.000000
    12     5  1983      944.000000
    13     5  1983      957.000000
    14     5  1983      957.000000
    15     5  1983      947.000000
    16     5  1983      933.000000
    17     5  1983      921.000000
    18     5  1983      941.000000
    19     5  1983      960.000000
    20     5  1983      960.000000
    21     5  1983      946.000000
    22     5  1983      933.000000
    23     5  1983      923.000000
    24     5  1983      911.000000
    25     5  1983      896.000000
    26     5  1983      876.000000
    27     5  1983      857.000000
    28     5  1983      838.000000
    29     5  1983      820.000000
    30     5  1983      809.000000
    31     5  1983      802.000000
     1     6  1983      791.000000
     2     6  1983      776.000000
     3     6  1983      757.000000
     4     6  1983      736.000000
     5     6  1983      716.000000
     6     6  1983      709.000000
     7     6  1983      717.000000
     8     6  1983      728.000000
     9     6  1983      726.000000
    10     6  1983      717.000000
    11     6  1983      704.000000
    12     6  1983      690.000000
    13     6  1983      676.000000
    14     6  1983      658.000000
    15     6  1983      645.000000
    16     6  1983      637.000000
    17     6  1983      631.000000
    18     6  1983      626.000000
    19     6  1983      620.000000
    20     6  1983      614.000000
