BOCADOACRE	-67.400	-8.736
     1     1  1983     1688.000000
     2     1  1983     1676.000000
     3     1  1983     1629.000000
     4     1  1983     1565.000000
     5     1  1983     1518.000000
     6     1  1983     1520.000000
     7     1  1983     1555.000000
     8     1  1983     1581.000000
     9     1  1983     1598.000000
    10     1  1983     1611.000000
    11     1  1983     1613.000000
    12     1  1983     1602.000000
    13     1  1983     1571.000000
    14     1  1983     1525.000000
    15     1  1983     1458.000000
    16     1  1983     1403.000000
    17     1  1983     1436.000000
    18     1  1983     1470.000000
    19     1  1983     1480.000000
    20     1  1983     1531.000000
    21     1  1983     1581.000000
    22     1  1983     1615.000000
    23     1  1983     1640.000000
    24     1  1983     1655.000000
    25     1  1983     1659.000000
    26     1  1983     1641.000000
    27     1  1983     1608.000000
    28     1  1983     1562.000000
    29     1  1983     1528.000000
    30     1  1983     1503.000000
    31     1  1983     1472.000000
     1     2  1983     1438.000000
     2     2  1983     1406.000000
     3     2  1983     1381.000000
     4     2  1983     1354.000000
     5     2  1983     1347.000000
     6     2  1983     1362.000000
     7     2  1983     1351.000000
     8     2  1983     1311.000000
     9     2  1983     1265.000000
    10     2  1983     1223.000000
    11     2  1983     1185.000000
    12     2  1983     1200.000000
    13     2  1983     1209.000000
    14     2  1983     1200.000000
    15     2  1983     1185.000000
    16     2  1983     1164.000000
    17     2  1983     1116.000000
    18     2  1983     1072.000000
    19     2  1983     1049.000000
    20     2  1983     1119.000000
    21     2  1983     1204.000000
    22     2  1983     1246.000000
    23     2  1983     1272.000000
    24     2  1983     1287.000000
    25     2  1983     1343.000000
    26     2  1983     1404.000000
    27     2  1983     1434.000000
    28     2  1983     1448.000000
     1     3  1983     1436.000000
     2     3  1983     1392.000000
     3     3  1983     1331.000000
     4     3  1983     1293.000000
     5     3  1983     1240.000000
     6     3  1983     1220.000000
     7     3  1983     1267.000000
     8     3  1983     1284.000000
     9     3  1983     1297.000000
    10     3  1983     1323.000000
    11     3  1983     1350.000000
    12     3  1983     1378.000000
    13     3  1983     1435.000000
    14     3  1983     1517.000000
    15     3  1983     1567.000000
    16     3  1983     1594.000000
    17     3  1983     1607.000000
    18     3  1983     1599.000000
    19     3  1983     1577.000000
    20     3  1983     1586.000000
