VALPARAÍSO-MONTANTE	-67.400	-8.683
     1     1  1983     1410.000000
     2     1  1983     1402.000000
     3     1  1983     1361.000000
     4     1  1983     1293.000000
     5     1  1983     1249.000000
     6     1  1983     1243.000000
     7     1  1983     1271.000000
     8     1  1983     1297.000000
     9     1  1983     1319.000000
    10     1  1983     1332.000000
    11     1  1983     1338.000000
    12     1  1983     1329.000000
    13     1  1983     1305.000000
    14     1  1983     1266.000000
    15     1  1983     1210.000000
    16     1  1983     1158.000000
    17     1  1983     1169.000000
    18     1  1983     1272.000000
    19     1  1983     1396.000000
    20     1  1983     1451.000000
    21     1  1983     1490.000000
    22     1  1983     1520.000000
    23     1  1983     1543.000000
    24     1  1983     1558.000000
    25     1  1983     1563.000000
    26     1  1983     1550.000000
    27     1  1983     1521.000000
    28     1  1983     1485.000000
    29     1  1983     1453.000000
    30     1  1983     1429.000000
    31     1  1983     1404.000000
     1     2  1983     1371.000000
     2     2  1983     1336.000000
     3     2  1983     1304.000000
     4     2  1983     1280.000000
     5     2  1983     1268.000000
     6     2  1983     1280.000000
     7     2  1983     1276.000000
     8     2  1983     1239.000000
     9     2  1983     1188.000000
    10     2  1983     1138.000000
    11     2  1983     1098.000000
    12     2  1983     1106.000000
    13     2  1983     1120.000000
    14     2  1983     1112.000000
    15     2  1983     1097.000000
    16     2  1983     1080.000000
    17     2  1983     1046.000000
    18     2  1983     1015.000000
    19     2  1983      998.000000
    20     2  1983     1015.000000
    21     2  1983     1098.000000
    22     2  1983     1150.000000
    23     2  1983     1206.000000
    24     2  1983     1185.000000
    25     2  1983     1229.000000
    26     2  1983     1276.000000
    27     2  1983     1305.000000
    28     2  1983     1322.000000
     1     3  1983     1315.000000
     2     3  1983     1278.000000
     3     3  1983     1219.000000
     4     3  1983     1162.000000
     5     3  1983     1110.000000
     6     3  1983     1095.000000
     7     3  1983     1125.000000
     8     3  1983     1149.000000
     9     3  1983     1169.000000
    10     3  1983     1194.000000
    11     3  1983     1218.000000
    12     3  1983     1236.000000
    13     3  1983     1290.000000
    14     3  1983     1361.000000
    15     3  1983     1403.000000
    16     3  1983     1436.000000
    17     3  1983     1450.000000
    18     3  1983     1445.000000
    19     3  1983     1428.000000
    20     3  1983     1430.000000
    21     3  1983     1442.000000
    22     3  1983     1451.000000
    23     3  1983     1474.000000
    24     3  1983     1498.000000
    25     3  1983     1512.000000
    26     3  1983     1518.000000
    27     3  1983     1514.000000
    28     3  1983     1471.000000
    29     3  1983     1421.000000
    30     3  1983     1323.000000
    31     3  1983     1245.000000
     1     4  1983     1194.000000
     2     4  1983     1185.000000
     3     4  1983     1172.000000
     4     4  1983     1155.000000
     5     4  1983     1147.000000
     6     4  1983     1135.000000
     7     4  1983     1112.000000
     8     4  1983     1109.000000
     9     4  1983     1104.000000
    10     4  1983     1088.000000
    11     4  1983     1080.000000
    12     4  1983     1094.000000
    13     4  1983     1136.000000
    14     4  1983     1173.000000
    15     4  1983     1183.000000
    16     4  1983     1189.000000
    17     4  1983     1196.000000
    18     4  1983     1170.000000
    19     4  1983     1125.000000
    20     4  1983     1181.000000
    21     4  1983     1153.000000
    22     4  1983     1144.000000
    23     4  1983     1120.000000
    24     4  1983     1098.000000
    25     4  1983     1112.000000
    26     4  1983     1139.000000
    27     4  1983     1193.000000
    28     4  1983     1208.000000
    29     4  1983     1193.000000
    30     4  1983     1166.000000
     1     5  1983     1082.000000
     2     5  1983     1053.000000
     3     5  1983     1065.000000
     4     5  1983     1039.000000
     5     5  1983     1002.000000
     6     5  1983      991.000000
     7     5  1983      980.000000
     8     5  1983      941.000000
     9     5  1983      902.000000
    10     5  1983      875.000000
    11     5  1983      849.000000
    12     5  1983      832.000000
    13     5  1983      820.000000
    14     5  1983      811.000000
    15     5  1983      813.000000
    16     5  1983      819.000000
    17     5  1983      816.000000
    18     5  1983      816.000000
    19     5  1983      846.000000
    20     5  1983      888.000000
    21     5  1983      891.000000
    22     5  1983      858.000000
    23     5  1983      816.000000
    24     5  1983      792.000000
    25     5  1983      779.000000
    26     5  1983      786.000000
    27     5  1983      800.000000
    28     5  1983      813.000000
    29     5  1983      815.000000
    30     5  1983      808.000000
    31     5  1983      794.000000
     1     6  1983      774.000000
     2     6  1983      762.000000
     3     6  1983      755.000000
     4     6  1983      746.000000
     5     6  1983      756.000000
     6     6  1983      849.000000
     7     6  1983      866.000000
     8     6  1983      828.000000
     9     6  1983      788.000000
    10     6  1983      759.000000
    11     6  1983      738.000000
    12     6  1983      716.000000
    13     6  1983      696.000000
    14     6  1983      682.000000
    15     6  1983      667.000000
    16     6  1983      650.000000
    17     6  1983      638.000000
    18     6  1983      628.000000
    19     6  1983      618.000000
    20     6  1983      610.000000
    21     6  1983      600.000000
    22     6  1983      592.000000
    23     6  1983      586.000000
    24     6  1983      581.000000
    25     6  1983      577.000000
    26     6  1983      572.000000
    27     6  1983      567.000000
    28     6  1983      561.000000
    29     6  1983      554.000000
    30     6  1983      547.000000
