LÁBREA	-64.800	-7.252
     1     1  1983     1685.000000
     2     1  1983     1693.000000
     3     1  1983     1701.000000
     4     1  1983     1713.000000
     5     1  1983     1725.000000
     6     1  1983     1743.000000
     7     1  1983     1756.000000
     8     1  1983     1766.000000
     9     1  1983     1773.000000
    10     1  1983     1787.000000
    11     1  1983     1798.000000
    12     1  1983     1807.000000
    13     1  1983     1813.000000
    14     1  1983     1819.000000
    15     1  1983     1825.000000
    16     1  1983     1831.000000
    17     1  1983     1836.000000
    18     1  1983     1844.000000
    19     1  1983     1848.000000
    20     1  1983     1852.000000
    21     1  1983     1857.000000
    22     1  1983     1860.000000
    23     1  1983     1866.000000
    24     1  1983     1872.000000
    25     1  1983     1876.000000
    26     1  1983     1880.000000
    27     1  1983     1883.000000
    28     1  1983     1888.000000
    29     1  1983     1891.000000
    30     1  1983     1894.000000
    31     1  1983     1896.000000
     1     2  1983     1905.000000
     2     2  1983     1906.000000
     3     2  1983     1907.000000
     4     2  1983     1908.000000
     5     2  1983     1912.000000
     6     2  1983     1914.000000
     7     2  1983     1915.000000
     8     2  1983     1916.000000
     9     2  1983     1916.000000
    10     2  1983     1915.000000
    11     2  1983     1913.000000
    12     2  1983     1910.000000
    13     2  1983     1911.000000
    14     2  1983     1910.000000
    15     2  1983     1910.000000
    16     2  1983     1906.000000
    17     2  1983     1903.000000
    18     2  1983     1899.000000
    19     2  1983     1896.000000
    20     2  1983     1890.000000
    21     2  1983     1886.000000
    22     2  1983     1882.000000
    23     2  1983     1878.000000
    24     2  1983     1869.000000
    25     2  1983     1862.000000
    26     2  1983     1852.000000
    27     2  1983     1845.000000
    28     2  1983     1835.000000
     1     3  1983     1829.000000
     2     3  1983     1823.000000
     3     3  1983     1818.000000
     4     3  1983     1815.000000
     5     3  1983     1814.000000
     6     3  1983     1812.000000
     7     3  1983     1809.000000
     8     3  1983     1805.000000
     9     3  1983     1800.000000
    10     3  1983     1800.000000
    11     3  1983     1797.000000
    12     3  1983     1795.000000
    13     3  1983     1796.000000
    14     3  1983     1797.000000
    15     3  1983     1801.000000
    16     3  1983     1804.000000
    17     3  1983     1808.000000
    18     3  1983     1814.000000
    19     3  1983     1823.000000
    20     3  1983     1841.000000
    21     3  1983     1856.000000
    22     3  1983     1872.000000
    23     3  1983     1888.000000
    24     3  1983     1904.000000
    25     3  1983     1917.000000
    26     3  1983     1928.000000
    27     3  1983     1937.000000
    28     3  1983     1947.000000
    29     3  1983     1960.000000
    30     3  1983     1967.000000
    31     3  1983     1973.000000
     1     4  1983     1981.000000
     2     4  1983     1984.000000
     3     4  1983     1984.000000
     4     4  1983     1987.000000
     5     4  1983     1989.000000
     6     4  1983     1993.000000
     7     4  1983     1999.000000
     8     4  1983     2002.000000
     9     4  1983     2005.000000
    10     4  1983     2008.000000
    11     4  1983     2010.000000
    12     4  1983     2010.000000
    13     4  1983     2009.000000
    14     4  1983     2009.000000
    15     4  1983     2008.000000
    16     4  1983     2007.000000
    17     4  1983     2005.000000
    18     4  1983     2003.000000
