BERURI	-61.368	-3.885
     1     1  1983     1446.000000
     2     1  1983     1456.000000
     3     1  1983     1461.000000
     4     1  1983     1466.000000
     5     1  1983     1471.000000
     6     1  1983     1475.000000
     7     1  1983     1479.000000
     8     1  1983     1484.000000
     9     1  1983     1489.000000
    10     1  1983     1491.000000
    11     1  1983     1496.000000
    12     1  1983     1501.000000
    13     1  1983     1504.000000
    14     1  1983     1507.000000
    15     1  1983     1509.000000
    16     1  1983     1512.000000
    17     1  1983     1515.000000
    18     1  1983     1519.000000
    19     1  1983     1522.000000
    20     1  1983     1525.000000
    21     1  1983     1528.000000
    22     1  1983     1530.000000
    23     1  1983     1533.000000
    24     1  1983     1535.000000
    25     1  1983     1537.000000
    26     1  1983     1539.000000
    27     1  1983     1541.000000
    28     1  1983     1542.000000
    29     1  1983     1543.000000
    30     1  1983     1544.000000
    31     1  1983     1544.000000
     1     2  1983     1545.000000
     2     2  1983     1547.000000
     3     2  1983     1548.000000
     4     2  1983     1550.000000
     5     2  1983     1550.000000
     6     2  1983     1552.000000
     7     2  1983     1554.000000
     8     2  1983     1555.000000
     9     2  1983     1556.000000
    10     2  1983     1556.000000
    11     2  1983     1556.000000
    12     2  1983     1555.000000
    13     2  1983     1554.000000
    14     2  1983     1554.000000
    15     2  1983     1554.000000
    16     2  1983     1554.000000
    17     2  1983     1553.000000
    18     2  1983     1553.000000
    19     2  1983     1553.000000
    20     2  1983     1553.000000
    21     2  1983     1555.000000
    22     2  1983     1554.000000
    23     2  1983     1552.000000
    24     2  1983     1552.000000
    25     2  1983     1551.000000
    26     2  1983     1549.000000
    27     2  1983     1549.000000
    28     2  1983     1547.000000
     1     3  1983     1547.000000
     2     3  1983     1545.000000
     3     3  1983     1545.000000
     4     3  1983     1545.000000
     5     3  1983     1546.000000
     6     3  1983     1546.000000
     7     3  1983     1544.000000
     8     3  1983     1544.000000
     9     3  1983     1545.000000
    10     3  1983     1545.000000
    11     3  1983     1545.000000
    12     3  1983     1545.000000
    13     3  1983     1547.000000
    14     3  1983     1549.000000
    15     3  1983     1551.000000
    16     3  1983     1553.000000
    17     3  1983     1554.000000
    18     3  1983     1555.000000
    19     3  1983     1557.000000
    20     3  1983     1559.000000
    21     3  1983     1562.000000
    22     3  1983     1563.000000
    23     3  1983     1569.000000
    24     3  1983     1576.000000
    25     3  1983     1579.000000
    26     3  1983     1583.000000
    27     3  1983     1589.000000
    28     3  1983     1593.000000
    29     3  1983     1599.000000
    30     3  1983     1602.000000
    31     3  1983     1604.000000
     1     4  1983     1606.000000
     2     4  1983     1610.000000
     3     4  1983     1617.000000
     4     4  1983     1621.000000
     5     4  1983     1624.000000
     6     4  1983     1629.000000
     7     4  1983     1633.000000
     8     4  1983     1635.000000
     9     4  1983     1639.000000
    10     4  1983     1643.000000
    11     4  1983     1647.000000
    12     4  1983     1651.000000
    13     4  1983     1655.000000
    14     4  1983     1659.000000
    15     4  1983     1661.000000
    16     4  1983     1666.000000
    17     4  1983     1671.000000
    18     4  1983     1676.000000
    19     4  1983     1681.000000
    20     4  1983     1685.000000
    21     4  1983     1691.000000
    22     4  1983     1695.000000
    23     4  1983     1701.000000
    24     4  1983     1707.000000
    25     4  1983     1712.000000
    26     4  1983     1719.000000
    27     4  1983     1725.000000
    28     4  1983     1730.000000
    29     4  1983     1739.000000
    30     4  1983     1742.000000
     1     5  1983     1745.000000
     2     5  1983     1752.000000
     3     5  1983     1757.000000
     4     5  1983     1763.000000
     5     5  1983     1768.000000
     6     5  1983     1776.000000
     7     5  1983     1782.000000
     8     5  1983     1787.000000
     9     5  1983     1792.000000
    10     5  1983     1800.000000
    11     5  1983     1804.000000
    12     5  1983     1809.000000
    13     5  1983     1814.000000
    14     5  1983     1816.000000
    15     5  1983     1819.000000
    16     5  1983     1823.000000
    17     5  1983     1828.000000
    18     5  1983     1831.000000
    19     5  1983     1835.000000
    20     5  1983     1839.000000
    21     5  1983     1843.000000
    22     5  1983     1847.000000
    23     5  1983     1852.000000
    24     5  1983     1856.000000
    25     5  1983     1859.000000
    26     5  1983     1862.000000
    27     5  1983     1865.000000
    28     5  1983     1866.000000
    29     5  1983     1867.000000
    30     5  1983     1867.000000
    31     5  1983     1869.000000
     1     6  1983     1871.000000
     2     6  1983     1872.000000
     3     6  1983     1872.000000
     4     6  1983     1872.000000
     5     6  1983     1873.000000
     6     6  1983     1873.000000
     7     6  1983     1873.000000
     8     6  1983     1873.000000
     9     6  1983     1873.000000
    10     6  1983     1874.000000
    11     6  1983     1874.000000
    12     6  1983     1872.000000
    13     6  1983     1871.000000
    14     6  1983     1870.000000
    15     6  1983     1869.000000
    16     6  1983     1868.000000
    17     6  1983     1868.000000
    18     6  1983     1865.000000
    19     6  1983     1864.000000
    20     6  1983     1860.000000
    21     6  1983     1858.000000
    22     6  1983     1856.000000
    23     6  1983     1854.000000
    24     6  1983     1850.000000
    25     6  1983     1847.000000
    26     6  1983     1844.000000
    27     6  1983     1840.000000
    28     6  1983     1837.000000
    29     6  1983     1834.000000
    30     6  1983     1829.000000
     1     7  1983     1825.000000
     2     7  1983     1820.000000
     3     7  1983     1815.000000
     4     7  1983     1811.000000
