CUCUÍ	-66.853	1.215
     1     1  1983     1412.000000
     2     1  1983     1427.000000
     3     1  1983     1446.000000
     4     1  1983     1460.000000
     5     1  1983     1467.000000
     6     1  1983     1469.000000
     7     1  1983     1471.000000
     8     1  1983     1471.000000
     9     1  1983     1471.000000
    10     1  1983     1476.000000
    11     1  1983     1484.000000
    12     1  1983     1489.000000
    13     1  1983     1494.000000
    14     1  1983     1490.000000
    15     1  1983     1481.000000
    16     1  1983     1466.000000
    17     1  1983     1445.000000
    18     1  1983     1427.000000
    19     1  1983     1400.000000
    20     1  1983     1380.000000
    21     1  1983     1361.000000
    22     1  1983     1343.000000
    23     1  1983     1328.000000
    24     1  1983     1317.000000
    25     1  1983     1306.000000
    26     1  1983     1295.000000
    27     1  1983     1287.000000
    28     1  1983     1277.000000
    29     1  1983     1269.000000
    30     1  1983     1263.000000
    31     1  1983     1256.000000
     1     2  1983     1250.000000
     2     2  1983     1246.000000
     3     2  1983     1243.000000
     4     2  1983     1240.000000
     5     2  1983     1237.000000
     6     2  1983     1233.000000
     7     2  1983     1232.000000
     8     2  1983     1233.000000
     9     2  1983     1238.000000
    10     2  1983     1250.000000
    11     2  1983     1260.000000
    12     2  1983     1267.000000
    13     2  1983     1270.000000
    14     2  1983     1270.000000
    15     2  1983     1270.000000
    16     2  1983     1269.000000
    17     2  1983     1265.000000
    18     2  1983     1261.000000
    19     2  1983     1257.000000
    20     2  1983     1253.000000
    21     2  1983     1249.000000
    22     2  1983     1245.000000
    23     2  1983     1239.000000
    24     2  1983     1235.000000
    25     2  1983     1237.000000
    26     2  1983     1241.000000
    27     2  1983     1243.000000
    28     2  1983     1248.000000
     1     3  1983     1255.000000
     2     3  1983     1258.000000
     3     3  1983     1263.000000
     4     3  1983     1269.000000
     5     3  1983     1275.000000
     6     3  1983     1277.000000
     7     3  1983     1274.000000
     8     3  1983     1269.000000
     9     3  1983     1262.000000
    10     3  1983     1255.000000
    11     3  1983     1249.000000
    12     3  1983     1248.000000
    13     3  1983     1246.000000
    14     3  1983     1246.000000
    15     3  1983     1249.000000
    16     3  1983     1252.000000
    17     3  1983     1254.000000
    18     3  1983     1254.000000
    19     3  1983     1257.000000
    20     3  1983     1260.000000
    21     3  1983     1264.000000
    22     3  1983     1265.000000
    23     3  1983     1267.000000
    24     3  1983     1272.000000
    25     3  1983     1283.000000
    26     3  1983     1294.000000
    27     3  1983     1299.000000
    28     3  1983     1308.000000
    29     3  1983     1313.000000
    30     3  1983     1314.000000
    31     3  1983     1317.000000
     1     4  1983     1331.000000
     2     4  1983     1340.000000
     3     4  1983     1349.000000
     4     4  1983     1358.000000
     5     4  1983     1367.000000
     6     4  1983     1376.000000
     7     4  1983     1385.000000
     8     4  1983     1394.000000
     9     4  1983     1406.000000
    10     4  1983     1425.000000
    11     4  1983     1452.000000
    12     4  1983     1482.000000
    13     4  1983     1500.000000
    14     4  1983     1513.000000
    15     4  1983     1532.000000
    16     4  1983     1548.000000
    17     4  1983     1563.000000
