CURICURIARI	-66.801	-0.200
     1     1  1983      878.000000
     2     1  1983      875.000000
     3     1  1983      877.000000
     4     1  1983      885.000000
     5     1  1983      886.000000
     6     1  1983      888.000000
     7     1  1983      891.000000
     8     1  1983      902.000000
     9     1  1983      910.000000
    10     1  1983      916.000000
    11     1  1983      918.000000
    12     1  1983      916.000000
    13     1  1983      913.000000
    14     1  1983      911.000000
    15     1  1983      907.000000
    16     1  1983      892.000000
    17     1  1983      874.000000
    18     1  1983      855.000000
    19     1  1983      833.000000
    20     1  1983      811.000000
    21     1  1983      790.000000
    22     1  1983      764.000000
    23     1  1983      739.000000
    24     1  1983      714.000000
    25     1  1983      690.000000
    26     1  1983      667.000000
    27     1  1983      643.000000
    28     1  1983      620.000000
    29     1  1983      599.000000
    30     1  1983      582.000000
    31     1  1983      568.000000
     1     2  1983      550.000000
     2     2  1983      541.000000
     3     2  1983      539.000000
     4     2  1983      532.000000
     5     2  1983      527.000000
     6     2  1983      532.000000
     7     2  1983      540.000000
     8     2  1983      551.000000
     9     2  1983      567.000000
    10     2  1983      575.000000
    11     2  1983      577.000000
    12     2  1983      573.000000
    13     2  1983      567.000000
    14     2  1983      562.000000
    15     2  1983      554.000000
    16     2  1983      547.000000
    17     2  1983      539.000000
    18     2  1983      531.000000
    19     2  1983      527.000000
    20     2  1983      528.000000
    21     2  1983      528.000000
    22     2  1983      531.000000
    23     2  1983      536.000000
    24     2  1983      540.000000
    25     2  1983      549.000000
    26     2  1983      566.000000
    27     2  1983      578.000000
    28     2  1983      595.000000
     1     3  1983      616.000000
     2     3  1983      633.000000
     3     3  1983      641.000000
     4     3  1983      643.000000
     5     3  1983      640.000000
     6     3  1983      640.000000
     7     3  1983      637.000000
     8     3  1983      631.000000
     9     3  1983      624.000000
    10     3  1983      623.000000
    11     3  1983      619.000000
    12     3  1983      613.000000
    13     3  1983      610.000000
    14     3  1983      610.000000
    15     3  1983      613.000000
    16     3  1983      618.000000
    17     3  1983      622.000000
    18     3  1983      633.000000
    19     3  1983      640.000000
    20     3  1983      639.000000
    21     3  1983      634.000000
    22     3  1983      630.000000
    23     3  1983      628.000000
    24     3  1983      630.000000
    25     3  1983      638.000000
    26     3  1983      651.000000
    27     3  1983      684.000000
    28     3  1983      708.000000
    29     3  1983      722.000000
    30     3  1983      729.000000
    31     3  1983      728.000000
     1     4  1983      723.000000
     2     4  1983      715.000000
     3     4  1983      711.000000
     4     4  1983      721.000000
     5     4  1983      731.000000
     6     4  1983      751.000000
     7     4  1983      773.000000
     8     4  1983      797.000000
     9     4  1983      818.000000
    10     4  1983      844.000000
    11     4  1983      863.000000
    12     4  1983      885.000000
    13     4  1983      909.000000
    14     4  1983      929.000000
    15     4  1983      944.000000
    16     4  1983      953.000000
    17     4  1983      969.000000
    18     4  1983      989.000000
    19     4  1983     1009.000000
    20     4  1983     1026.000000
    21     4  1983     1049.000000
    22     4  1983     1080.000000
    23     4  1983     1102.000000
    24     4  1983     1127.000000
    25     4  1983     1152.000000
    26     4  1983     1171.000000
    27     4  1983     1183.000000
    28     4  1983     1193.000000
    29     4  1983     1198.000000
    30     4  1983     1202.000000
     1     5  1983     1207.000000
     2     5  1983     1211.000000
     3     5  1983     1215.000000
     4     5  1983     1224.000000
     5     5  1983     1232.000000
     6     5  1983     1250.000000
     7     5  1983     1271.000000
     8     5  1983     1286.000000
     9     5  1983     1295.000000
    10     5  1983     1302.000000
    11     5  1983     1304.000000
    12     5  1983     1306.000000
    13     5  1983     1307.000000
    14     5  1983     1310.000000
    15     5  1983     1311.000000
    16     5  1983     1311.000000
    17     5  1983     1310.000000
    18     5  1983     1313.000000
    19     5  1983     1314.000000
    20     5  1983     1314.000000
    21     5  1983     1312.000000
    22     5  1983     1308.000000
    23     5  1983     1295.000000
    24     5  1983     1285.000000
    25     5  1983     1270.000000
    26     5  1983     1260.000000
    27     5  1983     1249.000000
    28     5  1983     1238.000000
    29     5  1983     1231.000000
    30     5  1983     1219.000000
    31     5  1983     1205.000000
     1     6  1983     1200.000000
     2     6  1983     1196.000000
     3     6  1983     1193.000000
     4     6  1983     1187.000000
     5     6  1983     1185.000000
     6     6  1983     1183.000000
     7     6  1983     1183.000000
     8     6  1983     1183.000000
     9     6  1983     1182.000000
    10     6  1983     1180.000000
    11     6  1983     1179.000000
    12     6  1983     1177.000000
    13     6  1983     1176.000000
    14     6  1983     1174.000000
    15     6  1983     1172.000000
    16     6  1983     1171.000000
    17     6  1983     1167.000000
    18     6  1983     1162.000000
    19     6  1983     1157.000000
    20     6  1983     1153.000000
    21     6  1983     1146.000000
    22     6  1983     1143.000000
    23     6  1983     1137.000000
    24     6  1983     1129.000000
    25     6  1983     1124.000000
    26     6  1983     1124.000000
    27     6  1983     1129.000000
    28     6  1983     1133.000000
    29     6  1983     1137.000000
    30     6  1983     1151.000000
     1     7  1983     1159.000000
     2     7  1983     1164.000000
     3     7  1983     1170.000000
     4     7  1983     1180.000000
     5     7  1983     1187.000000
     6     7  1983     1193.000000
     7     7  1983     1197.000000
     8     7  1983     1199.000000
     9     7  1983     1199.000000
    10     7  1983     1198.000000
    11     7  1983     1195.000000
    12     7  1983     1191.000000
    13     7  1983     1186.000000
    14     7  1983     1181.000000
    15     7  1983     1175.000000
    16     7  1983     1170.000000
    17     7  1983     1168.000000
    18     7  1983     1165.000000
    19     7  1983     1161.000000
    20     7  1983     1156.000000
    21     7  1983     1151.000000
    22     7  1983     1143.000000
    23     7  1983     1136.000000
    24     7  1983     1126.000000
    25     7  1983     1113.000000
    26     7  1983     1100.000000
    27     7  1983     1094.000000
    28     7  1983     1091.000000
    29     7  1983     1087.000000
    30     7  1983     1080.000000
    31     7  1983     1078.000000
     1     8  1983     1072.000000
     2     8  1983     1073.000000
     3     8  1983     1076.000000
     4     8  1983     1091.000000
     5     8  1983     1143.000000
     6     8  1983     1163.000000
     7     8  1983     1173.000000
     8     8  1983     1188.000000
     9     8  1983     1197.000000
    10     8  1983     1202.000000
    11     8  1983     1203.000000
    12     8  1983     1206.000000
    13     8  1983     1211.000000
    14     8  1983     1213.000000
    15     8  1983     1216.000000
    16     8  1983     1218.000000
    17     8  1983     1214.000000
    18     8  1983     1209.000000
    19     8  1983     1200.000000
    20     8  1983     1191.000000
    21     8  1983     1183.000000
    22     8  1983     1181.000000
    23     8  1983     1179.000000
    24     8  1983     1181.000000
    25     8  1983     1189.000000
    26     8  1983     1194.000000
    27     8  1983     1200.000000
    28     8  1983     1205.000000
    29     8  1983     1210.000000
    30     8  1983     1216.000000
    31     8  1983     1221.000000
     1     9  1983     1224.000000
     2     9  1983     1222.000000
     3     9  1983     1219.000000
     4     9  1983     1215.000000
     5     9  1983     1212.000000
     6     9  1983     1211.000000
     7     9  1983     1205.000000
     8     9  1983     1194.000000
     9     9  1983     1184.000000
    10     9  1983     1178.000000
    11     9  1983     1167.000000
    12     9  1983     1157.000000
    13     9  1983     1147.000000
    14     9  1983     1143.000000
    15     9  1983     1139.000000
    16     9  1983     1136.000000
    17     9  1983     1128.000000
    18     9  1983     1118.000000
    19     9  1983     1100.000000
    20     9  1983     1088.000000
    21     9  1983     1068.000000
    22     9  1983     1062.000000
    23     9  1983     1058.000000
    24     9  1983     1055.000000
    25     9  1983     1051.000000
    26     9  1983     1047.000000
    27     9  1983     1039.000000
    28     9  1983     1029.000000
    29     9  1983     1016.000000
    30     9  1983      999.000000
     1    10  1983      982.000000
     2    10  1983      968.000000
     3    10  1983      948.000000
     4    10  1983      925.000000
     5    10  1983      913.000000
     6    10  1983      899.000000
     7    10  1983      888.000000
     8    10  1983      894.000000
     9    10  1983      906.000000
    10    10  1983      911.000000
    11    10  1983      914.000000
    12    10  1983      913.000000
    13    10  1983      908.000000
    14    10  1983      900.000000
    15    10  1983      896.000000
    16    10  1983      877.000000
    17    10  1983      864.000000
    18    10  1983      849.000000
    19    10  1983      835.000000
    20    10  1983      824.000000
    21    10  1983      819.000000
    22    10  1983      822.000000
    23    10  1983      825.000000
    24    10  1983      827.000000
    25    10  1983      827.000000
    26    10  1983      831.000000
    27    10  1983      842.000000
    28    10  1983      852.000000
    29    10  1983      872.000000
    30    10  1983      893.000000
    31    10  1983      905.000000
     1    11  1983      919.000000
     2    11  1983      934.000000
     3    11  1983      944.000000
     4    11  1983      954.000000
     5    11  1983      973.000000
     6    11  1983      983.000000
     7    11  1983      982.000000
     8    11  1983      982.000000
     9    11  1983      981.000000
    10    11  1983      978.000000
    11    11  1983      972.000000
    12    11  1983      966.000000
    13    11  1983      956.000000
    14    11  1983      943.000000
    15    11  1983      923.000000
    16    11  1983      907.000000
    17    11  1983      882.000000
    18    11  1983      859.000000
    19    11  1983      845.000000
    20    11  1983      829.000000
    21    11  1983      818.000000
    22    11  1983      808.000000
    23    11  1983      800.000000
    24    11  1983      787.000000
    25    11  1983      782.000000
    26    11  1983      774.000000
    27    11  1983      765.000000
    28    11  1983      761.000000
    29    11  1983      762.000000
    30    11  1983      768.000000
     1    12  1983      775.000000
     2    12  1983      781.000000
     3    12  1983      788.000000
     4    12  1983      794.000000
     5    12  1983      802.000000
     6    12  1983      810.000000
     7    12  1983      822.000000
     8    12  1983      839.000000
     9    12  1983      858.000000
    10    12  1983      896.000000
    11    12  1983      929.000000
    12    12  1983      960.000000
    13    12  1983      973.000000
    14    12  1983      978.000000
    15    12  1983      983.000000
    16    12  1983      981.000000
    17    12  1983      975.000000
    18    12  1983      967.000000
    19    12  1983      959.000000
    20    12  1983      949.000000
    21    12  1983      939.000000
    22    12  1983      930.000000
    23    12  1983      924.000000
    24    12  1983      920.000000
    25    12  1983      919.000000
    26    12  1983      921.000000
    27    12  1983      932.000000
    28    12  1983      946.000000
    29    12  1983      960.000000
    30    12  1983      970.000000
    31    12  1983      980.000000
     1     1  1984      982.000000
     2     1  1984      976.000000
     3     1  1984      958.000000
     4     1  1984      943.000000
     5     1  1984      936.000000
     6     1  1984      934.000000
     7     1  1984      933.000000
     8     1  1984      928.000000
     9     1  1984      924.000000
    10     1  1984      917.000000
    11     1  1984      903.000000
    12     1  1984      890.000000
    13     1  1984      868.000000
    14     1  1984      848.000000
    15     1  1984      830.000000
    16     1  1984      808.000000
    17     1  1984      789.000000
    18     1  1984      779.000000
    19     1  1984      775.000000
    20     1  1984      779.000000
    21     1  1984      793.000000
    22     1  1984      813.000000
    23     1  1984      837.000000
    24     1  1984      875.000000
    25     1  1984      895.000000
    26     1  1984      909.000000
    27     1  1984      916.000000
    28     1  1984      919.000000
    29     1  1984      928.000000
    30     1  1984      936.000000
    31     1  1984      938.000000
     1     2  1984      942.000000
     2     2  1984      945.000000
     3     2  1984      947.000000
     4     2  1984      946.000000
     5     2  1984      944.000000
     6     2  1984      950.000000
     7     2  1984      954.000000
     8     2  1984      955.000000
     9     2  1984      959.000000
    10     2  1984      960.000000
    11     2  1984      960.000000
    12     2  1984      957.000000
    13     2  1984      958.000000
    14     2  1984      962.000000
    15     2  1984      965.000000
    16     2  1984      962.000000
    17     2  1984      953.000000
    18     2  1984      945.000000
    19     2  1984      945.000000
    20     2  1984      951.000000
    21     2  1984      961.000000
    22     2  1984      976.000000
    23     2  1984      993.000000
    24     2  1984     1012.000000
    25     2  1984     1031.000000
    26     2  1984     1046.000000
    27     2  1984     1052.000000
    28     2  1984     1050.000000
    29     2  1984     1047.000000
     1     3  1984     1045.000000
     2     3  1984     1043.000000
     3     3  1984     1043.000000
     4     3  1984     1040.000000
     5     3  1984     1039.000000
     6     3  1984     1037.000000
     7     3  1984     1035.000000
     8     3  1984     1031.000000
     9     3  1984     1027.000000
    10     3  1984     1020.000000
    11     3  1984     1006.000000
    12     3  1984     1002.000000
    13     3  1984      999.000000
    14     3  1984      981.000000
    15     3  1984      962.000000
    16     3  1984      944.000000
    17     3  1984      923.000000
    18     3  1984      911.000000
    19     3  1984      901.000000
    20     3  1984      879.000000
    21     3  1984      869.000000
    22     3  1984      860.000000
    23     3  1984      827.000000
    24     3  1984      813.000000
    25     3  1984      801.000000
    26     3  1984      787.000000
    27     3  1984      781.000000
    28     3  1984      780.000000
    29     3  1984      782.000000
    30     3  1984      778.000000
    31     3  1984      770.000000
     1     4  1984      762.000000
     2     4  1984      755.000000
     3     4  1984      752.000000
     4     4  1984      756.000000
     5     4  1984      755.000000
     6     4  1984      766.000000
     7     4  1984      788.000000
     8     4  1984      796.000000
     9     4  1984      802.000000
    10     4  1984      813.000000
    11     4  1984      817.000000
    12     4  1984      824.000000
    13     4  1984      862.000000
    14     4  1984      873.000000
    15     4  1984      900.000000
    16     4  1984      910.000000
    17     4  1984      912.000000
    18     4  1984      911.000000
    19     4  1984      910.000000
    20     4  1984      907.000000
    21     4  1984      902.000000
    22     4  1984      898.000000
    23     4  1984      900.000000
    24     4  1984      897.000000
    25     4  1984      890.000000
    26     4  1984      892.000000
    27     4  1984      908.000000
    28     4  1984      932.000000
    29     4  1984      970.000000
    30     4  1984     1012.000000
     1     5  1984     1045.000000
     2     5  1984     1073.000000
     3     5  1984     1094.000000
     4     5  1984     1108.000000
     5     5  1984     1115.000000
     6     5  1984     1118.000000
     7     5  1984     1119.000000
     8     5  1984     1113.000000
     9     5  1984     1107.000000
    10     5  1984     1096.000000
    11     5  1984     1086.000000
    12     5  1984     1071.000000
    13     5  1984     1062.000000
    14     5  1984     1051.000000
    15     5  1984     1036.000000
    16     5  1984     1021.000000
    17     5  1984     1016.000000
    18     5  1984     1011.000000
    19     5  1984     1012.000000
    20     5  1984     1022.000000
    21     5  1984     1029.000000
    22     5  1984     1036.000000
    23     5  1984     1053.000000
    24     5  1984     1075.000000
    25     5  1984     1124.000000
    26     5  1984     1135.000000
    27     5  1984     1143.000000
    28     5  1984     1150.000000
    29     5  1984     1157.000000
    30     5  1984     1166.000000
    31     5  1984     1173.000000
     1     6  1984     1178.000000
     2     6  1984     1183.000000
     3     6  1984     1196.000000
     4     6  1984     1213.000000
     5     6  1984     1212.000000
     6     6  1984     1224.000000
     7     6  1984     1223.000000
     8     6  1984     1222.000000
     9     6  1984     1220.000000
    10     6  1984     1218.000000
    11     6  1984     1217.000000
    12     6  1984     1217.000000
    13     6  1984     1227.000000
    14     6  1984     1245.000000
    15     6  1984     1260.000000
    16     6  1984     1274.000000
    17     6  1984     1285.000000
    18     6  1984     1296.000000
    19     6  1984     1303.000000
    20     6  1984     1305.000000
    21     6  1984     1305.000000
    22     6  1984     1305.000000
    23     6  1984     1306.000000
    24     6  1984     1308.000000
    25     6  1984     1310.000000
    26     6  1984     1309.000000
    27     6  1984     1308.000000
    28     6  1984     1307.000000
    29     6  1984     1306.000000
    30     6  1984     1306.000000
     1     7  1984     1302.000000
     2     7  1984     1294.000000
     3     7  1984     1288.000000
     4     7  1984     1284.000000
     5     7  1984     1280.000000
     6     7  1984     1277.000000
     7     7  1984     1279.000000
     8     7  1984     1283.000000
     9     7  1984     1288.000000
    10     7  1984     1291.000000
    11     7  1984     1293.000000
    12     7  1984     1292.000000
    13     7  1984     1289.000000
    14     7  1984     1293.000000
    15     7  1984     1296.000000
    16     7  1984     1296.000000
    17     7  1984     1296.000000
    18     7  1984     1296.000000
    19     7  1984     1293.000000
    20     7  1984     1290.000000
    21     7  1984     1286.000000
    22     7  1984     1280.000000
    23     7  1984     1281.000000
    24     7  1984     1279.000000
    25     7  1984     1286.000000
    26     7  1984     1290.000000
    27     7  1984     1292.000000
    28     7  1984     1292.000000
    29     7  1984     1293.000000
    30     7  1984     1294.000000
    31     7  1984     1293.000000
     1     8  1984     1292.000000
     2     8  1984     1292.000000
     3     8  1984     1293.000000
     4     8  1984     1291.000000
     5     8  1984     1287.000000
     6     8  1984     1282.000000
     7     8  1984     1277.000000
     8     8  1984     1269.000000
     9     8  1984     1261.000000
    10     8  1984     1252.000000
    11     8  1984     1244.000000
    12     8  1984     1236.000000
    13     8  1984     1233.000000
    14     8  1984     1229.000000
    15     8  1984     1224.000000
    16     8  1984     1219.000000
    17     8  1984     1213.000000
    18     8  1984     1214.000000
    19     8  1984     1209.000000
    20     8  1984     1209.000000
    21     8  1984     1210.000000
    22     8  1984     1212.000000
    23     8  1984     1214.000000
    24     8  1984     1222.000000
    25     8  1984     1228.000000
    26     8  1984     1232.000000
    27     8  1984     1237.000000
    28     8  1984     1237.000000
    29     8  1984     1232.000000
    30     8  1984     1225.000000
    31     8  1984     1214.000000
     1     9  1984     1204.000000
     2     9  1984     1191.000000
     3     9  1984     1176.000000
     4     9  1984     1159.000000
     5     9  1984     1144.000000
     6     9  1984     1131.000000
     7     9  1984     1120.000000
     8     9  1984     1113.000000
     9     9  1984     1107.000000
    10     9  1984     1102.000000
    11     9  1984     1099.000000
    12     9  1984     1102.000000
    13     9  1984     1098.000000
    14     9  1984     1094.000000
    15     9  1984     1090.000000
    16     9  1984     1085.000000
    17     9  1984     1081.000000
    18     9  1984     1081.000000
    19     9  1984     1092.000000
    20     9  1984     1097.000000
    21     9  1984     1098.000000
    22     9  1984     1098.000000
    23     9  1984     1102.000000
    24     9  1984     1102.000000
    25     9  1984     1099.000000
    26     9  1984     1090.000000
    27     9  1984     1081.000000
    28     9  1984     1073.000000
    29     9  1984     1067.000000
    30     9  1984     1060.000000
     1    10  1984     1051.000000
     2    10  1984     1038.000000
     3    10  1984     1023.000000
     4    10  1984     1011.000000
     5    10  1984      995.000000
     6    10  1984      985.000000
     7    10  1984      970.000000
     8    10  1984      970.000000
     9    10  1984      968.000000
    10    10  1984      968.000000
    11    10  1984      967.000000
    12    10  1984      965.000000
    13    10  1984      963.000000
    14    10  1984      966.000000
    15    10  1984      973.000000
    16    10  1984      991.000000
    17    10  1984     1020.000000
    18    10  1984     1044.000000
    19    10  1984     1063.000000
    20    10  1984     1075.000000
    21    10  1984     1080.000000
    22    10  1984     1081.000000
    23    10  1984     1075.000000
    24    10  1984     1072.000000
    25    10  1984     1067.000000
    26    10  1984     1061.000000
    27    10  1984     1055.000000
    28    10  1984     1050.000000
    29    10  1984     1045.000000
    30    10  1984     1034.000000
    31    10  1984     1021.000000
     1    11  1984     1017.000000
     2    11  1984     1020.000000
     3    11  1984     1015.000000
     4    11  1984     1006.000000
     5    11  1984      997.000000
     6    11  1984      983.000000
     7    11  1984      964.000000
     8    11  1984      946.000000
     9    11  1984      929.000000
    10    11  1984      915.000000
    11    11  1984      905.000000
    12    11  1984      896.000000
    13    11  1984      882.000000
    14    11  1984      869.000000
    15    11  1984      861.000000
    16    11  1984      863.000000
    17    11  1984      865.000000
    18    11  1984      870.000000
    19    11  1984      875.000000
    20    11  1984      875.000000
    21    11  1984      885.000000
    22    11  1984      895.000000
    23    11  1984      904.000000
    24    11  1984      909.000000
    25    11  1984      911.000000
    26    11  1984      914.000000
    27    11  1984      914.000000
    28    11  1984      913.000000
    29    11  1984      913.000000
    30    11  1984      912.000000
     1    12  1984      911.000000
     2    12  1984      914.000000
     3    12  1984      917.000000
     4    12  1984      915.000000
     5    12  1984      912.000000
     6    12  1984      909.000000
     7    12  1984      905.000000
     8    12  1984      901.000000
     9    12  1984      902.000000
    10    12  1984      901.000000
    11    12  1984      898.000000
    12    12  1984      897.000000
    13    12  1984      897.000000
    14    12  1984      893.000000
    15    12  1984      879.000000
    16    12  1984      866.000000
    17    12  1984      857.000000
    18    12  1984      857.000000
    19    12  1984      853.000000
    20    12  1984      844.000000
    21    12  1984      849.000000
    22    12  1984      865.000000
    23    12  1984      888.000000
    24    12  1984      908.000000
    25    12  1984      924.000000
    26    12  1984      939.000000
    27    12  1984      960.000000
    28    12  1984      995.000000
    29    12  1984     1025.000000
    30    12  1984     1050.000000
    31    12  1984     1075.000000
     1     1  1985     1098.000000
     2     1  1985     1109.000000
     3     1  1985     1120.000000
     4     1  1985     1129.000000
     5     1  1985     1136.000000
     6     1  1985     1133.000000
     7     1  1985     1126.000000
     8     1  1985     1125.000000
     9     1  1985     1127.000000
    10     1  1985     1116.000000
    11     1  1985     1109.000000
    12     1  1985     1089.000000
    13     1  1985     1061.000000
    14     1  1985     1032.000000
    15     1  1985     1002.000000
    16     1  1985      978.000000
    17     1  1985      953.000000
    18     1  1985      938.000000
    19     1  1985      919.000000
    20     1  1985      891.000000
    21     1  1985      870.000000
    22     1  1985      849.000000
    23     1  1985      839.000000
    24     1  1985      825.000000
    25     1  1985      812.000000
    26     1  1985      800.000000
    27     1  1985      790.000000
    28     1  1985      777.000000
    29     1  1985      761.000000
    30     1  1985      750.000000
    31     1  1985      737.000000
     1     2  1985      721.000000
     2     2  1985      708.000000
     3     2  1985      695.000000
     4     2  1985      683.000000
     5     2  1985      670.000000
     6     2  1985      651.000000
     7     2  1985      636.000000
     8     2  1985      628.000000
     9     2  1985      622.000000
