SERRINHA	-64.827	-0.482
     1     1  1983      596.000000
     2     1  1983      605.000000
     3     1  1983      606.000000
     4     1  1983      605.000000
     5     1  1983      603.000000
     6     1  1983      602.000000
     7     1  1983      600.000000
     8     1  1983      596.000000
     9     1  1983      587.000000
    10     1  1983      596.000000
    11     1  1983      611.000000
    12     1  1983      621.000000
    13     1  1983      623.000000
    14     1  1983      623.000000
    15     1  1983      619.000000
    16     1  1983      611.000000
    17     1  1983      607.000000
    18     1  1983      603.000000
    19     1  1983      598.000000
    20     1  1983      589.000000
    21     1  1983      581.000000
    22     1  1983      574.000000
    23     1  1983      558.000000
    24     1  1983      548.000000
    25     1  1983      534.000000
    26     1  1983      513.000000
    27     1  1983      499.000000
    28     1  1983      477.000000
    29     1  1983      455.000000
    30     1  1983      440.000000
    31     1  1983      424.000000
     1     2  1983      405.000000
     2     2  1983      389.000000
     3     2  1983      380.000000
     4     2  1983      369.000000
     5     2  1983      362.000000
     6     2  1983      358.000000
     7     2  1983      358.000000
     8     2  1983      358.000000
     9     2  1983      358.000000
    10     2  1983      358.000000
    11     2  1983      361.000000
    12     2  1983      369.000000
    13     2  1983      372.000000
    14     2  1983      369.000000
    15     2  1983      365.000000
    16     2  1983      361.000000
    17     2  1983      356.000000
    18     2  1983      351.000000
    19     2  1983      347.000000
    20     2  1983      344.000000
    21     2  1983      341.000000
    22     2  1983      339.000000
    23     2  1983      339.000000
    24     2  1983      340.000000
    25     2  1983      344.000000
    26     2  1983      348.000000
    27     2  1983      353.000000
    28     2  1983      361.000000
     1     3  1983      371.000000
     2     3  1983      382.000000
     3     3  1983      392.000000
     4     3  1983      401.000000
     5     3  1983      407.000000
     6     3  1983      412.000000
     7     3  1983      411.000000
     8     3  1983      411.000000
     9     3  1983      409.000000
    10     3  1983      405.000000
    11     3  1983      400.000000
    12     3  1983      400.000000
    13     3  1983      401.000000
    14     3  1983      396.000000
    15     3  1983      396.000000
    16     3  1983      398.000000
    17     3  1983      402.000000
    18     3  1983      406.000000
    19     3  1983      409.000000
    20     3  1983      411.000000
    21     3  1983      417.000000
    22     3  1983      421.000000
    23     3  1983      422.000000
    24     3  1983      421.000000
    25     3  1983      421.000000
    26     3  1983      427.000000
    27     3  1983      431.000000
    28     3  1983      437.000000
    29     3  1983      452.000000
    30     3  1983      467.000000
    31     3  1983      481.000000
     1     4  1983      487.000000
     2     4  1983      498.000000
     3     4  1983      499.000000
     4     4  1983      501.000000
     5     4  1983      502.000000
     6     4  1983      510.000000
     7     4  1983      517.000000
     8     4  1983      529.000000
     9     4  1983      541.000000
    10     4  1983      557.000000
    11     4  1983      572.000000
    12     4  1983      590.000000
    13     4  1983      606.000000
    14     4  1983      624.000000
    15     4  1983      641.000000
    16     4  1983      652.000000
    17     4  1983      662.000000
    18     4  1983      673.000000
    19     4  1983      681.000000
    20     4  1983      694.000000
    21     4  1983      712.000000
    22     4  1983      738.000000
    23     4  1983      760.000000
    24     4  1983      775.000000
    25     4  1983      781.000000
    26     4  1983      792.000000
    27     4  1983      805.000000
    28     4  1983      817.000000
    29     4  1983      828.000000
    30     4  1983      837.000000
     1     5  1983      844.000000
     2     5  1983      849.000000
     3     5  1983      853.000000
     4     5  1983      857.000000
     5     5  1983      860.000000
     6     5  1983      868.000000
     7     5  1983      874.000000
     8     5  1983      884.000000
     9     5  1983      895.000000
    10     5  1983      904.000000
    11     5  1983      918.000000
    12     5  1983      921.000000
    13     5  1983      932.000000
    14     5  1983      938.000000
    15     5  1983      942.000000
    16     5  1983      944.000000
    17     5  1983      945.000000
    18     5  1983      946.000000
    19     5  1983      946.000000
    20     5  1983      946.000000
    21     5  1983      946.000000
    22     5  1983      942.000000
    23     5  1983      941.000000
    24     5  1983      940.000000
    25     5  1983      936.000000
    26     5  1983      932.000000
    27     5  1983      925.000000
    28     5  1983      922.000000
    29     5  1983      920.000000
    30     5  1983      911.000000
    31     5  1983      903.000000
     1     6  1983      897.000000
     2     6  1983      892.000000
     3     6  1983      884.000000
     4     6  1983      880.000000
     5     6  1983      874.000000
     6     6  1983      864.000000
     7     6  1983      863.000000
     8     6  1983      859.000000
     9     6  1983      856.000000
    10     6  1983      854.000000
    11     6  1983      852.000000
    12     6  1983      849.000000
    13     6  1983      847.000000
    14     6  1983      843.000000
    15     6  1983      838.000000
    16     6  1983      836.000000
    17     6  1983      838.000000
    18     6  1983      831.000000
    19     6  1983      829.000000
    20     6  1983      827.000000
    21     6  1983      827.000000
    22     6  1983      825.000000
    23     6  1983      823.000000
    24     6  1983      821.000000
    25     6  1983      818.000000
    26     6  1983      816.000000
    27     6  1983      814.000000
    28     6  1983      812.000000
    29     6  1983      813.000000
    30     6  1983      814.000000
     1     7  1983      816.000000
     2     7  1983      819.000000
     3     7  1983      822.000000
     4     7  1983      828.000000
     5     7  1983      832.000000
     6     7  1983      834.000000
     7     7  1983      835.000000
     8     7  1983      834.000000
     9     7  1983      836.000000
    10     7  1983      836.000000
    11     7  1983      835.000000
    12     7  1983      831.000000
    13     7  1983      829.000000
    14     7  1983      825.000000
    15     7  1983      823.000000
    16     7  1983      821.000000
    17     7  1983      819.000000
    18     7  1983      816.000000
    19     7  1983      813.000000
    20     7  1983      808.000000
    21     7  1983      803.000000
    22     7  1983      799.000000
    23     7  1983      786.000000
    24     7  1983      781.000000
    25     7  1983      777.000000
    26     7  1983      773.000000
    27     7  1983      769.000000
    28     7  1983      767.000000
    29     7  1983      765.000000
    30     7  1983      763.000000
    31     7  1983      761.000000
     1     8  1983      756.000000
     2     8  1983      745.000000
     3     8  1983      733.000000
     4     8  1983      730.000000
     5     8  1983      736.000000
     6     8  1983      749.000000
     7     8  1983      769.000000
     8     8  1983      778.000000
     9     8  1983      784.000000
    10     8  1983      796.000000
    11     8  1983      808.000000
    12     8  1983      814.000000
    13     8  1983      819.000000
    14     8  1983      823.000000
    15     8  1983      825.000000
    16     8  1983      829.000000
    17     8  1983      832.000000
    18     8  1983      831.000000
    19     8  1983      832.000000
    20     8  1983      830.000000
    21     8  1983      828.000000
    22     8  1983      825.000000
    23     8  1983      824.000000
    24     8  1983      824.000000
    25     8  1983      827.000000
    26     8  1983      828.000000
    27     8  1983      830.000000
    28     8  1983      834.000000
    29     8  1983      838.000000
    30     8  1983      840.000000
    31     8  1983      843.000000
     1     9  1983      846.000000
     2     9  1983      848.000000
     3     9  1983      850.000000
     4     9  1983      849.000000
     5     9  1983      849.000000
     6     9  1983      847.000000
     7     9  1983      846.000000
     8     9  1983      843.000000
     9     9  1983      841.000000
    10     9  1983      837.000000
    11     9  1983      833.000000
    12     9  1983      828.000000
    13     9  1983      824.000000
    14     9  1983      819.000000
    15     9  1983      814.000000
    16     9  1983      811.000000
    17     9  1983      810.000000
    18     9  1983      803.000000
    19     9  1983      799.000000
    20     9  1983      793.000000
    21     9  1983      785.000000
    22     9  1983      774.000000
    23     9  1983      764.000000
    24     9  1983      759.000000
    25     9  1983      755.000000
    26     9  1983      751.000000
    27     9  1983      745.000000
    28     9  1983      739.000000
    29     9  1983      733.000000
    30     9  1983      729.000000
     1    10  1983      716.000000
     2    10  1983      700.000000
     3    10  1983      686.000000
     4    10  1983      673.000000
