BARCELOS	-62.931	-0.966
     1     1  1983      293.000000
     2     1  1983      298.000000
     3     1  1983      305.000000
     4     1  1983      312.000000
     5     1  1983      315.000000
     6     1  1983      318.000000
     7     1  1983      320.000000
     8     1  1983      323.000000
     9     1  1983      325.000000
    10     1  1983      326.000000
    11     1  1983      327.000000
    12     1  1983      328.000000
    13     1  1983      329.000000
    14     1  1983      330.000000
    15     1  1983      332.000000
    16     1  1983      332.000000
    17     1  1983      333.000000
    18     1  1983      333.000000
    19     1  1983      333.000000
    20     1  1983      332.000000
    21     1  1983      328.000000
    22     1  1983      324.000000
    23     1  1983      321.000000
    24     1  1983      314.000000
    25     1  1983      305.000000
    26     1  1983      286.000000
    27     1  1983      273.000000
    28     1  1983      264.000000
    29     1  1983      252.000000
    30     1  1983      237.000000
    31     1  1983      225.000000
     1     2  1983      211.000000
     2     2  1983      196.000000
     3     2  1983      183.000000
     4     2  1983      172.000000
     5     2  1983      161.000000
     6     2  1983      150.000000
     7     2  1983      143.000000
     8     2  1983      137.000000
     9     2  1983      129.000000
    10     2  1983      125.000000
    11     2  1983      123.000000
    12     2  1983      126.000000
    13     2  1983      129.000000
    14     2  1983      133.000000
    15     2  1983      137.000000
    16     2  1983      140.000000
    17     2  1983      141.000000
    18     2  1983      142.000000
    19     2  1983      140.000000
    20     2  1983      139.000000
    21     2  1983      135.000000
    22     2  1983      131.000000
    23     2  1983      129.000000
    24     2  1983      127.000000
    25     2  1983      125.000000
    26     2  1983      123.000000
    27     2  1983      123.000000
    28     2  1983      125.000000
     1     3  1983      124.000000
     2     3  1983      126.000000
     3     3  1983      131.000000
     4     3  1983      138.000000
     5     3  1983      147.000000
     6     3  1983      152.000000
     7     3  1983      156.000000
     8     3  1983      161.000000
     9     3  1983      165.000000
    10     3  1983      166.000000
    11     3  1983      165.000000
    12     3  1983      165.000000
    13     3  1983      166.000000
    14     3  1983      166.000000
    15     3  1983      165.000000
    16     3  1983      165.000000
    17     3  1983      164.000000
    18     3  1983      162.000000
    19     3  1983      162.000000
    20     3  1983      166.000000
    21     3  1983      168.000000
    22     3  1983      171.000000
    23     3  1983      182.000000
    24     3  1983      186.000000
    25     3  1983      189.000000
    26     3  1983      194.000000
    27     3  1983      196.000000
    28     3  1983      197.000000
    29     3  1983      199.000000
    30     3  1983      203.000000
    31     3  1983      206.000000
     1     4  1983      209.000000
     2     4  1983      219.000000
     3     4  1983      228.000000
     4     4  1983      238.000000
     5     4  1983      245.000000
     6     4  1983      255.000000
     7     4  1983      264.000000
     8     4  1983      270.000000
     9     4  1983      275.000000
    10     4  1983      282.000000
    11     4  1983      290.000000
    12     4  1983      300.000000
    13     4  1983      309.000000
    14     4  1983      319.000000
    15     4  1983      331.000000
    16     4  1983      341.000000
    17     4  1983      351.000000
    18     4  1983      368.000000
    19     4  1983      376.000000
    20     4  1983      392.000000
    21     4  1983      403.000000
    22     4  1983      414.000000
    23     4  1983      426.000000
    24     4  1983      437.000000
    25     4  1983      447.000000
    26     4  1983      459.000000
    27     4  1983      469.000000
    28     4  1983      482.000000
    29     4  1983      499.000000
    30     4  1983      507.000000
     1     5  1983      520.000000
     2     5  1983      530.000000
     3     5  1983      542.000000
     4     5  1983      554.000000
     5     5  1983      565.000000
     6     5  1983      572.000000
     7     5  1983      582.000000
     8     5  1983      588.000000
     9     5  1983      597.000000
    10     5  1983      607.000000
    11     5  1983      615.000000
    12     5  1983      623.000000
    13     5  1983      632.000000
    14     5  1983      640.000000
    15     5  1983      649.000000
    16     5  1983      656.000000
    17     5  1983      663.000000
    18     5  1983      671.000000
    19     5  1983      682.000000
    20     5  1983      690.000000
    21     5  1983      695.000000
    22     5  1983      700.000000
    23     5  1983      708.000000
    24     5  1983      713.000000
    25     5  1983      717.000000
    26     5  1983      717.000000
    27     5  1983      717.000000
    28     5  1983      718.000000
    29     5  1983      718.000000
    30     5  1983      715.000000
    31     5  1983      714.000000
     1     6  1983      713.000000
     2     6  1983      711.000000
     3     6  1983      708.000000
     4     6  1983      701.000000
     5     6  1983      696.000000
     6     6  1983      691.000000
     7     6  1983      686.000000
     8     6  1983      680.000000
     9     6  1983      675.000000
    10     6  1983      669.000000
    11     6  1983      663.000000
    12     6  1983      660.000000
    13     6  1983      659.000000
    14     6  1983      658.000000
    15     6  1983      655.000000
    16     6  1983      652.000000
    17     6  1983      647.000000
    18     6  1983      644.000000
    19     6  1983      641.000000
    20     6  1983      638.000000
    21     6  1983      634.000000
    22     6  1983      630.000000
    23     6  1983      628.000000
    24     6  1983      626.000000
    25     6  1983      624.000000
    26     6  1983      621.000000
    27     6  1983      619.000000
    28     6  1983      617.000000
    29     6  1983      614.000000
    30     6  1983      612.000000
     1     7  1983      611.000000
     2     7  1983      609.000000
     3     7  1983      607.000000
     4     7  1983      605.000000
     5     7  1983      603.000000
     6     7  1983      602.000000
     7     7  1983      602.000000
     8     7  1983      602.000000
     9     7  1983      602.000000
    10     7  1983      601.000000
    11     7  1983      601.000000
    12     7  1983      601.000000
    13     7  1983      601.000000
    14     7  1983      600.000000
    15     7  1983      599.000000
    16     7  1983      595.000000
    17     7  1983      591.000000
    18     7  1983      589.000000
    19     7  1983      587.000000
    20     7  1983      585.000000
    21     7  1983      582.000000
    22     7  1983      574.000000
    23     7  1983      567.000000
    24     7  1983      563.000000
    25     7  1983      560.000000
    26     7  1983      557.000000
    27     7  1983      553.000000
    28     7  1983      550.000000
    29     7  1983      546.000000
    30     7  1983      541.000000
    31     7  1983      536.000000
     1     8  1983      532.000000
     2     8  1983      529.000000
     3     8  1983      523.000000
     4     8  1983      516.000000
     5     8  1983      511.000000
     6     8  1983      504.000000
     7     8  1983      500.000000
     8     8  1983      497.000000
     9     8  1983      495.000000
    10     8  1983      496.000000
    11     8  1983      498.000000
    12     8  1983      501.000000
    13     8  1983      505.000000
    14     8  1983      507.000000
    15     8  1983      510.000000
    16     8  1983      517.000000
    17     8  1983      518.000000
    18     8  1983      519.000000
    19     8  1983      524.000000
    20     8  1983      529.000000
    21     8  1983      533.000000
    22     8  1983      535.000000
    23     8  1983      536.000000
    24     8  1983      538.000000
    25     8  1983      540.000000
    26     8  1983      541.000000
    27     8  1983      544.000000
    28     8  1983      546.000000
    29     8  1983      547.000000
    30     8  1983      549.000000
    31     8  1983      551.000000
     1     9  1983      553.000000
     2     9  1983      554.000000
     3     9  1983      555.000000
     4     9  1983      556.000000
     5     9  1983      556.000000
     6     9  1983      557.000000
     7     9  1983      557.000000
     8     9  1983      558.000000
     9     9  1983      557.000000
    10     9  1983      557.000000
    11     9  1983      555.000000
    12     9  1983      554.000000
    13     9  1983      554.000000
    14     9  1983      551.000000
    15     9  1983      549.000000
    16     9  1983      547.000000
    17     9  1983      544.000000
    18     9  1983      542.000000
    19     9  1983      539.000000
    20     9  1983      537.000000
    21     9  1983      535.000000
    22     9  1983      533.000000
    23     9  1983      531.000000
    24     9  1983      526.000000
    25     9  1983      521.000000
    26     9  1983      517.000000
    27     9  1983      514.000000
    28     9  1983      509.000000
