FAZENDACAJUPIRANGA	-61.037	3.438
     1     1  1983      524.000000
     2     1  1983      536.000000
     3     1  1983      556.000000
     4     1  1983      547.000000
     5     1  1983      543.000000
     6     1  1983      535.000000
     7     1  1983      527.000000
     8     1  1983      518.000000
     9     1  1983      518.000000
    10     1  1983      532.000000
    11     1  1983      537.000000
    12     1  1983      540.000000
    13     1  1983      546.000000
    14     1  1983      553.000000
    15     1  1983      551.000000
    16     1  1983      542.000000
    17     1  1983      532.000000
    18     1  1983      522.000000
    19     1  1983      511.000000
    20     1  1983      500.000000
    21     1  1983      490.000000
    22     1  1983      486.000000
    23     1  1983      480.000000
    24     1  1983      483.000000
    25     1  1983      480.000000
    26     1  1983      476.000000
    27     1  1983      472.000000
    28     1  1983      468.000000
    29     1  1983      466.000000
    30     1  1983      463.000000
    31     1  1983      461.000000
     1     2  1983      455.000000
     2     2  1983      453.000000
     3     2  1983      452.000000
     4     2  1983      450.000000
     5     2  1983      448.000000
     6     2  1983      446.000000
     7     2  1983      445.000000
     8     2  1983      445.000000
     9     2  1983      444.000000
    10     2  1983      444.000000
    11     2  1983      444.000000
    12     2  1983      443.000000
    13     2  1983      443.000000
    14     2  1983      441.000000
    15     2  1983      440.000000
    16     2  1983      437.000000
    17     2  1983      435.000000
    18     2  1983      434.000000
    19     2  1983      433.000000
    20     2  1983      432.000000
    21     2  1983      432.000000
    22     2  1983      435.000000
    23     2  1983      436.000000
    24     2  1983      435.000000
    25     2  1983      435.000000
    26     2  1983      434.000000
    27     2  1983      435.000000
    28     2  1983      438.000000
     1     3  1983      441.000000
     2     3  1983      443.000000
     3     3  1983      445.000000
     4     3  1983      448.000000
     5     3  1983      453.000000
     6     3  1983      455.000000
     7     3  1983      453.000000
     8     3  1983      451.000000
     9     3  1983      449.000000
    10     3  1983      443.000000
    11     3  1983      444.000000
    12     3  1983      442.000000
    13     3  1983      440.000000
    14     3  1983      438.000000
    15     3  1983      433.000000
    16     3  1983      435.000000
    17     3  1983      434.000000
    18     3  1983      433.000000
    19     3  1983      431.000000
    20     3  1983      431.000000
    21     3  1983      429.000000
    22     3  1983      427.000000
    23     3  1983      429.000000
    24     3  1983      432.000000
    25     3  1983      433.000000
    26     3  1983      432.000000
    27     3  1983      433.000000
    28     3  1983      439.000000
    29     3  1983      442.000000
    30     3  1983      456.000000
    31     3  1983      455.000000
     1     4  1983      456.000000
     2     4  1983      458.000000
     3     4  1983      462.000000
     4     4  1983      454.000000
     5     4  1983      453.000000
     6     4  1983      464.000000
     7     4  1983      465.000000
     8     4  1983      464.000000
     9     4  1983      468.000000
    10     4  1983      473.000000
    11     4  1983      487.000000
    12     4  1983      504.000000
    13     4  1983      533.000000
    14     4  1983      554.000000
    15     4  1983      579.000000
    16     4  1983      575.000000
    17     4  1983      559.000000
    18     4  1983      533.000000
    19     4  1983      545.000000
    20     4  1983      553.000000
    21     4  1983      606.000000
    22     4  1983      659.000000
    23     4  1983      712.000000
    24     4  1983      726.000000
    25     4  1983      716.000000
    26     4  1983      713.000000
    27     4  1983      729.000000
    28     4  1983      765.000000
    29     4  1983      789.000000
