FAZENDAPASSARÃO	-60.571	3.208
     1     1  1983      562.000000
     2     1  1983      584.000000
     3     1  1983      613.000000
     4     1  1983      615.000000
     5     1  1983      604.000000
     6     1  1983      596.000000
     7     1  1983      592.000000
     8     1  1983      589.000000
     9     1  1983      580.000000
    10     1  1983      577.000000
    11     1  1983      581.000000
    12     1  1983      587.000000
    13     1  1983      590.000000
    14     1  1983      598.000000
    15     1  1983      602.000000
    16     1  1983      593.000000
    17     1  1983      587.000000
    18     1  1983      586.000000
    19     1  1983      575.000000
    20     1  1983      571.000000
    21     1  1983      558.000000
    22     1  1983      555.000000
    23     1  1983      552.000000
    24     1  1983      551.000000
    25     1  1983      549.000000
    26     1  1983      547.000000
    27     1  1983      547.000000
    28     1  1983      541.000000
    29     1  1983      538.000000
    30     1  1983      537.000000
    31     1  1983      535.000000
     1     2  1983      535.000000
     2     2  1983      532.000000
     3     2  1983      530.000000
     4     2  1983      528.000000
     5     2  1983      525.000000
     6     2  1983      523.000000
     7     2  1983      523.000000
     8     2  1983      522.000000
     9     2  1983      520.000000
    10     2  1983      519.000000
    11     2  1983      518.000000
    12     2  1983      518.000000
    13     2  1983      516.000000
    14     2  1983      516.000000
    15     2  1983      516.000000
    16     2  1983      515.000000
    17     2  1983      514.000000
    18     2  1983      513.000000
    19     2  1983      513.000000
    20     2  1983      511.000000
    21     2  1983      512.000000
    22     2  1983      511.000000
    23     2  1983      510.000000
    24     2  1983      510.000000
    25     2  1983      508.000000
    26     2  1983      507.000000
    27     2  1983      508.000000
    28     2  1983      507.000000
     1     3  1983      504.000000
     2     3  1983      505.000000
     3     3  1983      507.000000
     4     3  1983      509.000000
     5     3  1983      511.000000
     6     3  1983      514.000000
     7     3  1983      517.000000
     8     3  1983      517.000000
     9     3  1983      516.000000
    10     3  1983      514.000000
    11     3  1983      513.000000
    12     3  1983      512.000000
    13     3  1983      512.000000
    14     3  1983      507.000000
    15     3  1983      506.000000
    16     3  1983      504.000000
    17     3  1983      503.000000
    18     3  1983      504.000000
    19     3  1983      504.000000
    20     3  1983      504.000000
    21     3  1983      501.000000
    22     3  1983      500.000000
    23     3  1983      500.000000
    24     3  1983      500.000000
    25     3  1983      500.000000
    26     3  1983      500.000000
    27     3  1983      500.000000
    28     3  1983      500.000000
    29     3  1983      500.000000
    30     3  1983      508.000000
    31     3  1983      519.000000
     1     4  1983      522.000000
     2     4  1983      526.000000
     3     4  1983      527.000000
     4     4  1983      529.000000
     5     4  1983      529.000000
     6     4  1983      525.000000
     7     4  1983      524.000000
     8     4  1983      523.000000
     9     4  1983      534.000000
