BOAVISTA	-60.658	2.826
     1     1  1983      105.000000
     2     1  1983      108.000000
     3     1  1983      137.000000
     4     1  1983      152.000000
     5     1  1983      148.000000
     6     1  1983      135.000000
     7     1  1983      129.000000
     8     1  1983      129.000000
     9     1  1983      128.000000
    10     1  1983      137.000000
    11     1  1983      143.000000
    12     1  1983      146.000000
    13     1  1983      150.000000
    14     1  1983      164.000000
    15     1  1983      160.000000
    16     1  1983      154.000000
    17     1  1983      146.000000
    18     1  1983      135.000000
    19     1  1983      126.000000
    20     1  1983      119.000000
    21     1  1983      113.000000
    22     1  1983      109.000000
    23     1  1983      100.000000
    24     1  1983       97.000000
    25     1  1983       94.000000
    26     1  1983       89.000000
    27     1  1983       84.000000
    28     1  1983       80.000000
    29     1  1983       77.000000
    30     1  1983       74.000000
    31     1  1983       71.000000
     1     2  1983       69.000000
     2     2  1983       63.000000
     3     2  1983       61.000000
     4     2  1983       59.000000
     5     2  1983       58.000000
     6     2  1983       56.000000
     7     2  1983       53.000000
     8     2  1983       51.000000
     9     2  1983       51.000000
    10     2  1983       50.000000
    11     2  1983       50.000000
    12     2  1983       50.000000
    13     2  1983       50.000000
    14     2  1983       50.000000
    15     2  1983       50.000000
    16     2  1983       49.000000
    17     2  1983       47.000000
    18     2  1983       45.000000
    19     2  1983       44.000000
    20     2  1983       44.000000
    21     2  1983       44.000000
    22     2  1983       43.000000
    23     2  1983       43.000000
    24     2  1983       42.000000
    25     2  1983       42.000000
    26     2  1983       42.000000
    27     2  1983       40.000000
    28     2  1983       44.000000
     1     3  1983       45.000000
     2     3  1983       63.000000
     3     3  1983       84.000000
     4     3  1983      100.000000
     5     3  1983       94.000000
     6     3  1983       82.000000
     7     3  1983       76.000000
     8     3  1983       69.000000
     9     3  1983       67.000000
    10     3  1983       67.000000
    11     3  1983       63.000000
    12     3  1983       57.000000
    13     3  1983       52.000000
    14     3  1983       49.000000
    15     3  1983       47.000000
    16     3  1983       45.000000
    17     3  1983       44.000000
    18     3  1983       44.000000
    19     3  1983       43.000000
    20     3  1983       42.000000
    21     3  1983       40.000000
    22     3  1983       35.000000
    23     3  1983       34.000000
    24     3  1983       33.000000
    25     3  1983       33.000000
    26     3  1983       34.000000
    27     3  1983       39.000000
    28     3  1983       38.000000
    29     3  1983       47.000000
    30     3  1983       47.000000
    31     3  1983       63.000000
     1     4  1983       72.000000
     2     4  1983       71.000000
     3     4  1983       70.000000
     4     4  1983       68.000000
     5     4  1983       66.000000
     6     4  1983       64.000000
     7     4  1983       62.000000
     8     4  1983       68.000000
     9     4  1983       81.000000
    10     4  1983       85.000000
    11     4  1983       89.000000
    12     4  1983       89.000000
    13     4  1983       90.000000
    14     4  1983      100.000000
    15     4  1983      134.000000
    16     4  1983      180.000000
    17     4  1983      184.000000
    18     4  1983      171.000000
    19     4  1983      157.000000
    20     4  1983      156.000000
    21     4  1983      164.000000
    22     4  1983      181.000000
    23     4  1983      265.000000
    24     4  1983      329.000000
    25     4  1983      352.000000
    26     4  1983      384.000000
    27     4  1983      379.000000
    28     4  1983      361.000000
    29     4  1983      361.000000
    30     4  1983      388.000000
     1     5  1983      437.000000
     2     5  1983      427.000000
     3     5  1983      410.000000
     4     5  1983      359.000000
     5     5  1983      330.000000
     6     5  1983      319.000000
     7     5  1983      322.000000
     8     5  1983      345.000000
     9     5  1983      373.000000
    10     5  1983      386.000000
    11     5  1983      394.000000
    12     5  1983      395.000000
    13     5  1983      374.000000
    14     5  1983      342.000000
    15     5  1983      304.000000
    16     5  1983      276.000000
    17     5  1983      260.000000
    18     5  1983      245.000000
    19     5  1983      229.000000
    20     5  1983      216.000000
    21     5  1983      209.000000
    22     5  1983      204.000000
    23     5  1983      214.000000
    24     5  1983      245.000000
    25     5  1983      267.000000
    26     5  1983      299.000000
    27     5  1983      317.000000
    28     5  1983      308.000000
    29     5  1983      286.000000
    30     5  1983      266.000000
    31     5  1983      249.000000
     1     6  1983      237.000000
     2     6  1983      224.000000
     3     6  1983      213.000000
     4     6  1983      206.000000
     5     6  1983      202.000000
     6     6  1983      201.000000
     7     6  1983      191.000000
     8     6  1983      184.000000
     9     6  1983      187.000000
    10     6  1983      198.000000
    11     6  1983      218.000000
    12     6  1983      243.000000
    13     6  1983      254.000000
    14     6  1983      253.000000
    15     6  1983      259.000000
    16     6  1983      260.000000
    17     6  1983      289.000000
    18     6  1983      318.000000
    19     6  1983      310.000000
    20     6  1983      316.000000
    21     6  1983      329.000000
    22     6  1983      319.000000
    23     6  1983      289.000000
    24     6  1983      257.000000
    25     6  1983      239.000000
    26     6  1983      242.000000
    27     6  1983      269.000000
    28     6  1983      276.000000
    29     6  1983      261.000000
    30     6  1983      261.000000
     1     7  1983      268.000000
     2     7  1983      278.000000
     3     7  1983      282.000000
     4     7  1983      282.000000
     5     7  1983      288.000000
     6     7  1983      307.000000
     7     7  1983      312.000000
     8     7  1983      297.000000
     9     7  1983      269.000000
    10     7  1983      247.000000
    11     7  1983      235.000000
    12     7  1983      222.000000
    13     7  1983      209.000000
    14     7  1983      195.000000
    15     7  1983      189.000000
    16     7  1983      182.000000
    17     7  1983      177.000000
    18     7  1983      173.000000
    19     7  1983      169.000000
    20     7  1983      166.000000
    21     7  1983      165.000000
    22     7  1983      164.000000
    23     7  1983      161.000000
    24     7  1983      157.000000
    25     7  1983      153.000000
    26     7  1983      151.000000
    27     7  1983      146.000000
    28     7  1983      141.000000
    29     7  1983      139.000000
    30     7  1983      136.000000
    31     7  1983      138.000000
     1     8  1983      140.000000
     2     8  1983      149.000000
     3     8  1983      164.000000
     4     8  1983      192.000000
     5     8  1983      225.000000
     6     8  1983      267.000000
     7     8  1983      276.000000
     8     8  1983      260.000000
     9     8  1983      249.000000
    10     8  1983      244.000000
    11     8  1983      240.000000
    12     8  1983      230.000000
    13     8  1983      212.000000
    14     8  1983      196.000000
    15     8  1983      184.000000
    16     8  1983      218.000000
    17     8  1983      293.000000
    18     8  1983      291.000000
    19     8  1983      262.000000
    20     8  1983      243.000000
    21     8  1983      237.000000
    22     8  1983      234.000000
