CARACARAÍ	-61.124	1.821
     1     1  1983       77.000000
     2     1  1983       78.000000
     3     1  1983       82.000000
     4     1  1983       98.000000
     5     1  1983      116.000000
     6     1  1983      120.000000
     7     1  1983      116.000000
     8     1  1983      115.000000
     9     1  1983      111.000000
    10     1  1983       98.000000
    11     1  1983       98.000000
    12     1  1983      106.000000
    13     1  1983      110.000000
    14     1  1983      112.000000
    15     1  1983      122.000000
    16     1  1983      126.000000
    17     1  1983      124.000000
    18     1  1983      118.000000
    19     1  1983      110.000000
    20     1  1983      105.000000
    21     1  1983      100.000000
    22     1  1983       84.000000
    23     1  1983       81.000000
    24     1  1983       75.000000
    25     1  1983       72.000000
    26     1  1983       65.000000
    27     1  1983       61.000000
    28     1  1983       57.000000
    29     1  1983       47.000000
    30     1  1983       40.000000
    31     1  1983       40.000000
     1     2  1983       41.000000
     2     2  1983       39.000000
     3     2  1983       35.000000
     4     2  1983       33.000000
     5     2  1983       30.000000
     6     2  1983       28.000000
     7     2  1983       25.000000
     8     2  1983       23.000000
     9     2  1983       23.000000
    10     2  1983       21.000000
    11     2  1983       20.000000
    12     2  1983       18.000000
    13     2  1983       18.000000
    14     2  1983       17.000000
    15     2  1983       15.000000
    16     2  1983       16.000000
    17     2  1983       15.000000
    18     2  1983       14.000000
    19     2  1983       12.000000
    20     2  1983       12.000000
    21     2  1983       11.000000
    22     2  1983       11.000000
    23     2  1983       10.000000
    24     2  1983       10.000000
    25     2  1983        9.000000
    26     2  1983        9.000000
    27     2  1983        8.000000
    28     2  1983        6.000000
     1     3  1983        6.000000
     2     3  1983       15.000000
     3     3  1983       23.000000
     4     3  1983       31.000000
     5     3  1983       42.000000
     6     3  1983       48.000000
     7     3  1983       50.000000
     8     3  1983       39.000000
     9     3  1983       35.000000
    10     3  1983       31.000000
    11     3  1983       29.000000
    12     3  1983       27.000000
    13     3  1983       25.000000
    14     3  1983       23.000000
    15     3  1983       20.000000
    16     3  1983       18.000000
    17     3  1983       16.000000
    18     3  1983       14.000000
    19     3  1983       17.000000
    20     3  1983       17.000000
    21     3  1983       12.000000
    22     3  1983        9.000000
    23     3  1983       12.000000
    24     3  1983       21.000000
    25     3  1983       32.000000
    26     3  1983       60.000000
    27     3  1983       85.000000
    28     3  1983       84.000000
    29     3  1983       78.000000
    30     3  1983       81.000000
    31     3  1983       86.000000
     1     4  1983       88.000000
     2     4  1983       92.000000
     3     4  1983       80.000000
     4     4  1983       35.000000
     5     4  1983       40.000000
     6     4  1983       36.000000
     7     4  1983       34.000000
     8     4  1983       32.000000
     9     4  1983       35.000000
