MOURA	-61.635	-1.457
     1     1  1983      626.000000
     2     1  1983      630.000000
     3     1  1983      636.000000
     4     1  1983      642.000000
     5     1  1983      648.000000
     6     1  1983      654.000000
     7     1  1983      660.000000
     8     1  1983      664.000000
     9     1  1983      668.000000
    10     1  1983      673.000000
    11     1  1983      677.000000
    12     1  1983      681.000000
    13     1  1983      684.000000
    14     1  1983      687.000000
    15     1  1983      691.000000
    16     1  1983      693.000000
    17     1  1983      696.000000
    18     1  1983      698.000000
    19     1  1983      700.000000
    20     1  1983      704.000000
    21     1  1983      707.000000
    22     1  1983      709.000000
    23     1  1983      711.000000
    24     1  1983      712.000000
    25     1  1983      712.000000
    26     1  1983      712.000000
    27     1  1983      710.000000
    28     1  1983      708.000000
    29     1  1983      706.000000
    30     1  1983      704.000000
    31     1  1983      702.000000
     1     2  1983      700.000000
     2     2  1983      699.000000
     3     2  1983      697.000000
     4     2  1983      695.000000
     5     2  1983      693.000000
     6     2  1983      692.000000
     7     2  1983      692.000000
     8     2  1983      690.000000
     9     2  1983      688.000000
    10     2  1983      686.000000
    11     2  1983      684.000000
    12     2  1983      684.000000
    13     2  1983      684.000000
    14     2  1983      686.000000
    15     2  1983      686.000000
    16     2  1983      687.000000
    17     2  1983      688.000000
    18     2  1983      689.000000
    19     2  1983      690.000000
    20     2  1983      690.000000
    21     2  1983      690.000000
    22     2  1983      690.000000
    23     2  1983      690.000000
    24     2  1983      690.000000
    25     2  1983      690.000000
    26     2  1983      689.000000
    27     2  1983      687.000000
    28     2  1983      685.000000
     1     3  1983      685.000000
     2     3  1983      685.000000
     3     3  1983      685.000000
     4     3  1983      687.000000
     5     3  1983      689.000000
     6     3  1983      691.000000
     7     3  1983      693.000000
     8     3  1983      695.000000
     9     3  1983      699.000000
    10     3  1983      699.000000
    11     3  1983      699.000000
    12     3  1983      699.000000
    13     3  1983      700.000000
    14     3  1983      700.000000
    15     3  1983      700.000000
    16     3  1983      701.000000
    17     3  1983      702.000000
    18     3  1983      702.000000
    19     3  1983      703.000000
    20     3  1983      708.000000
    21     3  1983      714.000000
    22     3  1983      720.000000
    23     3  1983      726.000000
    24     3  1983      732.000000
    25     3  1983      738.000000
    26     3  1983      744.000000
    27     3  1983      750.000000
    28     3  1983      755.000000
    29     3  1983      760.000000
    30     3  1983      765.000000
    31     3  1983      771.000000
     1     4  1983      776.000000
     2     4  1983      781.000000
     3     4  1983      786.000000
     4     4  1983      790.000000
     5     4  1983      797.000000
     6     4  1983      804.000000
     7     4  1983      812.000000
     8     4  1983      818.000000
     9     4  1983      822.000000
    10     4  1983      826.000000
    11     4  1983      831.000000
    12     4  1983      835.000000
    13     4  1983      840.000000
    14     4  1983      846.000000
    15     4  1983      852.000000
    16     4  1983      858.000000
    17     4  1983      864.000000
    18     4  1983      870.000000
    19     4  1983      876.000000
    20     4  1983      884.000000
    21     4  1983      897.000000
    22     4  1983      907.000000
    23     4  1983      917.000000
    24     4  1983      927.000000
    25     4  1983      937.000000
    26     4  1983      946.000000
    27     4  1983      953.000000
    28     4  1983      962.000000
    29     4  1983      972.000000
    30     4  1983      982.000000
     1     5  1983      992.000000
     2     5  1983     1002.000000
     3     5  1983     1012.000000
     4     5  1983     1022.000000
     5     5  1983     1031.000000
     6     5  1983     1039.000000
     7     5  1983     1047.000000
     8     5  1983     1055.000000
     9     5  1983     1063.000000
    10     5  1983     1073.000000
    11     5  1983     1081.000000
    12     5  1983     1086.000000
    13     5  1983     1092.000000
    14     5  1983     1100.000000
    15     5  1983     1108.000000
    16     5  1983     1116.000000
    17     5  1983     1125.000000
    18     5  1983     1134.000000
    19     5  1983     1142.000000
    20     5  1983     1148.000000
    21     5  1983     1153.000000
    22     5  1983     1158.000000
    23     5  1983     1163.000000
    24     5  1983     1169.000000
    25     5  1983     1174.000000
    26     5  1983     1177.000000
    27     5  1983     1180.000000
    28     5  1983     1180.000000
    29     5  1983     1182.000000
    30     5  1983     1183.000000
    31     5  1983     1184.000000
     1     6  1983     1184.000000
     2     6  1983     1184.000000
     3     6  1983     1185.000000
     4     6  1983     1185.000000
     5     6  1983     1184.000000
     6     6  1983     1182.000000
     7     6  1983     1179.000000
     8     6  1983     1175.000000
     9     6  1983     1170.000000
    10     6  1983     1167.000000
    11     6  1983     1163.000000
    12     6  1983     1160.000000
    13     6  1983     1156.000000
    14     6  1983     1152.000000
    15     6  1983     1150.000000
    16     6  1983     1148.000000
    17     6  1983     1145.000000
    18     6  1983     1141.000000
    19     6  1983     1137.000000
    20     6  1983     1133.000000
    21     6  1983     1130.000000
    22     6  1983     1128.000000
    23     6  1983     1124.000000
    24     6  1983     1121.000000
    25     6  1983     1118.000000
    26     6  1983     1116.000000
    27     6  1983     1117.000000
    28     6  1983     1109.000000
    29     6  1983     1106.000000
    30     6  1983     1103.000000
     1     7  1983     1100.000000
     2     7  1983     1098.000000
     3     7  1983     1096.000000
     4     7  1983     1094.000000
     5     7  1983     1092.000000
     6     7  1983     1089.000000
     7     7  1983     1085.000000
     8     7  1983     1081.000000
     9     7  1983     1077.000000
    10     7  1983     1073.000000
    11     7  1983     1069.000000
    12     7  1983     1065.000000
    13     7  1983     1061.000000
    14     7  1983     1057.000000
    15     7  1983     1053.000000
    16     7  1983     1047.000000
    17     7  1983     1042.000000
    18     7  1983     1036.000000
    19     7  1983     1030.000000
    20     7  1983     1024.000000
    21     7  1983     1019.000000
    22     7  1983     1015.000000
    23     7  1983     1008.000000
    24     7  1983     1001.000000
    25     7  1983      993.000000
    26     7  1983      985.000000
    27     7  1983      976.000000
    28     7  1983      966.000000
    29     7  1983      958.000000
    30     7  1983      949.000000
    31     7  1983      937.000000
     1     8  1983      926.000000
     2     8  1983      916.000000
     3     8  1983      908.000000
     4     8  1983      899.000000
     5     8  1983      884.000000
     6     8  1983      869.000000
     7     8  1983      859.000000
     8     8  1983      849.000000
     9     8  1983      838.000000
    10     8  1983      827.000000
    11     8  1983      816.000000
    12     8  1983      805.000000
    13     8  1983      798.000000
    14     8  1983      792.000000
    15     8  1983      786.000000
    16     8  1983      781.000000
    17     8  1983      777.000000
    18     8  1983      773.000000
    19     8  1983      770.000000
    20     8  1983      767.000000
    21     8  1983      764.000000
    22     8  1983      762.000000
    23     8  1983      762.000000
    24     8  1983      762.000000
    25     8  1983      763.000000
    26     8  1983      764.000000
    27     8  1983      766.000000
    28     8  1983      768.000000
    29     8  1983      769.000000
    30     8  1983      770.000000
    31     8  1983      771.000000
     1     9  1983      772.000000
     2     9  1983      773.000000
     3     9  1983      773.000000
     4     9  1983      773.000000
     5     9  1983      773.000000
     6     9  1983      772.000000
     7     9  1983      771.000000
     8     9  1983      770.000000
     9     9  1983      770.000000
    10     9  1983      768.000000
    11     9  1983      766.000000
    12     9  1983      765.000000
    13     9  1983      763.000000
    14     9  1983      759.000000
    15     9  1983      756.000000
    16     9  1983      753.000000
    17     9  1983      750.000000
    18     9  1983      746.000000
    19     9  1983      743.000000
    20     9  1983      740.000000
    21     9  1983      738.000000
    22     9  1983      736.000000
    23     9  1983      734.000000
    24     9  1983      729.000000
    25     9  1983      723.000000
    26     9  1983      717.000000
    27     9  1983      711.000000
    28     9  1983      705.000000
    29     9  1983      699.000000
    30     9  1983      693.000000
     1    10  1983      687.000000
     2    10  1983      681.000000
     3    10  1983      675.000000
     4    10  1983      669.000000
     5    10  1983      663.000000
     6    10  1983      657.000000
     7    10  1983      651.000000
     8    10  1983      645.000000
