BASEALALAÚ	-60.520	-0.859
     1     1  1983     3864.000000
     2     1  1983     3846.000000
     3     1  1983     3826.000000
     4     1  1983     3814.000000
     5     1  1983     3804.000000
     6     1  1983     3798.000000
     7     1  1983     3788.000000
     8     1  1983     3784.000000
     9     1  1983     3780.000000
    10     1  1983     3780.000000
    11     1  1983     3778.000000
    12     1  1983     3776.000000
    13     1  1983     3774.000000
    14     1  1983     3770.000000
    15     1  1983     3768.000000
    16     1  1983     3766.000000
    17     1  1983     3763.000000
    18     1  1983     3760.000000
    19     1  1983     3760.000000
    20     1  1983     3760.000000
    21     1  1983     3758.000000
    22     1  1983     3755.000000
    23     1  1983     3754.000000
    24     1  1983     3753.000000
    25     1  1983     3752.000000
    26     1  1983     3751.000000
    27     1  1983     3750.000000
    28     1  1983     3750.000000
    29     1  1983     3750.000000
    30     1  1983     3748.000000
    31     1  1983     3748.000000
     1     2  1983     3748.000000
     2     2  1983     3745.000000
     3     2  1983     3745.000000
     4     2  1983     3745.000000
     5     2  1983     3745.000000
     6     2  1983     3745.000000
     7     2  1983     3745.000000
     8     2  1983     3744.000000
     9     2  1983     3744.000000
    10     2  1983     3744.000000
    11     2  1983     3740.000000
    12     2  1983     3740.000000
    13     2  1983     3740.000000
    14     2  1983     3740.000000
    15     2  1983     3739.000000
    16     2  1983     3738.000000
    17     2  1983     3738.000000
    18     2  1983     3738.000000
    19     2  1983     3736.000000
    20     2  1983     3738.000000
    21     2  1983     3740.000000
    22     2  1983     3738.000000
    23     2  1983     3738.000000
    24     2  1983     3738.000000
    25     2  1983     3738.000000
    26     2  1983     3738.000000
    27     2  1983     3738.000000
    28     2  1983     3738.000000
     1     3  1983     3738.000000
     2     3  1983     3738.000000
     3     3  1983     3738.000000
     4     3  1983     3738.000000
     5     3  1983     3738.000000
     6     3  1983     3737.000000
     7     3  1983     3736.000000
     8     3  1983     3735.000000
     9     3  1983     3735.000000
    10     3  1983     3735.000000
    11     3  1983     3734.000000
    12     3  1983     3734.000000
    13     3  1983     3734.000000
    14     3  1983     3735.000000
    15     3  1983     3734.000000
    16     3  1983     3734.000000
    17     3  1983     3734.000000
    18     3  1983     3734.000000
    19     3  1983     3734.000000
    20     3  1983     3734.000000
    21     3  1983     3762.000000
    22     3  1983     3774.000000
    23     3  1983     3786.000000
    24     3  1983     3780.000000
    25     3  1983     3776.000000
    26     3  1983     3778.000000
    27     3  1983     3785.000000
    28     3  1983     3814.000000
    29     3  1983     3818.000000
    30     3  1983     3823.000000
    31     3  1983     3818.000000
     1     4  1983     3798.000000
     2     4  1983     3799.000000
     3     4  1983     3810.000000
     4     4  1983     3822.000000
     5     4  1983     3872.000000
     6     4  1983     3965.000000
     7     4  1983     3922.000000
     8     4  1983     3898.000000
     9     4  1983     3881.000000
    10     4  1983     3876.000000
    11     4  1983     3896.000000
    12     4  1983     3898.000000
    13     4  1983     3891.000000
    14     4  1983     3877.000000
    15     4  1983     3862.000000
    16     4  1983     3854.000000
    17     4  1983     3854.000000
    18     4  1983     3870.000000
    19     4  1983     3902.000000
    20     4  1983     3917.000000
    21     4  1983     3958.000000
    22     4  1983     4012.000000
    23     4  1983     4035.000000
    24     4  1983     4102.000000
    25     4  1983     4156.000000
    26     4  1983     4168.000000
    27     4  1983     4119.000000
    28     4  1983     4085.000000
    29     4  1983     4064.000000
    30     4  1983     4055.000000
     1     5  1983     4045.000000
     2     5  1983     4016.000000
     3     5  1983     3988.000000
     4     5  1983     3979.000000
     5     5  1983     3975.000000
     6     5  1983     3971.000000
     7     5  1983     3959.000000
     8     5  1983     3943.000000
     9     5  1983     3934.000000
    10     5  1983     3932.000000
    11     5  1983     3951.000000
    12     5  1983     3948.000000
    13     5  1983     3937.000000
    14     5  1983     3960.000000
    15     5  1983     3990.000000
    16     5  1983     3998.000000
    17     5  1983     4020.000000
    18     5  1983     4006.000000
    19     5  1983     3992.000000
    20     5  1983     3992.000000
    21     5  1983     3990.000000
    22     5  1983     4002.000000
    23     5  1983     4016.000000
    24     5  1983     4016.000000
    25     5  1983     4006.000000
    26     5  1983     3986.000000
    27     5  1983     3962.000000
    28     5  1983     3938.000000
    29     5  1983     3920.000000
    30     5  1983     3902.000000
    31     5  1983     3888.000000
     1     6  1983     3876.000000
     2     6  1983     3866.000000
     3     6  1983     3858.000000
     4     6  1983     3858.000000
     5     6  1983     3860.000000
     6     6  1983     3870.000000
     7     6  1983     3893.000000
     8     6  1983     3901.000000
     9     6  1983     3903.000000
    10     6  1983     3902.000000
    11     6  1983     3903.000000
    12     6  1983     3906.000000
    13     6  1983     3908.000000
    14     6  1983     3916.000000
    15     6  1983     3921.000000
    16     6  1983     3914.000000
    17     6  1983     3910.000000
    18     6  1983     3912.000000
    19     6  1983     3923.000000
    20     6  1983     3948.000000
    21     6  1983     3974.000000
    22     6  1983     3978.000000
    23     6  1983     3972.000000
    24     6  1983     3953.000000
    25     6  1983     3934.000000
    26     6  1983     3924.000000
    27     6  1983     3926.000000
    28     6  1983     3934.000000
    29     6  1983     3942.000000
    30     6  1983     3947.000000
     1     7  1983     3957.000000
     2     7  1983     3964.000000
     3     7  1983     3967.000000
     4     7  1983     3960.000000
     5     7  1983     3939.000000
     6     7  1983     3914.000000
     7     7  1983     3897.000000
     8     7  1983     3888.000000
     9     7  1983     3877.000000
    10     7  1983     3868.000000
    11     7  1983     3861.000000
    12     7  1983     3854.000000
    13     7  1983     3848.000000
    14     7  1983     3845.000000
    15     7  1983     3848.000000
    16     7  1983     3850.000000
    17     7  1983     3857.000000
    18     7  1983     3860.000000
    19     7  1983     3856.000000
    20     7  1983     3856.000000
    21     7  1983     3866.000000
    22     7  1983     3880.000000
    23     7  1983     3902.000000
    24     7  1983     3915.000000
    25     7  1983     3914.000000
    26     7  1983     3904.000000
    27     7  1983     3894.000000
    28     7  1983     3879.000000
    29     7  1983     3862.000000
    30     7  1983     3850.000000
    31     7  1983     3842.000000
     1     8  1983     3838.000000
     2     8  1983     3846.000000
     3     8  1983     3868.000000
     4     8  1983     3878.000000
     5     8  1983     3871.000000
     6     8  1983     3864.000000
     7     8  1983     3858.000000
     8     8  1983     3854.000000
     9     8  1983     3855.000000
    10     8  1983     3857.000000
    11     8  1983     3864.000000
    12     8  1983     3878.000000
    13     8  1983     3898.000000
    14     8  1983     3896.000000
    15     8  1983     3892.000000
    16     8  1983     3890.000000
    17     8  1983     3886.000000
    18     8  1983     3892.000000
    19     8  1983     3898.000000
    20     8  1983     3912.000000
    21     8  1983     3946.000000
    22     8  1983     3981.000000
    23     8  1983     3974.000000
    24     8  1983     3962.000000
    25     8  1983     3952.000000
    26     8  1983     3942.000000
    27     8  1983     3937.000000
    28     8  1983     3944.000000
    29     8  1983     3966.000000
    30     8  1983     3976.000000
    31     8  1983     3962.000000
     1     9  1983     3940.000000
     2     9  1983     3906.000000
     3     9  1983     3891.000000
     4     9  1983     3887.000000
     5     9  1983     3886.000000
     6     9  1983     3888.000000
     7     9  1983     3889.000000
     8     9  1983     3892.000000
     9     9  1983     3893.000000
    10     9  1983     3886.000000
    11     9  1983     3890.000000
    12     9  1983     3932.000000
    13     9  1983     3956.000000
    14     9  1983     3955.000000
    15     9  1983     3947.000000
    16     9  1983     3930.000000
    17     9  1983     3918.000000
    18     9  1983     3904.000000
    19     9  1983     3890.000000
    20     9  1983     3874.000000
    21     9  1983     3871.000000
    22     9  1983     3890.000000
    23     9  1983     3954.000000
    24     9  1983     3992.000000
    25     9  1983     4030.000000
    26     9  1983     4047.000000
    27     9  1983     4056.000000
    28     9  1983     4070.000000
    29     9  1983     4078.000000
    30     9  1983     4024.000000
     1    10  1983     3978.000000
     2    10  1983     3948.000000
     3    10  1983     3940.000000
     4    10  1983     3938.000000
     5    10  1983     3935.000000
     6    10  1983     3943.000000
     7    10  1983     3954.000000
     8    10  1983     3968.000000
     9    10  1983     3979.000000
    10    10  1983     3986.000000
    11    10  1983     3994.000000
    12    10  1983     3998.000000
    13    10  1983     3998.000000
    14    10  1983     3964.000000
    15    10  1983     3936.000000
    16    10  1983     3914.000000
    17    10  1983     3901.000000
    18    10  1983     3890.000000
    19    10  1983     3880.000000
    20    10  1983     3872.000000
    21    10  1983     3872.000000
    22    10  1983     3881.000000
    23    10  1983     3882.000000
    24    10  1983     3894.000000
    25    10  1983     3896.000000
    26    10  1983     3884.000000
    27    10  1983     3872.000000
    28    10  1983     3880.000000
    29    10  1983     3928.000000
    30    10  1983     3950.000000
    31    10  1983     3946.000000
     1    11  1983     3926.000000
     2    11  1983     3906.000000
     3    11  1983     3890.000000
     4    11  1983     3877.000000
     5    11  1983     3869.000000
     6    11  1983     3850.000000
     7    11  1983     3853.000000
     8    11  1983     3855.000000
     9    11  1983     3850.000000
    10    11  1983     3848.000000
    11    11  1983     3846.000000
    12    11  1983     3849.000000
    13    11  1983     3844.000000
    14    11  1983     3836.000000
    15    11  1983     3830.000000
    16    11  1983     3826.000000
    17    11  1983     3823.000000
    18    11  1983     3823.000000
    19    11  1983     3822.000000
    20    11  1983     3820.000000
    21    11  1983     3815.000000
    22    11  1983     3811.000000
    23    11  1983     3807.000000
    24    11  1983     3804.000000
    25    11  1983     3800.000000
    26    11  1983     3798.000000
    27    11  1983     3812.000000
    28    11  1983     3823.000000
    29    11  1983     3832.000000
    30    11  1983     3845.000000
     1    12  1983     3867.000000
     2    12  1983     3870.000000
     3    12  1983     3868.000000
     4    12  1983     3864.000000
     5    12  1983     3864.000000
     6    12  1983     3864.000000
     7    12  1983     3861.000000
     8    12  1983     3864.000000
     9    12  1983     3868.000000
    10    12  1983     3888.000000
    11    12  1983     3928.000000
    12    12  1983     3945.000000
    13    12  1983     3969.000000
    14    12  1983     3972.000000
    15    12  1983     3959.000000
    16    12  1983     3936.000000
    17    12  1983     3910.000000
    18    12  1983     3892.000000
    19    12  1983     3876.000000
    20    12  1983     3865.000000
    21    12  1983     3855.000000
    22    12  1983     3846.000000
    23    12  1983     3840.000000
    24    12  1983     3840.000000
    25    12  1983     3845.000000
    26    12  1983     3862.000000
    27    12  1983     3868.000000
    28    12  1983     3868.000000
    29    12  1983     3872.000000
    30    12  1983     3868.000000
    31    12  1983     3860.000000
     1     1  1984     3858.000000
     2     1  1984     3850.000000
     3     1  1984     3852.000000
     4     1  1984     3856.000000
     5     1  1984     3863.000000
     6     1  1984     3881.000000
     7     1  1984     3877.000000
     8     1  1984     3866.000000
     9     1  1984     3858.000000
    10     1  1984     3860.000000
    11     1  1984     3869.000000
    12     1  1984     3878.000000
    13     1  1984     3874.000000
    14     1  1984     3866.000000
    15     1  1984     3871.000000
    16     1  1984     3871.000000
    17     1  1984     3871.000000
    18     1  1984     3894.000000
    19     1  1984     3932.000000
    20     1  1984     3954.000000
    21     1  1984     3956.000000
    22     1  1984     3949.000000
    23     1  1984     3946.000000
    24     1  1984     3949.000000
    25     1  1984     3950.000000
    26     1  1984     3939.000000
    27     1  1984     3924.000000
    28     1  1984     3909.000000
    29     1  1984     3905.000000
    30     1  1984     3927.000000
    31     1  1984     3967.000000
     1     2  1984     3996.000000
     2     2  1984     3994.000000
     3     2  1984     3976.000000
     4     2  1984     3970.000000
     5     2  1984     3983.000000
     6     2  1984     3991.000000
     7     2  1984     3994.000000
     8     2  1984     3985.000000
     9     2  1984     3963.000000
    10     2  1984     3936.000000
    11     2  1984     3919.000000
    12     2  1984     3909.000000
    13     2  1984     3905.000000
    14     2  1984     3902.000000
    15     2  1984     3901.000000
    16     2  1984     3905.000000
    17     2  1984     3903.000000
    18     2  1984     3901.000000
    19     2  1984     3905.000000
    20     2  1984     3902.000000
    21     2  1984     3908.000000
    22     2  1984     3940.000000
    23     2  1984     3975.000000
    24     2  1984     4013.000000
    25     2  1984     4027.000000
    26     2  1984     4026.000000
    27     2  1984     4008.000000
    28     2  1984     3986.000000
    29     2  1984     3958.000000
     1     3  1984     3932.000000
     2     3  1984     3923.000000
     3     3  1984     3929.000000
     4     3  1984     3942.000000
     5     3  1984     3948.000000
     6     3  1984     3942.000000
     7     3  1984     3936.000000
     8     3  1984     3928.000000
     9     3  1984     3917.000000
    10     3  1984     3900.000000
    11     3  1984     3887.000000
    12     3  1984     3876.000000
    13     3  1984     3869.000000
    14     3  1984     3876.000000
    15     3  1984     3900.000000
    16     3  1984     3895.000000
    17     3  1984     3878.000000
    18     3  1984     3862.000000
    19     3  1984     3854.000000
    20     3  1984     3861.000000
    21     3  1984     3876.000000
    22     3  1984     3887.000000
    23     3  1984     3896.000000
    24     3  1984     3902.000000
    25     3  1984     3893.000000
    26     3  1984     3879.000000
    27     3  1984     3866.000000
    28     3  1984     3858.000000
    29     3  1984     3850.000000
    30     3  1984     3845.000000
    31     3  1984     3842.000000
     1     4  1984     3840.000000
     2     4  1984     3842.000000
     3     4  1984     3849.000000
     4     4  1984     3854.000000
     5     4  1984     3845.000000
     6     4  1984     3841.000000
     7     4  1984     3833.000000
     8     4  1984     3825.000000
     9     4  1984     3820.000000
    10     4  1984     3817.000000
    11     4  1984     3818.000000
    12     4  1984     3842.000000
    13     4  1984     3870.000000
    14     4  1984     3889.000000
    15     4  1984     3887.000000
    16     4  1984     3877.000000
    17     4  1984     3863.000000
    18     4  1984     3850.000000
    19     4  1984     3842.000000
    20     4  1984     3837.000000
    21     4  1984     3834.000000
    22     4  1984     3828.000000
    23     4  1984     3815.000000
    24     4  1984     3822.000000
    25     4  1984     3828.000000
    26     4  1984     3836.000000
    27     4  1984     3857.000000
    28     4  1984     3896.000000
    29     4  1984     3912.000000
    30     4  1984     3919.000000
     1     5  1984     3911.000000
     2     5  1984     3896.000000
     3     5  1984     3885.000000
     4     5  1984     3876.000000
     5     5  1984     3865.000000
     6     5  1984     3857.000000
     7     5  1984     3862.000000
     8     5  1984     3889.000000
     9     5  1984     4005.000000
    10     5  1984     4047.000000
    11     5  1984     4068.000000
    12     5  1984     4072.000000
    13     5  1984     4071.000000
    14     5  1984     4075.000000
    15     5  1984     4070.000000
    16     5  1984     4051.000000
    17     5  1984     4038.000000
    18     5  1984     4031.000000
    19     5  1984     4023.000000
    20     5  1984     4023.000000
    21     5  1984     4030.000000
    22     5  1984     4040.000000
    23     5  1984     4112.000000
    24     5  1984     4176.000000
    25     5  1984     4201.000000
    26     5  1984     4207.000000
    27     5  1984     4199.000000
    28     5  1984     4188.000000
    29     5  1984     4179.000000
    30     5  1984     4136.000000
    31     5  1984     4066.000000
     1     6  1984     4031.000000
     2     6  1984     4009.000000
     3     6  1984     4001.000000
     4     6  1984     4015.000000
     5     6  1984     4059.000000
     6     6  1984     4077.000000
     7     6  1984     4090.000000
     8     6  1984     4099.000000
     9     6  1984     4103.000000
    10     6  1984     4105.000000
    11     6  1984     4106.000000
    12     6  1984     4107.000000
    13     6  1984     4105.000000
    14     6  1984     4102.000000
    15     6  1984     4088.000000
    16     6  1984     4068.000000
    17     6  1984     4055.000000
    18     6  1984     4051.000000
    19     6  1984     4047.000000
    20     6  1984     4050.000000
    21     6  1984     4062.000000
    22     6  1984     4066.000000
    23     6  1984     4069.000000
    24     6  1984     4069.000000
    25     6  1984     4073.000000
    26     6  1984     4071.000000
    27     6  1984     4069.000000
    28     6  1984     4065.000000
    29     6  1984     4063.000000
    30     6  1984     4055.000000
     1     7  1984     4036.000000
     2     7  1984     4015.000000
     3     7  1984     4000.000000
     4     7  1984     3994.000000
     5     7  1984     3996.000000
     6     7  1984     3999.000000
     7     7  1984     3999.000000
     8     7  1984     3990.000000
     9     7  1984     3981.000000
    10     7  1984     3980.000000
    11     7  1984     3990.000000
