MANAUS	-60.027	-3.137
     1     1  1983     2181.000000
     2     1  1983     2187.000000
     3     1  1983     2192.000000
     4     1  1983     2197.000000
     5     1  1983     2204.000000
     6     1  1983     2212.000000
     7     1  1983     2217.000000
     8     1  1983     2223.000000
     9     1  1983     2229.000000
    10     1  1983     2235.000000
    11     1  1983     2238.000000
    12     1  1983     2240.000000
    13     1  1983     2242.000000
    14     1  1983     2244.000000
    15     1  1983     2247.000000
    16     1  1983     2250.000000
    17     1  1983     2254.000000
    18     1  1983     2256.000000
    19     1  1983     2258.000000
    20     1  1983     2262.000000
    21     1  1983     2267.000000
    22     1  1983     2270.000000
    23     1  1983     2272.000000
    24     1  1983     2274.000000
    25     1  1983     2276.000000
    26     1  1983     2278.000000
    27     1  1983     2278.000000
    28     1  1983     2278.000000
    29     1  1983     2278.000000
    30     1  1983     2278.000000
    31     1  1983     2278.000000
     1     2  1983     2277.000000
     2     2  1983     2277.000000
     3     2  1983     2278.000000
     4     2  1983     2279.000000
     5     2  1983     2279.000000
     6     2  1983     2280.000000
     7     2  1983     2281.000000
     8     2  1983     2282.000000
     9     2  1983     2282.000000
    10     2  1983     2283.000000
    11     2  1983     2283.000000
    12     2  1983     2282.000000
    13     2  1983     2281.000000
    14     2  1983     2280.000000
    15     2  1983     2279.000000
    16     2  1983     2278.000000
    17     2  1983     2277.000000
    18     2  1983     2277.000000
    19     2  1983     2279.000000
    20     2  1983     2281.000000
    21     2  1983     2283.000000
    22     2  1983     2284.000000
    23     2  1983     2284.000000
    24     2  1983     2282.000000
    25     2  1983     2280.000000
    26     2  1983     2279.000000
    27     2  1983     2279.000000
    28     2  1983     2279.000000
     1     3  1983     2278.000000
     2     3  1983     2278.000000
     3     3  1983     2278.000000
     4     3  1983     2278.000000
     5     3  1983     2278.000000
     6     3  1983     2278.000000
     7     3  1983     2278.000000
     8     3  1983     2278.000000
     9     3  1983     2283.000000
    10     3  1983     2287.000000
    11     3  1983     2288.000000
    12     3  1983     2289.000000
    13     3  1983     2290.000000
    14     3  1983     2290.000000
    15     3  1983     2290.000000
    16     3  1983     2290.000000
    17     3  1983     2292.000000
    18     3  1983     2293.000000
    19     3  1983     2295.000000
    20     3  1983     2298.000000
    21     3  1983     2301.000000
    22     3  1983     2304.000000
    23     3  1983     2314.000000
    24     3  1983     2319.000000
    25     3  1983     2322.000000
    26     3  1983     2327.000000
    27     3  1983     2334.000000
    28     3  1983     2341.000000
    29     3  1983     2345.000000
    30     3  1983     2350.000000
    31     3  1983     2355.000000
     1     4  1983     2360.000000
     2     4  1983     2365.000000
     3     4  1983     2370.000000
     4     4  1983     2376.000000
     5     4  1983     2381.000000
     6     4  1983     2388.000000
     7     4  1983     2393.000000
     8     4  1983     2398.000000
     9     4  1983     2402.000000
    10     4  1983     2406.000000
    11     4  1983     2410.000000
    12     4  1983     2414.000000
    13     4  1983     2418.000000
    14     4  1983     2421.000000
    15     4  1983     2424.000000
    16     4  1983     2428.000000
    17     4  1983     2433.000000
    18     4  1983     2438.000000
    19     4  1983     2443.000000
    20     4  1983     2448.000000
    21     4  1983     2455.000000
    22     4  1983     2462.000000
    23     4  1983     2470.000000
    24     4  1983     2478.000000
    25     4  1983     2486.000000
    26     4  1983     2494.000000
    27     4  1983     2499.000000
    28     4  1983     2504.000000
    29     4  1983     2510.000000
    30     4  1983     2516.000000
     1     5  1983     2522.000000
     2     5  1983     2527.000000
     3     5  1983     2534.000000
     4     5  1983     2541.000000
     5     5  1983     2546.000000
     6     5  1983     2551.000000
     7     5  1983     2556.000000
     8     5  1983     2562.000000
     9     5  1983     2568.000000
    10     5  1983     2574.000000
    11     5  1983     2579.000000
    12     5  1983     2584.000000
    13     5  1983     2588.000000
    14     5  1983     2592.000000
    15     5  1983     2597.000000
    16     5  1983     2602.000000
    17     5  1983     2606.000000
    18     5  1983     2611.000000
    19     5  1983     2616.000000
    20     5  1983     2619.000000
    21     5  1983     2622.000000
    22     5  1983     2625.000000
    23     5  1983     2629.000000
    24     5  1983     2632.000000
    25     5  1983     2638.000000
    26     5  1983     2638.000000
    27     5  1983     2644.000000
    28     5  1983     2646.000000
    29     5  1983     2648.000000
    30     5  1983     2650.000000
    31     5  1983     2650.000000
     1     6  1983     2650.000000
     2     6  1983     2650.000000
     3     6  1983     2650.000000
     4     6  1983     2650.000000
     5     6  1983     2651.000000
     6     6  1983     2652.000000
     7     6  1983     2652.000000
     8     6  1983     2652.000000
     9     6  1983     2650.000000
    10     6  1983     2648.000000
    11     6  1983     2647.000000
    12     6  1983     2646.000000
    13     6  1983     2646.000000
    14     6  1983     2646.000000
    15     6  1983     2640.000000
    16     6  1983     2634.000000
    17     6  1983     2633.000000
    18     6  1983     2633.000000
    19     6  1983     2631.000000
    20     6  1983     2629.000000
    21     6  1983     2628.000000
    22     6  1983     2625.000000
    23     6  1983     2622.000000
    24     6  1983     2619.000000
    25     6  1983     2616.000000
    26     6  1983     2614.000000
    27     6  1983     2612.000000
    28     6  1983     2609.000000
    29     6  1983     2606.000000
    30     6  1983     2602.000000
     1     7  1983     2599.000000
     2     7  1983     2596.000000
     3     7  1983     2592.000000
     4     7  1983     2588.000000
     5     7  1983     2584.000000
     6     7  1983     2581.000000
     7     7  1983     2575.000000
     8     7  1983     2569.000000
     9     7  1983     2564.000000
    10     7  1983     2559.000000
    11     7  1983     2554.000000
    12     7  1983     2549.000000
    13     7  1983     2544.000000
    14     7  1983     2538.000000
    15     7  1983     2532.000000
    16     7  1983     2526.000000
    17     7  1983     2520.000000
    18     7  1983     2514.000000
    19     7  1983     2506.000000
    20     7  1983     2499.000000
    21     7  1983     2491.000000
    22     7  1983     2482.000000
    23     7  1983     2473.000000
    24     7  1983     2464.000000
    25     7  1983     2456.000000
    26     7  1983     2445.000000
    27     7  1983     2434.000000
    28     7  1983     2422.000000
    29     7  1983     2411.000000
    30     7  1983     2397.000000
    31     7  1983     2383.000000
     1     8  1983     2369.000000
     2     8  1983     2354.000000
     3     8  1983     2336.000000
     4     8  1983     2321.000000
     5     8  1983     2305.000000
     6     8  1983     2289.000000
     7     8  1983     2273.000000
     8     8  1983     2256.000000
     9     8  1983     2240.000000
    10     8  1983     2224.000000
    11     8  1983     2208.000000
    12     8  1983     2192.000000
    13     8  1983     2177.000000
    14     8  1983     2162.000000
    15     8  1983     2147.000000
    16     8  1983     2134.000000
    17     8  1983     2119.000000
    18     8  1983     2104.000000
    19     8  1983     2092.000000
    20     8  1983     2079.000000
    21     8  1983     2067.000000
    22     8  1983     2055.000000
    23     8  1983     2043.000000
    24     8  1983     2030.000000
    25     8  1983     2021.000000
    26     8  1983     2011.000000
    27     8  1983     2001.000000
