JATUARANA	-59.678	-3.052
     1     1  1983     1126.000000
     2     1  1983     1133.000000
     3     1  1983     1137.000000
     4     1  1983     1144.000000
     5     1  1983     1150.000000
     6     1  1983     1158.000000
     7     1  1983     1166.000000
     8     1  1983     1171.000000
     9     1  1983     1175.000000
    10     1  1983     1179.000000
    11     1  1983     1183.000000
    12     1  1983     1187.000000
    13     1  1983     1191.000000
    14     1  1983     1194.000000
    15     1  1983     1196.000000
    16     1  1983     1198.000000
    17     1  1983     1200.000000
    18     1  1983     1203.000000
    19     1  1983     1207.000000
    20     1  1983     1211.000000
    21     1  1983     1214.000000
    22     1  1983     1216.000000
    23     1  1983     1218.000000
    24     1  1983     1221.000000
    25     1  1983     1223.000000
    26     1  1983     1225.000000
    27     1  1983     1226.000000
    28     1  1983     1226.000000
    29     1  1983     1226.000000
    30     1  1983     1226.000000
    31     1  1983     1226.000000
     1     2  1983     1226.000000
     2     2  1983     1229.000000
     3     2  1983     1230.000000
     4     2  1983     1230.000000
     5     2  1983     1230.000000
     6     2  1983     1231.000000
     7     2  1983     1233.000000
     8     2  1983     1234.000000
     9     2  1983     1234.000000
    10     2  1983     1234.000000
    11     2  1983     1232.000000
    12     2  1983     1230.000000
    13     2  1983     1228.000000
    14     2  1983     1228.000000
    15     2  1983     1228.000000
    16     2  1983     1229.000000
    17     2  1983     1229.000000
    18     2  1983     1231.000000
    19     2  1983     1235.000000
    20     2  1983     1237.000000
    21     2  1983     1238.000000
    22     2  1983     1238.000000
    23     2  1983     1238.000000
    24     2  1983     1238.000000
    25     2  1983     1238.000000
    26     2  1983     1237.000000
    27     2  1983     1236.000000
    28     2  1983     1232.000000
     1     3  1983     1230.000000
     2     3  1983     1230.000000
     3     3  1983     1230.000000
     4     3  1983     1232.000000
     5     3  1983     1234.000000
     6     3  1983     1236.000000
     7     3  1983     1238.000000
     8     3  1983     1240.000000
     9     3  1983     1240.000000
    10     3  1983     1240.000000
    11     3  1983     1240.000000
    12     3  1983     1240.000000
    13     3  1983     1240.000000
    14     3  1983     1240.000000
    15     3  1983     1240.000000
    16     3  1983     1242.000000
    17     3  1983     1244.000000
    18     3  1983     1244.000000
    19     3  1983     1244.000000
    20     3  1983     1247.000000
    21     3  1983     1253.000000
    22     3  1983     1257.000000
    23     3  1983     1264.000000
    24     3  1983     1270.000000
    25     3  1983     1277.000000
    26     3  1983     1282.000000
    27     3  1983     1287.000000
    28     3  1983     1291.000000
    29     3  1983     1295.000000
    30     3  1983     1299.000000
    31     3  1983     1306.000000
     1     4  1983     1313.000000
     2     4  1983     1318.000000
     3     4  1983     1323.000000
     4     4  1983     1328.000000
     5     4  1983     1333.000000
     6     4  1983     1338.000000
     7     4  1983     1343.000000
     8     4  1983     1345.000000
     9     4  1983     1350.000000
    10     4  1983     1355.000000
    11     4  1983     1361.000000
    12     4  1983     1365.000000
    13     4  1983     1367.000000
    14     4  1983     1369.000000
    15     4  1983     1371.000000
    16     4  1983     1377.000000
    17     4  1983     1381.000000
    18     4  1983     1386.000000
    19     4  1983     1391.000000
    20     4  1983     1396.000000
    21     4  1983     1403.000000
    22     4  1983     1411.000000
    23     4  1983     1418.000000
    24     4  1983     1424.000000
    25     4  1983     1431.000000
    26     4  1983     1435.000000
    27     4  1983     1441.000000
    28     4  1983     1446.000000
    29     4  1983     1452.000000
    30     4  1983     1458.000000
     1     5  1983     1463.000000
     2     5  1983     1468.000000
     3     5  1983     1475.000000
     4     5  1983     1481.000000
     5     5  1983     1485.000000
     6     5  1983     1488.000000
     7     5  1983     1495.000000
     8     5  1983     1499.000000
     9     5  1983     1505.000000
    10     5  1983     1509.000000
    11     5  1983     1512.000000
    12     5  1983     1516.000000
    13     5  1983     1520.000000
    14     5  1983     1524.000000
    15     5  1983     1529.000000
    16     5  1983     1533.000000
    17     5  1983     1538.000000
    18     5  1983     1541.000000
    19     5  1983     1545.000000
    20     5  1983     1547.000000
    21     5  1983     1550.000000
    22     5  1983     1554.000000
    23     5  1983     1557.000000
    24     5  1983     1561.000000
    25     5  1983     1565.000000
    26     5  1983     1570.000000
    27     5  1983     1573.000000
    28     5  1983     1575.000000
    29     5  1983     1577.000000
    30     5  1983     1579.000000
    31     5  1983     1580.000000
     1     6  1983     1582.000000
     2     6  1983     1585.000000
     3     6  1983     1586.000000
     4     6  1983     1584.000000
     5     6  1983     1583.000000
     6     6  1983     1582.000000
     7     6  1983     1580.000000
     8     6  1983     1578.000000
     9     6  1983     1576.000000
    10     6  1983     1574.000000
    11     6  1983     1573.000000
    12     6  1983     1572.000000
    13     6  1983     1571.000000
    14     6  1983     1569.000000
    15     6  1983     1567.000000
    16     6  1983     1565.000000
    17     6  1983     1563.000000
    18     6  1983     1562.000000
    19     6  1983     1560.000000
    20     6  1983     1557.000000
    21     6  1983     1555.000000
    22     6  1983     1553.000000
    23     6  1983     1549.000000
    24     6  1983     1547.000000
    25     6  1983     1545.000000
    26     6  1983     1543.000000
    27     6  1983     1540.000000
    28     6  1983     1538.000000
    29     6  1983     1535.000000
    30     6  1983     1529.000000
     1     7  1983     1527.000000
     2     7  1983     1523.000000
     3     7  1983     1519.000000
     4     7  1983     1515.000000
     5     7  1983     1511.000000
     6     7  1983     1506.000000
     7     7  1983     1502.000000
     8     7  1983     1497.000000
     9     7  1983     1492.000000
    10     7  1983     1488.000000
    11     7  1983     1482.000000
    12     7  1983     1477.000000
    13     7  1983     1473.000000
    14     7  1983     1468.000000
    15     7  1983     1461.000000
    16     7  1983     1457.000000
    17     7  1983     1451.000000
    18     7  1983     1442.000000
    19     7  1983     1434.000000
    20     7  1983     1426.000000
    21     7  1983     1419.000000
    22     7  1983     1413.000000
    23     7  1983     1404.000000
    24     7  1983     1399.000000
    25     7  1983     1393.000000
    26     7  1983     1382.000000
    27     7  1983     1369.000000
    28     7  1983     1357.000000
    29     7  1983     1340.000000
    30     7  1983     1324.000000
    31     7  1983     1312.000000
     1     8  1983     1302.000000
     2     8  1983     1286.000000
     3     8  1983     1272.000000
     4     8  1983     1255.000000
     5     8  1983     1241.000000
     6     8  1983     1224.000000
     7     8  1983     1208.000000
     8     8  1983     1192.000000
     9     8  1983     1178.000000
    10     8  1983     1164.000000
    11     8  1983     1148.000000
    12     8  1983     1131.000000
    13     8  1983     1117.000000
    14     8  1983     1102.000000
    15     8  1983     1086.000000
    16     8  1983     1073.000000
    17     8  1983     1059.000000
    18     8  1983     1047.000000
    19     8  1983     1034.000000
