CAREIRO	-59.833	-3.196
     1     1  1983      958.000000
     2     1  1983      964.000000
     3     1  1983      972.000000
     4     1  1983      976.000000
     5     1  1983      981.000000
     6     1  1983      989.000000
     7     1  1983      993.000000
     8     1  1983      999.000000
     9     1  1983     1003.000000
    10     1  1983     1008.000000
    11     1  1983     1011.000000
    12     1  1983     1015.000000
    13     1  1983     1018.000000
    14     1  1983     1021.000000
    15     1  1983     1024.000000
    16     1  1983     1027.000000
    17     1  1983     1030.000000
    18     1  1983     1033.000000
    19     1  1983     1036.000000
    20     1  1983     1039.000000
    21     1  1983     1043.000000
    22     1  1983     1045.000000
    23     1  1983     1049.000000
    24     1  1983     1051.000000
    25     1  1983     1053.000000
    26     1  1983     1054.000000
    27     1  1983     1054.000000
    28     1  1983     1054.000000
    29     1  1983     1055.000000
    30     1  1983     1054.000000
    31     1  1983     1055.000000
     1     2  1983     1055.000000
     2     2  1983     1056.000000
     3     2  1983     1057.000000
     4     2  1983     1058.000000
     5     2  1983     1057.000000
     6     2  1983     1057.000000
     7     2  1983     1058.000000
     8     2  1983     1060.000000
     9     2  1983     1060.000000
    10     2  1983     1059.000000
    11     2  1983     1058.000000
    12     2  1983     1056.000000
    13     2  1983     1055.000000
    14     2  1983     1056.000000
    15     2  1983     1055.000000
    16     2  1983     1055.000000
    17     2  1983     1055.000000
    18     2  1983     1058.000000
    19     2  1983     1061.000000
    20     2  1983     1062.000000
    21     2  1983     1061.000000
    22     2  1983     1062.000000
    23     2  1983     1060.000000
    24     2  1983     1059.000000
    25     2  1983     1057.000000
    26     2  1983     1056.000000
    27     2  1983     1056.000000
    28     2  1983     1056.000000
     1     3  1983     1056.000000
     2     3  1983     1055.000000
     3     3  1983     1055.000000
     4     3  1983     1058.000000
     5     3  1983     1061.000000
     6     3  1983     1057.000000
     7     3  1983     1059.000000
     8     3  1983     1061.000000
     9     3  1983     1064.000000
    10     3  1983     1064.000000
    11     3  1983     1064.000000
    12     3  1983     1064.000000
    13     3  1983     1064.000000
    14     3  1983     1066.000000
    15     3  1983     1067.000000
    16     3  1983     1068.000000
    17     3  1983     1069.000000
    18     3  1983     1071.000000
    19     3  1983     1074.000000
    20     3  1983     1076.000000
    21     3  1983     1079.000000
    22     3  1983     1084.000000
    23     3  1983     1090.000000
    24     3  1983     1096.000000
    25     3  1983     1101.000000
    26     3  1983     1106.000000
    27     3  1983     1111.000000
    28     3  1983     1115.000000
    29     3  1983     1119.000000
