BOCADOPOMPEU-JUSANTE	-65.043	-10.918
     1     1  1983      185.000000
     2     1  1983      189.000000
     3     1  1983      202.000000
     4     1  1983      213.000000
     5     1  1983      246.000000
     6     1  1983      287.000000
     7     1  1983      317.000000
     8     1  1983      341.000000
     9     1  1983      362.000000
    10     1  1983      368.000000
    11     1  1983      377.000000
    12     1  1983      382.000000
    13     1  1983      382.000000
    14     1  1983      380.000000
    15     1  1983      376.000000
    16     1  1983      371.000000
    17     1  1983      366.000000
    18     1  1983      362.000000
    19     1  1983      359.000000
    20     1  1983      358.000000
    21     1  1983      358.000000
    22     1  1983      358.000000
    23     1  1983      362.000000
    24     1  1983      363.000000
    25     1  1983      366.000000
    26     1  1983      362.000000
    27     1  1983      357.000000
    28     1  1983      349.000000
    29     1  1983      342.000000
    30     1  1983      333.000000
    31     1  1983      324.000000
     1     2  1983      318.000000
     2     2  1983      313.000000
     3     2  1983      304.000000
     4     2  1983      310.000000
     5     2  1983      321.000000
     6     2  1983      335.000000
     7     2  1983      348.000000
     8     2  1983      357.000000
     9     2  1983      368.000000
    10     2  1983      381.000000
    11     2  1983      385.000000
    12     2  1983      395.000000
    13     2  1983      398.000000
    14     2  1983      402.000000
    15     2  1983      401.000000
    16     2  1983      399.000000
    17     2  1983      395.000000
    18     2  1983      396.000000
    19     2  1983      393.000000
    20     2  1983      386.000000
    21     2  1983      381.000000
    22     2  1983      376.000000
    23     2  1983      373.000000
    24     2  1983      372.000000
    25     2  1983      372.000000
    26     2  1983      371.000000
    27     2  1983      372.000000
    28     2  1983      376.000000
     1     3  1983      381.000000
     2     3  1983      382.000000
     3     3  1983      380.000000
     4     3  1983      378.000000
     5     3  1983      374.000000
     6     3  1983      370.000000
     7     3  1983      371.000000
     8     3  1983      370.000000
     9     3  1983      375.000000
    10     3  1983      380.000000
    11     3  1983      379.000000
    12     3  1983      379.000000
    13     3  1983      389.000000
    14     3  1983      388.000000
    15     3  1983      385.000000
    16     3  1983      380.000000
    17     3  1983      377.000000
