PORTOVELHO	-63.920	-8.737
     1     1  1983     1285.000000
     2     1  1983     1268.000000
     3     1  1983     1248.000000
     4     1  1983     1227.000000
     5     1  1983     1213.000000
     6     1  1983     1209.000000
     7     1  1983     1208.000000
     8     1  1983     1200.000000
     9     1  1983     1195.000000
    10     1  1983     1199.000000
    11     1  1983     1205.000000
    12     1  1983     1209.000000
    13     1  1983     1221.000000
    14     1  1983     1232.000000
    15     1  1983     1237.000000
    16     1  1983     1247.000000
    17     1  1983     1253.000000
    18     1  1983     1258.000000
    19     1  1983     1269.000000
    20     1  1983     1300.000000
    21     1  1983     1333.000000
    22     1  1983     1346.000000
    23     1  1983     1344.000000
    24     1  1983     1325.000000
    25     1  1983     1313.000000
    26     1  1983     1308.000000
    27     1  1983     1298.000000
    28     1  1983     1291.000000
    29     1  1983     1284.000000
    30     1  1983     1282.000000
    31     1  1983     1293.000000
     1     2  1983     1316.000000
     2     2  1983     1354.000000
     3     2  1983     1375.000000
     4     2  1983     1387.000000
     5     2  1983     1396.000000
     6     2  1983     1399.000000
     7     2  1983     1399.000000
     8     2  1983     1395.000000
     9     2  1983     1385.000000
    10     2  1983     1375.000000
    11     2  1983     1368.000000
    12     2  1983     1361.000000
    13     2  1983     1364.000000
    14     2  1983     1372.000000
    15     2  1983     1373.000000
    16     2  1983     1368.000000
    17     2  1983     1366.000000
    18     2  1983     1368.000000
    19     2  1983     1375.000000
    20     2  1983     1396.000000
    21     2  1983     1426.000000
    22     2  1983     1445.000000
    23     2  1983     1462.000000
    24     2  1983     1471.000000
    25     2  1983     1478.000000
    26     2  1983     1482.000000
    27     2  1983     1482.000000
    28     2  1983     1483.000000
     1     3  1983     1483.000000
     2     3  1983     1485.000000
     3     3  1983     1482.000000
     4     3  1983     1478.000000
     5     3  1983     1469.000000
     6     3  1983     1463.000000
     7     3  1983     1458.000000
     8     3  1983     1461.000000
     9     3  1983     1466.000000
    10     3  1983     1467.000000
    11     3  1983     1474.000000
    12     3  1983     1471.000000
    13     3  1983     1469.000000
    14     3  1983     1471.000000
    15     3  1983     1477.000000
    16     3  1983     1491.000000
    17     3  1983     1499.000000
    18     3  1983     1506.000000
    19     3  1983     1509.000000
    20     3  1983     1517.000000
    21     3  1983     1526.000000
    22     3  1983     1528.000000
    23     3  1983     1527.000000
    24     3  1983     1530.000000
    25     3  1983     1532.000000
    26     3  1983     1534.000000
    27     3  1983     1534.000000
    28     3  1983     1526.000000
    29     3  1983     1505.000000
    30     3  1983     1475.000000
    31     3  1983     1445.000000
     1     4  1983     1416.000000
     2     4  1983     1399.000000
     3     4  1983     1395.000000
     4     4  1983     1404.000000
     5     4  1983     1407.000000
     6     4  1983     1401.000000
     7     4  1983     1395.000000
     8     4  1983     1405.000000
     9     4  1983     1423.000000
    10     4  1983     1440.000000
    11     4  1983     1443.000000
    12     4  1983     1440.000000
    13     4  1983     1438.000000
    14     4  1983     1434.000000
    15     4  1983     1424.000000
    16     4  1983     1412.000000
    17     4  1983     1414.000000
    18     4  1983     1415.000000
    19     4  1983     1415.000000
    20     4  1983     1420.000000
    21     4  1983     1425.000000
    22     4  1983     1418.000000
    23     4  1983     1403.000000
    24     4  1983     1387.000000
    25     4  1983     1374.000000
    26     4  1983     1357.000000
    27     4  1983     1365.000000
    28     4  1983     1381.000000
    29     4  1983     1398.000000
    30     4  1983     1403.000000
     1     5  1983     1404.000000
     2     5  1983     1409.000000
     3     5  1983     1414.000000
     4     5  1983     1410.000000
     5     5  1983     1405.000000
     6     5  1983     1410.000000
     7     5  1983     1410.000000
     8     5  1983     1404.000000
     9     5  1983     1398.000000
    10     5  1983     1394.000000
    11     5  1983     1391.000000
    12     5  1983     1394.000000
    13     5  1983     1399.000000
    14     5  1983     1390.000000
    15     5  1983     1366.000000
    16     5  1983     1348.000000
    17     5  1983     1343.000000
    18     5  1983     1370.000000
    19     5  1983     1415.000000
    20     5  1983     1436.000000
    21     5  1983     1434.000000
    22     5  1983     1412.000000
    23     5  1983     1386.000000
    24     5  1983     1372.000000
    25     5  1983     1364.000000
    26     5  1983     1366.000000
    27     5  1983     1372.000000
    28     5  1983     1378.000000
    29     5  1983     1382.000000
    30     5  1983     1375.000000
    31     5  1983     1357.000000
     1     6  1983     1328.000000
     2     6  1983     1305.000000
     3     6  1983     1286.000000
     4     6  1983     1274.000000
     5     6  1983     1274.000000
     6     6  1983     1268.000000
     7     6  1983     1256.000000
     8     6  1983     1238.000000
     9     6  1983     1230.000000
    10     6  1983     1224.000000
    11     6  1983     1226.000000
    12     6  1983     1230.000000
    13     6  1983     1232.000000
    14     6  1983     1234.000000
    15     6  1983     1252.000000
    16     6  1983     1267.000000
    17     6  1983     1271.000000
    18     6  1983     1266.000000
    19     6  1983     1252.000000
    20     6  1983     1238.000000
    21     6  1983     1230.000000
    22     6  1983     1216.000000
    23     6  1983     1195.000000
    24     6  1983     1175.000000
    25     6  1983     1164.000000
    26     6  1983     1149.000000
    27     6  1983     1140.000000
    28     6  1983     1128.000000
    29     6  1983     1120.000000
    30     6  1983     1123.000000
     1     7  1983     1134.000000
     2     7  1983     1146.000000
     3     7  1983     1148.000000
     4     7  1983     1144.000000
     5     7  1983     1135.000000
     6     7  1983     1127.000000
     7     7  1983     1124.000000
     8     7  1983     1122.000000
     9     7  1983     1120.000000
    10     7  1983     1118.000000
    11     7  1983     1116.000000
    12     7  1983     1114.000000
    13     7  1983     1116.000000
    14     7  1983     1119.000000
    15     7  1983     1124.000000
    16     7  1983     1132.000000
    17     7  1983     1142.000000
    18     7  1983     1162.000000
    19     7  1983     1169.000000
    20     7  1983     1175.000000
    21     7  1983     1178.000000
    22     7  1983     1176.000000
    23     7  1983     1164.000000
    24     7  1983     1144.000000
    25     7  1983     1120.000000
    26     7  1983     1084.000000
    27     7  1983     1056.000000
    28     7  1983     1032.000000
    29     7  1983      985.000000
    30     7  1983      945.000000
    31     7  1983      914.000000
     1     8  1983      890.000000
     2     8  1983      867.000000
     3     8  1983      850.000000
     4     8  1983      835.000000
     5     8  1983      821.000000
     6     8  1983      808.000000
     7     8  1983      798.000000
     8     8  1983      784.000000
     9     8  1983      771.000000
    10     8  1983      762.000000
    11     8  1983      756.000000
    12     8  1983      751.000000
    13     8  1983      745.000000
    14     8  1983      738.000000
    15     8  1983      731.000000
    16     8  1983      725.000000
    17     8  1983      720.000000
    18     8  1983      715.000000
    19     8  1983      709.000000
    20     8  1983      703.000000
    21     8  1983      696.000000
    22     8  1983      686.000000
    23     8  1983      676.000000
    24     8  1983      666.000000
    25     8  1983      670.000000
