JI-PARANÁ	-61.936	-10.874
     1     1  1983      788.000000
     2     1  1983      784.000000
     3     1  1983      798.000000
     4     1  1983      799.000000
     5     1  1983      793.000000
     6     1  1983      789.000000
     7     1  1983      783.000000
     8     1  1983      783.000000
     9     1  1983      783.000000
    10     1  1983      781.000000
    11     1  1983      778.000000
    12     1  1983      770.000000
    13     1  1983      764.000000
    14     1  1983      761.000000
    15     1  1983      760.000000
    16     1  1983      758.000000
    17     1  1983      759.000000
    18     1  1983      757.000000
    19     1  1983      756.000000
    20     1  1983      752.000000
    21     1  1983      757.000000
    22     1  1983      755.000000
    23     1  1983      753.000000
    24     1  1983      754.000000
    25     1  1983      756.000000
    26     1  1983      764.000000
    27     1  1983      759.000000
    28     1  1983      757.000000
    29     1  1983      770.000000
    30     1  1983      772.000000
    31     1  1983      769.000000
     1     2  1983      790.000000
     2     2  1983      821.000000
     3     2  1983      837.000000
     4     2  1983      826.000000
     5     2  1983      809.000000
     6     2  1983      829.000000
     7     2  1983      841.000000
     8     2  1983      835.000000
     9     2  1983      842.000000
    10     2  1983      848.000000
    11     2  1983      853.000000
    12     2  1983      858.000000
    13     2  1983      851.000000
    14     2  1983      843.000000
    15     2  1983      830.000000
    16     2  1983      820.000000
    17     2  1983      822.000000
    18     2  1983      836.000000
    19     2  1983      838.000000
    20     2  1983      836.000000
    21     2  1983      839.000000
    22     2  1983      842.000000
    23     2  1983      868.000000
    24     2  1983      880.000000
    25     2  1983      889.000000
    26     2  1983      884.000000
    27     2  1983      866.000000
    28     2  1983      842.000000
     1     3  1983      829.000000
     2     3  1983      813.000000
     3     3  1983      794.000000
     4     3  1983      785.000000
     5     3  1983      790.000000
     6     3  1983      808.000000
     7     3  1983      819.000000
     8     3  1983      818.000000
     9     3  1983      821.000000
    10     3  1983      845.000000
    11     3  1983      892.000000
    12     3  1983      913.000000
    13     3  1983      930.000000
    14     3  1983      954.000000
    15     3  1983      956.000000
    16     3  1983      946.000000
    17     3  1983      923.000000
    18     3  1983      905.000000
    19     3  1983      902.000000
    20     3  1983      913.000000
    21     3  1983      958.000000
    22     3  1983      978.000000
    23     3  1983      980.000000
    24     3  1983      935.000000
    25     3  1983      886.000000
    26     3  1983      832.000000
    27     3  1983      816.000000
    28     3  1983      817.000000
    29     3  1983      858.000000
    30     3  1983      906.000000
    31     3  1983      919.000000
     1     4  1983      914.000000
     2     4  1983      907.000000
     3     4  1983      897.000000
     4     4  1983      890.000000
     5     4  1983      881.000000
     6     4  1983      878.000000
     7     4  1983      874.000000
     8     4  1983      897.000000
     9     4  1983      914.000000
    10     4  1983      920.000000
    11     4  1983      922.000000
    12     4  1983      918.000000
    13     4  1983      912.000000
    14     4  1983      902.000000
    15     4  1983      879.000000
    16     4  1983      856.000000
    17     4  1983      836.000000
    18     4  1983      820.000000
    19     4  1983      803.000000
