TABAJARA	-62.054	-8.933
     1     1  1983      567.000000
     2     1  1983      579.000000
     3     1  1983      590.000000
     4     1  1983      599.000000
     5     1  1983      607.000000
     6     1  1983      611.000000
     7     1  1983      610.000000
     8     1  1983      611.000000
     9     1  1983      617.000000
    10     1  1983      628.000000
    11     1  1983      640.000000
    12     1  1983      664.000000
    13     1  1983      687.000000
    14     1  1983      702.000000
    15     1  1983      710.000000
    16     1  1983      719.000000
    17     1  1983      724.000000
    18     1  1983      721.000000
    19     1  1983      715.000000
    20     1  1983      709.000000
    21     1  1983      708.000000
    22     1  1983      708.000000
    23     1  1983      707.000000
    24     1  1983      711.000000
    25     1  1983      721.000000
    26     1  1983      732.000000
    27     1  1983      741.000000
    28     1  1983      745.000000
    29     1  1983      750.000000
    30     1  1983      763.000000
    31     1  1983      776.000000
     1     2  1983      787.000000
     2     2  1983      796.000000
     3     2  1983      804.000000
     4     2  1983      813.000000
     5     2  1983      821.000000
     6     2  1983      825.000000
     7     2  1983      823.000000
     8     2  1983      814.000000
     9     2  1983      811.000000
    10     2  1983      811.000000
    11     2  1983      811.000000
    12     2  1983      813.000000
    13     2  1983      816.000000
    14     2  1983      823.000000
    15     2  1983      831.000000
    16     2  1983      840.000000
    17     2  1983      841.000000
    18     2  1983      836.000000
    19     2  1983      828.000000
    20     2  1983      824.000000
    21     2  1983      823.000000
    22     2  1983      823.000000
    23     2  1983      826.000000
    24     2  1983      831.000000
    25     2  1983      837.000000
    26     2  1983      844.000000
    27     2  1983      853.000000
    28     2  1983      865.000000
     1     3  1983      876.000000
     2     3  1983      888.000000
     3     3  1983      901.000000
     4     3  1983      912.000000
     5     3  1983      918.000000
     6     3  1983      922.000000
     7     3  1983      922.000000
     8     3  1983      918.000000
     9     3  1983      913.000000
    10     3  1983      909.000000
    11     3  1983      911.000000
    12     3  1983      921.000000
    13     3  1983      934.000000
    14     3  1983      944.000000
    15     3  1983      954.000000
    16     3  1983      964.000000
    17     3  1983      975.000000
    18     3  1983      984.000000
    19     3  1983      993.000000
    20     3  1983     1001.000000
    21     3  1983     1007.000000
    22     3  1983     1007.000000
    23     3  1983     1005.000000
    24     3  1983     1004.000000
    25     3  1983      998.000000
    26     3  1983      994.000000
    27     3  1983      993.000000
    28     3  1983      992.000000
    29     3  1983      984.000000
    30     3  1983      977.000000
    31     3  1983      971.000000
     1     4  1983      966.000000
     2     4  1983      960.000000
     3     4  1983      952.000000
     4     4  1983      946.000000
     5     4  1983      939.000000
     6     4  1983      933.000000
     7     4  1983      926.000000
     8     4  1983      921.000000
     9     4  1983      913.000000
    10     4  1983      907.000000
    11     4  1983      898.000000
    12     4  1983      891.000000
    13     4  1983      882.000000
    14     4  1983      873.000000
    15     4  1983      850.000000
    16     4  1983      835.000000
    17     4  1983      826.000000
    18     4  1983      809.000000
    19     4  1983      803.000000
    20     4  1983      800.000000
    21     4  1983      797.000000
    22     4  1983      790.000000
    23     4  1983      783.000000
    24     4  1983      783.000000
    25     4  1983      773.000000
    26     4  1983      762.000000
    27     4  1983      752.000000
    28     4  1983      741.000000
    29     4  1983      737.000000
    30     4  1983      732.000000
     1     5  1983      730.000000
     2     5  1983      725.000000
     3     5  1983      717.000000
     4     5  1983      708.000000
     5     5  1983      697.000000
     6     5  1983      687.000000
     7     5  1983      673.000000
     8     5  1983      663.000000
     9     5  1983      650.000000
    10     5  1983      640.000000
    11     5  1983      625.000000
    12     5  1983      592.000000
    13     5  1983      585.000000
    14     5  1983      582.000000
    15     5  1983      578.000000
    16     5  1983      577.000000
    17     5  1983      578.000000
    18     5  1983      578.000000
    19     5  1983      578.000000
    20     5  1983      583.000000
    21     5  1983      589.000000
    22     5  1983      592.000000
    23     5  1983      591.000000
    24     5  1983      588.000000
    25     5  1983      591.000000
    26     5  1983      603.000000
    27     5  1983      607.000000
    28     5  1983      608.000000
    29     5  1983      595.000000
    30     5  1983      587.000000
    31     5  1983      579.000000
     1     6  1983      575.000000
     2     6  1983      569.000000
     3     6  1983      563.000000
     4     6  1983      557.000000
     5     6  1983      550.000000
     6     6  1983      543.000000
     7     6  1983      537.000000
     8     6  1983      531.000000
     9     6  1983      527.000000
    10     6  1983      525.000000
    11     6  1983      520.000000
    12     6  1983      511.000000
    13     6  1983      502.000000
    14     6  1983      497.000000
    15     6  1983      494.000000
    16     6  1983      491.000000
    17     6  1983      485.000000
    18     6  1983      481.000000
    19     6  1983      479.000000
    20     6  1983      476.000000
    21     6  1983      472.000000
    22     6  1983      473.000000
    23     6  1983      470.000000
    24     6  1983      467.000000
    25     6  1983      463.000000
    26     6  1983      459.000000
    27     6  1983      454.000000
    28     6  1983      448.000000
    29     6  1983      443.000000
    30     6  1983      440.000000
     1     7  1983      435.000000
     2     7  1983      433.000000
     3     7  1983      436.000000
     4     7  1983      431.000000
     5     7  1983      429.000000
     6     7  1983      423.000000
     7     7  1983      419.000000
     8     7  1983      414.000000
     9     7  1983      410.000000
    10     7  1983      407.000000
    11     7  1983      402.000000
    12     7  1983      396.000000
    13     7  1983      393.000000
    14     7  1983      387.000000
    15     7  1983      383.000000
    16     7  1983      379.000000
    17     7  1983      375.000000
    18     7  1983      371.000000
    19     7  1983      367.000000
    20     7  1983      363.000000
    21     7  1983      359.000000
    22     7  1983      355.000000
    23     7  1983      351.000000
    24     7  1983      347.000000
    25     7  1983      346.000000
    26     7  1983      344.000000
    27     7  1983      343.000000
    28     7  1983      341.000000
    29     7  1983      339.000000
    30     7  1983      336.000000
    31     7  1983      335.000000
     1     8  1983      333.000000
     2     8  1983      330.000000
     3     8  1983      326.000000
     4     8  1983      321.000000
     5     8  1983      316.000000
     6     8  1983      314.000000
     7     8  1983      313.000000
     8     8  1983      312.000000
     9     8  1983      310.000000
    10     8  1983      308.000000
    11     8  1983      306.000000
    12     8  1983      304.000000
    13     8  1983      302.000000
    14     8  1983      301.000000
    15     8  1983      298.000000
    16     8  1983      296.000000
    17     8  1983      294.000000
    18     8  1983      292.000000
    19     8  1983      290.000000
    20     8  1983      288.000000
    21     8  1983      286.000000
    22     8  1983      284.000000
    23     8  1983      282.000000
    24     8  1983      280.000000
    25     8  1983      278.000000
    26     8  1983      276.000000
    27     8  1983      274.000000
    28     8  1983      272.000000
    29     8  1983      270.000000
    30     8  1983      268.000000
    31     8  1983      266.000000
     1     9  1983      264.000000
     2     9  1983      263.000000
     3     9  1983      260.000000
     4     9  1983      260.000000
     5     9  1983      260.000000
     6     9  1983      260.000000
     7     9  1983      260.000000
     8     9  1983      259.000000
     9     9  1983      258.000000
    10     9  1983      267.000000
    11     9  1983      256.000000
    12     9  1983      255.000000
    13     9  1983      251.000000
    14     9  1983      249.000000
    15     9  1983      248.000000
    16     9  1983      246.000000
    17     9  1983      247.000000
    18     9  1983      252.000000
    19     9  1983      253.000000
    20     9  1983      250.000000
    21     9  1983      246.000000
    22     9  1983      245.000000
    23     9  1983      243.000000
    24     9  1983      241.000000
    25     9  1983      238.000000
    26     9  1983      238.000000
    27     9  1983      238.000000
    28     9  1983      237.000000
    29     9  1983      235.000000
    30     9  1983      234.000000
     1    10  1983      231.000000
     2    10  1983      228.000000
     3    10  1983      228.000000
     4    10  1983      226.000000
     5    10  1983      222.000000
     6    10  1983      221.000000
     7    10  1983      220.000000
     8    10  1983      223.000000
     9    10  1983      231.000000
    10    10  1983      236.000000
    11    10  1983      235.000000
    12    10  1983      239.000000
    13    10  1983      255.000000
    14    10  1983      268.000000
    15    10  1983      277.000000
    16    10  1983      280.000000
    17    10  1983      275.000000
    18    10  1983      269.000000
    19    10  1983      270.000000
    20    10  1983      270.000000
    21    10  1983      270.000000
    22    10  1983      267.000000
    23    10  1983      266.000000
    24    10  1983      267.000000
    25    10  1983      272.000000
    26    10  1983      279.000000
    27    10  1983      284.000000
    28    10  1983      291.000000
    29    10  1983      300.000000
    30    10  1983      303.000000
    31    10  1983      301.000000
     1    11  1983      298.000000
     2    11  1983      288.000000
     3    11  1983      278.000000
     4    11  1983      278.000000
     5    11  1983      308.000000
     6    11  1983      343.000000
     7    11  1983      364.000000
     8    11  1983      383.000000
     9    11  1983      401.000000
    10    11  1983      422.000000
    11    11  1983      446.000000
    12    11  1983      455.000000
    13    11  1983      448.000000
    14    11  1983      427.000000
    15    11  1983      411.000000
    16    11  1983      397.000000
    17    11  1983      399.000000
    18    11  1983      422.000000
    19    11  1983      447.000000
    20    11  1983      453.000000
    21    11  1983      450.000000
    22    11  1983      443.000000
    23    11  1983      434.000000
    24    11  1983      432.000000
    25    11  1983      443.000000
    26    11  1983      484.000000
    27    11  1983      510.000000
    28    11  1983      519.000000
    29    11  1983      511.000000
    30    11  1983      504.000000
     1    12  1983      498.000000
     2    12  1983      502.000000
     3    12  1983      513.000000
     4    12  1983      522.000000
     5    12  1983      530.000000
     6    12  1983      538.000000
     7    12  1983      542.000000
     8    12  1983      566.000000
     9    12  1983      562.000000
    10    12  1983      582.000000
    11    12  1983      596.000000
    12    12  1983      627.000000
    13    12  1983      621.000000
    14    12  1983      611.000000
    15    12  1983      606.000000
    16    12  1983      590.000000
    17    12  1983      582.000000
    18    12  1983      576.000000
    19    12  1983      560.000000
    20    12  1983      555.000000
    21    12  1983      547.000000
    22    12  1983      538.000000
    23    12  1983      534.000000
    24    12  1983      532.000000
    25    12  1983      529.000000
    26    12  1983      527.000000
    27    12  1983      535.000000
    28    12  1983      548.000000
    29    12  1983      560.000000
    30    12  1983      571.000000
    31    12  1983      575.000000
     1     1  1984      583.000000
     2     1  1984      617.000000
     3     1  1984      647.000000
     4     1  1984      667.000000
     5     1  1984      684.000000
     6     1  1984      704.000000
     7     1  1984      726.000000
     8     1  1984      747.000000
     9     1  1984      766.000000
    10     1  1984      779.000000
    11     1  1984      780.000000
    12     1  1984      760.000000
    13     1  1984      752.000000
    14     1  1984      744.000000
    15     1  1984      735.000000
    16     1  1984      726.000000
    17     1  1984      716.000000
    18     1  1984      702.000000
    19     1  1984      683.000000
    20     1  1984      662.000000
    21     1  1984      588.000000
    22     1  1984      595.000000
    23     1  1984      604.000000
    24     1  1984      614.000000
    25     1  1984      630.000000
    26     1  1984      634.000000
    27     1  1984      633.000000
    28     1  1984      632.000000
    29     1  1984      632.000000
    30     1  1984      641.000000
    31     1  1984      650.000000
     1     2  1984      657.000000
     2     2  1984      664.000000
     3     2  1984      670.000000
     4     2  1984      678.000000
     5     2  1984      686.000000
     6     2  1984      701.000000
     7     2  1984      722.000000
     8     2  1984      738.000000
     9     2  1984      754.000000
    10     2  1984      768.000000
    11     2  1984      780.000000
    12     2  1984      790.000000
    13     2  1984      793.000000
    14     2  1984      801.000000
    15     2  1984      808.000000
    16     2  1984      814.000000
    17     2  1984      813.000000
    18     2  1984      812.000000
    19     2  1984      814.000000
    20     2  1984      820.000000
    21     2  1984      831.000000
    22     2  1984      840.000000
    23     2  1984      850.000000
    24     2  1984      860.000000
    25     2  1984      868.000000
    26     2  1984      872.000000
    27     2  1984      867.000000
    28     2  1984      862.000000
    29     2  1984      858.000000
     1     3  1984      855.000000
     2     3  1984      844.000000
     3     3  1984      829.000000
     4     3  1984      814.000000
     5     3  1984      804.000000
     6     3  1984      794.000000
     7     3  1984      798.000000
     8     3  1984      806.000000
     9     3  1984      812.000000
    10     3  1984      817.000000
    11     3  1984      824.000000
    12     3  1984      826.000000
    13     3  1984      826.000000
    14     3  1984      834.000000
    15     3  1984      842.000000
    16     3  1984      850.000000
    17     3  1984      857.000000
    18     3  1984      864.000000
    19     3  1984      870.000000
    20     3  1984      872.000000
    21     3  1984      875.000000
    22     3  1984      879.000000
    23     3  1984      888.000000
    24     3  1984      888.000000
    25     3  1984      878.000000
    26     3  1984      868.000000
    27     3  1984      854.000000
    28     3  1984      850.000000
    29     3  1984      848.000000
    30     3  1984      846.000000
    31     3  1984      851.000000
     1     4  1984      856.000000
     2     4  1984      874.000000
     3     4  1984      882.000000
     4     4  1984      874.000000
     5     4  1984      873.000000
     6     4  1984      881.000000
     7     4  1984      902.000000
     8     4  1984      908.000000
     9     4  1984      914.000000
    10     4  1984      918.000000
    11     4  1984      923.000000
    12     4  1984      924.000000
    13     4  1984      924.000000
    14     4  1984      918.000000
    15     4  1984      908.000000
    16     4  1984      900.000000
    17     4  1984      891.000000
    18     4  1984      881.000000
    19     4  1984      870.000000
    20     4  1984      858.000000
    21     4  1984      847.000000
    22     4  1984      838.000000
    23     4  1984      832.000000
    24     4  1984      826.000000
    25     4  1984      820.000000
    26     4  1984      815.000000
    27     4  1984      811.000000
    28     4  1984      809.000000
    29     4  1984      799.000000
    30     4  1984      792.000000
     1     5  1984      799.000000
     2     5  1984      808.000000
     3     5  1984      813.000000
     4     5  1984      816.000000
     5     5  1984      816.000000
     6     5  1984      816.000000
     7     5  1984      812.000000
     8     5  1984      803.000000
     9     5  1984      786.000000
    10     5  1984      768.000000
    11     5  1984      747.000000
    12     5  1984      740.000000
    13     5  1984      748.000000
    14     5  1984      744.000000
    15     5  1984      739.000000
    16     5  1984      730.000000
    17     5  1984      720.000000
    18     5  1984      714.000000
    19     5  1984      707.000000
    20     5  1984      702.000000
    21     5  1984      693.000000
    22     5  1984      679.000000
    23     5  1984      668.000000
    24     5  1984      657.000000
    25     5  1984      646.000000
    26     5  1984      636.000000
    27     5  1984      633.000000
    28     5  1984      626.000000
    29     5  1984      628.000000
    30     5  1984      634.000000
    31     5  1984      638.000000
     1     6  1984      636.000000
     2     6  1984      633.000000
     3     6  1984      626.000000
     4     6  1984      618.000000
     5     6  1984      613.000000
     6     6  1984      604.000000
     7     6  1984      594.000000
     8     6  1984      584.000000
     9     6  1984      576.000000
    10     6  1984      572.000000
    11     6  1984      568.000000
    12     6  1984      564.000000
    13     6  1984      560.000000
    14     6  1984      556.000000
    15     6  1984      550.000000
    16     6  1984      546.000000
    17     6  1984      540.000000
    18     6  1984      534.000000
    19     6  1984      529.000000
    20     6  1984      523.000000
    21     6  1984      517.000000
    22     6  1984      513.000000
    23     6  1984      510.000000
    24     6  1984      500.000000
    25     6  1984      496.000000
    26     6  1984      491.000000
    27     6  1984      487.000000
    28     6  1984      481.000000
    29     6  1984      477.000000
    30     6  1984      472.000000
     1     7  1984      467.000000
     2     7  1984      464.000000
     3     7  1984      462.000000
     4     7  1984      460.000000
     5     7  1984      457.000000
     6     7  1984      453.000000
     7     7  1984      450.000000
     8     7  1984      446.000000
     9     7  1984      444.000000
    10     7  1984      438.000000
    11     7  1984      434.000000
    12     7  1984      429.000000
    13     7  1984      425.000000
    14     7  1984      419.000000
    15     7  1984      414.000000
    16     7  1984      410.000000
    17     7  1984      406.000000
    18     7  1984      404.000000
    19     7  1984      400.000000
    20     7  1984      396.000000
    21     7  1984      392.000000
    22     7  1984      389.000000
    23     7  1984      385.000000
    24     7  1984      381.000000
    25     7  1984      377.000000
    26     7  1984      373.000000
    27     7  1984      370.000000
    28     7  1984      366.000000
    29     7  1984      363.000000
    30     7  1984      361.000000
    31     7  1984      358.000000
     1     8  1984      356.000000
     2     8  1984      354.000000
     3     8  1984      352.000000
     4     8  1984      350.000000
     5     8  1984      348.000000
     6     8  1984      345.000000
     7     8  1984      342.000000
     8     8  1984      340.000000
     9     8  1984      337.000000
    10     8  1984      333.000000
    11     8  1984      330.000000
    12     8  1984      326.000000
    13     8  1984      320.000000
    14     8  1984      315.000000
    15     8  1984      310.000000
    16     8  1984      306.000000
    17     8  1984      302.000000
    18     8  1984      298.000000
    19     8  1984      294.000000
    20     8  1984      291.000000
    21     8  1984      290.000000
    22     8  1984      291.000000
    23     8  1984      293.000000
    24     8  1984      293.000000
    25     8  1984      292.000000
    26     8  1984      294.000000
    27     8  1984      298.000000
    28     8  1984      298.000000
    29     8  1984      296.000000
    30     8  1984      298.000000
    31     8  1984      303.000000
     1     9  1984      310.000000
     2     9  1984      310.000000
     3     9  1984      304.000000
     4     9  1984      293.000000
     5     9  1984      288.000000
     6     9  1984      286.000000
     7     9  1984      284.000000
     8     9  1984      294.000000
     9     9  1984      314.000000
    10     9  1984      328.000000
    11     9  1984      334.000000
    12     9  1984      332.000000
    13     9  1984      331.000000
    14     9  1984      326.000000
    15     9  1984      318.000000
    16     9  1984      312.000000
    17     9  1984      301.000000
    18     9  1984      289.000000
    19     9  1984      283.000000
    20     9  1984      281.000000
    21     9  1984      284.000000
    22     9  1984      293.000000
    23     9  1984      299.000000
    24     9  1984      302.000000
    25     9  1984      314.000000
    26     9  1984      312.000000
    27     9  1984      308.000000
    28     9  1984      310.000000
    29     9  1984      316.000000
    30     9  1984      318.000000
     1    10  1984      318.000000
     2    10  1984      308.000000
     3    10  1984      298.000000
     4    10  1984      290.000000
     5    10  1984      280.000000
     6    10  1984      272.000000
     7    10  1984      267.000000
     8    10  1984      265.000000
     9    10  1984      270.000000
    10    10  1984      277.000000
    11    10  1984      278.000000
    12    10  1984      278.000000
    13    10  1984      278.000000
    14    10  1984      279.000000
    15    10  1984      280.000000
    16    10  1984      277.000000
    17    10  1984      277.000000
    18    10  1984      281.000000
    19    10  1984      293.000000
    20    10  1984      304.000000
    21    10  1984      316.000000
    22    10  1984      336.000000
    23    10  1984      353.000000
    24    10  1984      354.000000
    25    10  1984      351.000000
    26    10  1984      358.000000
    27    10  1984      381.000000
    28    10  1984      382.000000
    29    10  1984      379.000000
    30    10  1984      378.000000
