BORBA	-59.597	-4.388
     1     1  1983     1603.000000
     2     1  1983     1617.000000
     3     1  1983     1624.000000
     4     1  1983     1641.000000
     5     1  1983     1657.000000
     6     1  1983     1665.000000
     7     1  1983     1671.000000
     8     1  1983     1674.000000
     9     1  1983     1674.000000
    10     1  1983     1672.000000
    11     1  1983     1673.000000
    12     1  1983     1674.000000
    13     1  1983     1675.000000
    14     1  1983     1674.000000
    15     1  1983     1673.000000
    16     1  1983     1674.000000
    17     1  1983     1674.000000
    18     1  1983     1679.000000
    19     1  1983     1683.000000
    20     1  1983     1682.000000
    21     1  1983     1686.000000
    22     1  1983     1690.000000
    23     1  1983     1694.000000
    24     1  1983     1698.000000
    25     1  1983     1705.000000
    26     1  1983     1710.000000
    27     1  1983     1715.000000
    28     1  1983     1716.000000
    29     1  1983     1719.000000
    30     1  1983     1722.000000
    31     1  1983     1723.000000
     1     2  1983     1725.000000
     2     2  1983     1729.000000
     3     2  1983     1735.000000
     4     2  1983     1738.000000
     5     2  1983     1742.000000
     6     2  1983     1748.000000
     7     2  1983     1754.000000
     8     2  1983     1761.000000
     9     2  1983     1768.000000
    10     2  1983     1773.000000
    11     2  1983     1777.000000
    12     2  1983     1782.000000
    13     2  1983     1787.000000
    14     2  1983     1791.000000
    15     2  1983     1795.000000
    16     2  1983     1799.000000
    17     2  1983     1802.000000
    18     2  1983     1803.000000
    19     2  1983     1804.000000
    20     2  1983     1805.000000
    21     2  1983     1806.000000
    22     2  1983     1807.000000
    23     2  1983     1808.000000
    24     2  1983     1809.000000
    25     2  1983     1812.000000
    26     2  1983     1814.000000
    27     2  1983     1816.000000
    28     2  1983     1818.000000
     1     3  1983     1820.000000
     2     3  1983     1821.000000
     3     3  1983     1821.000000
     4     3  1983     1820.000000
     5     3  1983     1821.000000
     6     3  1983     1819.000000
     7     3  1983     1817.000000
     8     3  1983     1816.000000
     9     3  1983     1816.000000
    10     3  1983     1816.000000
    11     3  1983     1816.000000
    12     3  1983     1816.000000
    13     3  1983     1818.000000
    14     3  1983     1820.000000
    15     3  1983     1820.000000
    16     3  1983     1821.000000
    17     3  1983     1823.000000
    18     3  1983     1826.000000
    19     3  1983     1823.000000
    20     3  1983     1825.000000
    21     3  1983     1830.000000
    22     3  1983     1840.000000
    23     3  1983     1850.000000
    24     3  1983     1858.000000
    25     3  1983     1862.000000
    26     3  1983     1873.000000
    27     3  1983     1881.000000
    28     3  1983     1887.000000
    29     3  1983     1895.000000
    30     3  1983     1900.000000
    31     3  1983     1906.000000
     1     4  1983     1911.000000
     2     4  1983     1917.000000
     3     4  1983     1921.000000
     4     4  1983     1925.000000
     5     4  1983     1928.000000
     6     4  1983     1928.000000
     7     4  1983     1929.000000
     8     4  1983     1931.000000
     9     4  1983     1932.000000
    10     4  1983     1932.000000
    11     4  1983     1932.000000
    12     4  1983     1932.000000
    13     4  1983     1934.000000
    14     4  1983     1933.000000
    15     4  1983     1932.000000
    16     4  1983     1935.000000
    17     4  1983     1935.000000
    18     4  1983     1935.000000
    19     4  1983     1936.000000
    20     4  1983     1936.000000
    21     4  1983     1935.000000
    22     4  1983     1935.000000
    23     4  1983     1935.000000
    24     4  1983     1935.000000
    25     4  1983     1935.000000
    26     4  1983     1935.000000
    27     4  1983     1933.000000
    28     4  1983     1934.000000
    29     4  1983     1932.000000
    30     4  1983     1931.000000
     1     5  1983     1930.000000
     2     5  1983     1929.000000
     3     5  1983     1927.000000
     4     5  1983     1926.000000
     5     5  1983     1925.000000
