SANTARÉMSUCUNDURI	-59.042	-6.796
     1     1  1983      712.000000
     2     1  1983      693.000000
     3     1  1983      694.000000
     4     1  1983      740.000000
     5     1  1983      750.000000
     6     1  1983      722.000000
     7     1  1983      700.000000
     8     1  1983      672.000000
     9     1  1983      631.000000
    10     1  1983      614.000000
    11     1  1983      600.000000
    12     1  1983      606.000000
    13     1  1983      637.000000
    14     1  1983      674.000000
    15     1  1983      664.000000
    16     1  1983      634.000000
    17     1  1983      602.000000
    18     1  1983      571.000000
    19     1  1983      555.000000
    20     1  1983      545.000000
    21     1  1983      539.000000
    22     1  1983      526.000000
    23     1  1983      516.000000
    24     1  1983      507.000000
    25     1  1983      513.000000
    26     1  1983      531.000000
    27     1  1983      540.000000
    28     1  1983      610.000000
    29     1  1983      788.000000
    30     1  1983      841.000000
    31     1  1983      789.000000
     1     2  1983      767.000000
     2     2  1983      746.000000
     3     2  1983      745.000000
     4     2  1983      769.000000
     5     2  1983      807.000000
     6     2  1983      806.000000
     7     2  1983      813.000000
     8     2  1983      819.000000
     9     2  1983      865.000000
    10     2  1983      905.000000
    11     2  1983      932.000000
    12     2  1983      988.000000
    13     2  1983     1022.000000
    14     2  1983     1076.000000
    15     2  1983     1099.000000
    16     2  1983     1094.000000
    17     2  1983     1088.000000
    18     2  1983     1087.000000
    19     2  1983     1073.000000
    20     2  1983     1037.000000
    21     2  1983     1002.000000
    22     2  1983      943.000000
    23     2  1983      904.000000
    24     2  1983      861.000000
    25     2  1983      822.000000
    26     2  1983      782.000000
    27     2  1983      745.000000
    28     2  1983      706.000000
     1     3  1983      673.000000
     2     3  1983      642.000000
     3     3  1983      636.000000
     4     3  1983      628.000000
     5     3  1983      623.000000
     6     3  1983      627.000000
     7     3  1983      673.000000
     8     3  1983      763.000000
     9     3  1983      861.000000
    10     3  1983      895.000000
    11     3  1983      869.000000
    12     3  1983      860.000000
    13     3  1983      857.000000
    14     3  1983      853.000000
    15     3  1983      842.000000
    16     3  1983      823.000000
    17     3  1983      814.000000
    18     3  1983      803.000000
    19     3  1983      868.000000
    20     3  1983      897.000000
    21     3  1983      897.000000
    22     3  1983      891.000000
    23     3  1983      907.000000
    24     3  1983      933.000000
    25     3  1983      959.000000
    26     3  1983      957.000000
    27     3  1983      946.000000
    28     3  1983      923.000000
    29     3  1983      976.000000
    30     3  1983     1072.000000
    31     3  1983     1080.000000
     1     4  1983     1062.000000
     2     4  1983     1041.000000
     3     4  1983     1064.000000
     4     4  1983     1102.000000
     5     4  1983     1116.000000
     6     4  1983     1106.000000
     7     4  1983     1085.000000
     8     4  1983     1063.000000
     9     4  1983     1046.000000
    10     4  1983     1020.000000
    11     4  1983      988.000000
    12     4  1983      967.000000
    13     4  1983      941.000000
    14     4  1983      919.000000
    15     4  1983      868.000000
    16     4  1983      818.000000
    17     4  1983      770.000000
    18     4  1983      752.000000
    19     4  1983      736.000000
    20     4  1983      718.000000
    21     4  1983      715.000000
    22     4  1983      717.000000
    23     4  1983      708.000000
    24     4  1983      709.000000
    25     4  1983      743.000000
    26     4  1983      723.000000
    27     4  1983      698.000000
    28     4  1983      682.000000
    29     4  1983      684.000000
    30     4  1983      690.000000
     1     5  1983      689.000000
     2     5  1983      676.000000
     3     5  1983      662.000000
     4     5  1983      636.000000
     5     5  1983      617.000000
     6     5  1983      602.000000
     7     5  1983      574.000000
     8     5  1983      561.000000
     9     5  1983      551.000000
    10     5  1983      536.000000
    11     5  1983      527.000000
    12     5  1983      516.000000
    13     5  1983      507.000000
    14     5  1983      501.000000
    15     5  1983      497.000000
    16     5  1983      489.000000
    17     5  1983      484.000000
