ÓBIDOS	-55.513	-1.919
     1     1  1983      318.000000
     2     1  1983      324.000000
     3     1  1983      330.000000
     4     1  1983      335.000000
     5     1  1983      339.000000
     6     1  1983      341.000000
     7     1  1983      346.000000
     8     1  1983      349.000000
     9     1  1983      351.000000
    10     1  1983      352.000000
    11     1  1983      356.000000
    12     1  1983      359.000000
    13     1  1983      362.000000
    14     1  1983      365.000000
    15     1  1983      366.000000
    16     1  1983      369.000000
    17     1  1983      370.000000
    18     1  1983      374.000000
    19     1  1983      376.000000
    20     1  1983      377.000000
    21     1  1983      379.000000
    22     1  1983      380.000000
    23     1  1983      381.000000
    24     1  1983      382.000000
    25     1  1983      384.000000
    26     1  1983      387.000000
    27     1  1983      390.000000
    28     1  1983      394.000000
    29     1  1983      399.000000
    30     1  1983      403.000000
    31     1  1983      409.000000
     1     2  1983      412.000000
     2     2  1983      415.000000
     3     2  1983      417.000000
     4     2  1983      418.000000
     5     2  1983      417.000000
     6     2  1983      419.000000
     7     2  1983      420.000000
     8     2  1983      422.000000
     9     2  1983      422.000000
    10     2  1983      422.000000
    11     2  1983      422.000000
    12     2  1983      430.000000
    13     2  1983      432.000000
    14     2  1983      435.000000
    15     2  1983      438.000000
    16     2  1983      439.000000
    17     2  1983      439.000000
    18     2  1983      441.000000
    19     2  1983      444.000000
    20     2  1983      446.000000
    21     2  1983      446.000000
    22     2  1983      446.000000
    23     2  1983      447.000000
    24     2  1983      448.000000
    25     2  1983      447.000000
    26     2  1983      450.000000
    27     2  1983      452.000000
    28     2  1983      452.000000
     1     3  1983      454.000000
     2     3  1983      455.000000
     3     3  1983      456.000000
     4     3  1983      456.000000
     5     3  1983      457.000000
     6     3  1983      456.000000
     7     3  1983      455.000000
     8     3  1983      455.000000
     9     3  1983      455.000000
    10     3  1983      452.000000
    11     3  1983      449.000000
    12     3  1983      448.000000
    13     3  1983      451.000000
    14     3  1983      451.000000
    15     3  1983      450.000000
    16     3  1983      451.000000
    17     3  1983      452.000000
    18     3  1983      454.000000
    19     3  1983      455.000000
    20     3  1983      457.000000
    21     3  1983      461.000000
    22     3  1983      460.000000
    23     3  1983      463.000000
    24     3  1983      464.000000
    25     3  1983      465.000000
    26     3  1983      471.000000
    27     3  1983      476.000000
    28     3  1983      482.000000
    29     3  1983      485.000000
    30     3  1983      492.000000
    31     3  1983      497.000000
     1     4  1983      502.000000
     2     4  1983      507.000000
     3     4  1983      508.000000
     4     4  1983      510.000000
     5     4  1983      511.000000
     6     4  1983      514.000000
     7     4  1983      516.000000
     8     4  1983      517.000000
     9     4  1983      520.000000
    10     4  1983      522.000000
    11     4  1983      526.000000
    12     4  1983      529.000000
    13     4  1983      529.000000
    14     4  1983      532.000000
    15     4  1983      534.000000
    16     4  1983      537.000000
    17     4  1983      539.000000
    18     4  1983      541.000000
    19     4  1983      544.000000
    20     4  1983      544.000000
    21     4  1983      545.000000
    22     4  1983      546.000000
    23     4  1983      549.000000
    24     4  1983      553.000000
    25     4  1983      554.000000
    26     4  1983      556.000000
    27     4  1983      558.000000
    28     4  1983      560.000000
    29     4  1983      562.000000
    30     4  1983      562.000000
     1     5  1983      562.000000
     2     5  1983      561.000000
     3     5  1983      561.000000
     4     5  1983      562.000000
     5     5  1983      560.000000
     6     5  1983      560.000000
     7     5  1983      560.000000
     8     5  1983      560.000000
     9     5  1983      559.000000
    10     5  1983      561.000000
    11     5  1983      563.000000
    12     5  1983      566.000000
    13     5  1983      566.000000
    14     5  1983      570.000000
    15     5  1983      572.000000
    16     5  1983      574.000000
    17     5  1983      574.000000
    18     5  1983      576.000000
    19     5  1983      577.000000
    20     5  1983      579.000000
    21     5  1983      579.000000
    22     5  1983      579.000000
    23     5  1983      579.000000
    24     5  1983      579.000000
    25     5  1983      582.000000
    26     5  1983      581.000000
    27     5  1983      582.000000
    28     5  1983      584.000000
    29     5  1983      585.000000
    30     5  1983      587.000000
    31     5  1983      586.000000
     1     6  1983      586.000000
     2     6  1983      586.000000
     3     6  1983      585.000000
     4     6  1983      584.000000
     5     6  1983      583.000000
     6     6  1983      582.000000
     7     6  1983      582.000000
     8     6  1983      580.000000
     9     6  1983      579.000000
    10     6  1983      578.000000
    11     6  1983      580.000000
    12     6  1983      580.000000
    13     6  1983      581.000000
    14     6  1983      582.000000
    15     6  1983      581.000000
    16     6  1983      581.000000
    17     6  1983      583.000000
    18     6  1983      582.000000
    19     6  1983      580.000000
    20     6  1983      580.000000
    21     6  1983      576.000000
    22     6  1983      574.000000
    23     6  1983      574.000000
    24     6  1983      571.000000
    25     6  1983      569.000000
    26     6  1983      568.000000
    27     6  1983      566.000000
    28     6  1983      563.000000
    29     6  1983      560.000000
    30     6  1983      557.000000
     1     7  1983      555.000000
     2     7  1983      553.000000
     3     7  1983      549.000000
     4     7  1983      545.000000
     5     7  1983      542.000000
     6     7  1983      539.000000
     7     7  1983      537.000000
     8     7  1983      535.000000
     9     7  1983      532.000000
    10     7  1983      530.000000
    11     7  1983      527.000000
    12     7  1983      528.000000
    13     7  1983      525.000000
    14     7  1983      523.000000
    15     7  1983      520.000000
    16     7  1983      517.000000
    17     7  1983      514.000000
    18     7  1983      511.000000
    19     7  1983      507.000000
    20     7  1983      503.000000
    21     7  1983      497.000000
    22     7  1983      493.000000
    23     7  1983      491.000000
    24     7  1983      487.000000
    25     7  1983      483.000000
    26     7  1983      478.000000
    27     7  1983      473.000000
    28     7  1983      468.000000
    29     7  1983      463.000000
    30     7  1983      456.000000
    31     7  1983      452.000000
     1     8  1983      446.000000
     2     8  1983      439.000000
     3     8  1983      431.000000
     4     8  1983      424.000000
     5     8  1983      417.000000
     6     8  1983      411.000000
     7     8  1983      403.000000
     8     8  1983      395.000000
     9     8  1983      388.000000
    10     8  1983      383.000000
    11     8  1983      376.000000
    12     8  1983      369.000000
    13     8  1983      361.000000
    14     8  1983      352.000000
    15     8  1983      343.000000
    16     8  1983      332.000000
    17     8  1983      321.000000
    18     8  1983      311.000000
    19     8  1983      301.000000
    20     8  1983      291.000000
    21     8  1983      284.000000
    22     8  1983      277.000000
    23     8  1983      271.000000
    24     8  1983      265.000000
    25     8  1983      260.000000
    26     8  1983      254.000000
    27     8  1983      249.000000
    28     8  1983      243.000000
    29     8  1983      237.000000
    30     8  1983      228.000000
    31     8  1983      217.000000
     1     9  1983      208.000000
     2     9  1983      200.000000
     3     9  1983      191.000000
     4     9  1983      186.000000
     5     9  1983      183.000000
     6     9  1983      180.000000
     7     9  1983      184.000000
     8     9  1983      182.000000
     9     9  1983      183.000000
    10     9  1983      180.000000
    11     9  1983      181.000000
    12     9  1983      173.000000
    13     9  1983      166.000000
    14     9  1983      157.000000
    15     9  1983      152.000000
    16     9  1983      146.000000
    17     9  1983      142.000000
    18     9  1983      138.000000
    19     9  1983      138.000000
    20     9  1983      136.000000
    21     9  1983      136.000000
    22     9  1983      138.000000
    23     9  1983      140.000000
    24     9  1983      142.000000
    25     9  1983      141.000000
    26     9  1983      142.000000
    27     9  1983      140.000000
    28     9  1983      136.000000
    29     9  1983      133.000000
    30     9  1983      126.000000
     1    10  1983      123.000000
     2    10  1983      121.000000
     3    10  1983      122.000000
     4    10  1983      122.000000
     5    10  1983      123.000000
     6    10  1983      125.000000
     7    10  1983      129.000000
     8    10  1983      131.000000
     9    10  1983      133.000000
    10    10  1983      132.000000
    11    10  1983      123.000000
    12    10  1983      119.000000
    13    10  1983      106.000000
    14    10  1983       97.000000
    15    10  1983       88.000000
    16    10  1983       81.000000
    17    10  1983       77.000000
    18    10  1983       73.000000
    19    10  1983       70.000000
    20    10  1983       70.000000
    21    10  1983       73.000000
    22    10  1983       73.000000
    23    10  1983       74.000000
    24    10  1983       74.000000
    25    10  1983       75.000000
    26    10  1983       72.000000
    27    10  1983       70.000000
    28    10  1983       68.000000
    29    10  1983       64.000000
    30    10  1983       61.000000
    31    10  1983       62.000000
     1    11  1983       64.000000
     2    11  1983       71.000000
     3    11  1983       77.000000
     4    11  1983       80.000000
     5    11  1983       86.000000
     6    11  1983       89.000000
     7    11  1983       95.000000
     8    11  1983       95.000000
     9    11  1983       93.000000
    10    11  1983       92.000000
    11    11  1983       89.000000
    12    11  1983       88.000000
    13    11  1983       86.000000
    14    11  1983       86.000000
    15    11  1983       89.000000
    16    11  1983       94.000000
    17    11  1983      101.000000
    18    11  1983      107.000000
    19    11  1983      112.000000
    20    11  1983      118.000000
    21    11  1983      126.000000
    22    11  1983      133.000000
    23    11  1983      134.000000
    24    11  1983      141.000000
    25    11  1983      139.000000
    26    11  1983      139.000000
    27    11  1983      143.000000
    28    11  1983      142.000000
    29    11  1983      143.000000
    30    11  1983      145.000000
     1    12  1983      148.000000
     2    12  1983      152.000000
     3    12  1983      154.000000
     4    12  1983      159.000000
     5    12  1983      163.000000
     6    12  1983      165.000000
     7    12  1983      164.000000
     8    12  1983      164.000000
     9    12  1983      165.000000
    10    12  1983      162.000000
    11    12  1983      161.000000
    12    12  1983      160.000000
    13    12  1983      160.000000
    14    12  1983      160.000000
    15    12  1983      165.000000
    16    12  1983      172.000000
    17    12  1983      178.000000
    18    12  1983      184.000000
    19    12  1983      193.000000
    20    12  1983      201.000000
    21    12  1983      210.000000
    22    12  1983      219.000000
    23    12  1983      225.000000
    24    12  1983      230.000000
    25    12  1983      231.000000
    26    12  1983      235.000000
    27    12  1983      239.000000
    28    12  1983      243.000000
    29    12  1983      247.000000
    30    12  1983      251.000000
    31    12  1983      254.000000
     1     1  1984      259.000000
     2     1  1984      266.000000
     3     1  1984      269.000000
     4     1  1984      272.000000
     5     1  1984      278.000000
     6     1  1984      283.000000
     7     1  1984      289.000000
     8     1  1984      296.000000
     9     1  1984      300.000000
    10     1  1984      302.000000
    11     1  1984      305.000000
    12     1  1984      308.000000
    13     1  1984      313.000000
    14     1  1984      319.000000
    15     1  1984      326.000000
    16     1  1984      334.000000
    17     1  1984      339.000000
    18     1  1984      348.000000
    19     1  1984      358.000000
    20     1  1984      366.000000
    21     1  1984      374.000000
    22     1  1984      381.000000
    23     1  1984      384.000000
    24     1  1984      390.000000
    25     1  1984      394.000000
    26     1  1984      396.000000
    27     1  1984      397.000000
    28     1  1984      399.000000
    29     1  1984      401.000000
    30     1  1984      403.000000
    31     1  1984      405.000000
     1     2  1984      408.000000
     2     2  1984      413.000000
     3     2  1984      417.000000
     4     2  1984      421.000000
