PALMEIRASDOJAVARI	-72.800	-5.133
     1     1  1983     1034.880000
     2     1  1983     1043.920000
     3     1  1983     1049.960000
     4     1  1983     1049.960000
     5     1  1983     1059.030000
     6     1  1983     1066.620000
     7     1  1983     1071.180000
     8     1  1983     1069.660000
     9     1  1983     1071.180000
    10     1  1983     1062.070000
    11     1  1983     1040.900000
    12     1  1983     1039.400000
    13     1  1983     1039.400000
    14     1  1983     1039.400000
    15     1  1983     1030.380000
    16     1  1983     1015.410000
    17     1  1983     1004.970000
    18     1  1983     1006.460000
    19     1  1983     1006.460000
    20     1  1983     1007.950000
    21     1  1983     1006.460000
    22     1  1983     1003.480000
    23     1  1983      999.020000
    24     1  1983      987.170000
    25     1  1983      975.360000
    26     1  1983      966.540000
    27     1  1983      960.680000
    28     1  1983      959.210000
    29     1  1983      957.750000
    30     1  1983      953.360000
    31     1  1983      947.520000
     1     2  1983      924.300000
     2     2  1983      931.530000
     3     2  1983      940.240000
     4     2  1983      948.980000
     5     2  1983      963.610000
     6     2  1983      973.890000
     7     2  1983      990.130000
     8     2  1983     1015.410000
     9     2  1983     1028.880000
    10     2  1983     1034.880000
    11     2  1983     1033.380000
    12     2  1983     1022.880000
    13     2  1983     1000.510000
    14     2  1983      956.280000
    15     2  1983      891.260000
    16     2  1983      813.980000
    17     2  1983      724.520000
    18     2  1983      624.830000
    19     2  1983      548.360000
    20     2  1983      464.020000
    21     2  1983      412.750000
    22     2  1983      429.240000
    23     2  1983      642.570000
    24     2  1983      804.330000
    25     2  1983      889.840000
    26     2  1983      941.700000
    27     2  1983      984.210000
    28     2  1983     1000.510000
     1     3  1983     1003.480000
     2     3  1983     1003.480000
     3     3  1983     1000.510000
     4     3  1983      996.060000
     5     3  1983      988.650000
     6     3  1983      988.650000
     7     3  1983      976.840000
     8     3  1983      951.900000
     9     3  1983      908.450000
    10     3  1983      862.880000
    11     3  1983      822.300000
    12     3  1983      801.570000
    13     3  1983      789.230000
    14     3  1983      789.230000
    15     3  1983      812.600000
    16     3  1983      855.830000
    17     3  1983      868.530000
    18     3  1983      879.870000
    19     3  1983      921.410000
    20     3  1983      973.890000
    21     3  1983     1013.910000
    22     3  1983     1033.380000
    23     3  1983     1039.400000
    24     3  1983     1039.400000
    25     3  1983     1036.390000
    26     3  1983     1030.380000
    27     3  1983     1016.900000
    28     3  1983      982.740000
    29     3  1983      899.840000
    30     3  1983      787.860000
    31     3  1983      670.800000
     1     4  1983      606.010000
     2     4  1983      551.980000
     3     4  1983      524.440000
     4     4  1983      553.190000
     5     4  1983      576.320000
     6     4  1983      583.690000
     7     4  1983      599.780000
     8     4  1983      598.540000
     9     4  1983      616.020000
    10     4  1983      641.300000
    11     4  1983      636.210000
    12     4  1983      619.790000
    13     4  1983      619.790000
    14     4  1983      657.910000
    15     4  1983      695.520000
    16     4  1983      739.180000
    17     4  1983      744.540000
    18     4  1983      781.030000
    19     4  1983      796.080000
    20     4  1983      809.840000
    21     4  1983      853.020000
    22     4  1983      891.260000
    23     4  1983      901.270000
    24     4  1983      895.550000
    25     4  1983      878.450000
    26     4  1983      862.880000
    27     4  1983      858.650000
    28     4  1983      854.430000
    29     4  1983      854.430000
    30     4  1983      854.430000
     1     5  1983      853.020000
