ESTIRÃODOREPOUSO	-70.933	-4.367
     1     1  1983     3887.630000
     2     1  1983     3917.750000
     3     1  1983     3947.970000
     4     1  1983     3991.280000
     5     1  1983     4034.780000
     6     1  1983     4069.700000
     7     1  1983     4117.900000
     8     1  1983     4161.900000
     9     1  1983     4210.510000
    10     1  1983     4246.000000
    11     1  1983     4263.780000
    12     1  1983     4277.140000
    13     1  1983     4290.510000
    14     1  1983     4303.900000
    15     1  1983     4321.780000
    16     1  1983     4339.680000
    17     1  1983     4348.640000
    18     1  1983     4339.680000
    19     1  1983     4330.720000
    20     1  1983     4317.300000
    21     1  1983     4277.140000
    22     1  1983     4223.810000
    23     1  1983     4170.730000
    24     1  1983     4113.510000
    25     1  1983     4056.590000
    26     1  1983     3995.620000
    27     1  1983     3935.010000
    28     1  1983     3883.330000
    29     1  1983     3844.740000
    30     1  1983     3810.560000
    31     1  1983     3780.750000
     1     2  1983     3768.000000
     2     2  1983     3755.270000
     3     2  1983     3742.550000
     4     2  1983     3734.080000
     5     2  1983     3725.620000
     6     2  1983     3729.850000
     7     2  1983     3738.310000
     8     2  1983     3755.270000
     9     2  1983     3763.750000
    10     2  1983     3746.790000
    11     2  1983     3725.620000
    12     2  1983     3662.380000
    13     2  1983     3607.910000
    14     2  1983     3545.440000
    15     2  1983     3504.020000
    16     2  1983     3421.730000
    17     2  1983     3372.720000
    18     2  1983     3372.720000
    19     2  1983     3401.280000
    20     2  1983     3397.190000
    21     2  1983     3393.110000
    22     2  1983     3393.110000
    23     2  1983     3384.950000
    24     2  1983     3368.640000
    25     2  1983     3348.310000
    26     2  1983     3315.870000
    27     2  1983     3283.550000
    28     2  1983     3259.380000
     1     3  1983     3235.290000
     2     3  1983     3223.260000
     3     3  1983     3231.280000
     4     3  1983     3251.340000
     5     3  1983     3307.780000
     6     3  1983     3368.640000
     7     3  1983     3421.730000
     8     3  1983     3462.790000
     9     3  1983     3483.380000
    10     3  1983     3504.020000
    11     3  1983     3578.710000
    12     3  1983     3641.390000
    13     3  1983     3691.840000
    14     3  1983     3717.160000
    15     3  1983     3734.080000
    16     3  1983     3729.850000
    17     3  1983     3712.940000
    18     3  1983     3687.630000
    19     3  1983     3653.980000
    20     3  1983     3679.200000
    21     3  1983     3683.420000
    22     3  1983     3683.420000
    23     3  1983     3670.790000
    24     3  1983     3662.380000
    25     3  1983     3653.980000
    26     3  1983     3645.590000
    27     3  1983     3637.200000
    28     3  1983     3628.820000
    29     3  1983     3633.010000
    30     3  1983     3641.390000
    31     3  1983     3649.780000
     1     4  1983     3641.390000
     2     4  1983     3633.010000
     3     4  1983     3637.200000
     4     4  1983     3653.980000
     5     4  1983     3675.000000
     6     4  1983     3725.620000
     7     4  1983     3746.790000
     8     4  1983     3759.510000
     9     4  1983     3772.250000
    10     4  1983     3780.750000
    11     4  1983     3789.260000
    12     4  1983     3802.040000
    13     4  1983     3780.750000
    14     4  1983     3768.000000
    15     4  1983     3759.510000
    16     4  1983     3755.270000
    17     4  1983     3763.750000
    18     4  1983     3772.250000
    19     4  1983     3780.750000
    20     4  1983     3789.260000
    21     4  1983     3802.040000
    22     4  1983     3814.830000
    23     4  1983     3853.310000
    24     4  1983     3883.330000
    25     4  1983     3900.530000
    26     4  1983     3939.330000
    27     4  1983     3978.270000
    28     4  1983     3999.970000
    29     4  1983     4013.010000
    30     4  1983     3982.610000
     1     5  1983     3930.690000
     2     5  1983     3891.930000
     3     5  1983     3840.460000
     4     5  1983     3806.300000
     5     5  1983     3763.750000
     6     5  1983     3734.080000
     7     5  1983     3708.710000
     8     5  1983     3683.420000
     9     5  1983     3675.000000
    10     5  1983     3666.590000
    11     5  1983     3675.000000
    12     5  1983     3700.270000
    13     5  1983     3729.850000
    14     5  1983     3742.550000
    15     5  1983     3755.270000
    16     5  1983     3742.550000
    17     5  1983     3712.940000
    18     5  1983     3670.790000
    19     5  1983     3637.200000
    20     5  1983     3587.040000
    21     5  1983     3524.710000
    22     5  1983     3466.900000
    23     5  1983     3397.190000
    24     5  1983     3319.920000
    25     5  1983     3235.290000
    26     5  1983     3107.920000
    27     5  1983     3037.120000
    28     5  1983     3013.660000
    29     5  1983     3001.950000
    30     5  1983     2970.820000
    31     5  1983     2963.060000
     1     6  1983     2912.780000
     2     6  1983     2843.710000
     3     6  1983     2779.050000
     4     6  1983     2643.970000
     5     6  1983     2507.800000
     6     6  1983     2392.230000
     7     6  1983     2254.170000
     8     6  1983     2184.580000
     9     6  1983     2058.010000
    10     6  1983     1970.780000
    11     6  1983     1884.990000
    12     6  1983     1823.200000
    13     6  1983     1727.230000
    14     6  1983     1617.760000
    15     6  1983     1532.140000
    16     6  1983     1442.360000
    17     6  1983     1337.340000
    18     6  1983     1277.470000
    19     6  1983     1221.420000
    20     6  1983     1166.320000
    21     6  1983     1122.930000
    22     6  1983     1012.020000
    23     6  1983      978.570000
    24     6  1983      960.740000
    25     6  1983      945.550000
    26     6  1983      935.480000
    27     6  1983      915.450000
    28     6  1983      888.180000
    29     6  1983      849.080000
    30     6  1983      820.190000
     1     7  1983      789.310000
     2     7  1983      742.690000
     3     7  1983      715.240000
     4     7  1983      708.430000
     5     7  1983      668.130000
     6     7  1983      607.230000
     7     7  1983      569.240000
     8     7  1983      563.000000
