SÃOPAULODEOLIVENÇA	-68.750	-3.450
     1     1  1983    59639.200000
     2     1  1983    60074.800000
     3     1  1983    60324.700000
     4     1  1983    60449.900000
     5     1  1983    60638.100000
     6     1  1983    60889.700000
     7     1  1983    61141.900000
     8     1  1983    61521.700000
     9     1  1983    61775.800000
    10     1  1983    62094.400000
    11     1  1983    62350.200000
    12     1  1983    62542.500000
    13     1  1983    62670.900000
    14     1  1983    62799.500000
    15     1  1983    62928.300000
    16     1  1983    63121.900000
    17     1  1983    63186.500000
    18     1  1983    63315.800000
    19     1  1983    63445.300000
    20     1  1983    63575.100000
    21     1  1983    63705.000000
    22     1  1983    63835.100000
    23     1  1983    63900.200000
    24     1  1983    63900.200000
    25     1  1983    63900.200000
    26     1  1983    63900.200000
    27     1  1983    63770.000000
    28     1  1983    63770.000000
    29     1  1983    63770.000000
    30     1  1983    63640.000000
    31     1  1983    63510.200000
     1     2  1983    63251.100000
     2     2  1983    63121.900000
     3     2  1983    62928.300000
     4     2  1983    62670.900000
     5     2  1983    62478.400000
     6     2  1983    62350.200000
     7     2  1983    62222.200000
     8     2  1983    62030.600000
     9     2  1983    61903.100000
    10     2  1983    61394.900000
    11     2  1983    60889.700000
    12     2  1983    60387.300000
    13     2  1983    59950.100000
    14     2  1983    59763.400000
    15     2  1983    59639.200000
    16     2  1983    59329.400000
    17     2  1983    59082.400000
    18     2  1983    58774.600000
    19     2  1983    58651.800000
    20     2  1983    58468.000000
    21     2  1983    58284.500000
    22     2  1983    58101.500000
    23     2  1983    57858.100000
    24     2  1983    57615.300000
    25     2  1983    57433.800000
    26     2  1983    57252.600000
    27     2  1983    56891.400000
    28     2  1983    56651.600000
     1     3  1983    56233.500000
     2     3  1983    55995.600000
     3     3  1983    55640.000000
     4     3  1983    55403.800000
     5     3  1983    55227.100000
     6     3  1983    54992.200000
     7     3  1983    54875.000000
     8     3  1983    54757.900000
     9     3  1983    54816.400000
    10     3  1983    54875.000000
    11     3  1983    54875.000000
    12     3  1983    54933.500000
    13     3  1983    55050.800000
    14     3  1983    55109.600000
    15     3  1983    55227.100000
    16     3  1983    55286.000000
    17     3  1983    55344.900000
    18     3  1983    55403.800000
    19     3  1983    55521.800000
    20     3  1983    55640.000000
    21     3  1983    55817.600000
    22     3  1983    55936.200000
    23     3  1983    55936.200000
    24     3  1983    56055.000000
    25     3  1983    56293.100000
    26     3  1983    56352.700000
    27     3  1983    56472.100000
    28     3  1983    56591.700000
    29     3  1983    56711.500000
    30     3  1983    56831.400000
    31     3  1983    56951.500000
     1     4  1983    57192.300000
     2     4  1983    57373.300000
     3     4  1983    57615.300000
     4     4  1983    57797.300000
     5     4  1983    57918.900000
     6     4  1983    58040.600000
     7     4  1983    58162.500000
     8     4  1983    58223.500000
     9     4  1983    58345.600000
    10     4  1983    58406.800000
    11     4  1983    58529.200000
