SANTOANTÔNIODOIÇÁ	-67.933	-3.083
     1     1  1983    68406.900000
     2     1  1983    68650.800000
     3     1  1983    68944.200000
     4     1  1983    69115.800000
     5     1  1983    69287.500000
     6     1  1983    69717.700000
     7     1  1983    70321.700000
     8     1  1983    70667.800000
     9     1  1983    70841.100000
    10     1  1983    71188.300000
    11     1  1983    71536.100000
    12     1  1983    71884.700000
    13     1  1983    72059.200000
    14     1  1983    72233.900000
    15     1  1983    72496.300000
    16     1  1983    72671.500000
    17     1  1983    72846.800000
    18     1  1983    73022.300000
    19     1  1983    73110.100000
    20     1  1983    73285.900000
    21     1  1983    73461.800000
    22     1  1983    73549.800000
    23     1  1983    73637.900000
    24     1  1983    73726.000000
    25     1  1983    73726.000000
    26     1  1983    73726.000000
    27     1  1983    73726.000000
    28     1  1983    73637.900000
    29     1  1983    73461.800000
    30     1  1983    73285.900000
    31     1  1983    73285.900000
     1     2  1983    73110.100000
     2     2  1983    72846.800000
     3     2  1983    72583.900000
     4     2  1983    72321.400000
     5     2  1983    72059.200000
     6     2  1983    71710.300000
     7     2  1983    71275.200000
     8     2  1983    70667.800000
     9     2  1983    70321.700000
    10     2  1983    69976.300000
    11     2  1983    69717.700000
    12     2  1983    69459.500000
    13     2  1983    69115.800000
    14     2  1983    68772.800000
    15     2  1983    68528.800000
    16     2  1983    68224.300000
    17     2  1983    67616.900000
    18     2  1983    67072.100000
    19     2  1983    66830.600000
    20     2  1983    66529.200000
    21     2  1983    66408.800000
    22     2  1983    66288.500000
    23     2  1983    66288.500000
    24     2  1983    66288.500000
    25     2  1983    66168.300000
    26     2  1983    66048.200000
    27     2  1983    65868.100000
    28     2  1983    65688.300000
     1     3  1983    65508.700000
     2     3  1983    65329.300000
     3     3  1983    65150.000000
     4     3  1983    64911.400000
     5     3  1983    64554.100000
     6     3  1983    64375.800000
     7     3  1983    64257.000000
     8     3  1983    64138.300000
     9     3  1983    64079.000000
    10     3  1983    64079.000000
    11     3  1983    64079.000000
    12     3  1983    64079.000000
    13     3  1983    64197.600000
    14     3  1983    64375.800000
    15     3  1983    64435.200000
    16     3  1983    64494.600000
    17     3  1983    64554.100000
    18     3  1983    64554.100000
