COLOCAÇÃOCAXIASNOVO	-69.000	-5.400
     1     1  1983      976.400000
     2     1  1983      967.010000
     3     1  1983      956.100000
     4     1  1983      948.340000
     5     1  1983      945.240000
     6     1  1983      945.240000
     7     1  1983      943.690000
     8     1  1983      942.150000
     9     1  1983      939.050000
    10     1  1983      931.340000
    11     1  1983      920.580000
    12     1  1983      900.710000
    13     1  1983      876.470000
    14     1  1983      853.950000
    15     1  1983      834.610000
    16     1  1983      813.960000
    17     1  1983      808.090000
    18     1  1983      803.700000
    19     1  1983      815.420000
    20     1  1983      825.740000
    21     1  1983      836.090000
    22     1  1983      846.490000
    23     1  1983      853.950000
    24     1  1983      853.950000
    25     1  1983      853.950000
    26     1  1983      853.950000
    27     1  1983      850.970000
    28     1  1983      846.490000
    29     1  1983      843.520000
    30     1  1983      836.090000
    31     1  1983      825.740000
     1     2  1983      803.700000
     2     2  1983      743.130000
     3     2  1983      648.690000
     4     2  1983      562.760000
     5     2  1983      514.560000
     6     2  1983      523.330000
     7     2  1983      588.740000
     8     2  1983      720.500000
     9     2  1983      771.760000
    10     2  1983      783.320000
    11     2  1983      781.870000
    12     2  1983      768.880000
    13     2  1983      743.130000
    14     2  1983      719.090000
    15     2  1983      658.200000
    16     2  1983      590.050000
    17     2  1983      537.200000
    18     2  1983      532.140000
    19     2  1983      629.820000
    20     2  1983      665.020000
    21     2  1983      703.690000
    22     2  1983      743.130000
    23     2  1983      786.220000
    24     2  1983      824.260000
    25     2  1983      849.470000
    26     2  1983      859.940000
    27     2  1983      870.440000
    28     2  1983      876.470000
     1     3  1983      879.480000
     2     3  1983      879.480000
     3     3  1983      880.990000
     4     3  1983      893.110000
     5     3  1983      903.750000
     6     3  1983      908.330000
     7     3  1983      914.450000
     8     3  1983      911.390000
     9     3  1983      914.450000
    10     3  1983      931.340000
    11     3  1983      946.790000
    12     3  1983      968.570000
    13     3  1983      992.110000
    14     3  1983     1004.740000
    15     3  1983     1028.580000
    16     3  1983     1057.450000
    17     3  1983     1078.470000
    18     3  1983     1089.850000
    19     3  1983     1094.750000
    20     3  1983     1089.850000
    21     3  1983     1075.230000
    22     3  1983     1054.230000
    23     3  1983     1028.580000
    24     3  1983      988.960000
    25     3  1983      942.150000
    26     3  1983      896.140000
    27     3  1983      847.980000
    28     3  1983      811.020000
    29     3  1983      781.870000
    30     3  1983      758.830000
    31     3  1983      730.370000
     1     4  1983      684.260000
     2     4  1983      650.050000
     3     4  1983      625.800000
     4     4  1983      555.050000
     5     4  1983      498.430000
     6     4  1983      494.730000
     7     4  1983      548.650000
     8     4  1983      631.160000
     9     4  1983      671.870000
    10     4  1983      747.400000
    11     4  1983      778.980000
    12     4  1983      792.030000
    13     4  1983      792.030000
    14     4  1983      777.530000
    15     4  1983      757.400000
    16     4  1983      699.510000
    17     4  1983      639.230000
    18     4  1983      619.120000
    19     4  1983      612.470000
    20     4  1983      597.930000
    21     4  1983      609.820000
    22     4  1983      654.120000
    23     4  1983      763.130000
    24     4  1983      821.310000
    25     4  1983      852.460000
    26     4  1983      868.940000
    27     4  1983      885.530000
    28     4  1983      899.190000
    29     4  1983      909.860000
    30     4  1983      917.510000
     1     5  1983      932.880000
     2     5  1983      948.340000
     3     5  1983      953.000000
     4     5  1983      951.440000
     5     5  1983      943.690000
     6     5  1983      931.340000
     7     5  1983      925.180000
     8     5  1983      912.920000
     9     5  1983      902.230000
    10     5  1983      882.500000
    11     5  1983      850.970000
    12     5  1983      794.940000
    13     5  1983      728.960000
    14     5  1983      671.870000
    15     5  1983      651.400000
    16     5  1983      656.840000
    17     5  1983      648.690000
    18     5  1983      629.820000
    19     5  1983      597.930000
    20     5  1983      553.770000
    21     5  1983      530.880000
    22     5  1983      458.300000
    23     5  1983      427.530000
    24     5  1983      408.970000
    25     5  1983      408.970000
    26     5  1983      419.380000
    27     5  1983      424.030000
    28     5  1983      419.380000
    29     5  1983      404.380000
    30     5  1983      398.670000
    31     5  1983      402.090000
     1     6  1983      408.970000
     2     6  1983      403.240000
     3     6  1983      373.870000
     4     6  1983      336.660000
     5     6  1983      299.840000
     6     6  1983      270.490000
     7     6  1983      238.410000
     8     6  1983      213.260000
     9     6  1983      196.160000
    10     6  1983      183.030000
    11     6  1983      172.750000
    12     6  1983      164.350000
    13     6  1983      156.920000
    14     6  1983      152.040000
    15     6  1983      147.200000
    16     6  1983      142.430000
    17     6  1983      142.430000
    18     6  1983      144.810000
    19     6  1983      144.010000
    20     6  1983      140.060000
    21     6  1983      133.820000
    22     6  1983      128.440000
    23     6  1983      126.920000
    24     6  1983      133.820000
    25     6  1983      140.060000
    26     6  1983      150.420000
    27     6  1983      143.220000
    28     6  1983      134.590000
    29     6  1983      132.280000
    30     6  1983      132.280000
     1     7  1983      131.510000
     2     7  1983      128.440000
     3     7  1983      123.140000
     4     7  1983      120.150000
     5     7  1983      118.660000
     6     7  1983      113.510000
     7     7  1983      107.720000
     8     7  1983      102.750000
     9     7  1983       97.170000
    10     7  1983       93.050000
    11     7  1983       89.000000
    12     7  1983       87.000000
    13     7  1983       84.360000
    14     7  1983       83.050000
    15     7  1983       80.450000
    16     7  1983       78.520000
    17     7  1983       75.970000
    18     7  1983       74.080000
    19     7  1983       70.970000
    20     7  1983       69.740000
    21     7  1983       72.830000
    22     7  1983       76.610000
    23     7  1983       77.240000
    24     7  1983       75.970000
    25     7  1983       74.710000
    26     7  1983       73.460000
    27     7  1983       72.830000
    28     7  1983       70.350000
    29     7  1983       68.510000
    30     7  1983       66.090000
    31     7  1983       65.480000
     1     8  1983       64.880000
     2     8  1983       63.690000
     3     8  1983       61.920000
     4     8  1983       59.580000
     5     8  1983       57.270000
     6     8  1983       55.000000
     7     8  1983       53.310000
     8     8  1983       51.650000
     9     8  1983       49.450000
    10     8  1983       48.370000
    11     8  1983       47.830000
    12     8  1983       46.760000
    13     8  1983       45.700000
    14     8  1983       46.760000
    15     8  1983       47.300000
    16     8  1983       48.370000
    17     8  1983       51.090000
    18     8  1983       52.200000
    19     8  1983       50.550000
    20     8  1983       48.370000
    21     8  1983       48.370000
    22     8  1983       52.750000
    23     8  1983       57.270000
    24     8  1983       59.580000
    25     8  1983       56.700000
    26     8  1983       53.310000
    27     8  1983       50.550000
    28     8  1983       50.550000
    29     8  1983       56.700000
    30     8  1983       55.000000
    31     8  1983       55.560000
     1     9  1983       57.270000
     2     9  1983       66.690000
     3     9  1983      151.230000
     4     9  1983      199.720000
     5     9  1983      192.630000
     6     9  1983      189.120000
     7     9  1983      177.010000
     8     9  1983      151.230000
     9     9  1983      101.340000
    10     9  1983       91.020000
    11     9  1983       86.340000
    12     9  1983       89.670000
    13     9  1983      104.160000
    14     9  1983      104.160000
    15     9  1983       94.420000
    16     9  1983       81.750000
    17     9  1983       70.350000
    18     9  1983       61.920000
    19     9  1983       53.870000
    20     9  1983       51.090000
    21     9  1983       59.000000
    22     9  1983       61.330000
    23     9  1983       67.290000
    24     9  1983       68.510000
    25     9  1983       65.480000
    26     9  1983       55.000000
    27     9  1983       53.310000
    28     9  1983       50.550000
    29     9  1983       49.450000
    30     9  1983       47.300000
     1    10  1983       52.750000
     2    10  1983       52.200000
     3    10  1983       50.000000
     4    10  1983       51.090000
     5    10  1983       53.310000
     6    10  1983       54.430000
     7    10  1983       55.560000
     8    10  1983       64.290000
     9    10  1983       64.290000
    10    10  1983       56.130000
    11    10  1983       53.870000
    12    10  1983       63.690000
    13    10  1983       72.210000
    14    10  1983       89.670000
    15    10  1983       97.170000
    16    10  1983       95.100000
    17    10  1983       84.360000
    18    10  1983       75.340000
    19    10  1983       67.290000
    20    10  1983       72.210000
    21    10  1983       85.020000
    22    10  1983       98.550000
    23    10  1983      104.160000
    24    10  1983      109.880000
    25    10  1983      144.810000
    26    10  1983      166.020000
    27    10  1983      235.570000
    28    10  1983      287.560000
    29    10  1983      311.250000
    30    10  1983      342.050000
    31    10  1983      359.480000
     1    11  1983      333.450000
     2    11  1983      303.970000
     3    11  1983      279.480000
     4    11  1983      260.620000
     5    11  1983      316.480000
     6    11  1983      368.310000
     7    11  1983      397.530000
     8    11  1983      387.320000
     9    11  1983      370.530000
    10    11  1983      431.040000
    11    11  1983      442.820000
    12    11  1983      431.040000
    13    11  1983      380.570000
    14    11  1983      286.550000
    15    11  1983      215.090000
    16    11  1983      161.040000
    17    11  1983      146.400000
    18    11  1983      177.010000
    19    11  1983      211.440000
    20    11  1983      214.170000
    21    11  1983      219.690000
    22    11  1983      223.390000
    23    11  1983      230.860000
    24    11  1983      241.270000
    25    11  1983      281.490000
    26    11  1983      303.970000
    27    11  1983      301.900000
    28    11  1983      294.700000
    29    11  1983      286.550000
    30    11  1983      284.520000
     1    12  1983      307.080000
     2    12  1983      339.890000
     3    12  1983      368.310000
     4    12  1983      427.530000
     5    12  1983      478.820000
     6    12  1983      525.840000
     7    12  1983      577.000000
     8    12  1983      643.280000
     9    12  1983      680.120000
    10    12  1983      705.090000
    11    12  1983      712.080000
    12    12  1983      709.280000
    13    12  1983      763.130000
    14    12  1983      777.530000
    15    12  1983      753.110000
    16    12  1983      716.280000
    17    12  1983      663.660000
    18    12  1983      624.460000
    19    12  1983      579.600000
    20    12  1983      535.940000
    21    12  1983      492.270000
    22    12  1983      495.960000
    23    12  1983      541.010000
    24    12  1983      574.400000
    25    12  1983      584.820000
    26    12  1983      583.510000
    27    12  1983      573.100000
    28    12  1983      552.490000
    29    12  1983      519.560000
    30    12  1983      472.750000
    31    12  1983      414.740000
     1     1  1984      373.870000
     2     1  1984      411.280000
     3     1  1984      463.100000
     4     1  1984      491.040000
     5     1  1984      503.370000
     6     1  1984      498.430000
     7     1  1984      494.730000
     8     1  1984      523.330000
     9     1  1984      590.050000
    10     1  1984      628.480000
    11     1  1984      627.140000
    12     1  1984      588.740000
    13     1  1984      546.100000
    14     1  1984      522.070000
    15     1  1984      505.850000
    16     1  1984      492.270000
    17     1  1984      509.580000
    18     1  1984      558.900000
    19     1  1984      597.930000
    20     1  1984      640.580000
    21     1  1984      637.880000
    22     1  1984      640.580000
    23     1  1984      724.720000
    24     1  1984      757.400000
    25     1  1984      776.090000
    26     1  1984      790.580000
    27     1  1984      800.780000
    28     1  1984      809.550000
    29     1  1984      830.170000
    30     1  1984      842.030000
    31     1  1984      843.520000
     1     2  1984      839.060000
     2     2  1984      822.780000
     3     2  1984      808.090000
     4     2  1984      794.940000
     5     2  1984      787.670000
     6     2  1984      774.640000
     7     2  1984      797.860000
     8     2  1984      827.210000
     9     2  1984      849.470000
    10     2  1984      865.930000
    11     2  1984      884.020000
    12     2  1984      899.190000
    13     2  1984      912.920000
