THAUMATURGO	-72.795	-8.946
     1     1  1983      691.780000
     2     1  1983      537.010000
     3     1  1983      473.110000
     4     1  1983      987.040000
     5     1  1983     1442.630000
     6     1  1983     1613.350000
     7     1  1983     1445.900000
     8     1  1983      959.560000
     9     1  1983      672.960000
    10     1  1983      713.230000
    11     1  1983      591.100000
    12     1  1983      418.460000
    13     1  1983      299.810000
    14     1  1983      238.820000
    15     1  1983      204.920000
    16     1  1983      232.910000
    17     1  1983      485.200000
    18     1  1983      694.150000
    19     1  1983      696.520000
    20     1  1983      439.580000
    21     1  1983      277.220000
    22     1  1983      270.910000
    23     1  1983      222.730000
    24     1  1983      209.880000
    25     1  1983      495.380000
    26     1  1983      593.310000
    27     1  1983      602.190000
    28     1  1983      615.620000
    29     1  1983      569.190000
    30     1  1983      433.770000
    31     1  1983      309.720000
     1     2  1983      238.820000
     2     2  1983      274.050000
     3     2  1983      511.850000
     4     2  1983      615.620000
     5     2  1983      316.410000
     6     2  1983      203.690000
     7     2  1983      340.320000
     8     2  1983      661.320000
     9     2  1983      516.010000
    10     2  1983      333.410000
    11     2  1983      280.400000
    12     2  1983      308.060000
    13     2  1983      298.170000
    14     2  1983      281.990000
    15     2  1983      173.900000
    16     2  1983      177.370000
    17     2  1983      222.730000
    18     2  1983      481.150000
    19     2  1983      858.240000
    20     2  1983      710.830000
    21     2  1983      497.420000
    22     2  1983      401.520000
    23     2  1983      551.920000
    24     2  1983     1120.730000
    25     2  1983     1475.450000
    26     2  1983     1252.580000
    27     2  1983     1012.060000
    28     2  1983      703.660000
     1     3  1983      541.250000
     2     3  1983      447.370000
     3     3  1983      366.770000
     4     3  1983      414.670000
     5     3  1983      586.690000
     6     3  1983      495.380000
     7     3  1983      520.180000
     8     3  1983      652.060000
     9     3  1983      558.370000
    10     3  1983      945.940000
    11     3  1983     1545.410000
    12     3  1983     1672.100000
    13     3  1983     1358.840000
    14     3  1983     1057.230000
    15     3  1983      965.020000
    16     3  1983      842.690000
    17     3  1983      744.700000
    18     3  1983      624.650000
    19     3  1983      526.460000
    20     3  1983      694.150000
    21     3  1983      921.650000
    22     3  1983      817.060000
    23     3  1983      509.780000
    24     3  1983      368.570000
    25     3  1983      207.400000
    26     3  1983      165.910000
    27     3  1983      142.870000
    28     3  1983      124.260000
    29     3  1983      114.390000
    30     3  1983      280.400000
    31     3  1983      873.900000
     1     4  1983     1054.380000
     2     4  1983      677.650000
     3     4  1983      499.470000
     4     4  1983      424.180000
     5     4  1983      354.320000
     6     4  1983      503.580000
     7     4  1983      493.330000
     8     4  1983      756.970000
     9     4  1983      970.510000
    10     4  1983      761.900000
    11     4  1983      551.920000
    12     4  1983      684.700000
    13     4  1983      545.510000
    14     4  1983      377.600000
    15     4  1983      319.780000
    16     4  1983      394.090000
    17     4  1983      418.460000
    18     4  1983      410.900000
    19     4  1983      345.540000
    20     4  1983      285.200000
    21     4  1983      256.940000
    22     4  1983      435.710000
    23     4  1983      894.990000
    24     4  1983     1091.660000
    25     4  1983      801.850000
    26     4  1983      573.540000
    27     4  1983      556.220000
    28     4  1983      567.020000
    29     4  1983      545.510000
    30     4  1983      505.650000
     1     5  1983      524.360000
     2     5  1983      505.650000
     3     5  1983      356.090000
     4     5  1983      335.130000
     5     5  1983      275.630000
     6     5  1983      272.480000
     7     5  1983      497.420000
     8     5  1983      577.910000
     9     5  1983      513.930000
    10     5  1983      296.530000
    11     5  1983      216.150000
    12     5  1983      177.370000
    13     5  1983      160.300000
    14     5  1983      183.220000
    15     5  1983      200.020000
    16     5  1983      285.200000
    17     5  1983      269.340000
    18     5  1983      206.160000
    19     5  1983      185.590000
    20     5  1983      165.910000
    21     5  1983      150.390000
    22     5  1983      129.320000
    23     5  1983      108.620000
    24     5  1983      127.290000
    25     5  1983      147.150000
    26     5  1983      153.660000
    27     5  1983      145.000000
    28     5  1983      116.330000
    29     5  1983       93.860000
    30     5  1983       82.530000
    31     5  1983       66.280000
     1     6  1983       81.680000
     2     6  1983       70.200000
     3     6  1983       69.410000
     4     6  1983      111.490000
     5     6  1983       97.470000
     6     6  1983       81.680000
     7     6  1983       75.030000
     8     6  1983       63.970000
     9     6  1983       60.940000
    10     6  1983       58.710000
    11     6  1983       57.970000
    12     6  1983       57.240000
    13     6  1983       57.240000
    14     6  1983       70.200000
    15     6  1983       73.410000
    16     6  1983       76.670000
    17     6  1983       83.380000
    18     6  1983       67.840000
    19     6  1983       57.240000
    20     6  1983       52.220000
    21     6  1983       51.520000
    22     6  1983       48.750000
    23     6  1983       47.390000
    24     6  1983       47.390000
    25     6  1983       48.070000
    26     6  1983       51.520000
    27     6  1983       55.070000
    28     6  1983       74.220000
    29     6  1983       79.160000
    30     6  1983       64.730000
     1     7  1983       55.790000
     2     7  1983       51.520000
     3     7  1983       47.390000
     4     7  1983       44.060000
     5     7  1983       40.840000
     6     7  1983       39.570000
     7     7  1983       38.320000
     8     7  1983       37.090000
     9     7  1983       36.490000
    10     7  1983       35.280000
    11     7  1983       34.090000
    12     7  1983       32.920000
    13     7  1983       32.920000
    14     7  1983       32.340000
    15     7  1983       31.760000
    16     7  1983       30.620000
    17     7  1983       31.190000
    18     7  1983       32.920000
    19     7  1983       31.190000
    20     7  1983       30.620000
    21     7  1983       30.620000
    22     7  1983       30.620000
    23     7  1983       31.190000
    24     7  1983       31.760000
    25     7  1983       32.920000
    26     7  1983       33.500000
    27     7  1983       34.090000
    28     7  1983       34.680000
    29     7  1983       34.680000
    30     7  1983       34.680000
    31     7  1983       34.090000
     1     8  1983       33.500000
     2     8  1983       32.340000
     3     8  1983       32.920000
     4     8  1983       34.090000
     5     8  1983       35.880000
     6     8  1983       37.710000
