CRUZEIRODOSUL	-72.681	-7.611
     1     1  1983     2536.350000
     2     1  1983     2548.730000
     3     1  1983     2554.930000
     4     1  1983     2561.140000
     5     1  1983     2542.530000
     6     1  1983     2542.530000
     7     1  1983     2561.140000
     8     1  1983     2636.120000
     9     1  1983     2680.270000
    10     1  1983     2661.310000
    11     1  1983     2567.350000
    12     1  1983     2444.250000
    13     1  1983     2264.300000
    14     1  1983     2065.340000
    15     1  1983     1812.840000
    16     1  1983     1491.610000
    17     1  1983     1211.350000
    18     1  1983     1093.230000
    19     1  1983     1278.010000
    20     1  1983     1523.780000
    21     1  1983     1592.650000
    22     1  1983     1673.200000
    23     1  1983     1663.760000
    24     1  1983     1547.480000
    25     1  1983     1442.560000
    26     1  1983     1357.750000
    27     1  1983     1418.940000
    28     1  1983     1550.460000
    29     1  1983     1641.880000
    30     1  1983     1695.380000
    31     1  1983     1676.350000
     1     2  1983     1535.600000
     2     2  1983     1410.120000
     3     2  1983     1266.790000
     4     2  1983     1309.080000
     5     2  1983     1329.020000
     6     2  1983     1334.750000
     7     2  1983     1292.090000
     8     2  1983     1238.930000
     9     2  1983     1175.900000
    10     2  1983     1184.040000
    11     2  1983     1211.350000
    12     2  1983     1157.000000
    13     2  1983     1101.110000
    14     2  1983     1015.750000
    15     2  1983      963.010000
    16     2  1983      928.540000
    17     2  1983      880.250000
    18     2  1983      863.610000
    19     2  1983      933.430000
    20     2  1983     1225.110000
    21     2  1983     1427.770000
    22     2  1983     1514.960000
    23     2  1983     1474.280000
    24     2  1983     1468.530000
    25     2  1983     1657.480000
    26     2  1983     1856.680000
    27     2  1983     2014.360000
    28     2  1983     2076.390000
     1     3  1983     2080.080000
     2     3  1983     2021.590000
     3     3  1983     1925.610000
     4     3  1983     1763.210000
     5     3  1983     1638.770000
     6     3  1983     1494.520000
     7     3  1983     1357.750000
     8     3  1983     1297.740000
     9     3  1983     1258.400000
    10     3  1983     1334.750000
    11     3  1983     1523.780000
    12     3  1983     1660.620000
    13     3  1983     1922.120000
    14     3  1983     2083.780000
    15     3  1983     2143.560000
    16     3  1983     2189.210000
    17     3  1983     2200.730000
    18     3  1983     2223.910000
    19     3  1983     2196.890000
    20     3  1983     2121.000000
    21     3  1983     1996.380000
    22     3  1983     1971.400000
    23     3  1983     1996.380000
    24     3  1983     2014.360000
    25     3  1983     1982.080000
    26     3  1983     1812.840000
    27     3  1983     1404.260000
    28     3  1983     1173.190000
    29     3  1983      935.880000
    30     3  1983      789.350000
    31     3  1983      742.220000
     1     4  1983      882.640000
     2     4  1983     1378.010000
     3     4  1983     1532.640000
     4     4  1983     1580.510000
     5     4  1983     1462.810000
     6     4  1983     1261.190000
     7     4  1983     1146.260000
     8     4  1983     1098.480000
     9     4  1983     1184.040000
    10     4  1983     1306.240000
    11     4  1983     1421.880000
    12     4  1983     1445.520000
    13     4  1983     1398.410000
    14     4  1983     1375.110000
    15     4  1983     1311.920000
    16     4  1983     1244.480000
    17     4  1983     1225.110000
    18     4  1983     1230.630000
    19     4  1983     1263.990000
    20     4  1983     1275.200000
    21     4  1983     1247.260000
    22     4  1983     1184.040000
    23     4  1983     1122.260000
    24     4  1983     1146.260000
    25     4  1983     1471.410000
    26     4  1983     1724.210000
    27     4  1983     1663.760000
    28     4  1983     1607.920000
    29     4  1983     1577.490000
    30     4  1983     1574.470000
     1     5  1983     1574.470000
     2     5  1983     1494.520000
     3     5  1983     1395.490000
     4     5  1983     1303.410000
     5     5  1983     1241.700000
     6     5  1983     1178.610000
     7     5  1983     1111.660000
     8     5  1983     1064.530000
     9     5  1983     1074.930000
    10     5  1983     1122.260000
    11     5  1983     1122.260000
    12     5  1983     1005.610000
    13     5  1983      894.620000
    14     5  1983      791.630000
    15     5  1983      737.800000
    16     5  1983      709.330000
    17     5  1983      674.970000
    18     5  1983      635.150000
    19     5  1983      620.750000
    20     5  1983      598.410000
    21     5  1983      564.590000
    22     5  1983      522.110000
    23     5  1983      482.930000
    24     5  1983      450.410000
    25     5  1983      412.030000
    26     5  1983      395.080000
    27     5  1983      464.740000
    28     5  1983      439.800000
    29     5  1983      403.520000
    30     5  1983      368.610000
    31     5  1983      325.780000
     1     6  1983      301.510000
     2     6  1983      304.500000
     3     6  1983      330.430000
     4     6  1983      363.740000
     5     6  1983      396.760000
     6     6  1983      371.880000
     7     6  1983      347.700000
     8     6  1983      322.700000
     9     6  1983      294.090000
    10     6  1983      265.230000
    11     6  1983      240.390000
    12     6  1983      224.420000
    13     6  1983      211.480000
    14     6  1983      198.880000
    15     6  1983      192.710000
    16     6  1983      191.490000
    17     6  1983      195.170000
    18     6  1983      186.630000
    19     6  1983      178.250000
    20     6  1983      172.370000
    21     6  1983      170.040000
    22     6  1983      168.880000
    23     6  1983      166.580000
    24     6  1983      166.580000
    25     6  1983      165.430000
    26     6  1983      164.280000
    27     6  1983      171.200000
    28     6  1983      189.050000
    29     6  1983      206.400000
    30     6  1983      190.270000
     1     7  1983      175.890000
     2     7  1983      166.580000
     3     7  1983      160.870000
     4     7  1983      154.140000
     5     7  1983      146.450000
     6     7  1983      141.060000
     7     7  1983      134.710000
     8     7  1983      128.480000
     9     7  1983      122.390000
    10     7  1983      117.420000
    11     7  1983      114.470000
    12     7  1983      114.470000
    13     7  1983      108.690000
    14     7  1983      104.900000
    15     7  1983      104.900000
    16     7  1983      102.100000
    17     7  1983      100.250000
    18     7  1983       99.330000
    19     7  1983       98.420000
    20     7  1983       97.510000
    21     7  1983      100.250000
    22     7  1983      103.030000
    23     7  1983      103.030000
    24     7  1983       98.420000
    25     7  1983       95.700000
    26     7  1983       93.900000
    27     7  1983       92.120000
    28     7  1983       93.900000
    29     7  1983       93.900000
    30     7  1983       92.120000
    31     7  1983       90.350000
     1     8  1983       86.870000
     2     8  1983       85.150000
     3     8  1983       81.750000
     4     8  1983       80.910000
     5     8  1983       79.240000
     6     8  1983       77.590000
     7     8  1983       76.770000
     8     8  1983       76.770000
     9     8  1983       75.140000
    10     8  1983       74.330000
    11     8  1983       74.330000
    12     8  1983       73.520000
    13     8  1983       72.720000
    14     8  1983       71.130000
    15     8  1983       71.920000
    16     8  1983       74.330000
    17     8  1983       75.950000
    18     8  1983       75.950000
    19     8  1983       86.000000
    20     8  1983       87.730000
    21     8  1983       82.590000
    22     8  1983       81.750000
    23     8  1983       79.240000
    24     8  1983       75.950000
    25     8  1983       72.720000
    26     8  1983       70.340000
    27     8  1983       69.560000
    28     8  1983       70.340000
    29     8  1983       71.920000
    30     8  1983       72.720000
    31     8  1983       72.720000
     1     9  1983       74.330000
     2     9  1983       78.410000
     3     9  1983       86.000000
     4     9  1983       94.800000
     5     9  1983      104.900000
     6     9  1983      122.390000
     7     9  1983      137.870000
     8     9  1983      130.540000
     9     9  1983      120.390000
    10     9  1983      113.500000
    11     9  1983      111.560000
    12     9  1983      110.600000
    13     9  1983      113.500000
    14     9  1983      113.500000
    15     9  1983      107.730000
    16     9  1983       94.800000
    17     9  1983       88.600000
    18     9  1983       86.000000
    19     9  1983       86.000000
    20     9  1983       89.480000
    21     9  1983       91.240000
    22     9  1983       92.120000
    23     9  1983       92.120000
    24     9  1983       93.900000
    25     9  1983       91.240000
    26     9  1983       93.010000
    27     9  1983       97.510000
    28     9  1983       92.120000
    29     9  1983       87.730000
    30     9  1983       84.290000
     1    10  1983       85.150000
     2    10  1983       88.600000
     3    10  1983       92.120000
     4    10  1983       93.900000
     5    10  1983       94.800000
     6    10  1983       96.600000
     7    10  1983      100.250000
     8    10  1983      110.600000
     9    10  1983      111.560000
    10    10  1983      106.790000
    11    10  1983      103.960000
    12    10  1983      100.250000
    13    10  1983       95.700000
    14    10  1983       97.510000
    15    10  1983      101.170000
    16    10  1983      103.960000
    17    10  1983      105.840000
    18    10  1983      108.690000
    19    10  1983      105.840000
    20    10  1983      110.600000
    21    10  1983      115.450000
    22    10  1983      117.420000
    23    10  1983      120.390000
    24    10  1983      128.480000
    25    10  1983      132.620000
    26    10  1983      132.620000
    27    10  1983      127.460000
    28    10  1983      122.390000
    29    10  1983      118.400000
    30    10  1983      124.410000
    31    10  1983      134.710000
     1    11  1983      144.280000
     2    11  1983      172.370000
     3    11  1983      306.000000
     4    11  1983      490.290000
     5    11  1983      885.030000
     6    11  1983     1033.610000
     7    11  1983     1106.380000
     8    11  1983      892.210000
     9    11  1983      796.190000
    10    11  1983      715.860000
    11    11  1983      679.230000
    12    11  1983      709.330000
    13    11  1983      664.390000
    14    11  1983      594.380000
    15    11  1983      503.280000
    16    11  1983      434.530000
    17    11  1983      490.290000
    18    11  1983      653.880000
    19    11  1983      711.500000
    20    11  1983      658.080000
    21    11  1983      580.390000
    22    11  1983      501.420000
    23    11  1983      445.090000
    24    11  1983      388.390000
    25    11  1983      395.080000
    26    11  1983      445.090000
    27    11  1983      516.430000
    28    11  1983      610.550000
    29    11  1983      610.550000
    30    11  1983      651.790000
     1    12  1983      715.860000
     2    12  1983      764.500000
     3    12  1983      755.560000
     4    12  1983      733.380000
     5    12  1983      751.100000
     6    12  1983      885.030000
     7    12  1983      887.420000
     8    12  1983      809.940000
     9    12  1983      861.250000
    10    12  1983     1085.370000
    11    12  1983     1255.610000
    12    12  1983     1617.130000
    13    12  1983     1610.980000
    14    12  1983     1392.570000
    15    12  1983     1005.610000
    16    12  1983      742.220000
    17    12  1983      588.370000
    18    12  1983      578.410000
    19    12  1983      568.520000
    20    12  1983      556.760000
    21    12  1983      586.370000
    22    12  1983      782.540000
    23    12  1983      873.100000
    24    12  1983      849.470000
    25    12  1983      823.800000
    26    12  1983      784.810000
    27    12  1983      789.350000
    28    12  1983      835.420000
    29    12  1983      906.670000
    30    12  1983      906.670000
    31    12  1983      842.430000
     1     1  1984      746.650000
     2     1  1984      670.730000
     3     1  1984      590.370000
     4     1  1984      524.010000
     5     1  1984      457.550000
     6     1  1984      635.150000
     7     1  1984      800.760000
     8     1  1984      985.460000
     9     1  1984     1095.850000
    10     1  1984     1541.530000
    11     1  1984     1654.350000
    12     1  1984     1679.510000
    13     1  1984     1651.230000
    14     1  1984     1547.480000
    15     1  1984     1586.570000
    16     1  1984     1676.350000
    17     1  1984     1763.210000
    18     1  1984     1806.170000
    19     1  1984     1839.730000
    20     1  1984     1873.740000
    21     1  1984     1887.470000
    22     1  1984     1839.730000
    23     1  1984     1809.500000
    24     1  1984     1832.980000
    25     1  1984     1904.740000
    26     1  1984     1836.350000
    27     1  1984     1720.990000
    28     1  1984     1580.510000
    29     1  1984     1482.930000
    30     1  1984     1471.410000
    31     1  1984     1583.540000
     1     2  1984     1695.380000
     2     2  1984     1894.370000
     3     2  1984     2021.590000
     4     2  1984     2124.750000
     5     2  1984     2204.580000
     6     2  1984     2282.040000
     7     2  1984     2383.640000
     8     2  1984     2438.160000
     9     2  1984     2499.340000
    10     2  1984     2561.140000
    11     2  1984     2604.770000
    12     2  1984     2692.940000
    13     2  1984     2750.250000
    14     2  1984     2782.310000
    15     2  1984     2667.620000
    16     2  1984     2561.140000
