IPIXUNA	-71.684	-7.051
     1     1  1983     3037.770000
     2     1  1983     3020.410000
     3     1  1983     3029.080000
     4     1  1983     3037.770000
     5     1  1983     3046.480000
     6     1  1983     3046.480000
     7     1  1983     3055.190000
     8     1  1983     3046.480000
     9     1  1983     3055.190000
    10     1  1983     3063.930000
    11     1  1983     3072.670000
    12     1  1983     3063.930000
    13     1  1983     3072.670000
    14     1  1983     3081.430000
    15     1  1983     3081.430000
    16     1  1983     3090.210000
    17     1  1983     3098.990000
    18     1  1983     3081.430000
    19     1  1983     3046.480000
    20     1  1983     3020.410000
    21     1  1983     3003.100000
    22     1  1983     2985.840000
    23     1  1983     2968.650000
    24     1  1983     2960.070000
    25     1  1983     2977.240000
    26     1  1983     2951.510000
    27     1  1983     2917.390000
    28     1  1983     2858.230000
    29     1  1983     2808.070000
    30     1  1983     2750.170000
    31     1  1983     2766.650000
     1     2  1983     2741.960000
     2     2  1983     2668.650000
     3     2  1983     2636.430000
     4     2  1983     2580.570000
     5     2  1983     2548.950000
     6     2  1983     2525.380000
     7     2  1983     2501.940000
     8     2  1983     2463.140000
     9     2  1983     2401.770000
    10     2  1983     2296.470000
    11     2  1983     2193.830000
    12     2  1983     2122.870000
    13     2  1983     2030.890000
    14     2  1983     1949.940000
    15     2  1983     1888.650000
    16     2  1983     1745.060000
    17     2  1983     1649.220000
    18     2  1983     1678.010000
    19     2  1983     1689.590000
    20     2  1983     1730.380000
    21     2  1983     1774.560000
    22     2  1983     1822.220000
    23     2  1983     1900.840000
    24     2  1983     1943.770000
    25     2  1983     2015.210000
    26     2  1983     2059.250000
    27     2  1983     2087.770000
    28     2  1983     2164.680000
     1     3  1983     2244.810000
     2     3  1983     2303.900000
     3     3  1983     2401.770000
     4     3  1983     2509.740000
     5     3  1983     2652.510000
     6     3  1983     2668.650000
     7     3  1983     2612.400000
     8     3  1983     2517.550000
     9     3  1983     2455.420000
    10     3  1983     2470.870000
    11     3  1983     2501.940000
    12     3  1983     2556.830000
    13     3  1983     2588.500000
    14     3  1983     2644.460000
    15     3  1983     2725.570000
    16     3  1983     2783.170000
    17     3  1983     2791.460000
    18     3  1983     2774.900000
    19     3  1983     2733.760000
    20     3  1983     2701.090000
    21     3  1983     2676.740000
    22     3  1983     2668.650000
    23     3  1983     2717.400000
    24     3  1983     2783.170000
    25     3  1983     2824.730000
    26     3  1983     2866.640000
    27     3  1983     2908.900000
    28     3  1983     2942.960000
    29     3  1983     2942.960000
    30     3  1983     2900.420000
    31     3  1983     2849.840000
     1     4  1983     2766.650000
     2     4  1983     2725.570000
     3     4  1983     2486.370000
     4     4  1983     2326.280000
     5     4  1983     2177.620000
     6     4  1983     2027.750000
     7     4  1983     1943.770000
     8     4  1983     1870.430000
     9     4  1983     1807.270000
    10     4  1983     1780.490000
    11     4  1983     1730.380000
    12     4  1983     1712.850000
