FEIJÓ	-70.368	-8.152
     1     1  1983     1359.900000
     2     1  1983     1299.380000
     3     1  1983     1046.750000
     4     1  1983      478.250000
     5     1  1983      517.730000
     6     1  1983      802.420000
     7     1  1983     1070.810000
     8     1  1983      853.070000
     9     1  1983      776.380000
    10     1  1983      669.180000
    11     1  1983      563.160000
    12     1  1983      521.980000
    13     1  1983      492.620000
    14     1  1983      474.180000
    15     1  1983      492.620000
    16     1  1983      601.300000
    17     1  1983      662.000000
    18     1  1983      885.840000
    19     1  1983     1747.460000
    20     1  1983     1716.840000
    21     1  1983     1383.800000
    22     1  1983     1326.110000
    23     1  1983     1157.120000
    24     1  1983     1073.830000
    25     1  1983     1040.780000
    26     1  1983     1017.050000
    27     1  1983      944.640000
    28     1  1983      763.510000
    29     1  1983      666.780000
    30     1  1983      643.010000
    31     1  1983      617.360000
     1     2  1983      558.750000
     2     2  1983      763.510000
     3     2  1983     1073.830000
     4     2  1983     1259.780000
     5     2  1983     1263.060000
     6     2  1983     1166.570000
     7     2  1983     1055.740000
     8     2  1983      456.090000
     9     2  1983      428.630000
    10     2  1983      505.100000
    11     2  1983      560.950000
    12     2  1983      530.520000
    13     2  1983      509.290000
    14     2  1983      372.610000
    15     2  1983      346.050000
    16     2  1983      333.980000
    17     2  1983      307.180000
    18     2  1983      337.400000
    19     2  1983      476.210000
    20     2  1983      511.400000
    21     2  1983      492.620000
    22     2  1983      547.810000
    23     2  1983      638.310000
    24     2  1983      768.650000
    25     2  1983     1163.420000
    26     2  1983     1356.500000
    27     2  1983     1363.300000
    28     2  1983     1122.820000
     1     3  1983     1138.350000
     2     3  1983      738.100000
     3     3  1983      490.550000
     4     3  1983      432.500000
     5     3  1983      313.780000
     6     3  1983      284.630000
     7     3  1983      601.300000
     8     3  1983      755.840000
     9     3  1983      511.400000
    10     3  1983      605.860000
    11     3  1983      594.480000
    12     3  1983      743.150000
    13     3  1983      936.130000
    14     3  1983     1163.420000
    15     3  1983      858.490000
    16     3  1983      789.350000
    17     3  1983      766.080000
    18     3  1983      730.560000
    19     3  1983      647.730000
    20     3  1983      549.990000
    21     3  1983      526.240000
    22     3  1983      494.690000
    23     3  1983      402.010000
    24     3  1983      279.910000
    25     3  1983      240.610000
    26     3  1983      198.890000
    27     3  1983      184.560000
    28     3  1983      179.490000
    29     3  1983      220.660000
    30     3  1983      327.170000
    31     3  1983      372.610000
     1     4  1983      428.630000
     2     4  1983      567.580000
     3     4  1983      638.310000
     4     4  1983      572.020000
     5     4  1983      530.520000
     6     4  1983      323.800000
     7     4  1983      327.170000
     8     4  1983      407.650000
     9     4  1983      492.620000
    10     4  1983      603.580000
    11     4  1983      565.370000
    12     4  1983      547.810000
    13     4  1983      530.520000
    14     4  1983      517.730000
    15     4  1983      383.510000
    16     4  1983      351.280000
    17     4  1983      340.850000
    18     4  1983      335.690000
    19     4  1983      333.980000
    20     4  1983      347.790000
    21     4  1983      344.310000
    22     4  1983      312.120000
    23     4  1983      327.170000
    24     4  1983      335.690000
    25     4  1983      532.670000
    26     4  1983      462.080000
    27     4  1983      513.500000
    28     4  1983      468.110000
    29     4  1983      347.790000
    30     4  1983      325.490000
     1     5  1983      299.030000
     2     5  1983      313.780000
     3     5  1983      349.530000
     4     5  1983      346.050000
     5     5  1983      328.870000
     6     5  1983      307.180000
     7     5  1983      259.900000
     8     5  1983      239.160000
     9     5  1983      164.670000
    10     5  1983      155.140000
    11     5  1983      151.630000
    12     5  1983      148.170000
    13     5  1983      163.460000
    14     5  1983      147.030000
    15     5  1983      126.090000
    16     5  1983      117.740000
    17     5  1983      113.670000
    18     5  1983      144.750000
    19     5  1983      143.610000
    20     5  1983      143.610000
    21     5  1983      167.090000
    22     5  1983      185.850000
    23     5  1983      173.240000
    24     5  1983      150.480000
    25     5  1983      142.490000
    26     5  1983      138.020000
    27     5  1983      130.360000
    28     5  1983      136.910000
    29     5  1983      135.810000
    30     5  1983      120.840000
    31     5  1983      111.670000
     1     6  1983      103.810000
     2     6  1983       96.240000
     3     6  1983       94.390000
     4     6  1983      219.260000
     5     6  1983      261.410000
     6     6  1983      247.940000
     7     6  1983      217.870000
     8     6  1983      178.230000
     9     6  1983      143.610000
    10     6  1983      114.680000
    11     6  1983       94.390000
    12     6  1983       88.050000
    13     6  1983       80.220000
    14     6  1983       77.690000
    15     6  1983       71.950000
    16     6  1983       76.860000
    17     6  1983       73.570000
    18     6  1983       76.860000
    19     6  1983       75.200000
    20     6  1983       75.200000
    21     6  1983       71.140000
    22     6  1983       67.970000
    23     6  1983       65.640000
    24     6  1983       61.100000
    25     6  1983       58.160000
    26     6  1983       56.710000
    27     6  1983       57.430000
    28     6  1983       55.290000
    29     6  1983       52.490000
    30     6  1983       51.800000
     1     7  1983       51.120000
     2     7  1983       49.770000
     3     7  1983       47.110000
     4     7  1983       44.530000
     5     7  1983       42.010000
     6     7  1983       39.570000
     7     7  1983       37.200000
     8     7  1983       35.470000
     9     7  1983       32.680000
    10     7  1983       31.680000
    11     7  1983       31.300000
    12     7  1983       31.300000
    13     7  1983       31.680000
    14     7  1983       31.680000
    15     7  1983       30.920000
    16     7  1983       29.440000
    17     7  1983       28.720000
    18     7  1983       28.010000
    19     7  1983       27.650000
    20     7  1983       27.300000
    21     7  1983       25.930000
    22     7  1983       26.270000
    23     7  1983       26.610000
    24     7  1983       25.260000
    25     7  1983       23.950000
    26     7  1983       25.260000
    27     7  1983       23.950000
    28     7  1983       23.000000
    29     7  1983       22.380000
    30     7  1983       22.070000
    31     7  1983       21.460000
     1     8  1983       21.160000
     2     8  1983       20.860000
     3     8  1983       20.570000
     4     8  1983       20.570000
     5     8  1983       20.570000
     6     8  1983       20.570000
     7     8  1983       20.570000
     8     8  1983       20.280000
     9     8  1983       19.700000
    10     8  1983       19.130000
    11     8  1983       18.850000
    12     8  1983       18.300000
    13     8  1983       18.300000
    14     8  1983       18.020000
    15     8  1983       17.490000
    16     8  1983       16.960000
    17     8  1983       16.700000
    18     8  1983       16.440000
    19     8  1983       16.180000
    20     8  1983       15.930000
    21     8  1983       15.680000
    22     8  1983       15.930000
    23     8  1983       17.220000
    24     8  1983       21.460000
    25     8  1983       25.600000
    26     8  1983       26.610000
    27     8  1983       26.960000
    28     8  1983       25.930000
    29     8  1983       23.950000
    30     8  1983       22.070000
    31     8  1983       20.280000
     1     9  1983       18.850000
     2     9  1983       18.020000
     3     9  1983       17.220000
     4     9  1983       16.440000
     5     9  1983       16.180000
     6     9  1983       15.930000
     7     9  1983       15.680000
     8     9  1983       16.180000
     9     9  1983       17.220000
    10     9  1983       17.750000
    11     9  1983       15.930000
    12     9  1983       14.460000
    13     9  1983       13.530000
    14     9  1983       13.080000
    15     9  1983       12.850000
    16     9  1983       12.630000
    17     9  1983       13.300000
    18     9  1983       13.530000
    19     9  1983       12.850000
    20     9  1983       12.200000
    21     9  1983       11.770000
    22     9  1983       11.360000
    23     9  1983       10.550000
    24     9  1983        9.780000
    25     9  1983        9.410000
    26     9  1983        9.230000
    27     9  1983       10.360000
    28     9  1983       11.990000
    29     9  1983       12.850000
    30     9  1983       12.850000
     1    10  1983       12.200000
     2    10  1983       11.360000
     3    10  1983       10.750000
     4    10  1983       10.750000
     5    10  1983       10.550000
     6    10  1983       10.160000
     7    10  1983       10.750000
     8    10  1983       12.410000
     9    10  1983       12.850000
    10    10  1983       11.990000
    11    10  1983       11.990000
    12    10  1983       12.410000
    13    10  1983       12.410000
    14    10  1983       13.300000
    15    10  1983       14.220000
    16    10  1983       16.440000
    17    10  1983       16.440000
    18    10  1983       15.430000
    19    10  1983       13.760000
    20    10  1983       13.080000
    21    10  1983       15.430000
    22    10  1983       21.160000
    23    10  1983       22.380000
    24    10  1983       21.460000
    25    10  1983       18.020000
    26    10  1983       13.300000
    27    10  1983       11.990000
    28    10  1983       11.990000
    29    10  1983       13.300000
    30    10  1983       20.860000
    31    10  1983       27.300000
     1    11  1983       29.440000
     2    11  1983       87.160000
     3    11  1983      202.880000
     4    11  1983      312.120000
     5    11  1983      381.680000
     6    11  1983      374.420000
     7    11  1983      307.180000
     8    11  1983      211.000000
     9    11  1983      197.560000
    10    11  1983      250.910000
    11    11  1983      478.250000
    12    11  1983      558.750000
    13    11  1983      470.130000
    14    11  1983      367.220000
    15    11  1983      327.170000
    16    11  1983      310.470000
    17    11  1983      286.220000
    18    11  1983      240.610000
    19    11  1983      208.280000
    20    11  1983      198.890000
    21    11  1983      178.230000
    22    11  1983      132.530000
    23    11  1983      110.670000
    24    11  1983      102.850000
    25    11  1983      170.770000
    26    11  1983      374.420000
    27    11  1983      442.260000
    28    11  1983      327.170000
    29    11  1983      289.390000
    30    11  1983      256.880000
