ENVIRA	-70.023	-7.428
     1     1  1983     3283.980000
     2     1  1983     3241.430000
     3     1  1983     3136.340000
     4     1  1983     2967.000000
     5     1  1983     2802.680000
     6     1  1983     2686.310000
     7     1  1983     2600.770000
     8     1  1983     2553.890000
     9     1  1983     2443.230000
    10     1  1983     2348.550000
    11     1  1983     2251.510000
    12     1  1983     2118.480000
    13     1  1983     2014.360000
    14     1  1983     1921.040000
    15     1  1983     1822.290000
    16     1  1983     1783.570000
    17     1  1983     1818.400000
    18     1  1983     1893.110000
    19     1  1983     1929.060000
    20     1  1983     1989.790000
    21     1  1983     2068.150000
    22     1  1983     2143.890000
    23     1  1983     2255.870000
    24     1  1983     2384.380000
    25     1  1983     2484.420000
    26     1  1983     2600.770000
    27     1  1983     2797.780000
    28     1  1983     2851.940000
    29     1  1983     2719.980000
    30     1  1983     2586.660000
    31     1  1983     2425.040000
     1     2  1983     2299.760000
     2     2  1983     2173.740000
     3     2  1983     2055.670000
     4     2  1983     2022.580000
     5     2  1983     2190.900000
     6     2  1983     2148.140000
     7     2  1983     1841.810000
     8     2  1983     1756.730000
     9     2  1983     1722.540000
    10     2  1983     1655.240000
    11     2  1983     1607.530000
    12     2  1983     1633.130000
    13     2  1983     1699.950000
    14     2  1983     1775.880000
    15     2  1983     1849.660000
    16     2  1983     1881.200000
    17     2  1983     1818.400000
    18     2  1983     1692.450000
    19     2  1983     1578.540000
    20     2  1983     1707.460000
    21     2  1983     1845.730000
    22     2  1983     1833.990000
    23     2  1983     1981.630000
    24     2  1983     2242.800000
    25     2  1983     2264.610000
    26     2  1983     2286.540000
    27     2  1983     2304.170000
    28     2  1983     2330.740000
     1     3  1983     2357.480000
     2     3  1983     2470.650000
     3     3  1983     2638.610000
     4     3  1983     2719.980000
     5     3  1983     2768.470000
     6     3  1983     2817.410000
     7     3  1983     2891.690000
     8     3  1983     3012.680000
     9     3  1983     3141.550000
    10     3  1983     3214.980000
    11     3  1983     3252.040000
    12     3  1983     3278.640000
    13     3  1983     3300.010000
    14     3  1983     3332.210000
    15     3  1983     3375.390000
    16     3  1983     3413.420000
    17     3  1983     3435.260000
    18     3  1983     3468.150000
    19     3  1983     3490.170000
    20     3  1983     3517.800000
    21     3  1983     3523.340000
    22     3  1983     3484.660000
    23     3  1983     3273.310000
    24     3  1983     3063.880000
    25     3  1983     2638.610000
    26     3  1983     2295.350000
    27     3  1983     2002.050000
    28     3  1983     1714.990000
    29     3  1983     1448.120000
    30     3  1983     1330.280000
    31     3  1983     1291.110000
     1     4  1983     1265.340000
     2     4  1983     1246.200000
     3     4  1983     1265.340000
     4     4  1983     1317.150000
     5     4  1983     1370.080000
     6     4  1983     1472.330000
     7     4  1983     1589.380000
     8     4  1983     1670.070000
     9     4  1983     1745.290000
    10     4  1983     1849.660000
    11     4  1983     1849.660000
    12     4  1983     1749.100000
    13     4  1983     1662.650000
    14     4  1983     1564.150000
    15     4  1983     1486.270000
    16     4  1983     1441.240000
    17     4  1983     1413.910000
    18     4  1983     1396.960000
    19     4  1983     1386.850000
    20     4  1983     1370.080000
    21     4  1983     1350.100000
    22     4  1983     1330.280000
    23     4  1983     1313.880000
    24     4  1983     1297.590000
    25     4  1983     1304.090000
    26     4  1983     1333.570000
    27     4  1983     1350.100000
    28     4  1983     1380.130000
    29     4  1983     1350.100000
    30     4  1983     1333.570000
     1     5  1983     1323.710000
     2     5  1983     1307.350000
     3     5  1983     1291.110000
     4     5  1983     1274.970000
     5     5  1983     1265.340000
     6     5  1983     1255.750000
     7     5  1983     1246.200000
     8     5  1983     1233.520000
     9     5  1983     1217.770000
    10     5  1983     1199.020000
    11     5  1983     1177.340000
    12     5  1983     1155.870000
    13     5  1983     1131.590000
    14     5  1983     1116.560000
    15     5  1983     1086.810000
    16     5  1983     1057.500000
    17     5  1983     1037.230000
    18     5  1983     1022.880000
    19     5  1983     1000.150000
    20     5  1983      980.480000
    21     5  1983      961.020000
    22     5  1983      944.510000
    23     5  1983      925.440000
    24     5  1983      895.890000
    25     5  1983      864.240000
    26     5  1983      838.330000
    27     5  1983      780.340000
    28     5  1983      743.710000
    29     5  1983      708.020000
    30     5  1983      648.390000
    31     5  1983      608.740000
     1     6  1983      578.830000
     2     6  1983      557.960000
     3     6  1983      537.500000
     4     6  1983      521.420000
     5     6  1983      507.570000
     6     6  1983      497.800000
     7     6  1983      486.210000
     8     6  1983      467.210000
     9     6  1983      448.620000
    10     6  1983      434.040000
    11     6  1983      419.710000
    12     6  1983      393.550000
    13     6  1983      376.600000
    14     6  1983      363.340000
    15     6  1983      355.170000
    16     6  1983      363.340000
    17     6  1983      351.930000
    18     6  1983      335.980000
    19     6  1983      321.970000
    20     6  1983      311.290000
    21     6  1983      300.800000
    22     6  1983      290.500000
    23     6  1983      281.830000
    24     6  1983      273.290000
    25     6  1983      263.520000
    26     6  1983      258.020000
    27     6  1983      252.580000
    28     6  1983      248.540000
    29     6  1983      245.860000
    30     6  1983      240.560000
     1     7  1983      232.730000
     2     7  1983      228.860000
     3     7  1983      226.310000
     4     7  1983      219.980000
     5     7  1983      212.520000
     6     7  1983      207.620000
     7     7  1983      205.190000
     8     7  1983      200.380000
     9     7  1983      195.630000
    10     7  1983      192.110000
    11     7  1983      189.780000
    12     7  1983      185.170000
    13     7  1983      180.620000
    14     7  1983      178.370000
    15     7  1983      175.020000
    16     7  1983      170.610000
    17     7  1983      168.420000
    18     7  1983      167.330000
    19     7  1983      166.250000
    20     7  1983      164.100000
    21     7  1983      160.890000
    22     7  1983      157.730000
    23     7  1983      156.680000
    24     7  1983      156.680000
    25     7  1983      155.630000
    26     7  1983      153.550000
    27     7  1983      151.490000
    28     7  1983      148.420000
    29     7  1983      147.400000
    30     7  1983      146.390000
    31     7  1983      146.390000
     1     8  1983      146.390000
     2     8  1983      145.380000
     3     8  1983      143.380000
     4     8  1983      142.380000
     5     8  1983      141.390000
     6     8  1983      139.420000
     7     8  1983      137.460000
     8     8  1983      135.510000
     9     8  1983      133.580000
    10     8  1983      131.660000
    11     8  1983      130.710000
    12     8  1983      130.710000
    13     8  1983      127.880000
