SANTOSDUMONT	-68.246	-6.440
     1     1  1983     7380.670000
     2     1  1983     7453.850000
     3     1  1983     7506.450000
     4     1  1983     7548.720000
     5     1  1983     7623.110000
     6     1  1983     7708.760000
     7     1  1983     7751.850000
     8     1  1983     7795.110000
     9     1  1983     7838.550000
    10     1  1983     7893.090000
    11     1  1983     7936.910000
    12     1  1983     7947.900000
    13     1  1983     8002.980000
    14     1  1983     8014.030000
    15     1  1983     8036.160000
    16     1  1983     8058.340000
    17     1  1983     8136.310000
    18     1  1983     8199.180000
    19     1  1983     8217.260000
    20     1  1983     8217.260000
    21     1  1983     8199.180000
    22     1  1983     8199.180000
    23     1  1983     8181.110000
    24     1  1983     8181.110000
    25     1  1983     8181.110000
    26     1  1983     8181.110000
    27     1  1983     8169.890000
    28     1  1983     8169.890000
    29     1  1983     8169.890000
    30     1  1983     8169.890000
    31     1  1983     8169.890000
     1     2  1983     8169.890000
     2     2  1983     8199.180000
     3     2  1983     8199.180000
     4     2  1983     8235.340000
     5     2  1983     8199.180000
     6     2  1983     8199.180000
     7     2  1983     8181.110000
     8     2  1983     8169.890000
     9     2  1983     8158.690000
    10     2  1983     8147.490000
    11     2  1983     8113.980000
    12     2  1983     8069.450000
    13     2  1983     8047.250000
    14     2  1983     8025.090000
    15     2  1983     7980.910000
    16     2  1983     7936.910000
    17     2  1983     7882.160000
    18     2  1983     7849.430000
    19     2  1983     7805.950000
    20     2  1983     7751.850000
    21     2  1983     7708.760000
    22     2  1983     7644.460000
    23     2  1983     7569.920000
    24     2  1983     7506.450000
    25     2  1983     7432.890000
    26     2  1983     7349.460000
    27     2  1983     7277.010000
    28     2  1983     7215.320000
     1     3  1983     7164.210000
     2     3  1983     7113.350000
     3     3  1983     7082.960000
     4     3  1983     7072.850000
     5     3  1983     7082.960000
     6     3  1983     7082.960000
     7     3  1983     7093.080000
     8     3  1983     7072.850000
     9     3  1983     7123.500000
    10     3  1983     7164.210000
    11     3  1983     7143.830000
    12     3  1983     7205.080000
    13     3  1983     7277.010000
    14     3  1983     7308.000000
    15     3  1983     7318.340000
    16     3  1983     7308.000000
    17     3  1983     7308.000000
    18     3  1983     7318.340000
    19     3  1983     7328.700000
    20     3  1983     7370.250000
    21     3  1983     7370.250000
    22     3  1983     7370.250000
    23     3  1983     7370.250000
    24     3  1983     7370.250000
    25     3  1983     7359.850000
    26     3  1983     7391.090000
    27     3  1983     7359.850000
    28     3  1983     7359.850000
    29     3  1983     7359.850000
    30     3  1983     7359.850000
    31     3  1983     7349.460000
     1     4  1983     7297.660000
     2     4  1983     7246.120000
     3     4  1983     7205.080000
     4     4  1983     7154.010000
     5     4  1983     7072.850000
     6     4  1983     6972.340000
     7     4  1983     6932.430000
     8     4  1983     6853.090000
     9     4  1983     6794.020000
    10     4  1983     6735.310000
    11     4  1983     6647.950000
    12     4  1983     6551.830000
    13     4  1983     6447.270000
    14     4  1983     6390.750000
    15     4  1983     6353.260000
    16     4  1983     6306.630000
    17     4  1983     6241.760000
    18     4  1983     6241.760000
    19     4  1983     6195.720000
    20     4  1983     6159.060000
    21     4  1983     6113.460000
    22     4  1983     6095.300000
    23     4  1983     6223.310000
    24     4  1983     6232.530000
    25     4  1983     6223.310000
    26     4  1983     6195.720000
    27     4  1983     6159.060000
    28     4  1983     6131.680000
    29     4  1983     6113.460000
    30     4  1983     6068.110000
     1     5  1983     6023.000000
     2     5  1983     5987.080000
     3     5  1983     5933.500000
     4     5  1983     5862.600000
     5     5  1983     5801.060000
     6     5  1983     5713.960000
     7     5  1983     5644.960000
