GAVIÃO	-66.849	-4.839
     1     1  1983     6370.330000
     2     1  1983     6461.760000
     3     1  1983     6523.310000
     4     1  1983     6616.550000
     5     1  1983     6710.870000
     6     1  1983     6806.310000
     7     1  1983     6902.850000
     8     1  1983     6967.840000
     9     1  1983     7066.270000
    10     1  1983     7132.530000
    11     1  1983     7232.860000
    12     1  1983     7368.450000
    13     1  1983     7437.030000
    14     1  1983     7471.510000
    15     1  1983     7540.880000
    16     1  1983     7575.760000
    17     1  1983     7645.920000
    18     1  1983     7698.890000
    19     1  1983     7787.840000
    20     1  1983     7877.640000
    21     1  1983     7931.930000
    22     1  1983     7986.520000
    23     1  1983     8041.430000
    24     1  1983     8096.640000
    25     1  1983     8133.620000
    26     1  1983     8189.360000
    27     1  1983     8226.690000
    28     1  1983     8264.160000
    29     1  1983     8301.770000
    30     1  1983     8320.630000
    31     1  1983     8358.450000
     1     2  1983     8396.420000
     2     2  1983     8434.530000
     3     2  1983     8434.530000
     4     2  1983     8472.780000
     5     2  1983     8530.420000
     6     2  1983     8549.700000
     7     2  1983     8549.700000
     8     2  1983     8511.170000
     9     2  1983     8530.420000
    10     2  1983     8549.700000
    11     2  1983     8549.700000
    12     2  1983     8549.700000
    13     2  1983     8588.380000
    14     2  1983     8607.770000
    15     2  1983     8607.770000
    16     2  1983     8646.670000
    17     2  1983     8627.200000
    18     2  1983     8627.200000
    19     2  1983     8607.770000
    20     2  1983     8588.380000
    21     2  1983     8607.770000
    22     2  1983     8588.380000
    23     2  1983     8588.380000
    24     2  1983     8569.020000
    25     2  1983     8588.380000
    26     2  1983     8588.380000
    27     2  1983     8569.020000
    28     2  1983     8549.700000
     1     3  1983     8511.170000
     2     3  1983     8472.780000
     3     3  1983     8453.630000
     4     3  1983     8453.630000
     5     3  1983     8434.530000
     6     3  1983     8434.530000
     7     3  1983     8434.530000
     8     3  1983     8453.630000
     9     3  1983     8453.630000
    10     3  1983     8472.780000
    11     3  1983     8491.950000
    12     3  1983     8511.170000
    13     3  1983     8472.780000
    14     3  1983     8472.780000
    15     3  1983     8434.530000
    16     3  1983     8396.420000
    17     3  1983     8377.420000
    18     3  1983     8358.450000
    19     3  1983     8339.530000
    20     3  1983     8339.530000
    21     3  1983     8358.450000
    22     3  1983     8396.420000
    23     3  1983     8453.630000
    24     3  1983     8472.780000
    25     3  1983     8453.630000
    26     3  1983     8472.780000
    27     3  1983     8491.950000
    28     3  1983     8491.950000
    29     3  1983     8511.170000
    30     3  1983     8511.170000
    31     3  1983     8569.020000
     1     4  1983     8607.770000
     2     4  1983     8588.380000
     3     4  1983     8607.770000
     4     4  1983     8627.200000
     5     4  1983     8588.380000
     6     4  1983     8588.380000
     7     4  1983     8646.670000
     8     4  1983     8685.710000
     9     4  1983     8705.280000
    10     4  1983     8705.280000
    11     4  1983     8685.710000
    12     4  1983     8627.200000
    13     4  1983     8627.200000
    14     4  1983     8588.380000
    15     4  1983     8588.380000
    16     4  1983     8549.700000
    17     4  1983     8511.170000
    18     4  1983     8491.950000
    19     4  1983     8472.780000
    20     4  1983     8453.630000
    21     4  1983     8396.420000
    22     4  1983     8377.420000
    23     4  1983     8339.530000
    24     4  1983     8301.770000
    25     4  1983     8264.160000
    26     4  1983     8226.690000
    27     4  1983     8189.360000
    28     4  1983     8152.170000
    29     4  1983     8096.640000
    30     4  1983     8023.090000
