JAPURÁ-ACANAUI	-66.600	-1.817
     1     1  1983    11434.100000
     2     1  1983    11349.000000
     3     1  1983    11285.300000
     4     1  1983    11200.500000
     5     1  1983    11158.200000
     6     1  1983    11158.200000
     7     1  1983    11200.500000
     8     1  1983    11200.500000
     9     1  1983    11179.400000
    10     1  1983    11179.400000
    11     1  1983    11200.500000
    12     1  1983    11285.300000
    13     1  1983    11434.100000
    14     1  1983    11626.400000
    15     1  1983    11819.700000
    16     1  1983    12035.800000
    17     1  1983    12253.200000
    18     1  1983    12384.300000
    19     1  1983    12471.900000
    20     1  1983    12515.800000
    21     1  1983    12559.700000
    22     1  1983    12493.800000
    23     1  1983    12384.300000
    24     1  1983    12209.600000
    25     1  1983    11949.200000
    26     1  1983    11562.200000
    27     1  1983    11094.900000
    28     1  1983    10468.200000
    29     1  1983     9995.970000
    30     1  1983     9391.070000
    31     1  1983     8896.700000
     1     2  1983     8469.080000
     2     2  1983     8048.540000
     3     2  1983     7691.140000
     4     2  1983     7375.980000
     5     2  1983     7083.400000
     6     2  1983     6866.570000
     7     2  1983     6705.430000
     8     2  1983     6527.890000
     9     2  1983     6369.460000
    10     2  1983     6264.570000
    11     2  1983     6142.930000
    12     2  1983     6022.090000
    13     2  1983     5902.050000
    14     2  1983     5748.900000
    15     2  1983     5580.320000
    16     2  1983     5430.030000
    17     2  1983     5248.210000
    18     2  1983     5068.470000
    19     2  1983     4906.890000
    20     2  1983     4747.060000
    21     2  1983     4652.020000
    22     2  1983     4636.240000
    23     2  1983     4762.970000
    24     2  1983     5036.010000
    25     2  1983     5297.590000
    26     2  1983     5563.550000
    27     2  1983     5833.820000
    28     2  1983     6177.600000
     1     3  1983     6669.800000
     2     3  1983     7047.110000
     3     3  1983     7375.980000
     4     3  1983     7635.210000
     5     3  1983     7878.570000
     6     3  1983     8086.480000
     7     3  1983     8296.180000
     8     3  1983     8488.360000
     9     3  1983     8720.910000
    10     3  1983     8916.300000
    11     3  1983     9034.220000
    12     3  1983     9093.380000
    13     3  1983     9073.640000
    14     3  1983     8975.200000
    15     3  1983     8818.430000
    16     3  1983     8662.580000
    17     3  1983     8526.980000
    18     3  1983     8392.090000
    19     3  1983     8257.920000
    20     3  1983     8124.470000
    21     3  1983     8067.500000
    22     3  1983     8029.600000
    23     3  1983     8048.540000
    24     3  1983     8086.480000
    25     3  1983     8067.500000
    26     3  1983     8143.490000
    27     3  1983     8372.880000
    28     3  1983     8720.910000
    29     3  1983     9212.070000
    30     3  1983     9934.910000
    31     3  1983    10696.600000
     1     4  1983    11179.400000
     2     4  1983    11583.600000
     3     4  1983    11949.200000
     4     4  1983    12187.800000
     5     4  1983    12318.700000
     6     4  1983    12384.300000
     7     4  1983    12384.300000
     8     4  1983    12384.300000
     9     4  1983    12340.500000
    10     4  1983    12318.700000
    11     4  1983    12406.100000
    12     4  1983    12515.800000
    13     4  1983    12664.900000
    14     4  1983    12829.900000
    15     4  1983    12995.700000
    16     4  1983    13162.100000
    17     4  1983    13371.100000
    18     4  1983    13665.600000
    19     4  1983    13941.000000
    20     4  1983    14260.900000
    21     4  1983    14648.100000
    22     4  1983    14973.400000
    23     4  1983    15366.800000
    24     4  1983    15675.200000
    25     4  1983    15896.700000
    26     4  1983    16119.200000
    27     4  1983    16432.500000
    28     4  1983    16702.600000
    29     4  1983    16906.200000
    30     4  1983    17110.500000
     1     5  1983    17292.900000
     2     5  1983    17475.900000
     3     5  1983    17659.500000
     4     5  1983    17797.700000
     5     5  1983    17982.400000
     6     5  1983    18144.600000
     7     5  1983    18284.000000
     8     5  1983    18400.400000
     9     5  1983    18493.700000
    10     5  1983    18610.600000
    11     5  1983    18731.600000
    12     5  1983    18836.200000
    13     5  1983    18914.800000
    14     5  1983    18993.600000
    15     5  1983    19046.200000
    16     5  1983    19072.500000
    17     5  1983    19072.500000
    18     5  1983    19072.500000
    19     5  1983    19072.500000
    20     5  1983    19019.800000
    21     5  1983    19019.800000
    22     5  1983    18967.300000
    23     5  1983    18888.600000
    24     5  1983    18836.200000
    25     5  1983    18783.900000
    26     5  1983    18731.600000
    27     5  1983    18657.400000
    28     5  1983    18610.600000
    29     5  1983    18563.800000
    30     5  1983    18517.100000
    31     5  1983    18447.100000
     1     6  1983    18377.100000
     2     6  1983    18284.000000
     3     6  1983    18191.000000
     4     6  1983    18121.400000
     5     6  1983    18005.500000
     6     6  1983    17913.000000
     7     6  1983    17797.700000
     8     6  1983    17705.500000
     9     6  1983    17590.600000
    10     6  1983    17475.900000
    11     6  1983    17384.300000
    12     6  1983    17247.200000
    13     6  1983    17133.300000
    14     6  1983    17065.000000
    15     6  1983    16996.900000
    16     6  1983    16883.500000
    17     6  1983    16815.600000
    18     6  1983    16747.800000
    19     6  1983    16702.600000
    20     6  1983    16680.000000
    21     6  1983    16680.000000
    22     6  1983    16680.000000
    23     6  1983    16680.000000
    24     6  1983    16657.500000
    25     6  1983    16634.900000
    26     6  1983    16634.900000
    27     6  1983    16612.400000
    28     6  1983    16567.400000
    29     6  1983    16477.400000
    30     6  1983    16432.500000
     1     7  1983    16365.200000
     2     7  1983    16342.800000
     3     7  1983    16275.600000
     4     7  1983    16208.500000
     5     7  1983    16163.800000
     6     7  1983    16119.200000
     7     7  1983    16074.600000
     8     7  1983    16007.800000
     9     7  1983    15985.600000
    10     7  1983    15963.300000
    11     7  1983    15896.700000
    12     7  1983    15852.300000
    13     7  1983    15808.000000
    14     7  1983    15719.400000
    15     7  1983    15631.000000
    16     7  1983    15520.700000
    17     7  1983    15366.800000
    18     7  1983    15235.300000
    19     7  1983    15060.500000
    20     7  1983    14864.700000
    21     7  1983    14669.700000
    22     7  1983    14432.600000
    23     7  1983    14260.900000
    24     7  1983    14111.300000
    25     7  1983    14004.800000
    26     7  1983    13898.500000
    27     7  1983    13834.800000
    28     7  1983    13729.000000
    29     7  1983    13644.500000
    30     7  1983    13560.200000
    31     7  1983    13455.000000
     1     8  1983    13350.200000
     2     8  1983    13266.500000
     3     8  1983    13245.600000
     4     8  1983    13287.400000
     5     8  1983    13371.100000
     6     8  1983    13518.100000
     7     8  1983    13665.600000
     8     8  1983    13834.800000
     9     8  1983    14004.800000
    10     8  1983    14196.800000
    11     8  1983    14368.100000
    12     8  1983    14497.100000
    13     8  1983    14669.700000
    14     8  1983    14799.600000
    15     8  1983    14908.100000
    16     8  1983    14995.100000
    17     8  1983    15060.500000
    18     8  1983    15104.100000
    19     8  1983    15104.100000
    20     8  1983    15191.500000
    21     8  1983    15235.300000
    22     8  1983    15169.700000
    23     8  1983    15126.000000
    24     8  1983    15082.300000
    25     8  1983    15147.800000
    26     8  1983    15213.400000
    27     8  1983    15301.000000
    28     8  1983    15410.700000
    29     8  1983    15520.700000
    30     8  1983    15653.100000
    31     8  1983    15741.500000
     1     9  1983    15874.500000
     2     9  1983    15985.600000
     3     9  1983    16096.900000
     4     9  1983    16186.200000
     5     9  1983    16253.200000
     6     9  1983    16275.600000
     7     9  1983    16275.600000
     8     9  1983    16253.200000
     9     9  1983    16208.500000
    10     9  1983    16119.200000
    11     9  1983    16007.800000
    12     9  1983    15896.700000
