ITAPÉUA	-63.028	-4.058
     1     1  1983    86729.000000
     2     1  1983    86990.300000
     3     1  1983    87252.000000
     4     1  1983    87514.000000
     5     1  1983    87842.100000
     6     1  1983    88170.900000
     7     1  1983    88368.400000
     8     1  1983    88500.200000
     9     1  1983    88632.200000
    10     1  1983    88764.200000
    11     1  1983    88962.400000
    12     1  1983    89227.000000
    13     1  1983    89492.100000
    14     1  1983    89757.500000
    15     1  1983    89956.800000
    16     1  1983    90089.800000
    17     1  1983    90222.900000
    18     1  1983    90356.100000
    19     1  1983    90489.500000
    20     1  1983    90622.900000
    21     1  1983    90756.400000
    22     1  1983    90890.000000
    23     1  1983    91090.600000
    24     1  1983    91291.400000
    25     1  1983    91425.400000
    26     1  1983    91559.500000
    27     1  1983    91559.500000
    28     1  1983    91559.500000
    29     1  1983    91559.500000
    30     1  1983    91693.700000
    31     1  1983    91828.000000
     1     2  1983    91828.000000
     2     2  1983    91828.000000
     3     2  1983    91895.200000
     4     2  1983    91895.200000
     5     2  1983    91895.200000
     6     2  1983    91962.400000
     7     2  1983    92096.900000
     8     2  1983    92096.900000
     9     2  1983    92096.900000
    10     2  1983    92029.700000
    11     2  1983    91895.200000
    12     2  1983    91760.900000
    13     2  1983    91626.600000
    14     2  1983    91559.500000
    15     2  1983    91425.400000
    16     2  1983    91291.400000
    17     2  1983    91157.500000
    18     2  1983    90823.200000
    19     2  1983    90689.600000
    20     2  1983    90489.500000
    21     2  1983    90422.800000
    22     2  1983    90156.400000
    23     2  1983    89890.400000
    24     2  1983    89757.500000
    25     2  1983    89624.700000
    26     2  1983    89492.100000
    27     2  1983    89359.500000
    28     2  1983    89227.000000
     1     3  1983    89094.700000
     2     3  1983    88896.300000
     3     3  1983    88764.200000
     4     3  1983    88698.100000
     5     3  1983    88632.200000
     6     3  1983    88566.200000
     7     3  1983    88500.200000
     8     3  1983    88434.300000
     9     3  1983    88368.400000
    10     3  1983    88368.400000
    11     3  1983    88368.400000
    12     3  1983    88368.400000
    13     3  1983    88500.200000
    14     3  1983    88698.100000
    15     3  1983    88896.300000
    16     3  1983    89094.700000
    17     3  1983    89094.700000
    18     3  1983    89094.700000
    19     3  1983    89160.800000
    20     3  1983    89227.000000
    21     3  1983    89293.300000
    22     3  1983    89359.500000
    23     3  1983    89691.100000
    24     3  1983    89890.400000
    25     3  1983    90289.500000
    26     3  1983    90756.400000
    27     3  1983    90890.000000
    28     3  1983    91090.600000
    29     3  1983    91224.400000
    30     3  1983    91425.400000
    31     3  1983    91895.200000
     1     4  1983    92029.700000
     2     4  1983    92164.200000
     3     4  1983    92433.600000
     4     4  1983    92838.500000
     5     4  1983    93244.200000
     6     4  1983    93650.900000
     7     4  1983    93990.400000
     8     4  1983    94126.400000
     9     4  1983    94194.400000
    10     4  1983    94330.600000
    11     4  1983    94603.100000
    12     4  1983    94876.100000
    13     4  1983    95149.500000
    14     4  1983    95354.800000
    15     4  1983    95560.300000
    16     4  1983    95834.700000
    17     4  1983    96040.700000
    18     4  1983    96178.200000
    19     4  1983    96178.200000
    20     4  1983    96384.600000
    21     4  1983    96660.200000
    22     4  1983    97143.400000
    23     4  1983    97974.500000
    24     4  1983    98391.500000
    25     4  1983    98879.000000
    26     4  1983    99228.000000
    27     4  1983    99577.600000
    28     4  1983    99787.700000
    29     4  1983    99998.000000
    30     4  1983   100349.000000
     1     5  1983   100701.000000
     2     5  1983   101123.000000
     3     5  1983   101406.000000
     4     5  1983   101688.000000
     5     5  1983   102113.000000
     6     5  1983   102397.000000
     7     5  1983   102539.000000
     8     5  1983   102823.000000
     9     5  1983   103393.000000
    10     5  1983   103821.000000
    11     5  1983   104108.000000
    12     5  1983   104251.000000
    13     5  1983   104681.000000
    14     5  1983   104968.000000
    15     5  1983   105256.000000
    16     5  1983   105472.000000
    17     5  1983   105616.000000
    18     5  1983   105760.000000
    19     5  1983   105977.000000
    20     5  1983   106628.000000
    21     5  1983   106918.000000
    22     5  1983   106991.000000
    23     5  1983   107063.000000
    24     5  1983   107208.000000
    25     5  1983   107281.000000
    26     5  1983   107281.000000
    27     5  1983   107354.000000
    28     5  1983   107499.000000
    29     5  1983   107499.000000
    30     5  1983   107572.000000
    31     5  1983   107645.000000
     1     6  1983   107936.000000
     2     6  1983   107936.000000
     3     6  1983   107936.000000
     4     6  1983   107936.000000
     5     6  1983   107936.000000
     6     6  1983   107936.000000
     7     6  1983   107790.000000
     8     6  1983   107790.000000
     9     6  1983   107790.000000
    10     6  1983   107790.000000
    11     6  1983   107790.000000
    12     6  1983   107790.000000
    13     6  1983   107790.000000
    14     6  1983   107717.000000
    15     6  1983   107717.000000
    16     6  1983   107645.000000
    17     6  1983   107426.000000
    18     6  1983   107208.000000
    19     6  1983   107208.000000
    20     6  1983   107063.000000
    21     6  1983   106918.000000
    22     6  1983   106845.000000
    23     6  1983   106628.000000
    24     6  1983   106483.000000
    25     6  1983   106266.000000
    26     6  1983   106049.000000
    27     6  1983   105688.000000
    28     6  1983   105328.000000
    29     6  1983   104968.000000
    30     6  1983   104537.000000
     1     7  1983   104108.000000
     2     7  1983   103821.000000
     3     7  1983   103536.000000
     4     7  1983   103250.000000
     5     7  1983   102894.000000
     6     7  1983   102326.000000
     7     7  1983   101901.000000
     8     7  1983   101123.000000
     9     7  1983   100138.000000
    10     7  1983    99297.900000
    11     7  1983    98321.900000
    12     7  1983    97420.000000
    13     7  1983    96522.400000
    14     7  1983    95903.400000
    15     7  1983    94876.100000
    16     7  1983    94194.400000
    17     7  1983    93379.700000
    18     7  1983    92231.500000
    19     7  1983    91023.700000
    20     7  1983    89293.300000
    21     7  1983    88368.400000
    22     7  1983    87514.000000
    23     7  1983    86663.800000
    24     7  1983    85558.300000
    25     7  1983    84074.000000
    26     7  1983    82602.900000
    27     7  1983    80515.100000
    28     7  1983    78702.700000
    29     7  1983    77588.200000
    30     7  1983    76543.000000
    31     7  1983    75201.100000
     1     8  1983    73991.500000
     2     8  1983    72732.100000
     3     8  1983    71720.700000
     4     8  1983    70539.900000
     5     8  1983    69485.600000
     6     8  1983    68613.200000
     7     8  1983    67976.900000
     8     8  1983    67228.900000
     9     8  1983    66485.000000
    10     8  1983    65745.300000
    11     8  1983    64953.400000
    12     8  1983    64222.400000
    13     8  1983    63272.800000
    14     8  1983    62606.800000
    15     8  1983    62164.800000
    16     8  1983    61504.700000
    17     8  1983    60957.400000
    18     8  1983    60412.500000
    19     8  1983    60032.600000
    20     8  1983    59491.900000
    21     8  1983    58953.700000
    22     8  1983    58578.400000
    23     8  1983    58204.400000
    24     8  1983    57778.400000
    25     8  1983    57353.900000
    26     8  1983    56878.400000
    27     8  1983    56404.800000
    28     8  1983    55985.500000
    29     8  1983    55515.700000
    30     8  1983    55255.600000
    31     8  1983    54944.200000
     1     9  1983    54633.700000
     2     9  1983    54633.700000
     3     9  1983    54633.700000
     4     9  1983    54685.400000
     5     9  1983    54685.400000
     6     9  1983    54685.400000
     7     9  1983    54788.900000
     8     9  1983    55099.800000
     9     9  1983    55307.500000
    10     9  1983    55411.600000
    11     9  1983    55567.800000
    12     9  1983    55672.100000
    13     9  1983    55776.400000
    14     9  1983    55776.400000
    15     9  1983    55880.900000
    16     9  1983    55933.200000
