MANOELURBANO	-69.268	-8.884
     1     1  1983     1290.430000
     2     1  1983     1385.420000
     3     1  1983     1720.670000
     4     1  1983     1921.270000
     5     1  1983     2040.950000
     6     1  1983     2231.560000
     7     1  1983     2237.680000
     8     1  1983     2182.970000
     9     1  1983     1926.870000
    10     1  1983     1637.940000
    11     1  1983     1498.880000
    12     1  1983     1436.770000
    13     1  1983     1494.050000
    14     1  1983     1567.500000
    15     1  1983     1632.840000
    16     1  1983     1710.200000
    17     1  1983     1811.220000
    18     1  1983     1926.870000
    19     1  1983     1989.140000
    20     1  1983     2035.150000
    21     1  1983     2099.440000
    22     1  1983     2158.910000
    23     1  1983     2140.970000
    24     1  1983     2023.590000
    25     1  1983     1910.090000
    26     1  1983     1871.280000
    27     1  1983     1778.950000
    28     1  1983     1648.150000
    29     1  1983     1494.050000
    30     1  1983     1376.210000
    31     1  1983     1317.170000
     1     2  1983     1272.790000
     2     2  1983     1330.660000
     3     2  1983     1371.610000
     4     2  1983     1255.290000
     5     2  1983     1084.040000
     6     2  1983      949.410000
     7     2  1983      916.480000
     8     2  1983     1040.600000
     9     2  1983     1182.490000
    10     2  1983     1140.860000
    11     2  1983     1044.500000
    12     2  1983      994.390000
    13     2  1983      920.100000
    14     2  1983      845.730000
    15     2  1983      814.980000
    16     2  1983      909.250000
    17     2  1983     1084.040000
    18     2  1983     1308.220000
    19     2  1983     1242.250000
    20     2  1983     1195.150000
    21     2  1983     1157.400000
    22     2  1983      931.030000
    23     2  1983      912.860000
    24     2  1983      891.330000
    25     2  1983      842.280000
    26     2  1983      784.900000
    27     2  1983      701.700000
    28     2  1983      680.240000
     1     3  1983      680.240000
     2     3  1983      668.150000
     3     3  1983      683.280000
     4     3  1983      680.240000
     5     3  1983      635.550000
     6     3  1983      635.550000
     7     3  1983      749.030000
     8     3  1983      775.020000
     9     3  1983      714.150000
    10     3  1983      659.160000
    11     3  1983      931.030000
    12     3  1983     1317.170000
    13     3  1983     1653.270000
    14     3  1983     1860.270000
    15     3  1983     1838.380000
    16     3  1983     1757.630000
    17     3  1983     1317.170000
